EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG2M,FG2A,FG3M,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Loose Ball Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg2ptShotDistance,PlusMinus,Corner3FGM,Corner3FGA,Fg2aBlocked,Corner3Assists,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,AtRimAssists,OffTwoPtRebounds,OffRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAssists,ShootingFouls,BlockedAtRim,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,OffThreePtRebounds,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,SecondChanceCorner3FGA,SecondChanceFG3A,FTOffRebounds,Loose Ball Fouls Drawn,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PtsUnassisted3s,HeaveAttempts,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,SecondChanceArc3FGA,Charge Fouls Drawn,SecondChanceArc3Frequency,NonShootingPenaltyNonTakeFouls,Offensive Fouls Drawn,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,team_id,year,season,team_vs
100949-1628926-202650-203029-203824,1611661320,"Alana Beard, Maria Vadeeva, Jantel Lavender, Riquna Williams, Odyssey Sims","Beard, Vadeeva, Lavender, Williams, Sims",100949-1628926-202650-203029-203824,LAS,34.0,1,1.0,1,2.0,1.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.05882352941177,12.0,11.0,12.0,11.0,1.0,1.0,1.0,0.4899,0.4899,25.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201496-201502-202650-203833,1611661320,"Alana Beard, Candace Parker, Essence Carson, Jantel Lavender, Chelsea Gray","Beard, Parker, Carson, Lavender, Gray",100949-201496-201502-202650-203833,LAS,154.0,1,3.0,5,4.0,,,9,2.0,,2.0,,2.0,,1.0,1.0,,0.5,,0.5,,84.15584415584415,15.8,18.75,15.8,18.75,0.5,,0.75,0.430575,,25.15,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.625,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201496-201502-203014-203029,1611661320,"Alana Beard, Candace Parker, Essence Carson, Nneka Ogwumike, Riquna Williams","Beard, Parker, Carson, Ogwumike, Williams",100949-201496-201502-203014-203029,LAS,110.0,1,2.0,4,3.0,,,7,2.0,,3.0,,2.0,,2.0,2.0,,0.75,,1.0,,91.63636363636364,12.0,20.666666666666668,12.0,20.666666666666668,0.5,,1.0,0.4631375,,25.599999999999998,,1.0,,,1.0,,1.0,2.0,6.0,,,6.0,1.0,,2.0,2.0,1.0,,6.0,2.0,1.0,1.0,,,,,,6.0,,,1.0,0.6666666666666666,0.6666666666666666,,0.75,0.75,,1.0,1.0,0.25,,,,,0.5,0.5,1.0,0.5,3.3,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201496-201502-203014-203833,1611661320,"Alana Beard, Candace Parker, Essence Carson, Nneka Ogwumike, Chelsea Gray","Beard, Parker, Carson, Ogwumike, Gray",100949-201496-201502-203014-203833,LAS,319.0,2,5.0,7,10.0,,,17,1.0,,1.0,,1.0,2.0,5.0,6.0,,0.14285714285714285,1.0,0.7142857142857143,1.0,76.7398119122257,19.285714285714285,18.4,19.0,16.9,0.14285714285714285,,0.5714285714285714,0.4997857142857143,,24.5,,3.0,,1.0,,2.0,6.0,,4.0,9.0,2.0,,,1.0,,1.0,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,0.5,1.0,,,,0.3333333333333333,0.2857142857142857,0.25,1.0,0.6,1.0,0.42857142857142855,0.14285714285714285,,,,,,,,7.866666666666667,-5.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,1.0,1.0,0.4497,0.125,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201496-202650-203824-203833,1611661320,"Alana Beard, Candace Parker, Jantel Lavender, Odyssey Sims, Chelsea Gray","Beard, Parker, Lavender, Sims, Gray",100949-201496-202650-203824-203833,LAS,103.0,1,2.0,2,3.0,,,5,,,,,,1.0,2.0,2.0,,,0.5,0.5,0.5,69.90291262135922,10.0,27.666666666666668,10.0,22.0,,,0.5,0.55495,,,,1.0,,,,2.0,2.0,,4.0,1.0,4.0,,,2.0,,2.0,,,4.0,1.0,,,,,,1.0,,4.0,1.0,1.0,,,,1.0,1.0,1.0,,0.5,1.0,0.5,,,,,,,,,7.3,3.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201496-203014-203029-203833,1611661320,"Alana Beard, Candace Parker, Nneka Ogwumike, Riquna Williams, Chelsea Gray","Beard, Parker, Ogwumike, Williams, Gray",100949-201496-203014-203029-203833,LAS,1732.0,2,29.0,57,55.0,5.0,4.0,112,9.0,1.0,12.0,2.0,9.0,6.0,22.0,28.0,5.0,0.2857142857142857,0.75,0.7241379310344828,0.6666666666666666,93.11778290993071,15.403508771929825,15.527272727272727,15.0,14.89090909090909,0.21428571428571427,0.3333333333333333,0.6428571428571429,0.49363333333333337,0.42596666666666666,24.40833333333333,0.08771929824561403,15.0,1.0,7.0,4.0,16.0,30.0,7.0,59.0,53.0,18.0,21.0,4.0,9.0,7.0,16.0,4.0,,39.0,15.0,5.0,1.0,11.0,3.0,17.0,10.0,,53.0,0.5625,0.6,1.0,0.5833333333333334,0.5833333333333334,0.5333333333333333,0.6309523809523809,0.6555555555555556,0.6470588235294118,0.7142857142857143,0.8571428571428571,0.35714285714285715,0.16666666666666666,0.14285714285714285,0.2,,0.4444444444444444,0.4444444444444444,1.0,0.4444444444444444,7.8933333333333335,6.0,3.0,3.0,2.0,3.0,0.06666666666666667,,0.5,0.07142857142857142,1.0,1.0,1.0,6.0,13.0,3.0,5.0,8.0,3.0,5.0,6.0,14.0,2.0,9.0,5.0,6.0,7.0,7.0,4.0,3.0,1.0,3.0,2.0,0.6,0.6,0.6,0.35714285714285715,0.3157894736842105,,0.8333333333333334,1.0,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.6923076923076923,0.19047619047619047,1.0,0.6,0.5989,0.08888888888888889,0.12121212121212122,0.1016949152542373,2.0,,3.0,2.0,0.25,0.25,,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,6.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,3.0,0.5,0.5,0.5,0.2857142857142857,1.0,0.2,0.5,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,1.0,0.05084745762711865,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201496-203014-203824-203833,1611661320,"Alana Beard, Candace Parker, Nneka Ogwumike, Odyssey Sims, Chelsea Gray","Beard, Parker, Ogwumike, Sims, Gray",100949-201496-203014-203824-203833,LAS,122.0,1,2.0,3,3.0,,,6,1.0,,2.0,,1.0,,,3.0,,0.4,,,,70.81967213114754,23.666666666666668,17.0,14.333333333333334,17.0,0.2,,0.8,0.58181,,24.0,,2.0,,,,3.0,3.0,,6.0,4.0,4.0,,,2.0,,2.0,,,4.0,,1.0,,,,,1.0,,4.0,0.6666666666666666,0.6666666666666666,,,,1.0,0.6,0.6,,,,0.4,,,,,,,,,6.033333333333334,2.0,,1.0,,,,,,0.2,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,3.0,2.0,,,,,,,1.0,0.5,0.5,,1.0,,,,,1.0,1.0,0.5,0.2,0.5,1.0,0.58155,,,0.3333333333333333,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-201502-202650-203014-203833,1611661320,"Alana Beard, Essence Carson, Jantel Lavender, Nneka Ogwumike, Chelsea Gray","Beard, Carson, Lavender, Ogwumike, Gray",100949-201502-202650-203014-203833,LAS,119.0,1,2.0,4,4.0,,,8,1.0,,1.0,,1.0,1.0,2.0,3.0,,0.2,1.0,1.0,1.0,96.80672268907563,18.25,11.5,17.0,11.5,0.2,,0.6,0.46751,,23.9,,2.0,,1.0,,2.0,4.0,,4.0,2.0,2.0,,,1.0,,1.0,,,2.0,1.0,,,,,,,,4.0,0.5,0.5,,,,0.5,0.4,0.4,,1.0,,0.4,0.2,,,,,,,,6.6,2.0,,,2.0,,0.5,0.5,,,,,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,0.5,0.3333333333333333,,1.0,,,0.5,1.0,1.0,0.2,1.0,,0.4553,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-202650-203014-203029-203833,1611661320,"Alana Beard, Jantel Lavender, Nneka Ogwumike, Riquna Williams, Chelsea Gray","Beard, Lavender, Ogwumike, Williams, Gray",100949-202650-203014-203029-203833,LAS,201.0,1,3.0,6,5.0,,,11,1.0,,1.0,,1.0,2.0,3.0,4.0,,0.16666666666666666,1.0,0.75,1.0,78.80597014925372,15.5,21.6,14.666666666666666,18.8,0.16666666666666666,,0.5,0.5012,,24.0,,2.0,,1.0,1.0,1.0,5.0,1.0,7.0,3.0,2.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,7.0,1.0,1.0,,1.0,1.0,0.2,0.4166666666666667,0.5,,0.5,0.5,0.3333333333333333,0.16666666666666666,,,,1.0,1.0,,1.0,8.52,4.0,,,2.0,,0.4,0.5,,,,,,1.0,1.0,,,2.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,0.25,0.25,,,,,0.5,1.0,1.0,0.3333333333333333,,,0.4232,0.14285714285714285,0.16666666666666666,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
100949-202650-203014-203824-203833,1611661320,"Alana Beard, Jantel Lavender, Nneka Ogwumike, Odyssey Sims, Chelsea Gray","Beard, Lavender, Ogwumike, Sims, Gray",100949-202650-203014-203824-203833,LAS,289.0,1,5.0,10,11.0,1.0,10.0,21,4.0,1.0,4.0,1.0,3.0,,2.0,3.0,1.0,0.4444444444444444,,1.0,,104.63667820069205,16.5,11.272727272727273,16.2,11.272727272727273,0.4444444444444444,1.0,0.4444444444444444,0.4309,,30.975,0.1,,2.0,4.0,,2.0,5.0,,5.0,17.0,,,,,,,,,,2.0,1.0,,2.0,,3.0,3.0,,3.0,,,,,,0.4,0.2222222222222222,0.25,0.6666666666666666,1.0,1.0,,0.4444444444444444,0.5,0.5,,,,,,10.959999999999999,-12.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,4.0,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,1.0,0.5,0.2,,1.0,,,,,,0.1111111111111111,,,0.373,0.1,0.16666666666666666,0.4,,,2.0,,,,,,,1.0,,,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1611661320,2018,2018,True
