EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Steals,LostBallSteals,DeadBallTurnovers,Loose Ball Fouls,Offensive Fouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,SelfOReb,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,BlockedAtRim,PtsPutbacks,ShortMidRangePctBlocked,team_id,year,season,team_vs
100915-101030-1627701-200671-201480,1611661324,"Lindsay Whalen, Tanisha Wright, Temi Fagbenle, Seimone Augustus, Sylvia Fowles","Whalen, Wright, Fagbenle, Augustus, Fowles",100915-101030-1627701-200671-201480,MIN,234.0,1,4.0,-3.0,6,5.0,2.0,1.0,11,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,5,8.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5,0.5,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.5,0.25,0.5,67.6923076923077,24.0,18.0,23.0,18.0,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3887083333333334,0.14285714285714285,0.2,16.4,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
100915-101030-1627701-201480-202632,1611661324,"Lindsay Whalen, Tanisha Wright, Temi Fagbenle, Sylvia Fowles, Maya Moore","Whalen, Wright, Fagbenle, Fowles, Moore",100915-101030-1627701-201480-202632,MIN,576.0,1,10.0,-5.0,15,15.0,4.0,2.0,30,2.0,4.0,6.0,3.0,5.0,9.0,5.0,3.0,13,18.0,1.0,6.0,3.0,1.0,2.0,8.0,3.0,,4.0,1.0,13,0.5555555555555556,0.35714285714285715,0.40625,0.35714285714285715,0.2,0.2222222222222222,0.3333333333333333,75.0,20.0,18.4,18.533333333333335,15.866666666666667,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.21428571428571427,0.42857142857142855,0.41955000000000003,0.06666666666666667,0.1,14.211111111111112,23.9,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.4,0.4,0.25,1.0,0.5,0.6,0.25,0.5,0.5555555555555556,0.5,0.6666666666666666,1.0,0.6666666666666666,0.07142857142857142,1.0,1.0,1.0,0.25,0.14285714285714285,1.0,0.3497,0.47145,0.07692307692307693,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
100915-101030-1628283-201480-202632,1611661324,"Lindsay Whalen, Tanisha Wright, Alexis Jones, Sylvia Fowles, Maya Moore","Whalen, Wright, Jones, Fowles, Moore",100915-101030-1628283-201480-202632,MIN,13.0,1,,2.0,1,2.0,2.0,,3,,,,,,,,2.0,2,,,,,,,1.0,1.0,,2.0,,2,,,1.0,,,,,332.3076923076923,1.0,6.0,1.0,6.0,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
100915-1627701-1628508-200671-201480,1611661324,"Lindsay Whalen, Temi Fagbenle, Cecilia Zandalasini, Seimone Augustus, Sylvia Fowles","Whalen, Fagbenle, Zandalasini, Augustus, Fowles",100915-1627701-1628508-200671-201480,MIN,52.0,1,1.0,,2,1.0,,,3,,,,,1.0,1.0,,,2,2.0,,2.0,,,,,,,,,2,1.0,1.0,1.0,,,,,83.07692307692308,10.0,32.0,10.0,23.0,,,,,,1.0,0.5866,,,1.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
100915-1627701-1628508-200671-202632,1611661324,"Lindsay Whalen, Temi Fagbenle, Cecilia Zandalasini, Seimone Augustus, Maya Moore","Whalen, Fagbenle, Zandalasini, Augustus, Moore",100915-1627701-1628508-200671-202632,MIN,122.0,1,2.0,-2.0,3,4.0,,1.0,7,1.0,,,,2.0,4.0,,,4,6.0,1.0,2.0,,,1.0,2.0,2.0,,,,2,0.5,0.5,0.5,,,0.5,,82.62295081967214,19.333333333333332,16.0,18.333333333333332,16.0,0.25,,,,,0.75,0.52285,,,2.45,,,2.0,3.0,,,,,,2.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,0.5,0.5,,,,1.0,0.5,,1.0,,,,,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,0.5841,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
100915-1627701-200671-201480-202632,1611661324,"Lindsay Whalen, Temi Fagbenle, Seimone Augustus, Sylvia Fowles, Maya Moore","Whalen, Fagbenle, Augustus, Fowles, Moore",100915-1627701-200671-201480-202632,MIN,64.0,1,1.0,-4.0,2,3.0,,,5,,,,,,,,2.0,2,6.0,,,,,,,1.0,,2.0,1.0,2,,,1.0,,,,,112.5,19.5,8.333333333333334,19.5,6.666666666666667,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
100915-1628508-200671-201480-202632,1611661324,"Lindsay Whalen, Cecilia Zandalasini, Seimone Augustus, Sylvia Fowles, Maya Moore","Whalen, Zandalasini, Augustus, Fowles, Moore",100915-1628508-200671-201480-202632,MIN,764.0,1,13.0,13.0,25,24.0,1.0,2.0,49,5.0,,3.0,5.0,5.0,14.0,6.0,4.0,26,13.0,1.0,4.0,5.0,,2.0,9.0,5.0,1.0,4.0,1.0,23,0.35714285714285715,0.55,0.5909090909090909,0.3,,0.18181818181818182,,92.35602094240838,14.24,17.0,13.44,16.958333333333332,0.25,0.15,,,0.25,0.6,0.4936575,0.047619047619047616,0.06666666666666667,7.964285714285714,25.2,7.0,4.0,6.0,1.0,,1.0,4.0,11.0,6.0,3.0,6.0,3.0,,15.0,2.0,1.0,5.0,1.0,7.0,3.0,2.0,5.0,,2.0,5.0,1.0,7.0,0.6,0.6,0.9166666666666666,0.6,1.0,0.7142857142857143,0.2222222222222222,1.0,0.75,,,0.8,1.0,0.3,0.6666666666666666,1.0,0.75,,0.05,,0.3778,0.516425,0.4230769230769231,0.28,6.0,5.0,2.0,,,,,,3.0,,,,0.75,0.75,0.25,0.5,,,,0.11538461538461539,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,9.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,11.0,0.75,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.875,0.14285714285714285,0.3333333333333333,0.5,0.5,0.2,0.2,1.0,1.0,1.0,0.6,0.6,0.6666666666666666,0.5,1.0,0.5,1.0,0.25,1.0,0.6,,,,1611661324,2018,2018,True
101030-1627701-1628508-200671-202632,1611661324,"Tanisha Wright, Temi Fagbenle, Cecilia Zandalasini, Seimone Augustus, Maya Moore","Wright, Fagbenle, Zandalasini, Augustus, Moore",101030-1627701-1628508-200671-202632,MIN,12.0,1,,2.0,1,,,,1,,,,,,,,2.0,2,,,,,,,,1.0,,2.0,1.0,2,,,1.0,,,,,120.0,12.0,,12.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2018,2018,True
101030-1627701-1628508-201480-202632,1611661324,"Tanisha Wright, Temi Fagbenle, Cecilia Zandalasini, Sylvia Fowles, Maya Moore","Wright, Fagbenle, Zandalasini, Fowles, Moore",101030-1627701-1628508-201480-202632,MIN,370.0,1,6.0,-2.0,11,12.0,,1.0,23,2.0,1.0,2.0,6.0,1.0,4.0,6.0,,11,13.0,,,6.0,,1.0,6.0,,,,,11,0.25,0.55,0.55,0.6,,0.16666666666666666,,89.51351351351352,15.727272727272727,16.416666666666668,14.454545454545455,15.083333333333334,0.2,0.2,0.5,0.5,0.6,0.6,0.47512499999999996,,,14.975,24.8,,,,,,,,,2.0,1.0,3.0,,1.0,8.0,1.0,1.0,4.0,,5.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,0.5,,0.6666666666666666,0.3333333333333333,1.0,0.7142857142857143,,1.0,0.5,1.0,,,,,1.0,,,0.50625,,,,1.0,,1.0,,,,,,,,,,,,0.5,0.5,,,,,,,,,3.0,,1.0,,,3.0,,1.0,,,,6.0,3.0,3.0,,2.0,2.0,,1.0,1.0,,,,,4.0,2.0,4.0,3.0,,0.6666666666666666,0.5,,,0.5,,,,,,0.75,,,,,,0.5,0.5,0.6666666666666666,1.0,,,,,,0.5,2.0,,,1611661324,2018,2018,True
101030-1628508-200671-201480-202632,1611661324,"Tanisha Wright, Cecilia Zandalasini, Seimone Augustus, Sylvia Fowles, Maya Moore","Wright, Zandalasini, Augustus, Fowles, Moore",101030-1628508-200671-201480-202632,MIN,193.0,1,3.0,6.0,6,6.0,,1.0,12,1.0,,1.0,,4.0,7.0,,,8,2.0,1.0,2.0,,,1.0,5.0,,,,,6,0.5714285714285714,0.5714285714285714,0.5714285714285714,,,0.3333333333333333,,89.53367875647668,12.666666666666666,19.5,12.666666666666666,19.0,0.14285714285714285,0.14285714285714285,,,,0.7142857142857143,0.5317000000000001,,,5.185714285714285,,3.0,4.0,5.0,,,,,4.0,6.0,3.0,3.0,3.0,,6.0,1.0,3.0,1.0,,4.0,,,,,,,,3.0,0.75,1.0,0.6666666666666666,,,0.5,0.3333333333333333,1.0,0.8,,,,1.0,0.7142857142857143,0.8,0.8,0.75,,,,0.6906,0.5197333333333333,0.5,0.5,1.0,,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,0.5,,1.0,1.0,0.25,2.0,2.0,,,,,,,,,,,2.0,3.0,,,,,1.0,,,,1.0,,,,,,,,,,4.0,,,,,,0.6666666666666666,0.6666666666666666,0.14285714285714285,,1.0,,,,,,,,,,,,0.6666666666666666,1.0,,,,,2.0,1.0,1611661324,2018,2018,True
