EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted3s,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,OffFTReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,BlockingFouls,Charge Fouls,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,Technical Free Throw Trips,Corner3PctBlocked,Blocked3s,BlockedArc3,Clear Path Fouls,team_id,year,season,team_vs
1627674-1628268-1628890-202664-204323,1611661329,"Kahleah Copper, Alaina Coates, Diamond DeShields, Courtney Vandersloot, Cheyenne Parker","Copper, Coates, DeShields, Vandersloot, Parker",1627674-1628268-1628890-202664-204323,CHI,2622.0,13,44.0,2.0,85.0,87.0,30.0,18.0,9.0,172,12.0,22.0,3.0,5.0,5.0,12.0,5.0,15.0,10.0,21.0,1.0,4.0,1.0,2.0,9.0,15.0,2.0,5.0,2.0,4.0,27.0,58.0,10.0,19.0,14.0,98.0,96.0,3.0,6.0,2.0,5.0,4.0,16.0,8.0,23.0,3.0,6.0,8.0,33.0,28.0,26.0,30.0,4.0,15.0,9.0,7.0,14.0,10.0,24.0,9.0,1.0,4.0,2.0,8.0,58.0,4.0,11.0,6.0,19.0,1.0,26.0,15.0,41.0,10.0,9.0,1.0,4.0,1.0,2.0,10.0,2.0,2.0,3.0,14.0,1.0,6.0,11.0,17.0,1.0,14.0,3.0,1.0,16.0,2.0,5.0,4.0,6.0,5.0,1.0,6.0,3.0,2.0,1.0,82.0,33.0,30.0,1.0,4.0,0.5185185185185185,0.56,1.0,0.5263157894736842,0.4,0.5,0.5263157894736842,0.46551724137931033,0.5,0.34782608695652173,0.5454545454545454,0.5454545454545454,0.43103448275862066,0.5833333333333334,0.6153846153846154,0.5,0.24675324675324675,0.1206896551724138,0.13636363636363635,0.2,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.5277777777777778,0.36666666666666664,0.75,0.4444444444444444,0.5681818181818182,0.38461538461538464,0.5,0.3,0.3,0.3333333333333333,0.6666666666666666,0.5238095238095238,0.4,0.6,0.8571428571428571,94.46224256292905,0.5,15.623529411764705,14.873563218390805,14.976470588235294,13.620689655172415,0.2857142857142857,0.5454545454545454,0.631578947368421,0.3333333333333333,0.19480519480519481,0.3333333333333333,0.4166666666666667,0.4,0.2727272727272727,0.47619047619047616,0.5,0.8,0.05194805194805195,0.25,0.25,1.0,0.19480519480519481,0.6,0.6,1.0,0.45454545454545453,0.6,0.45454545454545453,0.4,1.0,0.41379310344827586,0.4166666666666667,0.06896551724137931,0.5,0.13793103448275862,0.5,0.5324675324675324,0.6,0.4846922077922078,0.531,0.4917620689655173,0.0625,0.08196721311475409,0.16326530612244897,0.336734693877551,10.087931034482759,23.81578947368421,0.35294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1627674-201516-202664-203828-204323,1611661329,"Kahleah Copper, Allie Quigley, Courtney Vandersloot, Stefanie Dolson, Cheyenne Parker","Copper, Quigley, Vandersloot, Dolson, Parker",1627674-201516-202664-203828-204323,CHI,2064.0,13,34.0,-7.0,70.0,68.0,16.0,18.0,10.0,138,20.0,28.0,4.0,9.0,5.0,6.0,3.0,6.0,3.0,10.0,1.0,2.0,,,3.0,13.0,,,,3.0,26.0,44.0,4.0,15.0,8.0,72.0,79.0,4.0,10.0,,,,8.0,6.0,8.0,,3.0,4.0,16.0,30.0,22.0,9.0,2.0,13.0,3.0,2.0,15.0,3.0,18.0,2.0,1.0,13.0,1.0,1.0,39.0,4.0,5.0,9.0,8.0,1.0,18.0,11.0,29.0,12.0,6.0,6.0,5.0,3.0,3.0,10.0,2.0,,,15.0,3.0,4.0,10.0,24.0,5.0,14.0,1.0,,16.0,2.0,6.0,3.0,6.0,6.0,,6.0,2.0,,,64.0,16.0,16.0,3.0,3.0,0.5769230769230769,0.6,0.75,0.26666666666666666,,,0.26666666666666666,0.5909090909090909,0.4,0.75,0.5423728813559322,0.4,0.5454545454545454,0.5454545454545454,0.4,0.5,0.2542372881355932,0.045454545454545456,0.03571428571428571,,0.1,0.3333333333333333,1.0,0.6153846153846154,0.2777777777777778,0.6,0.36363636363636365,0.6071428571428571,0.3103448275862069,0.25,0.3333333333333333,0.2857142857142857,0.4,,0.5,0.75,1.0,0.6666666666666666,96.27906976744187,0.3333333333333333,15.085714285714285,14.823529411764707,13.971428571428572,14.397058823529411,0.4745762711864407,0.7142857142857143,0.7407407407407407,0.65,0.1016949152542373,0.5,0.5,0.3333333333333333,0.1694915254237288,0.3,0.3333333333333333,0.3333333333333333,0.03389830508474576,0.5,0.5,1.0,0.22033898305084745,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.9,0.4444444444444444,,,,0.5454545454545454,0.8333333333333334,,,0.2727272727272727,,0.7288135593220338,0.23076923076923078,0.5252949152542373,0.5774625,0.5558045454545455,0.09523809523809523,0.125,0.1111111111111111,0.2222222222222222,6.456818181818182,24.173333333333336,0.22857142857142856,3.0,2.0,1.0,2.0,3.0,3.0,0.4,0.3333333333333333,0.037037037037037035,0.5,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1628268-1628890-1628897-203838-203857,1611661329,"Alaina Coates, Diamond DeShields, Linnae Harper, Astou Ndour, Jamierra Faulkner","Coates, DeShields, Harper, Ndour, Faulkner",1628268-1628890-1628897-203838-203857,CHI,13.0,1,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1628890-1628931-201516-202664-203828,1611661329,"Diamond DeShields, Gabby Williams, Allie Quigley, Courtney Vandersloot, Stefanie Dolson","DeShields, Williams, Quigley, Vandersloot, Dolson",1628890-1628931-201516-202664-203828,CHI,11841.0,23,197.0,-39.0,405.0,396.0,26.0,37.0,55.0,801,71.0,122.0,17.0,31.0,3.0,11.0,26.0,69.0,29.0,73.0,6.0,23.0,1.0,2.0,24.0,79.0,3.0,7.0,1.0,5.0,126.0,264.0,30.0,102.0,55.0,397.0,436.0,22.0,44.0,4.0,10.0,9.0,65.0,6.0,19.0,2.0,7.0,10.0,28.0,132.0,120.0,78.0,24.0,79.0,24.0,17.0,66.0,26.0,92.0,20.0,6.0,37.0,14.0,15.0,210.0,20.0,45.0,52.0,77.0,4.0,133.0,67.0,200.0,41.0,33.0,8.0,46.0,8.0,28.0,32.0,18.0,1.0,7.0,78.0,7.0,5.0,31.0,66.0,5.0,74.0,4.0,5.0,69.0,9.0,33.0,6.0,14.0,10.0,4.0,14.0,10.0,2.0,,332.0,28.0,26.0,3.0,3.0,0.5238095238095238,0.5789473684210527,0.8666666666666667,0.29411764705882354,0.4,0.2857142857142857,0.29411764705882354,0.4772727272727273,0.5,0.3157894736842105,0.4672131147540984,0.5185185185185185,0.34615384615384615,0.5,0.5416666666666666,0.4375,0.2786885245901639,0.06439393939393939,0.08196721311475409,0.07246376811594203,0.0273972602739726,0.5897435897435898,1.0,0.7264150943396226,0.3284671532846715,0.8253968253968254,0.2777777777777778,0.7633136094674556,0.31100478468899523,0.3137254901960784,0.3333333333333333,0.3409090909090909,0.2727272727272727,0.29411764705882354,0.723404255319149,0.8333333333333334,0.6829268292682927,0.803921568627451,97.41069166455536,0.7142857142857143,15.824691358024692,13.717171717171718,15.049382716049383,13.252525252525253,0.3333333333333333,0.5819672131147541,0.6339285714285714,0.5211267605633803,0.1885245901639344,0.37681159420289856,0.40625,0.5384615384615384,0.1994535519125683,0.3972602739726027,0.4084507042253521,0.5172413793103449,0.06284153005464481,0.2608695652173913,0.2608695652173913,1.0,0.21584699453551912,0.3037974683544304,0.3037974683544304,0.8333333333333334,0.5740740740740741,0.5483870967741935,0.12962962962962962,0.42857142857142855,1.0,0.4230769230769231,0.2727272727272727,0.07692307692307693,0.5,0.19230769230769232,0.2,0.6120218579234973,0.3037974683544304,0.5040907103825136,0.5327295454545454,0.4789673076923077,0.08695652173913043,0.11458333333333333,0.163727959697733,0.07052896725440806,8.062121212121212,24.274509803921568,0.06419753086419754,12.0,2.0,9.0,6.0,4.0,,0.25,0.9166666666666666,0.046875,0.17647058823529413,1.0,3.0,2.0,3.0,1.0,0.05555555555555555,0.3333333333333333,1.0,0.009708737864077669,,,,,,,,,,,,1611661329,2018,2018,True
1628890-1628931-202664-203828-203857,1611661329,"Diamond DeShields, Gabby Williams, Courtney Vandersloot, Stefanie Dolson, Jamierra Faulkner","DeShields, Williams, Vandersloot, Dolson, Faulkner",1628890-1628931-202664-203828-203857,CHI,10.0,1,,-2.0,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1627674-1628268-1628890-1628897-203838,1611661329,"Kahleah Copper, Alaina Coates, Diamond DeShields, Linnae Harper, Astou Ndour","Copper, Coates, DeShields, Harper, Ndour",1627674-1628268-1628890-1628897-203838,CHI,127.0,2,2.0,2.0,5.0,5.0,5.0,5.0,1.0,10,,1.0,,,,1.0,,,1.0,1.0,,,,,,2.0,,1.0,,2.0,1.0,2.0,,2.0,2.0,4.0,2.0,,,,1.0,,,1.0,2.0,,2.0,2.0,4.0,2.0,,,,2.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,,1.0,1.0,,1.0,,,,4.0,4.0,5.0,,,1.0,1.0,,,,,,0.5,,0.5,0.25,,0.25,0.4,,0.4,0.5,0.5,1.0,,,,,,1.0,1.0,,0.5,0.3333333333333333,1.0,,,,,,,,1.0,113.38582677165354,,12.0,13.4,8.6,13.4,0.25,,,,,,,,0.25,1.0,1.0,1.0,,,,,0.5,,,,,,1.0,,,0.25,,,,0.5,,0.75,,0.4404,0.3675,0.4404,0.2,0.3333333333333333,,1.0,11.0,26.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1627674-1628268-1628890-202664-203828,1611661329,"Kahleah Copper, Alaina Coates, Diamond DeShields, Courtney Vandersloot, Stefanie Dolson","Copper, Coates, DeShields, Vandersloot, Dolson",1627674-1628268-1628890-202664-203828,CHI,884.0,9,15.0,1.0,30.0,31.0,13.0,19.0,4.0,61,3.0,8.0,1.0,4.0,,2.0,4.0,6.0,2.0,6.0,1.0,2.0,,1.0,2.0,5.0,,,1.0,2.0,9.0,20.0,3.0,7.0,8.0,35.0,34.0,1.0,5.0,,,2.0,4.0,3.0,7.0,1.0,3.0,5.0,14.0,8.0,10.0,9.0,2.0,5.0,2.0,2.0,4.0,3.0,7.0,2.0,1.0,1.0,2.0,1.0,17.0,,6.0,2.0,4.0,1.0,7.0,6.0,13.0,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,,1.0,4.0,,1.0,5.0,8.0,1.0,6.0,,,9.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,1.0,,,31.0,14.0,13.0,1.0,1.0,0.4444444444444444,0.5,1.0,0.42857142857142855,,0.3333333333333333,0.42857142857142855,0.45,0.2,0.42857142857142855,0.5,0.2,0.45,0.5645161290322581,0.3333333333333333,0.5384615384615384,0.25925925925925924,0.1,0.25,,,0.5,0.5,0.4444444444444444,0.5454545454545454,0.4,,0.42857142857142855,0.4,0.8,0.5,0.25,,,0.2,0.6666666666666666,1.0,0.5,99.36651583710407,0.25,15.166666666666666,13.838709677419354,14.566666666666666,12.64516129032258,0.2962962962962963,0.375,0.5,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5,0.07407407407407407,0.5,0.5,1.0,0.18518518518518517,0.4,0.4,1.0,0.8,0.25,,,,0.2,,0.1,,0.2,0.5,0.5555555555555556,0.4,0.48228888888888893,0.5847,0.472595,0.13333333333333333,0.17391304347826086,0.11428571428571428,0.4,8.415000000000001,24.142857142857142,0.43333333333333335,,,1.0,,,,,,0.07692307692307693,,,,,,,,,,,1.0,,,,,,,,,,,1611661329,2018,2018,True
1627674-1628268-1628890-202664-203838,1611661329,"Kahleah Copper, Alaina Coates, Diamond DeShields, Courtney Vandersloot, Astou Ndour","Copper, Coates, DeShields, Vandersloot, Ndour",1627674-1628268-1628890-202664-203838,CHI,202.0,2,3.0,-7.0,7.0,7.0,3.0,7.0,1.0,14,,,,,,,,,,1.0,,1.0,,,,3.0,,2.0,,,,1.0,,4.0,,,7.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,2.0,1.0,,3.0,1.0,4.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,3.0,,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,0.8,,,,,0.3333333333333333,,1.0,,1.0,0.25,1.0,0.2,,,,0.3333333333333333,,,,1.0,1.0,99.8019801980198,,16.285714285714285,12.571428571428571,13.0,12.571428571428571,,,,,,,,,0.2,,,,0.2,,,,0.6,,,,,,1.0,,,,,,,,,0.8,,0.50461,,,,,,,15.9,25.275,0.42857142857142855,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1627674-1628268-1628890-203857-204323,1611661329,"Kahleah Copper, Alaina Coates, Diamond DeShields, Jamierra Faulkner, Cheyenne Parker","Copper, Coates, DeShields, Faulkner, Parker",1627674-1628268-1628890-203857-204323,CHI,157.0,2,3.0,1.0,7.0,6.0,4.0,4.0,2.0,13,,2.0,,,,2.0,,1.0,1.0,3.0,,,,,1.0,3.0,1.0,2.0,,,1.0,6.0,1.0,3.0,,5.0,4.0,,1.0,1.0,2.0,,3.0,,4.0,,,,,,2.0,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,1.0,2.0,1.0,1.0,,2.0,3.0,5.0,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,4.0,1.0,,,,1.0,0.3333333333333333,0.5,,0.3333333333333333,0.16666666666666666,,,0.2777777777777778,0.5,,0.2777777777777778,0.5,,0.3333333333333333,0.16666666666666666,,1.0,,,,1.0,0.4,1.0,0.5,1.0,0.42857142857142855,,1.0,0.5,0.5,,1.0,,,1.0,119.23566878980891,,12.571428571428571,11.5,9.857142857142858,11.5,0.2222222222222222,,,,0.1111111111111111,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,0.6666666666666666,0.5,1.0,0.5,,,,,,0.5555555555555556,0.3333333333333333,0.5207388888888889,0.5689,0.5183,,,0.6,,12.716666666666667,24.03333333333333,0.5714285714285714,,,1.0,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
1627674-1628268-1628897-201516-203828,1611661329,"Kahleah Copper, Alaina Coates, Linnae Harper, Allie Quigley, Stefanie Dolson","Copper, Coates, Harper, Quigley, Dolson",1627674-1628268-1628897-201516-203828,CHI,324.0,3,5.0,1.0,12.0,10.0,2.0,,1.0,22,2.0,3.0,,1.0,,,1.0,1.0,2.0,6.0,1.0,2.0,,,,1.0,,,,,5.0,10.0,1.0,3.0,3.0,16.0,15.0,,2.0,,,2.0,2.0,,1.0,,,2.0,2.0,6.0,4.0,3.0,,1.0,,,3.0,1.0,4.0,,1.0,1.0,,2.0,9.0,,3.0,,,,,3.0,3.0,2.0,,2.0,,,,1.0,,,,1.0,,,2.0,3.0,,5.0,,,5.0,1.0,2.0,1.0,,,,,,,,14.0,2.0,2.0,,1.0,0.6,0.6,1.0,0.3333333333333333,,,0.3333333333333333,0.5,,,0.5,,,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.23076923076923078,,,,,,,,0.75,,,,0.5,1.0,,0.6666666666666666,,,,,,,97.77777777777777,,15.666666666666666,13.6,14.75,13.2,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.07692307692307693,1.0,1.0,,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,0.15384615384615385,0.5,0.5,1.0,0.07692307692307693,,,,0.5,,,,,,,,,,,0.46153846153846156,,0.4786576923076923,0.4279,0.3607,0.14285714285714285,0.18181818181818182,0.125,0.125,12.14,23.266666666666666,0.16666666666666666,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1611661329,2018,2018,True
