EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,FTA,Technical Free Throw Trips,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,LostBallSteals,Fouls,BlockingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGM,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,ShootingFouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,LongMidRangeAssists,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,LongMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,HeaveAttempts,OffThreePtRebounds,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,Charge Fouls Drawn,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3FGA,PtsUnassisted3s,Corner3Frequency,OffCorner3ReboundPct,FTDefRebounds,DefFTReboundPct,Corner3FGM,Corner3Assists,Offensive Fouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Charge Fouls,StepOutOfBoundsTurnovers,BlockingFouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,FTOffRebounds,BlockedLongMidRange,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3SecondViolations,Blocked3s,BlockedArc3,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1628267-1628277-1628292-202640-203017,1611661321,"Saniya Chong, Allisha Gray, Breanna Lewis, Karima Christmas-Kelly, Glory Johnson","Chong, Gray, Lewis, Christmas-Kelly, Johnson",1628267-1628277-1628292-202640-203017,DAL,14.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,102.85714285714286,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1628267-1628277-1628922-202633-203866,1611661321,"Saniya Chong, Allisha Gray, Azurá Stevens, Liz Cambage, Kayla Thornton","Chong, Gray, Stevens, Cambage, Thornton",1628267-1628277-1628922-202633-203866,DAL,82.0,1,3.0,,6,2.0,2.0,4.0,1.0,1.0,,,,,1.0,1.0,1.0,105.36585365853658,,16.333333333333332,1.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.5,1.0,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.2,0.25,0.6666666666666666,0.6666666666666666,1.0,1.0,11.0,7.666666666666667,16.333333333333332,0.8,0.5,0.6666666666666666,0.5,0.2,1.0,0.5,1.0,0.5,0.8,0.6366799999999999,0.70465,0.70465,0.4,0.6,4.18,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628273-1628285-202633-203017,1611661321,"Aerial Powers, Kaela Davis, Leticia Romero, Liz Cambage, Glory Johnson","Powers, Davis, Romero, Cambage, Johnson",1627672-1628273-1628285-202633-203017,DAL,157.0,2,5.0,2.0,9,3.0,4.0,6.0,1.0,,,,,,1.0,1.0,,82.54777070063695,,18.0,3.0,5.0,4.0,,1.0,1.0,4.0,,,,,,1.0,5.0,,5.0,,,3.0,,,,,2.0,,,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,,,,2.0,,,1.0,1.0,0.2,,,0.4166666666666667,1.5,,0.4166666666666667,1.5,,0.4,0.5,0.5,0.5,0.3333333333333333,1.0,16.75,16.0,18.0,0.6666666666666666,0.25,0.5,1.0,,,,,,0.8333333333333334,0.5293,0.6204,,0.6,,2.84,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628273-1628922-202633-203866,1611661321,"Aerial Powers, Kaela Davis, Azurá Stevens, Liz Cambage, Kayla Thornton","Powers, Davis, Stevens, Cambage, Thornton",1627672-1628273-1628922-202633-203866,DAL,263.0,2,8.0,,16,2.0,3.0,3.0,3.0,,,,,,0.6666666666666666,0.75,,87.60456273764258,,19.75,4.0,2.0,8.0,,,,1.0,,,,,1.0,,3.0,4.0,10.0,,,,,,,,,,,,,2.0,,6.0,,,1.0,,4.0,,10.0,,,,,,,,0.6,,,0.7142857142857143,,,,,,,,0.5,13.125,13.125,18.375,0.2,,,,0.2,,,,,0.6,0.47476,,,,,9.200000000000001,,1.0,2.0,2.0,,,2.0,2.0,,,6.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,0.4,1.0,,1.0,1.0,0.2,0.4,1.0,1.0,1.0,,,,1.0,25.25,8.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2857142857142857,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628273-1628922-203017-204297,1611661321,"Aerial Powers, Kaela Davis, Azurá Stevens, Glory Johnson, Cayla George","Powers, Davis, Stevens, Johnson, George",1627672-1628273-1628922-203017-204297,DAL,275.0,2,9.0,,18,,,,2.0,,,,,,,,,94.25454545454546,,15.666666666666666,5.0,-7.0,9.0,,,,1.0,,,,,2.0,2.0,4.0,2.0,6.0,,,,,,,,2.0,2.0,,,1.0,1.0,,2.0,,,,,2.0,,6.0,,,0.5,0.5,0.5,,,0.4,,,0.5,,,,,,,,,14.88888888888889,14.88888888888889,13.666666666666666,0.2,,,,0.4,,,,,0.4,0.41868999999999995,,,,,12.8,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,2.0,,,,,,0.2,,,,,0.2,0.2,,,,,,,,23.2,13.0,,,3.0,,1.0,,0.16666666666666666,0.2,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628273-1628922-202633-204297,1611661321,"Aerial Powers, Kaela Davis, Azurá Stevens, Liz Cambage, Cayla George","Powers, Davis, Stevens, Cambage, George",1627672-1628273-1628922-202633-204297,DAL,118.0,1,5.0,,10,,,1.0,1.0,,,,,,,,,122.03389830508475,,10.6,2.0,-5.0,5.0,,1.0,1.0,3.0,1.0,1.0,,,2.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,,,,,,2.0,2.0,,,,,,1.0,1.0,2.0,,1.0,,,,,,,0.2,1.0,,0.2,1.0,,0.3,1.5,,,,0.3333333333333333,0.3333333333333333,0.5,,13.0,13.0,10.4,0.6,0.3333333333333333,0.3333333333333333,,0.4,1.0,1.0,,,0.6,0.55248,0.6827,,1.0,,8.34,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,,1.0,,0.2,0.2,,,,,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628277-1628285-1628922-202633,1611661321,"Aerial Powers, Allisha Gray, Leticia Romero, Azurá Stevens, Liz Cambage","Powers, Gray, Romero, Stevens, Cambage",1627672-1628277-1628285-1628922-202633,DAL,76.0,1,1.0,,3,,,,1.0,,,,,,,,,56.8421052631579,,46.0,1.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,45.0,,,,,,,,,,1.0,0.54675,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,23.9,1.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628277-1628922-202633-203400,1611661321,"Aerial Powers, Allisha Gray, Azurá Stevens, Liz Cambage, Skylar Diggins-Smith","Powers, Gray, Stevens, Cambage, Diggins-Smith",1627672-1628277-1628922-202633-203400,DAL,317.0,2,12.0,8.0,23,1.0,2.0,2.0,,,,,,,1.0,1.0,,104.4794952681388,,13.416666666666666,5.0,-7.0,11.0,7.0,,1.0,1.0,,,,,3.0,5.0,10.0,,13.0,,,,3.0,6.0,,9.0,6.0,4.0,,,3.0,4.0,1.0,9.0,,,1.0,1.0,,,13.0,9.0,7.0,0.6,0.6,0.5,,0.5,0.5909090909090909,,0.6428571428571429,0.5909090909090909,,0.6428571428571429,,,,,,,14.181818181818182,14.181818181818182,13.416666666666666,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,,,,,0.18181818181818182,0.41057727272727274,,0.40905,,0.6923076923076923,11.23,0.6363636363636364,6.0,1.0,1.0,,,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1.0,1.0,,1.0,0.09090909090909091,1.0,,1.0,1.0,0.5454545454545454,0.09090909090909091,1.0,1.0,1.0,,,,1.0,27.4,20.0,,,,,,,,,2.0,2.0,1.0,,,,2.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628277-1628922-203400-203866,1611661321,"Aerial Powers, Allisha Gray, Azurá Stevens, Skylar Diggins-Smith, Kayla Thornton","Powers, Gray, Stevens, Diggins-Smith, Thornton",1627672-1628277-1628922-203400-203866,DAL,412.0,2,15.0,10.0,31,5.0,5.0,9.0,3.0,,1.0,,1.0,,0.8333333333333334,0.7142857142857143,,108.34951456310681,,10.266666666666667,7.0,-3.0,16.0,11.0,4.0,1.0,1.0,1.0,1.0,,,6.0,4.0,11.0,3.0,11.0,2.0,3.0,4.0,3.0,7.0,3.0,9.0,2.0,6.0,2.0,2.0,1.0,1.0,,2.0,2.0,4.0,1.0,,4.0,,7.0,7.0,10.0,0.25,0.3333333333333333,0.36363636363636365,0.6666666666666666,0.42857142857142855,0.25,0.6666666666666666,0.2727272727272727,0.3055555555555556,0.6666666666666666,0.34615384615384615,0.18181818181818182,,0.2857142857142857,0.36363636363636365,,0.6666666666666666,16.125,14.9375,9.266666666666667,0.0625,1.0,1.0,,0.375,0.3333333333333333,1.0,,,0.375,0.4106666666666667,0.2554,0.41393,0.36363636363636365,0.8181818181818182,11.97272727272727,0.6875,4.0,,5.0,,,,5.0,,,,4.0,,,,,1.0,3.0,,,,,,0.3125,,0.5,1.0,,0.25,0.3125,,,,,,,,32.7,14.0,3.0,2.0,3.0,,,1.0,,,2.0,1.0,1.0,,,,2.0,0.5,0.5,0.5,0.16666666666666666,0.25,,,,,4.0,,4.0,,,,,0.36363636363636365,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.2,0.5,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
1627672-1628285-202633-203866-204297,1611661321,"Aerial Powers, Leticia Romero, Liz Cambage, Kayla Thornton, Cayla George","Powers, Romero, Cambage, Thornton, George",1627672-1628285-202633-203866-204297,DAL,116.0,1,4.0,3.0,8,,,1.0,1.0,,,,,,,,,99.3103448275862,,15.5,2.0,5.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,2.0,4.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,,5.0,2.0,2.0,2.0,,1.0,2.0,1.0,5.0,1.0,1.0,,,1.0,,5.0,5.0,2.0,0.5,1.0,0.5,1.0,1.0,0.7,1.0,1.25,0.8,1.5,1.25,,,0.5,0.5,1.0,,13.5,13.25,15.5,0.6,0.6666666666666666,0.6666666666666666,0.5,,1.0,1.0,0.5,1.0,0.8,0.5406299999999999,0.5583,0.564825,0.375,0.625,2.8,0.5,1.0,1.0,1.0,,,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,0.2,,,,,0.2,0.2,1.0,1.0,1.0,,,,1.0,24.0,3.0,,,,,1.0,,0.2,0.25,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,True
