EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockedLongMidRange,LongMidRangePctBlocked,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,Offensive Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,Charge Fouls,BlockedShortMidRange,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,HeaveAttempts,DefCorner3ReboundPct,BlockingFouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
1628915-202250-203411-204320-204327,1611661313,"Kia Nurse, Tina Charles, Sugar Rodgers, Amanda Zahui B, Brittany Boyd","Nurse, Charles, Rodgers, Zahui B, Boyd",1628915-202250-203411-204320-204327,NYL,2643.0,13,44.0,12.0,94.0,92.0,42.0,24.0,9.0,186.0,8.0,17.0,1.0,1.0,3.0,6.0,7.0,18.0,4.0,7.0,5.0,10.0,1.0,2.0,12.0,27.0,3.0,5.0,12.0,19.0,42.0,17.0,37.0,21.0,110.0,98.0,4.0,4.0,3.0,2.0,10.0,11.0,19.0,6.0,14.0,12.0,52.0,22.0,16.0,48.0,3.0,2.0,27.0,12.0,7.0,11.0,16.0,27.0,11.0,5.0,3.0,6.0,2.0,70.0,7.0,4.0,5.0,20.0,5.0,30.0,11.0,41.0,3.0,9.0,5.0,4.0,4.0,3.0,3.0,8.0,1.0,2.0,12.0,2.0,8.0,13.0,24.0,1.0,27.0,2.0,2.0,3.0,2.0,29.0,1.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,100.0,52.0,42.0,6.0,3.0,0.5789473684210527,0.6111111111111112,0.9411764705882353,0.4594594594594595,0.42857142857142855,0.4594594594594595,0.4523809523809524,1.0,0.5789473684210527,0.5632911392405063,0.5714285714285714,0.6060606060606061,0.5913978494623656,0.625,0.65,0.46835443037974683,0.16666666666666666,0.23529411764705882,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.8,0.17391304347826086,0.7142857142857143,0.35,0.78125,0.2558139534883721,0.2222222222222222,0.18181818181818182,0.3333333333333333,0.4,0.6666666666666666,1.0,0.7857142857142857,0.7142857142857143,0.08333333333333333,101.33938706015891,1.0,14.414893617021276,14.0,13.96808510638298,13.25,0.21518987341772153,0.47058823529411764,0.6153846153846154,0.375,0.22784810126582278,0.3888888888888889,0.4666666666666667,0.8571428571428571,0.08860759493670886,0.5714285714285714,0.5714285714285714,0.5,0.12658227848101267,0.5,0.5,1.0,0.34177215189873417,0.4444444444444444,0.4444444444444444,0.9166666666666666,0.14285714285714285,1.0,0.42857142857142855,0.18181818181818182,0.5,0.06060606060606061,0.5,0.36363636363636365,0.4166666666666667,0.6835443037974683,0.4444444444444444,0.48131455696202535,0.5041,0.4460075757575757,0.13333333333333333,0.22641509433962265,0.09090909090909091,0.4727272727272727,7.354761904761904,24.28918918918919,0.44680851063829785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
201889-203411-203829-204296-204320,1611661313,"Marissa Coleman, Sugar Rodgers, Bria Hartley, Rebecca Allen, Amanda Zahui B","Coleman, Rodgers, Hartley, Allen, Zahui B",201889-203411-203829-204296-204320,NYL,47.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,91.91489361702128,,15.0,16.0,15.0,16.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.3952,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-1628920-201889-202250-203411,1611661313,"Kia Nurse, Mercedes Russell, Marissa Coleman, Tina Charles, Sugar Rodgers","Nurse, Russell, Coleman, Charles, Rodgers",1628915-1628920-201889-202250-203411,NYL,158.0,1,3.0,3.0,5.0,5.0,3.0,5.0,,10.0,,,,,,,,1.0,,,,,,,1.0,3.0,,,2.0,,1.0,1.0,3.0,2.0,5.0,2.0,,,,,,,1.0,,2.0,,,,,3.0,,,3.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,1.0,1.0,,2.0,,2.0,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,5.0,,3.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,0.375,,,0.5,,,0.75,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,91.13924050632912,,12.0,19.6,12.0,19.6,,,,,0.25,,,,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.6666666666666666,,0.75,0.3333333333333333,0.4148375,,0.3707666666666667,0.2,0.5,,,6.4,25.099999999999998,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-1628920-202250-203411-204296,1611661313,"Kia Nurse, Mercedes Russell, Tina Charles, Sugar Rodgers, Rebecca Allen","Nurse, Russell, Charles, Rodgers, Allen",1628915-1628920-202250-203411-204296,NYL,104.0,1,2.0,-1.0,4.0,4.0,,1.0,,8.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,2.0,,1.0,2.0,4.0,5.0,,,,,,,,,,,,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,2.0,,1.0,,1.0,,1.0,1.0,,4.0,,,,,1.0,1.0,,,,,0.5,,,0.3333333333333333,,,0.5,,,0.3333333333333333,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,110.76923076923076,1.0,8.5,17.5,8.5,17.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,,,,,,,0.6666666666666666,,0.5859166666666666,,,0.25,0.3333333333333333,,,11.05,24.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-1628920-203411-203829-204320,1611661313,"Kia Nurse, Mercedes Russell, Sugar Rodgers, Bria Hartley, Amanda Zahui B","Nurse, Russell, Rodgers, Hartley, Zahui B",1628915-1628920-203411-203829-204320,NYL,259.0,1,4.0,4.0,8.0,8.0,,,1.0,16.0,2.0,4.0,1.0,2.0,,,,,,1.0,,,,,3.0,4.0,,,,2.0,5.0,3.0,4.0,3.0,16.0,12.0,1.0,2.0,,,2.0,,,,,,,2.0,2.0,9.0,,,4.0,3.0,1.0,1.0,3.0,4.0,3.0,,1.0,,,11.0,,2.0,,2.0,,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,,3.0,,1.0,,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,14.0,,,,,0.5,0.5,1.0,0.75,,0.75,0.4,0.5,,0.7222222222222222,0.5,,0.7272727272727273,0.5,,0.4444444444444444,0.2,,,,,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,0.5,1.0,,,,,,1.0,,0.3333333333333333,88.95752895752896,,13.25,19.125,12.125,19.125,0.4444444444444444,0.5,0.5,0.5,,,,,0.1111111111111111,,,,,,,,0.4444444444444444,0.75,0.75,1.0,1.0,0.5,,,,,,,,0.8888888888888888,0.75,0.5590666666666667,0.65255,,0.2,0.3333333333333333,0.125,,4.4799999999999995,24.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-201889-201913-201919-204320,1611661313,"Kia Nurse, Marissa Coleman, Kia Vaughn, Shavonte Zellous, Amanda Zahui B","Nurse, Coleman, Vaughn, Zellous, Zahui B",1628915-201889-201913-201919-204320,NYL,28.0,1,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,51.42857142857143,,14.0,,14.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3695,,0.3695,,,,1.0,10.5,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-201889-201919-204320-204329,1611661313,"Kia Nurse, Marissa Coleman, Shavonte Zellous, Amanda Zahui B, Kiah Stokes","Nurse, Coleman, Zellous, Zahui B, Stokes",1628915-201889-201919-204320-204329,NYL,77.0,1,1.0,-2.0,2.0,2.0,2.0,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,4.0,6.0,,,,,,1.0,1.0,,,2.0,4.0,2.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,4.0,4.0,2.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,74.8051948051948,,26.5,12.0,26.5,12.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.3253,,0.3253,0.5,,,1.0,12.4,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-201889-202250-203411-204327,1611661313,"Kia Nurse, Marissa Coleman, Tina Charles, Sugar Rodgers, Brittany Boyd","Nurse, Coleman, Charles, Rodgers, Boyd",1628915-201889-202250-203411-204327,NYL,941.0,2,16.0,-9.0,31.0,31.0,,,5.0,62.0,5.0,8.0,2.0,3.0,,,3.0,10.0,2.0,7.0,,,,,3.0,8.0,1.0,,,10.0,25.0,3.0,8.0,2.0,31.0,40.0,2.0,5.0,1.0,,4.0,,,,,,,12.0,8.0,6.0,3.0,,8.0,3.0,3.0,6.0,2.0,8.0,2.0,,3.0,2.0,1.0,18.0,1.0,7.0,2.0,4.0,,6.0,8.0,14.0,3.0,2.0,2.0,,3.0,,3.0,3.0,,1.0,6.0,2.0,,3.0,4.0,,6.0,,,,,3.0,1.0,2.0,,,,1.0,1.0,,27.0,,,,,0.6,0.6,0.6666666666666666,0.375,,0.375,0.4,0.4,,0.4393939393939394,0.3333333333333333,,0.45588235294117646,0.3333333333333333,,0.24242424242424243,0.12,0.25,0.1,0.5,,1.0,0.5,0.4,0.2,0.6666666666666666,0.42105263157894735,0.6666666666666666,0.3333333333333333,0.2,,1.0,1.0,1.0,0.4,0.1875,94.87778958554729,1.0,18.225806451612904,12.129032258064516,16.93548387096774,11.67741935483871,0.24242424242424243,0.625,0.8333333333333334,0.6,0.30303030303030304,0.3,0.3333333333333333,0.6666666666666666,0.21212121212121213,0.2857142857142857,0.2857142857142857,0.5,,,,,0.24242424242424243,0.375,0.375,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,,,,,,,0.48484848484848486,0.375,0.4570439393939394,0.50119,,0.058823529411764705,0.07692307692307693,0.12903225806451613,,9.208,25.5375,,,,,,,1.0,1.0,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-201889-203411-203829-204329,1611661313,"Kia Nurse, Marissa Coleman, Sugar Rodgers, Bria Hartley, Kiah Stokes","Nurse, Coleman, Rodgers, Hartley, Stokes",1628915-201889-203411-203829-204329,NYL,89.0,1,1.0,2.0,3.0,2.0,,,1.0,5.0,,,,,,,1.0,1.0,,,,,,,1.0,3.0,,,,1.0,1.0,1.0,3.0,,5.0,3.0,1.0,1.0,,,2.0,,,,,,,2.0,,3.0,,,3.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,,5.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,,0.625,1.0,,0.625,1.0,,0.75,,,,,,1.0,,,0.5,1.0,0.5,,,0.5,,,,1.0,,,80.89887640449437,,16.666666666666668,19.5,16.333333333333332,19.5,,,,,0.25,1.0,1.0,1.0,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.75,0.3333333333333333,0.4600875,,,,,0.4,,9.5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
1628915-201913-202250-202259-203411,1611661313,"Kia Nurse, Kia Vaughn, Tina Charles, Epiphanny Prince, Sugar Rodgers","Nurse, Vaughn, Charles, Prince, Rodgers",1628915-201913-202250-202259-203411,NYL,299.0,1,5.0,2.0,9.0,9.0,3.0,5.0,1.0,18.0,1.0,1.0,,,,,,2.0,,2.0,,,,,2.0,3.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,,8.0,6.0,,,1.0,,3.0,,1.0,1.0,2.0,,3.0,2.0,,3.0,3.0,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,,1.0,3.0,3.0,,6.0,1.0,7.0,1.0,,,,,,,2.0,,,2.0,,,2.0,5.0,,3.0,,,1.0,,,,,,,,,,,5.0,3.0,3.0,,,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.2,,,0.5,1.5,0.5,0.5,1.5,0.5,0.375,0.2,,0.5,,,0.75,0.25,1.0,,0.8571428571428571,0.2,,0.5,,,,0.5,1.0,1.0,0.25,86.68896321070234,,14.0,19.22222222222222,13.88888888888889,18.555555555555557,0.125,1.0,1.0,1.0,0.25,,,,0.25,,,,,,,,0.375,0.6666666666666666,0.6666666666666666,0.5,,,1.0,,,,,0.6666666666666666,0.5,0.5,0.6666666666666666,0.44463125,0.3501,0.4766166666666667,,,0.375,0.375,9.28,24.733333333333334,0.3333333333333333,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661313,2018,2018,False
