EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG3A,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,NonHeaveArc3FGA,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedLongMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Travels,LongMidRangePctBlocked,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsPutbacks,Offensive Fouls Drawn,BlockedShortMidRange,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,Charge Fouls Drawn,SecondChanceAtRimAccuracy,HeaveAttempts,FTOffRebounds,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedAtRim,AtRimPctBlocked,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,DefCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,Charge Fouls,BlockingFouls,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockingFoulsDrawn,Clear Path Fouls,3SecondViolations,OffCorner3ReboundPct,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627669-1628269-1628276-1628913-204324,1611661319,"Moriah Jefferson, Nia Coffey, Kelsey Plum, Jaime Nared, Dearica Hamby","Jefferson, Coffey, Plum, Nared, Hamby",1627669-1628269-1628276-1628913-204324,LVA,23.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.60869565217391,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628269-1628276-1628932-202670,1611661319,"Moriah Jefferson, Nia Coffey, Kelsey Plum, A'ja Wilson, Carolyn Swords","Jefferson, Coffey, Plum, Wilson, Swords",1627669-1628269-1628276-1628932-202670,LVA,60.0,1,2.0,,3.0,,1.0,1.0,,0.5,,72.0,17.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,26.0,1.0,1.0,1.0,1.0,1.0,0.3861,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628263-1628269-1628913-1628917,1611661319,"Moriah Jefferson, Lindsay Allen, Nia Coffey, Jaime Nared, JiSu Park","Jefferson, Allen, Coffey, Nared, Park",1627669-1628263-1628269-1628913-1628917,LVA,290.0,1,11.0,3.0,22.0,5.0,5.0,6.0,0.8333333333333334,0.8333333333333334,1.0,109.24137931034484,11.727272727272727,10.545454545454545,5.0,11.0,1.0,3.0,2.0,6.0,4.0,6.0,4.0,2.0,2.0,1.0,4.0,,1.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,,,14.636363636363637,14.545454545454545,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5025722222222222,8.616666666666667,-2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.5,0.5,0.5,0.3333333333333333,1.0,0.25,0.14285714285714285,0.5,1.0,0.6666666666666666,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,0.2222222222222222,1.0,0.6333,0.4099,0.1111111111111111,0.16666666666666666,0.5,23.733333333333334,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628269-1628913-1628917-204324,1611661319,"Moriah Jefferson, Nia Coffey, Jaime Nared, JiSu Park, Dearica Hamby","Jefferson, Coffey, Nared, Park, Hamby",1627669-1628269-1628913-1628917-204324,LVA,1253.0,7,41.0,21.0,84.0,11.0,15.0,23.0,0.5789473684210527,0.52,1.0,96.53631284916202,13.609756097560975,12.048780487804878,21.0,43.0,,,10.0,22.0,46.0,37.0,14.0,7.0,11.0,,26.0,2.0,13.0,11.0,39.0,0.7,0.7,0.45454545454545453,0.5147058823529411,0.575,0.3333333333333333,0.3333333333333333,16.162790697674417,14.69767441860465,,,,,0.35294117647058826,0.4183720588235294,14.863636363636363,9.0,15.0,6.0,,10.0,6.0,12.0,2.0,10.0,12.0,4.0,4.0,7.0,12.0,10.0,3.0,6.0,8.0,1.0,6.0,1.0,5.0,8.0,5.0,12.0,,13.0,2.0,7.0,12.0,15.0,0.5714285714285714,0.55,0.6,0.35294117647058826,0.6666666666666666,0.5,0.4444444444444444,,0.42857142857142855,0.6,0.06666666666666667,0.29411764705882354,0.35294117647058826,0.5,0.5,0.5,0.058823529411764705,0.29411764705882354,,0.4205375,0.423655,0.1794871794871795,0.25925925925925924,0.2608695652173913,25.258333333333336,0.3488372093023256,4.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,11.0,2.0,1.0,3.0,7.0,1.0,3.0,1.0,6.0,12.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,6.0,8.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.8,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.4,0.5,0.13636363636363635,0.3,1.0,0.3333333333333333,0.5,0.5,0.4,0.6666666666666666,0.4,0.5714285714285714,1.0,0.5,0.5,1.0,0.4,0.4,0.75,0.2,0.1,0.2,0.5,0.4,0.15217391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628269-1628917-1628932-203825,1611661319,"Moriah Jefferson, Nia Coffey, JiSu Park, A'ja Wilson, Kayla McBride","Jefferson, Coffey, Park, Wilson, McBride",1627669-1628269-1628917-1628932-203825,LVA,399.0,4,14.0,5.0,30.0,4.0,7.0,7.0,1.0,1.0,,108.27067669172932,12.714285714285714,12.714285714285714,7.0,16.0,,,4.0,12.0,11.0,15.0,4.0,2.0,3.0,,7.0,2.0,3.0,,11.0,0.5,0.5,0.3333333333333333,0.4230769230769231,0.4230769230769231,1.0,1.0,13.8125,13.8125,,,,,0.07692307692307693,0.4013884615384615,14.516666666666666,-4.0,4.0,,,4.0,2.0,8.0,,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,,,,,,,2.0,1.0,3.0,,,,,2.0,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.6666666666666666,,,,1.0,1.0,,0.3076923076923077,0.6153846153846154,0.25,0.2857142857142857,0.5,,0.07692307692307693,,,0.3567,,,0.18181818181818182,25.3,0.25,2.0,,,1.0,,,,1.0,,,,,,,,,4.0,3.0,,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,1.0,,,,0.16666666666666666,0.25,1.0,,,,,,0.5,0.6666666666666666,0.5,,,,1.0,1.0,1.0,,,,,1.0,,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628269-1628932-202670-203825,1611661319,"Moriah Jefferson, Nia Coffey, A'ja Wilson, Carolyn Swords, Kayla McBride","Jefferson, Coffey, Wilson, Swords, McBride",1627669-1628269-1628932-202670-203825,LVA,232.0,2,9.0,6.0,17.0,1.0,2.0,3.0,0.5,0.5,,105.51724137931035,13.222222222222221,13.222222222222221,4.0,8.0,1.0,1.0,5.0,7.0,10.0,11.0,8.0,4.0,4.0,1.0,8.0,,2.0,1.0,8.0,0.8,1.0,0.7142857142857143,0.625,0.625,,,14.125,13.875,0.125,1.0,1.0,1.0,0.25,0.4267,9.785714285714286,-1.0,5.0,1.0,,5.0,1.0,1.0,,1.0,1.0,1.0,4.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,8.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.125,1.0,0.5,0.3333333333333333,,1.0,,0.3333333333333333,0.625,0.125,1.0,1.0,1.0,,0.125,,0.3708,0.42671666666666663,,,0.8,25.5,0.625,3.0,,,,,,,,,1.0,,,2.0,,,,2.0,,,,,,,,2.0,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,0.5,,,1.0,0.6,0.6,0.6666666666666666,,,,,,,,,,,,0.2,,,1.0,1.0,2.0,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628269-201477-202670-204324,1611661319,"Moriah Jefferson, Nia Coffey, Tamera Young, Carolyn Swords, Dearica Hamby","Jefferson, Coffey, Young, Swords, Hamby",1627669-1628269-201477-202670-204324,LVA,317.0,4,10.0,3.0,20.0,4.0,4.0,5.0,0.6666666666666666,0.6666666666666666,1.0,90.85173501577287,16.7,15.6,5.0,10.0,1.0,1.0,4.0,6.0,8.0,6.0,2.0,1.0,1.0,,2.0,,1.0,2.0,6.0,0.25,0.3333333333333333,0.6666666666666666,0.5,0.5,,,15.0,14.9,0.125,1.0,1.0,,0.375,0.38260625,10.416666666666666,2.0,4.0,1.0,1.0,4.0,1.0,1.0,,2.0,2.0,1.0,2.0,3.0,4.0,2.0,,,1.0,,1.0,,1.0,1.0,1.0,3.0,,,,,4.0,4.0,0.6666666666666666,0.5,0.5,0.25,0.3333333333333333,,0.25,,,0.75,,0.5,0.125,1.0,1.0,,,0.25,1.0,,0.3579625,,,0.5,24.5,0.4,2.0,,,,,,1.0,,,1.0,,,2.0,,1.0,,6.0,,,,,,,,1.0,1.0,,2.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,0.5,,,0.5,1.0,0.5,0.5,0.5,,,,,,,,,0.25,,,0.25,1.0,,1.0,1.0,2.0,1.0,,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628269-203402-203825-204324,1611661319,"Moriah Jefferson, Nia Coffey, Kelsey Bone, Kayla McBride, Dearica Hamby","Jefferson, Coffey, Bone, McBride, Hamby",1627669-1628269-203402-203825-204324,LVA,544.0,4,20.0,4.0,42.0,5.0,7.0,11.0,0.7142857142857143,0.7777777777777778,1.0,111.17647058823529,12.3,11.8,9.0,22.0,4.0,7.0,8.0,15.0,22.0,10.0,10.0,5.0,5.0,3.0,10.0,2.0,4.0,6.0,19.0,0.625,0.625,0.5333333333333333,0.4,0.4782608695652174,1.0,1.0,13.545454545454545,12.863636363636363,0.35,0.5714285714285714,0.6666666666666666,0.75,0.6,0.5149657894736842,7.333333333333333,12.0,8.0,3.0,2.0,5.0,1.0,3.0,,5.0,5.0,3.0,3.0,5.0,9.0,4.0,1.0,2.0,4.0,1.0,3.0,3.0,,2.0,2.0,3.0,,7.0,,2.0,9.0,8.0,0.6,0.5,0.6428571428571429,0.25,0.6666666666666666,0.2857142857142857,0.2727272727272727,0.3333333333333333,0.75,0.5,0.1,0.25,0.15,0.3333333333333333,0.3333333333333333,1.0,,0.25,0.6666666666666666,0.63065,0.47022,0.13043478260869565,0.11764705882352941,0.4090909090909091,29.9,0.36363636363636365,3.0,,,,,,1.0,,6.0,1.0,,1.0,3.0,,1.0,3.0,6.0,,,,1.0,,,,1.0,1.0,,1.0,,,2.0,3.0,,,3.0,,,1.0,3.0,3.0,,,,,,0.3333333333333333,0.3333333333333333,0.375,0.06666666666666667,,,0.25,0.5,,0.25,1.0,0.6,0.6,0.3333333333333333,,,,,,,,,0.16666666666666666,,,0.13636363636363635,,,,2.0,,1.0,1.0,0.3333333333333333,,1.0,,0.5,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628276-1628913-1628917-204324,1611661319,"Moriah Jefferson, Kelsey Plum, Jaime Nared, JiSu Park, Dearica Hamby","Jefferson, Plum, Nared, Park, Hamby",1627669-1628276-1628913-1628917-204324,LVA,342.0,2,12.0,2.0,24.0,4.0,5.0,8.0,0.8,0.625,,101.05263157894737,11.666666666666666,9.416666666666666,6.0,12.0,,,1.0,10.0,3.0,10.0,2.0,1.0,1.0,,2.0,1.0,1.0,5.0,3.0,1.0,1.0,0.1,0.07692307692307693,0.10714285714285714,0.3333333333333333,0.3333333333333333,16.833333333333332,15.333333333333334,,,,,0.23076923076923078,0.3832807692307692,10.68,-7.0,6.0,2.0,,8.0,,2.0,,3.0,3.0,1.0,1.0,5.0,3.0,3.0,,1.0,3.0,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,3.0,6.0,0.2,0.16666666666666666,0.21428571428571427,0.23076923076923078,,0.125,0.18181818181818182,,1.0,0.6666666666666666,0.09090909090909091,0.6153846153846154,0.15384615384615385,,,,,0.23076923076923078,,0.38455,0.36045,0.07142857142857142,0.09090909090909091,1.0,26.366666666666664,0.5,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.14285714285714285,,0.3333333333333333,,0.125,0.125,1.0,,,,,,,0.5,,0.16666666666666666,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
1627669-1628276-1628932-201477-202670,1611661319,"Moriah Jefferson, Kelsey Plum, A'ja Wilson, Tamera Young, Carolyn Swords","Jefferson, Plum, Wilson, Young, Swords",1627669-1628276-1628932-201477-202670,LVA,430.0,4,14.0,,30.0,4.0,7.0,7.0,0.6666666666666666,0.75,,100.46511627906976,16.285714285714285,16.0,7.0,16.0,3.0,3.0,7.0,10.0,25.0,13.0,4.0,2.0,5.0,2.0,13.0,2.0,4.0,3.0,25.0,0.2857142857142857,0.2857142857142857,0.7,0.8214285714285714,0.8333333333333334,1.0,1.0,12.625,12.625,0.21428571428571427,1.0,1.0,0.6666666666666666,0.5,0.4761,6.62,12.0,,,,6.0,1.0,1.0,,4.0,4.0,,,,,4.0,,,,,,,,,,1.0,,2.0,,1.0,,,,,,0.2857142857142857,,,,,0.6666666666666666,1.0,,0.42857142857142855,0.07142857142857142,1.0,1.0,,,0.2857142857142857,,,,0.06666666666666667,0.09090909090909091,,25.3,,3.0,,,3.0,,,,3.0,2.0,,,,,,,,10.0,9.0,,3.0,,3.0,3.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,,,,1.0,,,1.0,0.75,,0.75,,,,,,1.0,,,,,,0.5,0.5,,,,,0.75,0.75,1.0,,,,,0.75,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2018,2018,True
