EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted3s,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,PenaltyDefPoss,SecondChanceTurnovers,Blocked2s,BlockedAtRim,Blocks,OffShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BadPassTurnovers,Travels,PenaltyTurnovers,TwoPtShootingFoulsDrawn,DefAtRimReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGA,OffArc3ReboundPct,SecondChanceArc3Frequency,SelfOReb,SelfORebPct,LongMidRangeFGM,LongMidRangeFGA,PtsPutbacks,Fg3aBlocked,LongMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Offensive Fouls,Defensive 3 Seconds Violations,SecondChanceArc3FGM,Charge Fouls Drawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,BlockedCorner3,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,LongMidRangePctBlocked,Transition Take Fouls Drawn,BlockedLongMidRange,Transition Take Fouls,team_id,year,season,team_vs
1628915-1642291-1642817-1642818-204322,1611661329,"Kia Nurse, Angel Reese, Hailey Van Lith, Maddy Westbeld, Elizabeth Williams","Nurse, Reese, Van Lith, Westbeld, Williams",1628915-1642291-1642817-1642818-204322,CHI,182.0,1,3.0,8.0,6.0,5.0,4.0,1.0,11.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,13.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,11.0,9.0,4.0,1.0,0.75,0.75,1.0,0.5,0.5,0.5,1.0,1.0,0.9166666666666666,0.875,0.9285714285714286,1.0,0.9,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.03296703296704,12.166666666666666,21.8,12.166666666666666,21.8,0.6666666666666666,1.0,1.0,0.75,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,0.25,0.25,1.0,1.0,1.0,0.64385,0.631775,0.15384615384615385,0.6923076923076923,1.35,24.35,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1628878-1642244-1642289-204296,1611661329,"Rachel Banham, Ariel Atkins, Sevgi Uzun, Kamilla Cardoso, Rebecca Allen","Banham, Atkins, Uzun, Cardoso, Allen",1627671-1628878-1642244-1642289-204296,CHI,19.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1628878-1642289-1642291-202664,1611661329,"Rachel Banham, Ariel Atkins, Kamilla Cardoso, Angel Reese, Courtney Vandersloot","Banham, Atkins, Cardoso, Reese, Vandersloot",1627671-1628878-1642289-1642291-202664,CHI,285.0,2,5.0,9.0,11.0,13.0,,1.0,24.0,1.0,2.0,,,1.0,,3.0,5.0,,,3.0,4.0,3.0,6.0,,15.0,6.0,,2.0,,,,,,,6.0,,,5.0,3.0,3.0,,3.0,,1.0,6.0,,2.0,1.0,4.0,1.0,5.0,,,3.0,,,,13.0,,,,1.0,1.0,,0.5,,0.5,0.75,,0.75,,0.75,1.0,,0.6,1.0,1.0,,0.75,0.25,,1.0,121.26315789473684,12.454545454545455,11.384615384615385,12.090909090909092,11.076923076923077,0.2,0.5,1.0,1.0,0.1,0.5,0.6,0.6,,,,,,,0.8,0.6,0.52746,,0.13333333333333333,,5.175,26.400000000000002,,2.0,2.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.25,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.2,1.0,1.0,1.0,0.4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1628915-1642289-1642301-204322,1611661329,"Rachel Banham, Kia Nurse, Kamilla Cardoso, Marquesha Davis, Elizabeth Williams","Banham, Nurse, Cardoso, Davis, Williams",1627671-1628915-1642289-1642301-204322,CHI,73.0,1,1.0,,3.0,3.0,,,6.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,1.0,,,,118.35616438356165,17.0,7.333333333333333,17.0,7.333333333333333,0.5,,,,,0.5,,,,,,,,,1.0,,0.553625,,,,2.7,24.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1642301-1642817-1642818-204322,1611661329,"Rachel Banham, Marquesha Davis, Hailey Van Lith, Maddy Westbeld, Elizabeth Williams","Banham, Davis, Van Lith, Westbeld, Williams",1627671-1642301-1642817-1642818-204322,CHI,175.0,1,3.0,1.0,6.0,5.0,,1.0,11.0,1.0,1.0,,,,,1.0,1.0,,,1.0,3.0,1.0,1.0,,5.0,4.0,,,,,,,,,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,,2.0,1.0,3.0,,,,,,,5.0,,,,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,,0.625,,0.625,,,0.25,,0.5,,0.6666666666666666,0.5,,,90.51428571428572,15.333333333333334,16.6,14.333333333333334,14.4,0.25,1.0,1.0,1.0,,0.25,1.0,1.0,1.0,,,,,,0.5,1.0,0.3669125,,,,6.2,25.0,,,2.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,0.5,0.5,1.0,,1.0,,0.5,,,,,5.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627669-1628915-1642818-204296-204322,1611661329,"Moriah Jefferson, Kia Nurse, Maddy Westbeld, Rebecca Allen, Elizabeth Williams","Jefferson, Nurse, Westbeld, Allen, Williams",1627669-1628915-1642818-204296-204322,CHI,53.0,1,1.0,,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,3.0,3.0,,,,,1.0,1.0,,3.0,,,3.0,,,,1.0,1.0,,,3.0,,,,,,,,1.0,,,,,3.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.5,1.5,1.5,,1.5,1.0,,,,,,,,54.339622641509436,15.0,38.0,15.0,38.0,,,,,1.0,,,,,,,1.0,,,1.0,,0.4812,0.4812,,1.0,,22.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1630446-1642817-204296-204322,1611661329,"Rachel Banham, Michaela Onyenwere, Hailey Van Lith, Rebecca Allen, Elizabeth Williams","Banham, Onyenwere, Van Lith, Allen, Williams",1627671-1630446-1642817-204296-204322,CHI,491.0,1,8.0,1.0,16.0,17.0,13.0,,33.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0,3.0,5.0,2.0,2.0,5.0,8.0,1.0,20.0,19.0,,,1.0,1.0,4.0,6.0,1.0,15.0,2.0,2.0,12.0,7.0,4.0,1.0,4.0,5.0,3.0,1.0,14.0,,2.0,,6.0,,6.0,3.0,5.0,1.0,,2.0,,20.0,15.0,13.0,,0.5,0.5,0.8,0.625,0.6666666666666666,0.625,1.0,1.0,0.95,1.0,0.9090909090909091,,0.9375,0.8,,0.4,,0.6,,,1.0,96.78207739307535,13.1875,16.470588235294116,13.1875,15.294117647058824,0.2,1.0,1.0,0.5,0.1,0.7,0.5714285714285714,0.5714285714285714,0.75,0.14285714285714285,1.0,0.14285714285714285,0.7142857142857143,0.6,1.0,0.5714285714285714,0.5496000000000001,0.5325,,0.75,1.35,23.9875,0.8125,,,,,3.0,,,,4.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,,,,,,0.4,,0.8,,,0.8,,,,,,5.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.3333333333333333,0.09090909090909091,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1628878-1630446-1642289-1642817,1611661329,"Rachel Banham, Ariel Atkins, Michaela Onyenwere, Kamilla Cardoso, Hailey Van Lith","Banham, Atkins, Onyenwere, Cardoso, Van Lith",1627671-1628878-1630446-1642289-1642817,CHI,51.0,1,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,0.5,,,1.0,84.70588235294117,14.0,18.5,14.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1627671-1630446-1642818-204296-204322,1611661329,"Rachel Banham, Michaela Onyenwere, Maddy Westbeld, Rebecca Allen, Elizabeth Williams","Banham, Onyenwere, Westbeld, Allen, Williams",1627671-1630446-1642818-204296-204322,CHI,262.0,1,4.0,2.0,7.0,7.0,,2.0,14.0,2.0,2.0,,,1.0,,,2.0,,,2.0,4.0,1.0,3.0,2.0,9.0,7.0,,5.0,,,,,,,2.0,2.0,3.0,2.0,,1.0,1.0,2.0,,1.0,5.0,,1.0,,3.0,2.0,5.0,,1.0,2.0,,2.0,,4.0,,,,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,0.5625,1.25,,0.42857142857142855,,0.5,,0.75,0.6666666666666666,,,76.94656488549619,21.571428571428573,15.857142857142858,21.142857142857142,14.142857142857142,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.2857142857142857,,,,,,,,,0.7142857142857143,,0.5021357142857142,,0.5555555555555556,,4.1,24.233333333333334,,,2.0,1.0,1.0,,2.0,,2.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,1.25,0.5,,0.5,1.0,1.0,,,1.0,0.2857142857142857,,,,0.603775,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,0.5,0.125,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
1628878-1642289-1642291-1642817-204296,1611661329,"Ariel Atkins, Kamilla Cardoso, Angel Reese, Hailey Van Lith, Rebecca Allen","Atkins, Cardoso, Reese, Van Lith, Allen",1628878-1642289-1642291-1642817-204296,CHI,571.0,5,10.0,3.0,19.0,18.0,7.0,2.0,37.0,3.0,6.0,1.0,1.0,,,4.0,9.0,2.0,5.0,3.0,9.0,4.0,9.0,4.0,22.0,19.0,,,1.0,3.0,2.0,5.0,1.0,9.0,4.0,2.0,12.0,9.0,4.0,2.0,4.0,6.0,4.0,2.0,16.0,3.0,2.0,1.0,4.0,4.0,8.0,3.0,5.0,4.0,,6.0,1.0,22.0,9.0,7.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.4444444444444444,0.4,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5238095238095238,,0.5,0.5,1.0,1.0,0.6,1.0,0.36363636363636365,,1.0,93.30998248686514,14.263157894736842,16.666666666666668,13.052631578947368,16.666666666666668,0.3333333333333333,0.5,0.75,0.6666666666666666,,0.5,0.4444444444444444,0.4444444444444444,1.0,0.125,1.0,,0.625,0.4,0.8333333333333334,0.4444444444444444,0.5654166666666667,0.5464375,,0.4090909090909091,3.5,25.555555555555557,0.3684210526315789,,3.0,,1.0,,3.0,,1.0,1.0,4.0,2.0,2.0,2.0,,,1.0,2.0,,,,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,,1.0,0.16666666666666666,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,0.1,0.18181818181818182,,,,,,1.0,,0.3333333333333333,,,,,,,1.0,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2025,2025,True
