EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGA,AtRimAssists,SelfOReb,DeadBallTurnovers,Travels,Turnovers,AtRimPctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyTurnovers,SecondChanceCorner3FGA,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Clear Path Fouls,ThreePtShootingFoulsDrawn,3SecondViolations,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Transition Take Fouls,Blocked3s,BlockedArc3,Transition Take Fouls Drawn,Technical Free Throw Trips,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,BlockedCorner3,team_id,year,season,team_vs
1628277-1628278-1628280-1630471-1631044,1611661330,"Allisha Gray, Shatori Walker-Kimbrough, Brionna Jones, Maya Caldwell, Naz Hillmon","Gray, Walker-Kimbrough, Jones, Caldwell, Hillmon",1628277-1628278-1628280-1630471-1631044,ATL,323.0,3,5.0,11.0,10.0,3.0,4.0,21.0,4.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,4.0,12.0,1.0,2.0,10.0,10.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,6.0,4.0,3.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.5,0.5,0.07692307692307693,0.08333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.375,0.5,1.0,0.4,0.4444444444444444,0.25,0.3333333333333333,1.0,1.0,0.5,0.5,93.62229102167181,15.454545454545455,15.3,14.454545454545455,13.4,0.3076923076923077,0.46153846153846156,0.5,0.6,0.6666666666666666,0.15384615384615385,0.5,0.5,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.38461538461538464,0.47340000000000004,0.39505,0.4396333333333333,0.4,0.4,7.441666666666666,24.5,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628278-1628280-1630471-1631009,1611661330,"Nia Coffey, Shatori Walker-Kimbrough, Brionna Jones, Maya Caldwell, Rhyne Howard","Coffey, Walker-Kimbrough, Jones, Caldwell, Howard",1628269-1628278-1628280-1630471-1631009,ATL,245.0,3,4.0,6.0,8.0,,2.0,14.0,3.0,,1.0,1.0,,3.0,1.0,,2.0,7.0,1.0,,4.0,12.0,,3.0,,,,,,,,2.0,2.0,,1.0,2.0,1.0,1.0,,2.0,,3.0,,1.0,,1.0,3.0,4.0,,,1.0,1.0,,,,4.0,,,,0.5,0.5,0.2857142857142857,,,0.25,,,0.25,,,0.125,0.2857142857142857,,,1.0,0.6,,,1.0,0.5,0.5,,0.6666666666666666,,,,82.28571428571429,22.166666666666668,14.0,19.0,14.0,0.375,0.125,1.0,1.0,,0.375,,,0.125,,,0.5,0.4944625,0.49076666666666663,,,,8.371428571428572,27.7,,-8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628277-1628280-1631009-1642804-203398,1611661330,"Allisha Gray, Brionna Jones, Rhyne Howard, Te-Hina Paopao, Brittney Griner","Gray, Jones, Howard, Paopao, Griner",1628277-1628280-1631009-1642804-203398,ATL,3371.0,12,56.0,108.0,110.0,13.0,12.0,218.0,18.0,2.0,13.0,23.0,5.0,21.0,26.0,1.0,30.0,62.0,30.0,24.0,120.0,125.0,3.0,8.0,1.0,2.0,8.0,3.0,4.0,9.0,21.0,36.0,24.0,2.0,26.0,4.0,18.0,28.0,6.0,66.0,6.0,8.0,13.0,20.0,4.0,37.0,14.0,51.0,9.0,4.0,17.0,28.0,31.0,31.0,4.0,112.0,19.0,12.0,2.0,0.6,0.6206896551724138,0.4838709677419355,0.375,0.75,0.5217391304347826,0.3333333333333333,0.6,0.5660377358490566,0.36363636363636365,0.7,0.32608695652173914,0.06451612903225806,0.08695652173913043,0.8,0.7407407407407407,0.25,0.5416666666666666,0.35294117647058826,0.6470588235294118,0.2857142857142857,0.16666666666666666,0.3,0.25,0.26666666666666666,0.75,0.5652173913043478,93.12370216552952,15.25,15.672727272727272,14.305555555555555,14.854545454545455,0.1956521739130435,0.25,0.5652173913043478,0.6190476190476191,0.46153846153846156,0.22826086956521738,0.23809523809523808,0.23809523809523808,0.2826086956521739,0.1111111111111111,0.2,0.5217391304347826,0.4790070652173913,0.46893333333333337,0.46484500000000006,0.06666666666666667,0.175,9.619354838709677,25.48,0.12037037037037036,-5.0,23.0,12.0,2.0,8.0,4.0,11.0,1.0,19.0,0.1111111111111111,,0.75,0.08888888888888889,0.6666666666666666,0.75,0.6666666666666666,0.2222222222222222,1.0,2.0,1.0,4.0,1.0,11.0,2.0,5.0,12.0,2.0,6.0,30.0,6.0,11.0,10.0,9.0,1.0,4.0,5.0,8.0,2.0,5.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,14.0,4.0,1.0,3.0,4.0,4.0,1.0,0.8333333333333334,0.4,0.3333333333333333,0.4,0.42105263157894735,1.0,0.7142857142857143,1.0,0.8,0.043478260869565216,0.25,0.25,1.0,0.4230769230769231,0.4230769230769231,0.8181818181818182,0.5,1.0,1.0,0.1,0.5,0.4,0.4230769230769231,0.13725490196078433,0.19444444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628277-1628886-1630471-203398,1611661330,"Nia Coffey, Allisha Gray, Jordin Canada, Maya Caldwell, Brittney Griner","Coffey, Gray, Canada, Caldwell, Griner",1628269-1628277-1628886-1630471-203398,ATL,527.0,4,9.0,16.0,14.0,1.0,2.0,30.0,3.0,,1.0,2.0,,3.0,2.0,1.0,3.0,8.0,4.0,3.0,9.0,22.0,,,1.0,2.0,2.0,,1.0,,,6.0,,,2.0,1.0,3.0,3.0,1.0,6.0,,2.0,1.0,1.0,,2.0,2.0,4.0,,,2.0,5.0,4.0,4.0,,7.0,,1.0,,1.0,1.0,0.375,,,0.25,,,0.32142857142857145,0.5,,0.3333333333333333,0.125,,,0.3333333333333333,0.4,0.5,,0.4,0.2222222222222222,1.0,,0.3333333333333333,,0.3333333333333333,0.5,81.97343453510436,17.9375,17.142857142857142,17.4375,16.285714285714285,0.25,0.16666666666666666,0.5,0.5,1.0,0.25,,,0.16666666666666666,1.0,,0.5833333333333334,0.4975,0.57825,0.490925,0.2222222222222222,,8.1875,24.625,0.0625,-13.0,1.0,2.0,,2.0,,2.0,,4.0,0.3333333333333333,,,,0.6666666666666666,1.0,1.0,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,2.0,,2.0,,,,,,2.0,,,,2.0,2.0,,2.0,2.0,,,,,,,0.5,,,,,0.16666666666666666,,,,,,,,,,,0.5,,,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628886-1630471-1642804-1642814,1611661330,"Nia Coffey, Jordin Canada, Maya Caldwell, Te-Hina Paopao, Taylor Thierry","Coffey, Canada, Caldwell, Paopao, Thierry",1628269-1628886-1630471-1642804-1642814,ATL,65.0,1,1.0,2.0,1.0,2.0,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,66.46153846153847,20.0,25.0,20.0,25.0,,1.0,,,,,,,,,,,0.3829,,0.3829,,,4.8,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628277-1628886-1631009-1631044,1611661330,"Nia Coffey, Allisha Gray, Jordin Canada, Rhyne Howard, Naz Hillmon","Coffey, Gray, Canada, Howard, Hillmon",1628269-1628277-1628886-1631009-1631044,ATL,-410.0,4,-7.0,7.0,7.0,5.0,2.0,14.0,3.0,2.0,,,,,2.0,,3.0,3.0,2.0,4.0,10.0,5.0,2.0,2.0,,,4.0,2.0,2.0,2.0,6.0,4.0,2.0,,2.0,,2.0,2.0,,4.0,2.0,,2.0,,,2.0,2.0,4.0,1.0,1.0,,2.0,2.0,4.0,1.0,6.0,6.0,5.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,0.6666666666666666,0.7142857142857143,1.0,0.75,0.4,,,,,,0.4,1.0,0.4,1.0,,,,1.0,,0.4,,11.528571428571428,-70.1,10.385714285714286,-71.11428571428571,0.6,,,,,,,,0.4,,0.6666666666666666,1.0,0.58671,,0.6186833333333334,0.4,0.6,2.1333333333333333,24.4,0.7142857142857143,5.0,4.0,3.0,2.0,2.0,,2.0,,2.0,,,,,1.0,1.0,0.6666666666666666,1.0,2.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,0.3333333333333333,,,0.16666666666666666,0.25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628278-1630471-1642804-1642814-203398,1611661330,"Shatori Walker-Kimbrough, Maya Caldwell, Te-Hina Paopao, Taylor Thierry, Brittney Griner","Walker-Kimbrough, Caldwell, Paopao, Thierry, Griner",1628278-1630471-1642804-1642814-203398,ATL,29.0,1,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,99.3103448275862,16.0,13.0,16.0,13.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628278-1628886-1630471-1631044-203398,1611661330,"Shatori Walker-Kimbrough, Jordin Canada, Maya Caldwell, Naz Hillmon, Brittney Griner","Walker-Kimbrough, Canada, Caldwell, Hillmon, Griner",1628278-1628886-1630471-1631044-203398,ATL,271.0,3,5.0,7.0,7.0,3.0,,14.0,1.0,1.0,,,,,4.0,,1.0,1.0,5.0,1.0,6.0,8.0,,,,,,1.0,1.0,,2.0,2.0,,,4.0,,1.0,1.0,,2.0,,,1.0,3.0,,4.0,,4.0,,,2.0,5.0,1.0,2.0,,6.0,2.0,3.0,,1.0,1.0,1.0,,1.0,0.4166666666666667,,0.3333333333333333,0.42857142857142855,,0.3333333333333333,0.8333333333333334,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,74.39114391143912,17.714285714285715,21.0,17.714285714285715,19.285714285714285,0.16666666666666666,,,,,,,,0.6666666666666666,,0.3333333333333333,1.0,0.5000416666666666,,0.5014333333333333,,0.3333333333333333,1.0,25.4,0.42857142857142855,-2.0,4.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,2.0,1.0,,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.2,,0.2,,,,,,0.16666666666666666,,,,0.25,0.25,,,,1.0,,0.6666666666666666,,0.25,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628280-1628886-1631009-1642804,1611661330,"Nia Coffey, Brionna Jones, Jordin Canada, Rhyne Howard, Te-Hina Paopao","Coffey, Jones, Canada, Howard, Paopao",1628269-1628280-1628886-1631009-1642804,ATL,94.0,2,2.0,3.0,4.0,3.0,1.0,7.0,,,,1.0,,1.0,,,,2.0,1.0,,,4.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,3.0,,,1.0,1.0,2.0,1.0,1.0,,,3.0,,,,,,,,,,,,,0.3333333333333333,,,,,0.5,1.0,,1.0,0.3333333333333333,,1.0,,,,1.0,107.23404255319149,22.666666666666668,6.5,16.0,6.5,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.3333333333333333,0.46551666666666663,0.500525,0.46551666666666663,,,15.2,23.3,1.0,-4.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628277-1628280-1628886-1631009-1631044,1611661330,"Allisha Gray, Brionna Jones, Jordin Canada, Rhyne Howard, Naz Hillmon","Gray, Jones, Canada, Howard, Hillmon",1628277-1628280-1628886-1631009-1631044,ATL,5750.0,16,96.0,181.0,178.0,35.0,22.0,359.0,42.0,11.0,18.0,49.0,9.0,21.0,36.0,3.0,44.0,112.0,39.0,36.0,163.0,224.0,3.0,18.0,3.0,4.0,16.0,9.0,23.0,10.0,37.0,68.0,20.0,,36.0,9.0,34.0,45.0,14.0,101.0,6.0,20.0,23.0,28.0,4.0,55.0,27.0,82.0,12.0,7.0,34.0,51.0,39.0,39.0,4.0,147.0,37.0,35.0,3.0,0.7727272727272727,0.7727272727272727,0.39285714285714285,0.16666666666666666,0.391304347826087,0.4205298013245033,0.2857142857142857,0.4090909090909091,0.47941176470588237,0.34782608695652173,0.4868421052631579,0.2582781456953642,0.08035714285714286,0.08163265306122448,0.8,0.5714285714285714,0.29850746268656714,0.8214285714285714,0.25,0.6623376623376623,0.2857142857142857,0.48,0.23333333333333334,0.08333333333333333,0.23809523809523808,0.6363636363636364,0.782608695652174,89.90608695652175,16.574585635359117,15.44943820224719,15.392265193370166,14.870786516853933,0.2781456953642384,0.32450331125827814,0.3673469387755102,0.4,0.7777777777777778,0.1390728476821192,0.42857142857142855,0.45,0.23841059602649006,0.14285714285714285,0.3333333333333333,0.5364238410596026,0.4704576158940398,0.460496875,0.4509318181818182,0.09815950920245399,0.22699386503067484,7.425,24.402564102564103,0.19337016574585636,-61.0,43.0,17.0,6.0,13.0,3.0,19.0,1.0,40.0,0.09523809523809523,0.047619047619047616,0.45,0.0375,0.40476190476190477,0.4473684210526316,0.7647058823529411,0.2857142857142857,,3.0,,3.0,2.0,13.0,3.0,8.0,13.0,3.0,10.0,33.0,6.0,13.0,11.0,11.0,,7.0,5.0,21.0,3.0,13.0,8.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,15.0,13.0,7.0,6.0,13.0,6.0,2.0,0.8461538461538461,0.3333333333333333,0.3,0.3333333333333333,0.525,0.3333333333333333,0.7142857142857143,0.46153846153846156,0.7777777777777778,0.019867549668874173,,,,0.3611111111111111,0.38235294117647056,0.8461538461538461,,,0.2727272727272727,0.06060606060606061,0.24242424242424243,0.375,0.3611111111111111,0.0963855421686747,0.11904761904761904,7.0,,1.0,1.0,1.0,,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.07692307692307693,0.3333333333333333,0.05555555555555555,1.0,0.6666666666666666,1.0,0.025,,,,,,,,,,,,,,,,1611661330,2025,2025,True
