EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,ShootingFouls,Fouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,FG2M,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFGA,OffTwoPtRebounds,OffRebounds,Rebounds,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,AtRimFG3AFrequency,PenaltyDefPoss,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,SelfOReb,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SelfORebPct,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChancePointsPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,AtRimAssists,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3Assists,ShortMidRangeAssists,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffCorner3ReboundPct,Fg3aBlocked,Transition Take Fouls,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Charge Fouls Drawn,team_id,year,season,team_vs
1642292-1642792-1642802-202252-203828,1611661322,"Jacy Sheldon, Kiki Iriafen, Lucy Olsen, Alysha Clark, Stefanie Dolson","Sheldon, Iriafen, Olsen, Clark, Dolson",1642292-1642792-1642802-202252-203828,WAS,39.0,1,1.0,-2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,73.84615384615384,25.0,14.0,25.0,14.0,1.0,0.2552,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1631083-1642792-1642802-1642810-202252,1611661322,"Emily Engstler, Kiki Iriafen, Lucy Olsen, Madison Scott, Alysha Clark","Engstler, Iriafen, Olsen, Scott, Clark",1631083-1642792-1642802-1642810-202252,WAS,66.0,1,1.0,-6.0,2.0,3.0,5.0,1.0,2.0,8.0,1.0,1.0,109.09090909090908,16.0,11.333333333333334,16.0,11.333333333333334,0.5,0.37715,15.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1630134-1631083-1642785-1642810-202252,1611661322,"Sug Sutton, Emily Engstler, Sonia Citron, Madison Scott, Alysha Clark","Sutton, Engstler, Citron, Scott, Clark",1630134-1631083-1642785-1642810-202252,WAS,15.0,1,,,,,,,1.0,,,,,,,,,,0.6867,1.1,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1630134-1631021-1631083-1631141-1642785,1611661322,"Sug Sutton, Sika Koné, Emily Engstler, Jade Melbourne, Sonia Citron","Sutton, Koné, Engstler, Melbourne, Citron",1630134-1631021-1631083-1631141-1642785,WAS,2.0,1,,-2.0,,1.0,1.0,,,2.0,,1.0,720.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1630134-1631022-1631141-1642792-1642802,1611661322,"Sug Sutton, Shakira Austin, Jade Melbourne, Kiki Iriafen, Lucy Olsen","Sutton, Austin, Melbourne, Iriafen, Olsen",1630134-1631022-1631141-1642792-1642802,WAS,306.0,3,5.0,-7.0,10.0,10.0,20.0,2.0,5.0,12.0,1.0,2.0,94.11764705882354,18.2,12.4,18.0,12.4,0.2222222222222222,0.4165611111111111,11.22,,2.0,1.0,5.0,,,,,,5.0,,,0.2,0.2777777777777778,0.2777777777777778,0.2222222222222222,,,,1.0,1.0,1.0,5.0,0.3333333333333333,0.16666666666666666,,0.1111111111111111,0.5555555555555556,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.4444444444444444,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3475,25.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1630134-1631141-1642785-1642792-202252,1611661322,"Sug Sutton, Jade Melbourne, Sonia Citron, Kiki Iriafen, Alysha Clark","Sutton, Melbourne, Citron, Iriafen, Clark",1630134-1631141-1642785-1642792-202252,WAS,234.0,2,4.0,-3.0,8.0,8.0,16.0,2.0,2.0,6.0,1.0,2.0,98.46153846153847,15.625,13.625,14.5,11.125,0.4,0.4488875,5.8,,,1.0,3.0,,,,,,3.0,,,0.5,0.2,0.25,,,,,,,1.0,5.0,,0.3333333333333333,,,0.6,3.0,,1.0,1.0,,1.0,,,3.0,,3.0,,2.0,,3.0,,,2.0,4.0,1.0,,2.0,3.0,,,,,,,,0.6,0.3333333333333333,0.6666666666666666,,0.3333333333333333,,,1.0,,,0.5,0.5,,0.6,,,,,,28.766666666666666,8.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,8.0,0.5,0.2,0.25,1.0,0.5,0.5,1.0,0.6,0.4488875,0.16666666666666666,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1631083-1642292-1642785-1642802-202252,1611661322,"Emily Engstler, Jacy Sheldon, Sonia Citron, Lucy Olsen, Alysha Clark","Engstler, Sheldon, Citron, Olsen, Clark",1631083-1642292-1642785-1642802-202252,WAS,134.0,2,2.0,-2.0,5.0,3.0,8.0,1.0,3.0,7.0,1.0,2.0,85.97014925373134,16.4,17.333333333333332,15.6,17.333333333333332,0.25,0.473925,10.066666666666666,,1.0,,5.0,,,1.0,,3.0,2.0,,,,0.375,0.5,0.25,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,0.25,0.5,3.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,0.25,1.0,,,,,,,,,,,,0.25,1.0,1.0,,1.0,0.5862,25.5,4.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,5.0,,,,,,,,1.0,1.0,2.0,,5.0,4.0,,0.5,0.625,,,,1.0,0.3333333333333333,0.449,,,1.0,0.8,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1631083-1642785-1642802-202252-203828,1611661322,"Emily Engstler, Sonia Citron, Lucy Olsen, Alysha Clark, Stefanie Dolson","Engstler, Citron, Olsen, Clark, Dolson",1631083-1642785-1642802-202252-203828,WAS,196.0,2,3.0,-1.0,7.0,8.0,15.0,1.0,5.0,7.0,,,110.20408163265306,12.285714285714286,13.75,12.285714285714286,13.75,0.16666666666666666,0.4900583333333333,9.34,1.0,2.0,3.0,6.0,4.0,2.0,2.0,1.0,4.0,6.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,2.0,,,3.0,,,,0.3333333333333333,0.5,2.0,,,,,,1.0,,,,1.0,,2.0,,,,2.0,1.0,3.0,,,,,,,,,,,,0.16666666666666666,,1.0,1.0,1.0,,1.0,,1.0,,,,0.16666666666666666,,,,,,,24.1,2.0,,,,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,0.6631,,,0.3333333333333333,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1630134-1631022-1642792-1642802-202252,1611661322,"Sug Sutton, Shakira Austin, Kiki Iriafen, Lucy Olsen, Alysha Clark","Sutton, Austin, Iriafen, Olsen, Clark",1630134-1631022-1642792-1642802-202252,WAS,98.0,1,2.0,3.0,2.0,3.0,5.0,1.0,1.0,2.0,,,73.46938775510205,23.0,17.333333333333332,23.0,17.333333333333332,0.5,0.442075,13.8,,,1.0,5.0,2.0,1.0,2.0,,5.0,5.0,1.0,1.0,1.0,1.25,1.25,,,,,,,,2.0,,,,,0.5,,,,,,1.0,1.0,,,1.0,1.0,,,,,,2.0,,2.0,,,,,,,,,,1.0,1.0,0.5,,,1.0,1.0,,,,1.0,,1.0,1.0,0.5,,,,,,,23.4,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
1630134-1631022-1642802-202252-203828,1611661322,"Sug Sutton, Shakira Austin, Lucy Olsen, Alysha Clark, Stefanie Dolson","Sutton, Austin, Olsen, Clark, Dolson",1630134-1631022-1642802-202252-203828,WAS,10.0,1,,,1.0,,1.0,,,,,,144.0,10.0,,10.0,,,0.4242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2025,2025,False
