EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,FtPoints,Points,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Minutes,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGA,FG2M,SecondChanceFG2M,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChancePointsPct,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyFG2M,PenaltyPoints,Corner3Assists,LongMidRangeAssists,DeadBallTurnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyPointsPct,SecondChanceFtPoints,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFGM,AtRimAssists,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyFtPoints,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyArc3FGA,PenaltyFG3A,PenaltyTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,OffArc3ReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShootingFouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,Fg3aBlocked,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,BlockedShortMidRange,SecondChanceFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffAtRimReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceTurnovers,HeaveAttempts,Corner3PctBlocked,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,Charge Fouls Drawn,BlockedLongMidRange,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Transition Take Fouls,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Charge Fouls,BlockedCorner3,Transition Take Fouls Drawn,3SecondViolations,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1628899-1629479-1629481-1641652-1642784,1611661321,"Myisha Hines-Allen, Teaira McCowan, Arike Ogunbowale, Maddy Siegrist, Paige Bueckers","Hines-Allen, McCowan, Ogunbowale, Siegrist, Bueckers",1628899-1629479-1629481-1641652-1642784,DAL,18.0,1,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,80.0,18.0,18.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1628899-1629574-1641652-1641658-1642784,1611661321,"Myisha Hines-Allen, Li Yueru, Maddy Siegrist, Grace Berger, Paige Bueckers","Hines-Allen, Yueru, Siegrist, Berger, Bueckers",1628899-1629574-1641652-1641658-1642784,DAL,98.0,1,-1.0,4.0,9.0,,3.0,,,,3.0,0.5,132.24489795918367,11.75,11.5,,,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,10.2,10.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.4553,0.6446,0.5001,3.45,28.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1628899-1629481-1641649-1641650-1641658,1611661321,"Myisha Hines-Allen, Arike Ogunbowale, Diamond Miller, Haley Jones, Grace Berger","Hines-Allen, Ogunbowale, Miller, Jones, Berger",1628899-1629481-1641649-1641650-1641658,DAL,58.0,1,4.0,2.0,5.0,,4.0,3.0,,,2.0,0.6666666666666666,124.13793103448276,16.5,16.0,,,1.0,3.0,,1.0,,,,2.0,,,2.0,,1.0,,1.0,,,,,,1.0,,2.0,,1.0,,2.0,1.0,3.0,,,,,,,,0.6666666666666666,0.3333333333333333,,,,1.0,1.0,1.0,,,,8.333333333333334,8.333333333333334,,0.6666666666666666,,,,,,,0.3333333333333333,,0.4365333333333334,,,9.05,23.6,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1629479-1630097-1630112-1641652-1642784,1611661321,"Teaira McCowan, Kaila Charles, Tyasha Harris, Maddy Siegrist, Paige Bueckers","McCowan, Charles, Harris, Siegrist, Bueckers",1629479-1630097-1630112-1641652-1642784,DAL,267.0,2,-4.0,8.0,16.0,,5.0,3.0,2.0,1.0,5.0,0.5,86.29213483146067,17.25,17.25,0.2,0.25,4.0,8.0,1.0,,,,,2.0,,,3.0,1.0,1.0,9.0,,1.0,3.0,,,1.0,2.0,,5.0,,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.625,0.25,0.5,0.25,,1.0,0.4,,,,1.0,16.125,15.625,,0.5,,,,,,,0.25,,0.3768,,0.2582,14.0,23.7,0.125,,1.0,1.0,,,2.0,,,1.0,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,0.25,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1641650-1641652-1642784-1642793-1642808,1611661321,"Haley Jones, Maddy Siegrist, Paige Bueckers, Aziaha James, JJ Quinerly","Jones, Siegrist, Bueckers, James, Quinerly",1641650-1641652-1642784-1642793-1642808,DAL,175.0,1,-2.0,7.0,14.0,4.0,8.0,2.0,4.0,2.0,6.0,0.6666666666666666,115.2,12.142857142857142,12.142857142857142,0.3333333333333333,0.4,3.0,7.0,,1.0,,,,2.0,,1.0,3.0,,1.0,10.0,,,,1.0,,,,,,1.0,2.0,1.0,3.0,1.0,4.0,1.0,,2.0,,,,,0.5,0.25,0.5,0.5,1.0,1.0,0.75,0.5,,,1.0,12.857142857142858,12.714285714285714,,0.5,0.25,,,,,,0.25,,0.464775,,,12.833333333333334,24.6,,2.0,,2.0,,2.0,,4.0,,,,,,,,,0.6666666666666666,,,1.0,,,,,1.0,1.0,,,0.25,,,1.0,,,,,,1.0,1.0,1.0,,,,,,0.25,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1628899-1629481-1641652-1642784-1642793,1611661321,"Myisha Hines-Allen, Arike Ogunbowale, Maddy Siegrist, Paige Bueckers, Aziaha James","Hines-Allen, Ogunbowale, Siegrist, Bueckers, James",1628899-1629481-1641652-1642784-1642793,DAL,50.0,1,2.0,2.0,5.0,,2.0,,,,2.0,1.0,144.0,13.0,13.0,,,1.0,3.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,2.0,,2.0,,2.0,,2.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,1.0,8.0,8.0,1.0,,,,,,,,1.0,,0.6996,,,1.7,,,,,1.0,,,2.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1628899-1629481-1629574-1631019-1642808,1611661321,"Myisha Hines-Allen, Arike Ogunbowale, Li Yueru, NaLyssa Smith, JJ Quinerly","Hines-Allen, Ogunbowale, Yueru, Smith, Quinerly",1628899-1629481-1629574-1631019-1642808,DAL,9.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,160.0,9.0,9.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1628899-1629481-1630143-1641652-1642784,1611661321,"Myisha Hines-Allen, Arike Ogunbowale, Luisa Geiselsöder, Maddy Siegrist, Paige Bueckers","Hines-Allen, Ogunbowale, Geiselsöder, Siegrist, Bueckers",1628899-1629481-1630143-1641652-1642784,DAL,211.0,1,2.0,7.0,13.0,5.0,9.0,4.0,7.0,3.0,6.0,0.6428571428571429,88.72037914691943,17.285714285714285,17.285714285714285,0.5,0.6,4.0,6.0,7.0,1.0,3.0,1.0,3.0,,,1.0,3.0,,1.0,7.0,1.0,3.0,,1.0,,,1.0,,2.0,,3.0,,3.0,1.0,4.0,1.0,,1.0,7.0,,,,0.5,0.25,1.0,,,0.75,0.75,0.5,,,0.5,15.0,13.0,0.75,,0.25,,,,1.0,0.75,1.0,,0.6122375,,0.6122375,2.1666666666666665,26.9,1.0,,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,,1.0,,,0.5,1.0,0.6666666666666666,1.0,1.0,1.5,,1.0,,1.0,,,,,0.3333333333333333,6.0,,,,2.0,9.0,,,,2.0,,9.0,0.6666666666666666,0.5,0.6428571428571429,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,1.0,0.6666666666666666,0.6666666666666666,0.5,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1641650-1641652-1641658-1642784-1642808,1611661321,"Haley Jones, Maddy Siegrist, Grace Berger, Paige Bueckers, JJ Quinerly","Jones, Siegrist, Berger, Bueckers, Quinerly",1641650-1641652-1641658-1642784-1642808,DAL,35.0,1,-2.0,1.0,3.0,,,,,,,,123.42857142857142,5.0,5.0,,,1.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
1628899-1629481-1630096-1631019-1642784,1611661321,"Myisha Hines-Allen, Arike Ogunbowale, DiJonai Carrington, NaLyssa Smith, Paige Bueckers","Hines-Allen, Ogunbowale, Carrington, Smith, Bueckers",1628899-1629481-1630096-1631019-1642784,DAL,3390.0,6,2.0,120.0,237.0,31.0,127.0,30.0,36.0,17.0,108.0,0.5720720720720721,100.67256637168141,14.666666666666666,14.45,0.1574074074074074,0.2236842105263158,56.0,117.0,13.0,10.0,18.0,3.0,2.0,31.0,7.0,21.0,63.0,12.0,32.0,125.0,5.0,5.0,36.0,21.0,7.0,12.0,37.0,7.0,86.0,9.0,16.0,25.0,44.0,12.0,56.0,13.0,10.0,22.0,13.0,1.0,0.375,0.375,0.5052631578947369,0.3368421052631579,0.5909090909090909,0.7352941176470589,0.2727272727272727,0.6956521739130435,0.7192982456140351,0.23076923076923078,0.21052631578947367,0.875,0.6842105263157895,13.931623931623932,13.35897435897436,0.18947368421052632,0.3263157894736842,0.22105263157894736,0.3333333333333333,0.35,1.0,0.42857142857142855,0.2857142857142857,0.5263157894736842,0.3333333333333333,0.4872884210526316,0.56688,0.41477142857142857,8.330158730158729,24.3875,0.10833333333333334,12.0,11.0,30.0,4.0,19.0,50.0,10.0,4.0,25.0,11.0,3.0,3.0,2.0,0.8333333333333334,0.8928571428571429,0.47619047619047616,0.8,0.7857142857142857,0.8636363636363636,1.0,0.15789473684210525,0.16666666666666666,0.75,0.3870967741935484,0.42857142857142855,0.9166666666666666,0.11578947368421053,0.14960629921259844,9.0,6.0,14.0,5.0,2.0,14.0,5.0,4.0,9.0,26.0,1.0,14.0,0.4,0.2857142857142857,0.5833333333333334,0.9,0.14736842105263157,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.45454545454545453,0.45454545454545453,1.0,0.11023622047244094,8.0,3.0,3.0,2.0,3.0,2.0,0.25,0.5625,0.6666666666666666,12.0,10.0,0.6666666666666666,0.8,0.8333333333333334,10.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,0.15384615384615385,0.6666666666666666,0.5,0.2857142857142857,16.0,1.0,2.0,1.0,2.0,6.0,1.0,3.0,12.0,7.0,5.0,2.0,2.0,2.0,1.0,1.0,0.5,0.03125,0.09523809523809523,0.16666666666666666,0.0967741935483871,0.047619047619047616,0.5,0.06666666666666667,0.2857142857142857,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,True
