EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,LostBallOutOfBoundsTurnovers,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,HeaveAttempts,LongMidRangeAssists,FTDefRebounds,LostBallSteals,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Technical Free Throw Trips,DefAtRimReboundPct,SecondChanceShotQualityAvg,Travels,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,SelfOReb,StepOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,AtRimPctBlocked,Corner3PctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,Blocked3s,BlockedArc3,3SecondViolations,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,Charge Fouls Drawn,BlockedLongMidRange,PenaltyCorner3Accuracy,Transition Take Fouls,LongMidRangePctBlocked,Arc3PctBlocked,BlockedCorner3,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1629484-1630389-1631019-1642801-203833,1611661319,"Megan Gustafson, Dana Evans, NaLyssa Smith, Aaliyah Nye, Chelsea Gray","Gustafson, Evans, Smith, Nye, Gray",1629484-1630389-1631019-1642801-203833,LVA,336.0,3,6.0,-9.0,11.0,10.0,1.0,1.0,3.0,21,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,6.0,3.0,1.0,5.0,14.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.3333333333333333,0.2222222222222222,0.25,0.5,0.3333333333333333,1.0,0.6666666666666666,0.25,0.6666666666666666,0.5,0.42857142857142855,1.0,0.6666666666666666,1.0,90.0,1.0,17.454545454545453,14.4,17.0,14.4,0.2222222222222222,0.2222222222222222,0.5,0.5,0.2222222222222222,0.5,0.5,0.3333333333333333,1.0,0.5555555555555556,0.4773666666666666,0.58125,0.1,0.14285714285714285,0.2,8.799999999999999,26.366666666666664,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1629498-1642295-203833-204319-204329,1611661319,"Jackie Young, Elizabeth Kitley, Chelsea Gray, Jewell Loyd, Kiah Stokes","Young, Kitley, Gray, Loyd, Stokes",1629498-1642295-203833-204319-204329,LVA,639.0,1,11.0,-10.0,21.0,21.0,,,1.0,42,2.0,2.0,6.0,,,3.0,,4.0,8.0,6.0,2.0,16.0,26.0,,2.0,,4.0,3.0,1.0,,5.0,7.0,1.0,8.0,5.0,1.0,7.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,,0.5,0.5,0.5333333333333333,1.0,0.42857142857142855,0.7142857142857143,0.8333333333333334,,0.25,0.875,0.125,,,0.75,94.64788732394366,1.0,16.142857142857142,14.285714285714286,16.095238095238095,14.095238095238095,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.4,,,,0.21428571428571427,,0.5714285714285714,0.5082785714285715,,0.06666666666666667,0.1111111111111111,0.125,5.5625,24.383333333333336,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.125,0.16666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1627676-1630389-1631006-203833-204329,1611661319,"Tiffany Mitchell, Dana Evans, Kierstan Bell, Chelsea Gray, Kiah Stokes","Mitchell, Evans, Bell, Gray, Stokes",1627676-1630389-1631006-203833-204329,LVA,90.0,1,2.0,-7.0,2.0,2.0,,,,4,,,,,1.0,,,,1.0,,,,7.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,64.0,,22.0,23.0,22.0,23.0,,,,,1.0,,,,,,0.2948,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1630389-1631006-1642801-203833-204329,1611661319,"Dana Evans, Kierstan Bell, Aaliyah Nye, Chelsea Gray, Kiah Stokes","Evans, Bell, Nye, Gray, Stokes",1630389-1631006-1642801-203833-204329,LVA,428.0,4,7.0,-2.0,13.0,13.0,2.0,2.0,,26,,3.0,4.0,2.0,2.0,4.0,1.0,5.0,6.0,5.0,4.0,14.0,16.0,,,1.0,,3.0,,,1.0,4.0,,4.0,,,1.0,,3.0,5.0,3.0,5.0,,,,,,14.0,2.0,0.8333333333333334,0.45454545454545453,0.5384615384615384,,0.45454545454545453,,0.5,,,0.5,,,,1.0,87.47663551401868,,19.153846153846153,13.76923076923077,19.153846153846153,12.923076923076923,,0.36363636363636365,0.75,0.75,0.18181818181818182,1.0,1.0,0.36363636363636365,0.5,0.45454545454545453,0.4196,0.3573,0.08333333333333333,,,9.933333333333334,35.78,0.15384615384615385,,,,,1.0,,,,,10.0,,,,,5.0,,5.0,,,,3.0,10.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,0.5,,,,,,,1.0,0.09090909090909091,,,,,,,,,,,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1629484-1642801-203833-204319-204329,1611661319,"Megan Gustafson, Aaliyah Nye, Chelsea Gray, Jewell Loyd, Kiah Stokes","Gustafson, Nye, Gray, Loyd, Stokes",1629484-1642801-203833-204319-204329,LVA,71.0,1,1.0,-5.0,2.0,3.0,,,1.0,5,1.0,,1.0,,,,,,2.0,,1.0,1.0,6.0,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,0.5,,1.0,0.5,1.0,,,101.40845070422534,,22.5,8.666666666666666,19.5,8.666666666666666,0.5,0.5,,,,,,,,0.5,0.4803,,,,,7.75,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1627676-1628932-1630389-1642295-1642801,1611661319,"Tiffany Mitchell, A'ja Wilson, Dana Evans, Elizabeth Kitley, Aaliyah Nye","Mitchell, Wilson, Evans, Kitley, Nye",1627676-1628932-1630389-1642295-1642801,LVA,29.0,1,,,1.0,1.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3103448275862,,14.0,15.0,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1628932-1629498-1642801-203833-204319,1611661319,"A'ja Wilson, Jackie Young, Aaliyah Nye, Chelsea Gray, Jewell Loyd","Wilson, Young, Nye, Gray, Loyd",1628932-1629498-1642801-203833-204319,LVA,5246.0,22,87.0,68.0,181.0,172.0,58.0,25.0,20.0,353,23.0,33.0,56.0,9.0,18.0,39.0,12.0,59.0,97.0,62.0,55.0,239.0,171.0,3.0,35.0,14.0,48.0,38.0,17.0,9.0,33.0,66.0,26.0,92.0,14.0,5.0,24.0,1.0,16.0,40.0,54.0,62.0,19.0,12.0,7.0,12.0,6.0,204.0,56.0,0.6082474226804123,0.5786163522012578,0.6424731182795699,0.7608695652173914,0.389937106918239,0.5833333333333334,0.7021276595744681,0.24324324324324326,0.4594594594594595,0.7529411764705882,0.35135135135135137,0.17391304347826086,0.4090909090909091,0.7037037037037037,96.89668318719023,0.5,13.441988950276244,16.3546511627907,12.80110497237569,15.726744186046512,0.14465408805031446,0.3522012578616352,0.5892857142857143,0.6226415094339622,0.11320754716981132,0.5,0.5,0.24528301886792453,0.27906976744186046,0.5345911949685535,0.4696784810126582,0.4337059523809524,0.1206896551724138,0.17117117117117117,0.14644351464435146,7.941237113402061,24.904838709677417,0.32044198895027626,17.0,5.0,5.0,8.0,23.0,14.0,22.0,10.0,15.0,70.0,60.0,6.0,14.0,6.0,35.0,20.0,55.0,13.0,7.0,9.0,20.0,130.0,31.0,18.0,9.0,2.0,9.0,10.0,4.0,0.5932203389830508,0.625,0.9090909090909091,0.3548387096774194,0.36065573770491804,0.6666666666666666,0.7272727272727273,0.061855670103092786,0.05357142857142857,0.8157894736842105,0.5333333333333333,0.8333333333333334,0.8064516129032258,0.7391304347826086,0.85,0.5294117647058824,0.6060606060606061,0.14465408805031446,0.34782608695652173,0.36363636363636365,0.875,0.358974358974359,0.358974358974359,0.9285714285714286,0.22727272727272727,1.0,0.3684210526315789,,20.0,29.0,29.0,81.0,1.0,6.0,2.0,9.0,2.0,12.0,78.0,9.0,0.6896551724137931,0.6046511627906976,0.6864406779661016,1.0,0.8571428571428571,0.6666666666666666,0.031746031746031744,0.3389121338912134,,0.5,0.46285,2.0,6.0,8.0,2.0,4.0,7.0,4.0,4.0,7.0,4.0,6.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,0.5714285714285714,0.2857142857142857,0.016129032258064516,0.13043478260869565,0.043478260869565216,0.6666666666666666,0.125,0.029850746268656716,0.4,0.3181818181818182,0.5714285714285714,1.0,0.18604651162790697,0.75,0.046511627906976744,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1629484-1629498-1630389-1642801-204319,1611661319,"Megan Gustafson, Jackie Young, Dana Evans, Aaliyah Nye, Jewell Loyd","Gustafson, Young, Evans, Nye, Loyd",1629484-1629498-1630389-1642801-204319,LVA,177.0,2,3.0,-3.0,6.0,5.0,3.0,,1.0,11,1.0,,2.0,,,2.0,,,3.0,2.0,,6.0,9.0,,,,,2.0,,,,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,6.0,3.0,,0.6,0.6,,0.4,,,,,1.0,,,,,89.4915254237288,,19.333333333333332,12.2,16.666666666666668,12.2,0.2,0.4,,,,,,0.4,,0.6,0.40426,0.4035666666666667,,,,9.066666666666666,24.35,0.5,,,1.0,,,2.0,2.0,,1.0,,3.0,,2.0,,,1.0,1.0,1.0,,,,3.0,1.0,,,,,2.0,,,,0.5,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,0.5,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1630389-1631006-1631019-1642801-204319,1611661319,"Dana Evans, Kierstan Bell, NaLyssa Smith, Aaliyah Nye, Jewell Loyd","Evans, Bell, Smith, Nye, Loyd",1630389-1631006-1631019-1642801-204319,LVA,377.0,1,6.0,-6.0,12.0,13.0,12.0,7.0,2.0,25,,,3.0,,1.0,6.0,6.0,,4.0,7.0,2.0,8.0,14.0,1.0,1.0,7.0,,6.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,,1.0,,3.0,3.0,4.0,4.0,,,,,,7.0,12.0,,0.2727272727272727,0.3076923076923077,0.25,0.6363636363636364,1.0,0.5,0.25,0.2,0.75,0.2222222222222222,0.3333333333333333,0.25,,95.49071618037135,,17.5,12.846153846153847,16.75,11.923076923076923,,0.2727272727272727,,,0.09090909090909091,,,0.5454545454545454,0.6,0.6363636363636364,0.48325,0.48411499999999996,,,0.125,9.925,24.714285714285715,1.0,,,,,1.0,2.0,2.0,,1.0,,6.0,,2.0,,,2.0,2.0,2.0,,,,6.0,2.0,,,,1.0,,,,,1.0,0.2857142857142857,0.2857142857142857,,,,,1.0,,,1.0,,,,,0.09090909090909091,,,,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,,,3.0,2.0,8.0,,,,,,2.0,8.0,2.0,,0.3,0.3333333333333333,,,,,1.0,,1.0,,,,,1.0,,,2.0,,,2.0,,,1.0,,1.0,,,,,,,,,,,0.2857142857142857,,,,,,0.1111111111111111,,,,,,,0.1,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
1629498-1630389-1631019-204319-204329,1611661319,"Jackie Young, Dana Evans, NaLyssa Smith, Jewell Loyd, Kiah Stokes","Young, Evans, Smith, Loyd, Stokes",1629498-1630389-1631019-204319-204329,LVA,38.0,1,1.0,,1.0,2.0,,2.0,,3,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6842105263158,,27.0,5.5,27.0,5.5,,1.0,,,,,,,,,0.3067,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,False
