EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,ShortMidRangeAssists,NonShootingPenaltyNonTakeFouls,ShortMidRangePctAssisted,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,Fg2aBlocked,BlockedShortMidRange,SecondChanceFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimAccuracy,PenaltyOffPoss,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Loose Ball Fouls,PenaltyFtPoints,PenaltyArc3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,HeaveAttempts,SecondChanceFtPoints,Fg3aBlocked,SelfOReb,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,Defensive 3 Seconds Violations,OffCorner3ReboundPct,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1627701-1628508-1630097-1631007-1642767,1611661331,"Temi Fágbénlé, Cecilia Zandalasini, Kaila Charles, Veronica Burton, Janelle Salaün","Fágbénlé, Zandalasini, Charles, Burton, Salaün",1627701-1628508-1630097-1631007-1642767,GSV,575.0,1,10.0,20.0,19.0,1.0,1.0,39,3.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,8.0,2.0,6.0,8.0,20.0,20.0,1.0,1.0,3.0,4.0,2.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,10.0,1.0,4.0,4.0,8.0,1.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,7.0,1.0,6.0,1.0,9.0,3.0,1.0,17.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.375,0.42857142857142855,1.5,0.5555555555555556,1.5,0.42857142857142855,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,97.6695652173913,14.65,14.842105263157896,14.45,14.842105263157896,0.2857142857142857,0.75,0.75,0.6666666666666666,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.5,0.5,1.0,0.2857142857142857,0.25,0.25,1.0,1.0,1.0,1.0,0.7142857142857143,0.25,0.5033214285714286,0.5604,0.2222222222222222,0.2727272727272727,0.14285714285714285,0.15,7.525,23.883333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1627701-1628508-1631007-1642324-1642767,1611661331,"Temi Fágbénlé, Cecilia Zandalasini, Veronica Burton, Kate Martin, Janelle Salaün","Fágbénlé, Zandalasini, Burton, Martin, Salaün",1627701-1628508-1631007-1642324-1642767,GSV,-592.0,1,-10.0,22.0,23.0,12.0,1.0,45,4.0,8.0,1.0,2.0,,,,,3.0,6.0,6.0,11.0,3.0,6.0,2.0,23.0,30.0,,1.0,,8.0,4.0,9.0,6.0,3.0,4.0,3.0,7.0,3.0,,3.0,17.0,,,4.0,6.0,2.0,8.0,2.0,2.0,,5.0,4.0,1.0,6.0,4.0,4.0,,4.0,1.0,3.0,1.0,,23.0,0.6666666666666666,0.6666666666666666,1.0,0.5,,0.5,0.5454545454545454,0.6176470588235294,,0.6388888888888888,,0.35294117647058826,0.8333333333333334,,0.6666666666666666,,0.4444444444444444,0.6,,1.0,,,,16.072727272727274,-41.11304347826087,15.618181818181819,-41.517391304347825,0.47058823529411764,0.5,0.5,0.75,0.058823529411764705,0.11764705882352941,,,,,0.35294117647058826,0.5,0.5,1.0,,,,0.8235294117647058,0.5,0.5527117647058823,,0.05555555555555555,0.08333333333333333,,,5.263636363636364,23.71666666666667,-7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1627701-1630097-1631007-1642324-1642767,1611661331,"Temi Fágbénlé, Kaila Charles, Veronica Burton, Kate Martin, Janelle Salaün","Fágbénlé, Charles, Burton, Martin, Salaün",1627701-1630097-1631007-1642324-1642767,GSV,12.0,1,,,1.0,,,1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1630097-1630387-1631007,1611661331,"Cecilia Zandalasini, Monique Billings, Kaila Charles, Iliana Rupert, Veronica Burton","Zandalasini, Billings, Charles, Rupert, Burton",1628508-1628881-1630097-1630387-1631007,GSV,55.0,1,1.0,2.0,2.0,2.0,,4,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,2.0,3.0,,,,2.0,,,1.0,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,,1.0,0.5,,0.5,,0.5,,,,,,,,,,,104.72727272727273,16.5,11.0,16.5,11.0,,,,,0.5,,,,,,0.5,,,,,,,0.5,,0.441225,,,,,,7.1,25.2,-1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1630097-1630387-1642304,1611661331,"Cecilia Zandalasini, Monique Billings, Kaila Charles, Iliana Rupert, Carla Leite","Zandalasini, Billings, Charles, Rupert, Leite",1628508-1628881-1630097-1630387-1642304,GSV,119.0,1,2.0,3.0,4.0,,1.0,7,,2.0,1.0,,,,,,,,,3.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,22.0,13.25,20.666666666666668,11.75,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,,,,,0.6666666666666666,,0.4423333333333333,0.5145,,,,,5.7,,-7.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1630097-1631007-1642767,1611661331,"Cecilia Zandalasini, Monique Billings, Kaila Charles, Veronica Burton, Janelle Salaün","Zandalasini, Billings, Charles, Burton, Salaün",1628508-1628881-1630097-1631007-1642767,GSV,456.0,2,8.0,13.0,14.0,3.0,1.0,27,2.0,4.0,3.0,2.0,1.0,1.0,,,1.0,1.0,3.0,9.0,2.0,2.0,,12.0,13.0,,,2.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,10.0,,1.0,3.0,4.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,,3.0,,2.0,,1.0,,,,,10.0,0.6666666666666666,1.0,1.0,1.0,,1.0,0.3333333333333333,0.5454545454545454,1.0,0.5454545454545454,1.0,0.18181818181818182,1.0,,0.6,0.5,0.5714285714285714,,0.3333333333333333,1.0,0.5,,85.26315789473685,18.46153846153846,15.428571428571429,18.46153846153846,14.714285714285714,0.36363636363636365,0.5,0.5,0.5,0.2727272727272727,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,,,,0.5454545454545454,1.0,0.4992954545454546,0.7042,,,,0.16666666666666666,7.622222222222222,24.85,-1.0,,1.0,,1.0,,,1.0,,,,2.0,,2.0,1.0,,,0.16666666666666666,,0.5,,,0.5,0.5,1.0,,,,,1.0,1.0,1.0,0.16666666666666666,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.1111111111111111,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1630387-1631007-1642324,1611661331,"Cecilia Zandalasini, Monique Billings, Iliana Rupert, Veronica Burton, Kate Martin","Zandalasini, Billings, Rupert, Burton, Martin",1628508-1628881-1630387-1631007-1642324,GSV,54.0,1,1.0,2.0,3.0,3.0,,5,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,5.0,2.0,,,,2.0,,3.0,,,1.0,1.0,2.0,,1.0,,5.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.25,,1.25,,0.5,,,,,,,,,,,133.33333333333334,16.0,7.333333333333333,16.0,7.333333333333333,,,,,0.5,,0.5,1.0,1.0,1.0,,,,,,,,0.5,,0.350275,,,,,,5.9,22.4,3.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.25,1.25,0.5,1.0,0.350275,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1630387-1631007-1642767,1611661331,"Cecilia Zandalasini, Monique Billings, Iliana Rupert, Veronica Burton, Janelle Salaün","Zandalasini, Billings, Rupert, Burton, Salaün",1628508-1628881-1630387-1631007-1642767,GSV,395.0,1,7.0,14.0,10.0,3.0,1.0,24,3.0,3.0,2.0,2.0,2.0,2.0,,,,3.0,4.0,7.0,2.0,5.0,,14.0,6.0,,,,8.0,,6.0,3.0,,4.0,2.0,6.0,,2.0,3.0,14.0,,2.0,2.0,4.0,1.0,5.0,1.0,1.0,,,,5.0,5.0,1.0,3.0,,4.0,1.0,,,,14.0,1.0,1.0,1.0,0.4,,0.4,0.5714285714285714,0.5833333333333334,,0.5833333333333334,,0.4166666666666667,,,1.0,0.5,0.6666666666666666,,1.0,1.0,0.5,,87.49367088607595,14.5,19.2,14.357142857142858,17.9,0.25,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.25,,,,,,,0.6666666666666666,,0.46828333333333333,,,,,,8.2,24.34,8.0,,1.0,,1.0,,,,,1.0,,,,,,,,0.3333333333333333,,,,,0.5,0.5,1.0,,,,,,,1.0,0.5,0.5,,,,,1.0,,,0.14285714285714285,0.5,,,10.0,2.0,2.0,3.0,4.0,2.0,4.0,12.0,12.0,10.0,0.5,0.75,0.75,0.75,0.25,1.0,0.480925,0.8571428571428571,0.7142857142857143,2.0,2.0,2.0,3.0,3.0,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1630387-1642304-1642324,1611661331,"Cecilia Zandalasini, Monique Billings, Iliana Rupert, Carla Leite, Kate Martin","Zandalasini, Billings, Rupert, Leite, Martin",1628508-1628881-1630387-1642304-1642324,GSV,128.0,1,2.0,4.0,3.0,,,7,,,,1.0,,,,,1.0,2.0,,1.0,1.0,2.0,,3.0,2.0,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,3.0,,2.0,,2.0,,2.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,3.0,,,1.0,0.5,,0.5,,0.5,,0.5,,0.6666666666666666,1.0,,,1.0,0.6666666666666666,,,,1.0,,78.75,22.25,13.0,22.25,13.0,,,,,,0.3333333333333333,,,,,0.6666666666666666,0.5,0.5,1.0,,,,0.6666666666666666,0.5,0.43095,,,,,,19.5,25.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1628881-1631007-1642304-1642767,1611661331,"Cecilia Zandalasini, Monique Billings, Veronica Burton, Carla Leite, Janelle Salaün","Zandalasini, Billings, Burton, Leite, Salaün",1628508-1628881-1631007-1642304-1642767,GSV,122.0,1,2.0,4.0,4.0,4.0,1.0,8,,,1.0,,,,,,,2.0,,1.0,,2.0,2.0,2.0,6.0,,1.0,,,,,2.0,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,,3.0,,2.0,1.0,,2.0,,,,,,,,,,0.25,,0.6666666666666666,1.0,,,1.0,1.0,,,,1.0,,94.42622950819673,20.5,10.0,18.25,10.0,,,,,0.3333333333333333,,,,,,0.6666666666666666,,,,,,,0.6666666666666666,,0.47846666666666665,0.51795,0.25,0.5,,,10.6,25.85,-4.0,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,4.0,,,,1.0,,2.0,2.0,2.0,4.0,,,,0.25,,,0.47846666666666665,1.0,1.0,,,2.0,,1.0,,,0.6666666666666666,,2.0,,,,,,,,,,,,,,,,1611661331,2025,2025,False
