EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,FtPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChancePoints,PenaltyFtPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LostBallSteals,Travels,OffLongMidRangeReboundPct,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3FGM,Corner3FGA,SecondChanceFtPoints,Corner3Assists,FTDefRebounds,LostBallTurnovers,DefFTReboundPct,OffAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls Drawn,SecondChanceCorner3FGA,SecondChanceFG3A,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,PenaltyCorner3FGA,OffCorner3ReboundPct,PenaltyCorner3Frequency,HeaveAttempts,Charge Fouls,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Technical Free Throw Trips,Charge Fouls Drawn,PtsUnassisted3s,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1627676-1630100-1630458-202650-202658,1611661325,"Tiffany Mitchell, Lauren Cox, Aaliyah Wilson, Jantel Lavender, Danielle Robinson","Mitchell, Cox, Wilson, Lavender, Robinson",1627676-1630100-1630458-202650-202658,IND,74.0,1,1.0,-2.0,3.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116.75675675675676,11.333333333333334,13.333333333333334,11.333333333333334,13.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.5176,0.5176,1.0,3.1,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1628909-1629479-1630100-1630458-202658,1611661325,"Kelsey Mitchell, Teaira McCowan, Lauren Cox, Aaliyah Wilson, Danielle Robinson","Mitchell, McCowan, Cox, Wilson, Robinson",1628909-1629479-1630100-1630458-202658,IND,77.0,1,1.0,-1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,,,,74.8051948051948,14.5,24.0,14.5,15.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5425,0.5425,0.6666666666666666,2.4,0.5,1.0,1.0,1.0,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1628263-1628927-1630043-1630100-1630438,1611661325,"Lindsay Allen, Victoria Vivians, Bernadett Hatar, Lauren Cox, Kysre Gondrezick","Allen, Vivians, Hatar, Cox, Gondrezick",1628263-1628927-1630043-1630100-1630438,IND,99.0,1,2.0,1.0,3.0,3.0,3.0,6.0,,,,,,1.0,3.0,2.0,,1.0,3.0,,,1.0,2.0,,,,,1.0,1.0,3.0,3.0,3.0,,,0.375,0.375,0.375,0.375,,1.0,,87.27272727272728,15.666666666666666,17.333333333333332,11.666666666666666,17.333333333333332,,,,,,0.75,0.458375,0.458375,1.0,10.2,1.0,3.0,,,,,,,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.3333333333333333,25.46666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1627676-1628263-1629479-1630438-202638,1611661325,"Tiffany Mitchell, Lindsay Allen, Teaira McCowan, Kysre Gondrezick, Jessica Breland","Mitchell, Allen, McCowan, Gondrezick, Breland",1627676-1628263-1629479-1630438-202638,IND,698.0,5,12.0,,22.0,21.0,6.0,43.0,5.0,7.0,1.0,2.0,9.0,15.0,23.0,23.0,2.0,4.0,7.0,8.0,7.0,8.0,12.0,,3.0,4.0,,2.0,8.0,21.0,7.0,6.0,0.6,0.5,0.5,0.4,0.5476190476190477,0.5,0.6363636363636364,0.5714285714285714,0.6666666666666666,88.71060171919771,15.772727272727273,16.714285714285715,15.636363636363637,14.571428571428571,0.3888888888888889,0.7142857142857143,1.0,0.4,0.5,0.5555555555555556,0.46576388888888887,0.52362,0.30434782608695654,7.306666666666667,0.2727272727272727,2.0,5.0,7.0,6.0,1.0,0.05263157894736842,0.0625,3.0,7.0,,3.0,,1.0,,3.0,2.0,,1.0,,3.0,,,5.0,,10.0,2.0,1.0,4.0,,,,,,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.3333333333333333,,0.3888888888888889,0.16666666666666666,,,,0.2,,,24.400000000000002,1.0,2.0,4.0,1.0,1.0,2.0,3.0,10.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,5.0,2.0,1.0,2.0,0.5555555555555556,0.625,0.5,0.5,0.5,0.13333333333333333,0.2857142857142857,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6,0.4,0.6,0.5714285714285714,0.5714285714285714,0.5,0.05555555555555555,1.0,0.5,0.6547,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1627676-1628263-1629479-1630438-202650,1611661325,"Tiffany Mitchell, Lindsay Allen, Teaira McCowan, Kysre Gondrezick, Jantel Lavender","Mitchell, Allen, McCowan, Gondrezick, Lavender",1627676-1628263-1629479-1630438-202650,IND,45.0,1,1.0,2.0,2.0,1.0,,3.0,,,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,0.5,,0.5,,1.0,1.0,1.0,96.0,15.5,14.0,15.5,14.0,,,,,,0.5,0.31065,,,16.7,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,2.0,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,26.8,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1628909-1630043-1630458-202650-202658,1611661325,"Kelsey Mitchell, Bernadett Hatar, Aaliyah Wilson, Jantel Lavender, Danielle Robinson","Mitchell, Hatar, Wilson, Lavender, Robinson",1628909-1630043-1630458-202650-202658,IND,51.0,1,1.0,,2.0,2.0,,4.0,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,0.5,,112.94117647058823,17.0,8.5,17.0,6.0,,,,,,1.0,0.57825,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,0.5,1.0,1.0,1.0,0.5,,,1.0,,,,,,,24.1,,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1628909-1628927-1630043-202638-202658,1611661325,"Kelsey Mitchell, Victoria Vivians, Bernadett Hatar, Jessica Breland, Danielle Robinson","Mitchell, Vivians, Hatar, Breland, Robinson",1628909-1628927-1630043-202638-202658,IND,286.0,3,5.0,,11.0,10.0,,21.0,1.0,2.0,,,3.0,6.0,10.0,10.0,,,,6.0,4.0,5.0,6.0,2.0,4.0,4.0,,2.0,3.0,8.0,,,0.5,,0.6428571428571429,,0.625,,0.8,0.8333333333333334,1.0,105.73426573426573,13.727272727272727,13.5,13.727272727272727,13.5,0.2857142857142857,0.5,0.5,,,0.42857142857142855,0.49635714285714283,,,9.65,,,1.0,2.0,2.0,1.0,0.125,0.14285714285714285,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,,1.0,0.14285714285714285,1.0,,0.3333333333333333,,1.0,,0.2857142857142857,0.14285714285714285,1.0,1.0,1.0,,,1.0,26.5,1.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,0.3333333333333333,,1.0,0.5,,,0.5,0.5,,0.2857142857142857,1.0,1.0,0.6679,0.2,1.0,,0.5,0.5,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1627676-1628263-1628909-1629479-1630437,1611661325,"Tiffany Mitchell, Lindsay Allen, Kelsey Mitchell, Teaira McCowan, Chelsey Perry","Mitchell, Allen, Mitchell, McCowan, Perry",1627676-1628263-1628909-1629479-1630437,IND,350.0,3,6.0,-1.0,9.0,10.0,2.0,19.0,1.0,2.0,,,2.0,6.0,8.0,9.0,,,4.0,2.0,2.0,4.0,4.0,,,,,1.0,2.0,8.0,4.0,2.0,0.3333333333333333,,0.2857142857142857,,0.4444444444444444,1.0,1.0,0.8,1.0,78.17142857142858,18.333333333333332,18.5,18.333333333333332,17.4,0.2857142857142857,0.5,0.5,,,0.42857142857142855,0.4931571428571429,,0.5,7.933333333333334,0.2222222222222222,4.0,4.0,4.0,4.0,1.0,0.125,0.14285714285714285,,2.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,2.0,,2.0,,,,,,,0.14285714285714285,0.6666666666666666,,,,1.0,,0.2857142857142857,0.14285714285714285,,,,,,,23.0,,,,2.0,,,4.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,0.5,0.5,,,,0.16666666666666666,,,,,,1.0,,1.0,,,,0.2857142857142857,,,,,1.0,,0.5,0.5,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1628909-1628927-202638-202650-202658,1611661325,"Kelsey Mitchell, Victoria Vivians, Jessica Breland, Jantel Lavender, Danielle Robinson","Mitchell, Vivians, Breland, Lavender, Robinson",1628909-1628927-202638-202650-202658,IND,552.0,4,9.0,-11.0,19.0,18.0,8.0,37.0,2.0,4.0,,,5.0,10.0,15.0,26.0,1.0,2.0,2.0,6.0,3.0,5.0,8.0,,2.0,7.0,4.0,2.0,4.0,9.0,2.0,8.0,0.5,0.5,0.43333333333333335,0.25,0.46875,0.25,0.5,0.4444444444444444,,96.5217391304348,16.526315789473685,13.222222222222221,16.157894736842106,11.555555555555555,0.26666666666666666,0.5,0.5,,,0.6,0.45332666666666666,0.3772625,0.13333333333333333,9.74,0.42105263157894735,2.0,2.0,2.0,2.0,1.0,0.0625,0.09090909090909091,3.0,2.0,,4.0,,2.0,1.0,5.0,2.0,,2.0,3.0,4.0,,1.0,3.0,,7.0,1.0,1.0,3.0,1.0,1.0,0.2,,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5,0.14285714285714285,0.13333333333333333,0.26666666666666666,,,,0.5,,,25.9,1.0,1.0,,4.0,2.0,6.0,,4.0,2.0,,2.0,,,2.0,,,5.0,3.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,0.4,0.5,1.0,1.0,1.0,,,0.7142857142857143,0.5,,0.6666666666666666,0.3333333333333333,1.0,,,,,0.26666666666666666,0.5,1.0,0.5081,0.4,3.0,2.0,0.75,0.75,0.6666666666666666,,1.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.06666666666666667,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
1627676-1628263-1630043-1630100-1630438,1611661325,"Tiffany Mitchell, Lindsay Allen, Bernadett Hatar, Lauren Cox, Kysre Gondrezick","Mitchell, Allen, Hatar, Cox, Gondrezick",1627676-1628263-1630043-1630100-1630438,IND,65.0,1,1.0,-4.0,2.0,3.0,2.0,5.0,,,,,1.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,110.76923076923077,17.5,10.0,17.5,9.0,,,,,,,0.3492,0.3492,1.0,6.4,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2021,2021,False
