EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,FtPoints,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallTurnovers,PenaltyTurnovers,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PenaltyCorner3Frequency,BlockedLongMidRange,Travels,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,LongMidRangeFGM,SecondChanceFtPoints,ShortMidRangeAssists,LongMidRangeAssists,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,FTDefRebounds,SecondChanceTurnovers,DefFTReboundPct,PenaltyFtPoints,NonShootingFoulsDrawn,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,team_id,year,season,team_vs
1627669-1628277-1629481-1630093-203866,1611661321,"Moriah Jefferson, Allisha Gray, Arike Ogunbowale, Bella Alarie, Kayla Thornton","Jefferson, Gray, Ogunbowale, Alarie, Thornton",1627669-1628277-1629481-1630093-203866,DAL,244.0,1,4,1.0,8,8,1.0,16,5.0,6.0,2.0,5.0,8.0,10.0,9.0,1.0,8.0,2.0,1.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,2,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.8,0.8,0.625,0.625,0.625,0.125,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,1.0,1.0,0.3333333333333333,94.42622950819673,1.0,13.125,17.375,12.125,15.625,0.75,0.8333333333333334,0.8333333333333334,0.8,0.25,0.75,0.5950125,0.4788,4.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1627669-1628277-1629481-1630149-203866,1611661321,"Moriah Jefferson, Allisha Gray, Arike Ogunbowale, Satou Sabally, Kayla Thornton","Jefferson, Gray, Ogunbowale, Sabally, Thornton",1627669-1628277-1629481-1630149-203866,DAL,237.0,1,4,7.0,6,7,1.0,13,2.0,3.0,1.0,3.0,4.0,9.0,2.0,2.0,2.0,4.0,,1.0,2.0,1.0,5.0,1.0,1.0,2.0,3,3.0,6,,,1.0,2.0,,,,,,7.0,0.3333333333333333,0.5,0.75,0.5625,0.5625,,,0.6666666666666666,1.0,1.0,0.75,0.75,1.0,1.0,,78.9873417721519,,15.5,20.571428571428573,15.166666666666666,18.428571428571427,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,0.875,0.568675,0.6883,2.55,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,0.25,1.0,1.0,0.125,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.2222222222222222,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1627669-1628277-1629481-1630149-204330,1611661321,"Moriah Jefferson, Allisha Gray, Arike Ogunbowale, Satou Sabally, Isabelle Harrison","Jefferson, Gray, Ogunbowale, Sabally, Harrison",1627669-1628277-1629481-1630149-204330,DAL,498.0,1,8,-5.0,14,15,1.0,29,4.0,5.0,4.0,4.0,9.0,14.0,19.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,,2.0,2.0,4,1.0,5,1.0,,2.0,5.0,,1.0,,1.0,1.0,14.0,0.5,0.5,0.4444444444444444,0.4583333333333333,0.5,0.1111111111111111,0.25,1.0,,0.6666666666666666,0.8,0.14285714285714285,,,1.0,83.85542168674698,1.0,18.857142857142858,15.6,18.642857142857142,14.933333333333334,0.4166666666666667,0.8,0.8,0.5,0.3333333333333333,0.6666666666666666,0.5175083333333333,,4.266666666666667,,1.0,,,1.0,3.0,1.0,3.0,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,0.25,0.5,0.5,0.5,,0.5,,,,,0.25,0.3333333333333333,0.3333333333333333,,1.0,,0.3333333333333333,,23.933333333333334,3.0,3.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,0.21428571428571427,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1627669-1628277-1629481-1630386-204330,1611661321,"Moriah Jefferson, Allisha Gray, Arike Ogunbowale, Awak Kuier, Isabelle Harrison","Jefferson, Gray, Ogunbowale, Kuier, Harrison",1627669-1628277-1629481-1630386-204330,DAL,336.0,1,6,-2.0,12,11,3.0,23,2.0,8.0,2.0,2.0,11.0,9.0,11.0,4.0,2.0,2.0,,1.0,2.0,1.0,5.0,4.0,1.0,3.0,4,4.0,8,,,,3.0,,,,,,7.0,0.5,1.0,0.18181818181818182,0.23333333333333334,0.28125,,,1.0,0.4444444444444444,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,98.57142857142858,,18.416666666666668,10.454545454545455,17.5,10.454545454545455,0.5333333333333333,0.25,0.25,0.5,0.13333333333333333,0.8,0.56654,0.6473,4.0636363636363635,1.0,3.0,,,1.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,,1.0,2.0,2.0,,,1.0,2.0,,,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.26666666666666666,,,,,,0.08333333333333333,,,,0.26666666666666666,0.25,0.25,1.0,0.75,0.3333333333333333,0.25,0.2222222222222222,24.525,2.0,,,2.0,,1.0,,1.0,1.0,0.0625,0.08333333333333333,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,0.3333333333333333,0.625,0.625,0.06666666666666667,0.75,0.3333333333333333,0.25,1.0,0.552,0.5555555555555556,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1627669-1628277-1629481-203866-204330,1611661321,"Moriah Jefferson, Allisha Gray, Arike Ogunbowale, Kayla Thornton, Isabelle Harrison","Jefferson, Gray, Ogunbowale, Thornton, Harrison",1627669-1628277-1629481-203866-204330,DAL,50.0,1,1,2.0,3,3,,6,1.0,1.0,,1.0,1.0,2.0,,,2.0,,,1.0,1.0,1.0,2.0,,,2.0,2,,2,,,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,172.79999999999998,,5.0,11.666666666666666,5.0,11.666666666666666,1.0,1.0,1.0,1.0,,1.0,0.8487,,1.3,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,0.8487,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1627669-1628277-1629497-1630149-204330,1611661321,"Moriah Jefferson, Allisha Gray, Marina Mabrey, Satou Sabally, Isabelle Harrison","Jefferson, Gray, Mabrey, Sabally, Harrison",1627669-1628277-1629497-1630149-204330,DAL,99.0,1,2,-2.0,3,2,2.0,5,,,,,1.0,,2.0,1.0,,,,,,,,,1.0,,1,2.0,3,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.4,,,1.0,72.72727272727273,,25.0,12.0,20.333333333333332,12.0,,,,,,0.8,0.39829,,14.7,,,,1.0,,3.0,,4.0,,,,,3.0,,,,2.0,1.0,,,,,,,,,,,,,,,,0.8,,0.5,0.6666666666666666,,,0.2,,,0.2,0.6,,,,,,,,24.25,,,,,,,,,,,,3.0,2.0,,,1.0,,3.0,,1.0,,4.0,,,3.0,,,,,0.2,,,0.6,,0.39829,,1.0,,,1.0,1.0,1.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1627669-1629481-1629497-203866-204330,1611661321,"Moriah Jefferson, Arike Ogunbowale, Marina Mabrey, Kayla Thornton, Isabelle Harrison","Jefferson, Ogunbowale, Mabrey, Thornton, Harrison",1627669-1629481-1629497-203866-204330,DAL,51.0,1,1,,1,2,,3,,,,,,,,,,,,,,,,,,2.0,2,,2,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,84.70588235294117,1.0,15.0,18.0,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1628277-1629481-1629497-1630149-203866,1611661321,"Allisha Gray, Arike Ogunbowale, Marina Mabrey, Satou Sabally, Kayla Thornton","Gray, Ogunbowale, Mabrey, Sabally, Thornton",1628277-1629481-1629497-1630149-203866,DAL,164.0,1,3,1.0,5,5,2.0,10,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,,3.0,3,2.0,5,3.0,,3.0,,,,,,,,0.5,0.5,0.6666666666666666,0.5,0.5,,,0.75,1.0,,0.6,1.0,,1.0,,87.80487804878048,,10.4,22.4,7.8,19.8,0.25,1.0,1.0,1.0,0.25,0.5,0.4578375,0.6019,12.033333333333333,1.0,1.0,1.0,,,1.0,,1.0,2.0,4.0,,,1.0,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,0.25,,1.0,1.0,,,1.0,1.0,1.0,,0.25,,,,0.5,1.0,,1.0,24.3,,,2.0,,,,,,,,,3.0,,1.0,1.0,1.0,,1.0,2.0,3.0,,1.0,4.0,4.0,3.0,,0.6666666666666666,0.5,0.5,0.25,0.25,1.0,0.25,,0.4578375,1.0,0.6,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
1628277-1629481-1629497-1630149-204330,1611661321,"Allisha Gray, Arike Ogunbowale, Marina Mabrey, Satou Sabally, Isabelle Harrison","Gray, Ogunbowale, Mabrey, Sabally, Harrison",1628277-1629481-1629497-1630149-204330,DAL,79.0,1,1,7.0,4,3,1.0,7,1.0,1.0,1.0,3.0,3.0,7.0,,1.0,6.0,,,3.0,3.0,1.0,6.0,,,3.0,3,,3,,,1.0,1.0,,,,,,4.0,1.0,1.0,1.0,1.0,1.1666666666666667,,,0.75,,,0.75,,,1.0,,127.59493670886076,,4.75,20.0,3.25,18.666666666666668,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4949333333333333,0.6069,8.433333333333334,1.0,1.0,1.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.5,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,0.42857142857142855,,1.0,,,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1611661321,2021,2021,True
1628277-1629481-1629497-1630386-204330,1611661321,"Allisha Gray, Arike Ogunbowale, Marina Mabrey, Awak Kuier, Isabelle Harrison","Gray, Ogunbowale, Mabrey, Kuier, Harrison",1628277-1629481-1629497-1630386-204330,DAL,99.0,1,2,3.0,3,3,,6,2.0,2.0,,2.0,2.0,6.0,3.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,1,,1,,,,1.0,,,,,,6.0,0.5,0.5,1.0,1.0,1.0,,,,,0.5,0.3333333333333333,,,,0.5,87.27272727272728,,10.666666666666666,22.333333333333332,10.666666666666666,18.666666666666668,1.0,1.0,1.0,0.5,,1.0,0.6847,,1.4,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2021,2021,True
