EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,PtsUnassisted2s,Fg2Pct,EfgPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,LostBallTurnovers,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SecondChancePointsPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Fg2aBlocked,Fg3aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Clear Path Fouls,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFg2Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallSteals,PenaltyAtRimFGM,PenaltyAtRimAccuracy,Loose Ball Fouls,SecondChanceFtPoints,StepOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,BlockedLongMidRange,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,OffCorner3ReboundPct,team_id,year,season,team_vs
100940-1628915-1629482-1629488-201913,1611661317,"Diana Taurasi, Kia Nurse, Sophie Cunningham, Brianna Turner, Kia Vaughn","Taurasi, Nurse, Cunningham, Turner, Vaughn",100940-1628915-1629482-1629488-201913,PHO,84.0,1,1.0,-1.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,85.71428571428572,1.0,15.333333333333334,19.0,10.0,19.0,1.0,0.3587,0.3587,0.5,0.5,1.0,16.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629482-1629488-203398,1611661317,"Diana Taurasi, Kia Nurse, Sophie Cunningham, Brianna Turner, Brittney Griner","Taurasi, Nurse, Cunningham, Turner, Griner",100940-1628915-1629482-1629488-203398,PHO,61.0,1,1.0,-3.0,2.0,3.0,,,,5.0,,2.0,,2.0,5.0,,,,,,,,,,,,,,,,2.0,,,,,0.5,,,,,118.03278688524591,,18.0,8.333333333333334,18.0,7.0,,0.4242,,,,,10.45,,1.0,2.0,1.0,2.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629482-203398-203400,1611661317,"Diana Taurasi, Kia Nurse, Sophie Cunningham, Brittney Griner, Skylar Diggins-Smith","Taurasi, Nurse, Cunningham, Griner, Diggins-Smith",100940-1628915-1629482-203398-203400,PHO,5.0,1,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,0.22455,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629488-201913-203035,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Kia Vaughn, Shey Peddy","Taurasi, Nurse, Turner, Vaughn, Peddy",100940-1628915-1629488-201913-203035,PHO,91.0,1,2.0,,4.0,4.0,,,,8.0,,1.0,2.0,7.0,7.0,,,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,7.0,,,,,1.1666666666666667,,1.0,1.0,1.0,126.5934065934066,,12.75,10.0,12.75,10.0,,0.479375,,0.3333333333333333,0.5,,13.6,,1.0,1.0,1.0,,1.0,1.25,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,24.7,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629488-201913-203400,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Kia Vaughn, Skylar Diggins-Smith","Taurasi, Nurse, Turner, Vaughn, Diggins-Smith",100940-1628915-1629488-201913-203400,PHO,43.0,2,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97674418604652,,37.0,6.0,37.0,6.0,1.0,0.381,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629488-201913-203829,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Kia Vaughn, Bria Hartley","Taurasi, Nurse, Turner, Vaughn, Hartley",100940-1628915-1629488-201913-203829,PHO,115.0,1,2.0,-2.0,3.0,3.0,,,1.0,6.0,,2.0,,4.0,6.0,,,,,1.0,2.0,2.0,,,,,,,,,2.0,,,,,0.6666666666666666,,,0.3333333333333333,,75.13043478260869,,17.333333333333332,21.0,17.0,15.333333333333334,,0.4037833333333333,,,,,5.25,,2.0,2.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,25.6,,,2.0,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,0.5,1.0,,,,1.0,0.5,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629488-203035-203398,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Shey Peddy, Brittney Griner","Taurasi, Nurse, Turner, Peddy, Griner",100940-1628915-1629488-203035-203398,PHO,10.0,1,,-1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-1629488-203398-203400,1611661317,"Diana Taurasi, Kia Nurse, Brianna Turner, Brittney Griner, Skylar Diggins-Smith","Taurasi, Nurse, Turner, Griner, Diggins-Smith",100940-1628915-1629488-203398-203400,PHO,3998.0,5,67.0,19.0,136.0,133.0,13.0,12.0,13.0,269.0,12.0,78.0,20.0,160.0,141.0,6.0,8.0,11.0,15.0,63.0,79.0,28.0,25.0,29.0,8.0,4.0,,,12.0,9.0,141.0,11.0,13.0,1.0,4.0,0.5932835820895522,0.39285714285714285,0.7894736842105263,0.821917808219178,0.7647058823529411,96.88844422211105,0.75,14.904411764705882,14.819548872180452,14.308823529411764,14.421052631578947,0.09836065573770492,0.5015127049180328,0.4826055555555555,0.07692307692307693,0.09523809523809523,0.06875,6.666666666666667,0.09558823529411764,13.0,33.0,46.0,22.0,0.5897435897435898,0.5737704918032787,0.27049180327868855,0.3939393939393939,0.40625,38.0,44.0,38.0,0.36065573770491804,0.3114754098360656,0.6311475409836066,24.94545454545454,13.0,16.0,70.0,27.0,13.0,35.0,9.0,44.0,7.0,7.0,97.0,14.0,10.0,19.0,0.7608695652173914,0.813953488372093,0.5625,0.36363636363636365,0.36363636363636365,0.7368421052631579,0.5384615384615384,0.34210526315789475,0.35135135135135137,0.5384615384615384,0.34210526315789475,8.0,12.0,19.0,6.0,3.0,45.0,16.0,4.0,14.0,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.8333333333333334,0.10714285714285714,0.27586206896551724,0.12,0.8461538461538461,0.11875,23.0,33.0,6.0,10.0,3.0,10.0,3.0,6.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,21.0,6.0,1.0,2.0,18.0,10.0,13.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,12.0,2.0,10.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.022727272727272728,0.07692307692307693,0.12121212121212122,0.030303030303030304,0.08333333333333333,0.02631578947368421,1.0,0.43333333333333335,0.7777777777777778,0.21052631578947367,1.0,0.7777777777777778,0.8421052631578947,1.0,0.018867924528301886,0.27049180327868855,0.696969696969697,0.7931034482758621,0.782608695652174,0.8333333333333334,0.9090909090909091,1.0,0.04918032786885246,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6,0.5,0.2,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5524041666666667,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-201913-203035-203398,1611661317,"Diana Taurasi, Kia Nurse, Kia Vaughn, Shey Peddy, Brittney Griner","Taurasi, Nurse, Vaughn, Peddy, Griner",100940-1628915-201913-203035-203398,PHO,176.0,1,3.0,2.0,7.0,7.0,7.0,6.0,1.0,14.0,1.0,3.0,4.0,12.0,10.0,3.0,4.0,12.0,,3.0,4.0,2.0,2.0,4.0,1.0,1.0,,,,,9.0,12.0,7.0,2.0,1.0,0.8571428571428571,0.8571428571428571,,1.0,,114.54545454545455,,15.857142857142858,9.285714285714286,15.285714285714286,9.285714285714286,0.2,0.41703999999999997,0.41703999999999997,0.16666666666666666,0.25,1.0,11.0,1.0,1.0,2.0,1.0,,0.3333333333333333,0.8,0.4,0.5,1.0,1.0,2.0,1.0,0.4,0.2,0.4,25.15,1.0,2.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,3.0,,,1.0,1.0,,,,1.5,1.5,1.0,,0.5,,1.0,0.25,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.8,,0.3333333333333333,,0.5,,,1.0,0.5,,1.0,,,,,,,,,,,,,0.2,1.0,1.0,1.0,,,,,,,,0.2,1.0,0.43005,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,1611661317,2021,2021,False
100940-1628915-201913-203398-203400,1611661317,"Diana Taurasi, Kia Nurse, Kia Vaughn, Brittney Griner, Skylar Diggins-Smith","Taurasi, Nurse, Vaughn, Griner, Diggins-Smith",100940-1628915-201913-203398-203400,PHO,226.0,1,4.0,5.0,7.0,7.0,,2.0,2.0,14.0,,4.0,3.0,12.0,7.0,,,,1.0,3.0,5.0,3.0,4.0,3.0,2.0,,,,,,10.0,,,1.0,,0.75,,1.0,0.6,1.0,89.20353982300885,,13.571428571428571,18.714285714285715,11.714285714285714,17.142857142857142,,0.5638,,0.25,0.4,,5.25,,1.0,2.0,3.0,6.0,0.75,0.6428571428571429,0.2857142857142857,0.5,0.5,3.0,3.0,3.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,24.03333333333333,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.5,,0.3333333333333333,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.16666666666666666,2.0,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,3.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,1.0,,1.0,,1.0,,,0.5,0.2857142857142857,1.0,1.0,,,,,,,,,0.5,1.0,,0.5,,,,,,0.58085,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2021,2021,False
