EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,AtRimAssists,DeadBallTurnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyDefPoss,LostBallTurnovers,PtsUnassisted2s,Travels,DefCorner3ReboundPct,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceFG2A,FTOffRebounds,OffRebounds,Steals,LostBallSteals,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceShotQualityAvg,PtsAssisted3s,ThreePtAssists,Arc3Assists,BadPassSteals,ShootingFouls,Assisted3sPct,Arc3PctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,Fg2aBlocked,OffTwoPtRebounds,2pt And 1 Free Throw Trips,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SecondChanceArc3Frequency,HeaveAttempts,LongMidRangeAssists,Charge Fouls,NonShootingPenaltyNonTakeFouls,LongMidRangePctAssisted,AtRimPctBlocked,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,Fg3aBlocked,Corner3Assists,OffThreePtRebounds,FTDefRebounds,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,OffAtRimReboundPct,Defensive 3 Seconds Violations,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,Loose Ball Fouls Drawn,SelfORebPct,3SecondViolations,OffCorner3ReboundPct,BlockedAtRim,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1628276-1628917-1629498-1630435-202633,1611661319,"Kelsey Plum, JiSu Park, Jackie Young, Destiny Slocum, Liz Cambage","Plum, Park, Young, Slocum, Cambage",1628276-1628917-1629498-1630435-202633,LVA,160.0,1,3.0,-2.0,5.0,4,2.0,9,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,81.0,15.4,20.75,15.4,20.75,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.38265,0.46515,15.0,26.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628917-1629498-1630435-204324,1611661319,"Kelsey Plum, JiSu Park, Jackie Young, Destiny Slocum, Dearica Hamby","Plum, Park, Young, Slocum, Hamby",1628276-1628917-1629498-1630435-204324,LVA,121.0,1,2.0,-1.0,4.0,4,,8,,,,3.0,,,,3.0,3.0,4.0,,,3.0,,,,,,1.0,1.0,,3.0,,,,,0.5,0.5,1.0,,1.0,,95.20661157024794,14.75,15.5,14.75,15.5,,,,,,1.0,,1.0,0.51185,,,25.633333333333336,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628917-1629498-1630435-204329,1611661319,"Kelsey Plum, JiSu Park, Jackie Young, Destiny Slocum, Kiah Stokes","Plum, Park, Young, Slocum, Stokes",1628276-1628917-1629498-1630435-204329,LVA,202.0,1,3.0,-3.0,6.0,6,2.0,12,,,2.0,1.0,,1.0,3.0,1.0,4.0,7.0,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.3333333333333333,0.25,0.4,0.25,,1.0,,85.54455445544555,16.5,17.166666666666668,16.5,17.166666666666668,,,,,0.5,0.25,,0.5,0.455025,0.5519,12.733333333333334,27.1,0.3333333333333333,,,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628917-1629498-203029-204324,1611661319,"Kelsey Plum, JiSu Park, Jackie Young, Riquna Williams, Dearica Hamby","Plum, Park, Young, Williams, Hamby",1628276-1628917-1629498-203029-204324,LVA,47.0,1,1.0,-1.0,2.0,2,1.0,4,,,,,,,,,2.0,3.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,1.0,,122.55319148936171,14.0,9.5,14.0,9.5,,,,,,,,,,,,,0.5,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628917-1630435-202633-204324,1611661319,"Kelsey Plum, JiSu Park, Destiny Slocum, Liz Cambage, Dearica Hamby","Plum, Park, Slocum, Cambage, Hamby",1628276-1628917-1630435-202633-204324,LVA,104.0,1,2.0,2.0,3.0,3,,6,1.0,2.0,,,,1.0,2.0,,2.0,,,,,,,,,,3.0,3.0,1.0,2.0,,,,0.5,0.5,0.3333333333333333,,,1.0,,83.07692307692308,10.0,24.666666666666668,10.0,24.666666666666668,1.0,0.5,0.5,,,,,,0.4307,,5.85,,,,,,,3.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628917-1630435-204324-204329,1611661319,"Kelsey Plum, JiSu Park, Destiny Slocum, Dearica Hamby, Kiah Stokes","Plum, Park, Slocum, Hamby, Stokes",1628276-1628917-1630435-204324-204329,LVA,174.0,1,3.0,-2.0,5.0,6,5.0,11,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,,1.0,,,,,1.0,2.0,3.0,1.0,2.0,5.0,,,0.25,0.2,0.16666666666666666,0.2,1.0,0.6666666666666666,,91.0344827586207,12.8,18.333333333333332,11.8,16.0,0.2,,,,0.2,0.2,0.2,0.6,0.56052,0.56052,7.05,25.0,1.0,,,,,1.0,,,,,,,0.5,0.5,,,,,2.0,,2.0,,1.0,4.0,2.0,,,,,,2.0,,2.0,0.25,0.2,0.16666666666666666,0.4,,,,0.4,,,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628917-203029-203833-204324,1611661319,"Kelsey Plum, JiSu Park, Riquna Williams, Chelsea Gray, Dearica Hamby","Plum, Park, Williams, Gray, Hamby",1628276-1628917-203029-203833-204324,LVA,91.0,1,2.0,,4.0,4,,8,2.0,2.0,,2.0,,2.0,2.0,2.0,7.0,7.0,,,2.0,,1.0,,3.0,,,,,7.0,,,,1.0,0.875,0.875,0.5,,,,126.5934065934066,10.0,12.75,10.0,12.75,0.5,1.0,1.0,,,0.5,,0.5,0.519925,,4.85,25.5,,1.0,1.0,,1.0,,,,,0.5,0.5,,,,0.5,0.5,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628932-1629498-202633-203029,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Liz Cambage, Riquna Williams","Plum, Wilson, Young, Cambage, Williams",1628276-1628932-1629498-202633-203029,LVA,264.0,3,4.0,-8.0,10.0,10,2.0,20,,3.0,1.0,4.0,,3.0,7.0,4.0,7.0,15.0,,6.0,4.0,3.0,3.0,,6.0,1.0,1.0,3.0,2.0,7.0,2.0,1.0,1.0,0.42857142857142855,0.2727272727272727,0.3181818181818182,0.36363636363636365,1.0,1.0,,109.09090909090908,14.5,11.9,13.1,10.9,0.2727272727272727,,,,0.09090909090909091,0.36363636363636365,,0.6363636363636364,0.528140909090909,0.422,5.528571428571429,25.175,0.2,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,1.0,,1.0,1.0,3.0,1.0,1.0,1.5,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.14285714285714285,0.42857142857142855,,,,,,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,0.593925,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,0.14285714285714285,0.3333333333333333,0.5,0.25,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628932-1629498-202633-203833,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Liz Cambage, Chelsea Gray","Plum, Wilson, Young, Cambage, Gray",1628276-1628932-1629498-202633-203833,LVA,546.0,4,9.0,2.0,18.0,19,9.0,37,2.0,5.0,4.0,3.0,2.0,6.0,12.0,3.0,19.0,17.0,2.0,10.0,2.0,5.0,6.0,2.0,13.0,3.0,4.0,4.0,3.0,19.0,9.0,0.8333333333333334,0.8333333333333334,0.5,0.5,0.5588235294117647,0.2,0.5,0.5714285714285714,0.3333333333333333,97.58241758241759,12.88888888888889,16.526315789473685,12.88888888888889,15.0,0.3333333333333333,0.4,0.5,1.0,0.26666666666666666,0.2,0.25,0.4,0.43380714285714284,0.3945857142857143,10.508333333333333,31.933333333333334,0.5,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.5,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,2.0,3.0,1.0,1.0,4.0,4.0,6.0,10.0,2.0,1.0,1.0,7.0,,4.0,1.0,10.0,0.6666666666666666,0.5,0.5555555555555556,0.2,0.6666666666666666,0.6666666666666666,1.0,0.125,1.0,0.0625,0.07692307692307693,0.5263157894736842,7.0,,2.0,,,,2.0,,,,3.0,1.0,1.0,,,,,1.0,,1.0,,0.5,0.5,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0,1.0,,,0.08333333333333333,0.2,,,,,,,1.0,1.0,1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
1628276-1628932-1629498-202633-204324,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Liz Cambage, Dearica Hamby","Plum, Wilson, Young, Cambage, Hamby",1628276-1628932-1629498-202633-204324,LVA,108.0,1,2.0,-4.0,5.0,4,,9,1.0,2.0,2.0,,,1.0,5.0,,2.0,6.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,0.2,0.2,0.2,,,1.0,,120.0,14.6,8.75,14.6,8.75,0.4,0.5,0.5,1.0,0.4,,,0.2,0.43335999999999997,,11.3,,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2021,2021,False
