EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,FtPoints,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFtPoints,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,LostBallSteals,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,PenaltyTurnovers,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,Offensive Fouls,NonShootingPenaltyNonTakeFoulsDrawn,team_id,year,season,team_vs
1627673-1628280-1629567-1630097-201886,1611661323,"Jonquel Jones, Brionna Jones, Natisha Hiedeman, Kaila Charles, DeWanna Bonner","Jones, Jones, Hiedeman, Charles, Bonner",1627673-1628280-1629567-1630097-201886,CON,231.0,1,4.0,7,6,13,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,4.0,6.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.0,81.03896103896103,17.857142857142858,17.666666666666668,17.857142857142858,17.666666666666668,0.16666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.43149166666666666,14.675,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1629567-1630097-202662,1611661323,"Jonquel Jones, Brionna Jones, Natisha Hiedeman, Kaila Charles, Jasmine Thomas","Jones, Jones, Hiedeman, Charles, Thomas",1627673-1628280-1629567-1630097-202662,CON,128.0,1,2.0,3,3,6,,2.0,,,,,,1.0,1.0,4.0,,1.0,2.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.2,0.2,0.2,,67.5,29.666666666666668,13.0,18.0,10.333333333333334,0.4,,,,,,,,,,,,0.2,,,,0.6,,0.51484,4.5,23.4,-2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,0.5,0.25,0.5,0.2,0.5,0.2,0.25,0.5,0.6666666666666666,0.5,1.0,0.4,0.5,0.5,1.0,0.5,0.4,0.5,0.2,0.6063,0.51484,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1629567-201886-201896,1611661323,"Jonquel Jones, Brionna Jones, Natisha Hiedeman, DeWanna Bonner, Briann January","Jones, Jones, Hiedeman, Bonner, January",1627673-1628280-1629567-201886-201896,CON,481.0,3,8.0,13,14,27,1.0,3.0,,1.0,,,,2.0,5.0,9.0,,2.0,11.0,20.0,8.0,,2.0,,4.0,,4.0,,,1.0,,8.0,1.0,,2.0,2.0,4.0,2.0,,,,,11.0,0.8,0.8,,,,0.5555555555555556,0.45454545454545453,0.4583333333333333,0.18181818181818182,0.5,80.83160083160082,15.923076923076923,19.571428571428573,15.923076923076923,18.071428571428573,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,,,,,,,,0.18181818181818182,,,,0.6363636363636364,,0.5108409090909091,6.344444444444445,23.85,-9.0,,7.0,,4.0,5.0,,,,,,,,,,,,,2.0,,,1.0,5.0,,,,,,,,,,,,0.16666666666666666,,0.45454545454545453,0.8,0.8,,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,0.2,0.6666666666666666,0.75,0.08333333333333333,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1629567-201886-202662,1611661323,"Jonquel Jones, Brionna Jones, Natisha Hiedeman, DeWanna Bonner, Jasmine Thomas","Jones, Jones, Hiedeman, Bonner, Thomas",1627673-1628280-1629567-201886-202662,CON,599.0,2,10.0,20,23,43,,,,1.0,1.0,1.0,1.0,5.0,,5.0,2.0,6.0,11.0,15.0,,6.0,5.0,1.0,,2.0,2.0,1.0,1.0,,,6.0,7.0,5.0,9.0,1.0,3.0,7.0,1.0,3.0,2.0,3.0,7.0,,,1.0,0.3333333333333333,0.3333333333333333,,0.2727272727272727,0.36666666666666664,0.5454545454545454,0.7777777777777778,103.37228714524208,16.6,11.608695652173912,15.7,11.434782608695652,,,,,0.09090909090909091,,,,0.09090909090909091,1.0,1.0,1.0,0.45454545454545453,0.2,0.2,1.0,0.9090909090909091,0.2,0.5526590909090909,5.5600000000000005,24.616666666666664,-4.0,4.0,5.0,2.0,,4.0,,,,,,,,4.0,,1.0,,4.0,,2.0,3.0,3.0,10.0,2.0,2.0,,,1.5,,1.0,0.5,0.4,,0.6,0.3333333333333333,,0.36363636363636365,,,,,,,,0.6498,0.3554,0.36363636363636365,0.36363636363636365,0.2,5.0,,,2.0,5.0,,7.0,1.0,1.0,2.0,2.0,,1.0,1.0,8.0,2.0,,0.5555555555555556,0.6666666666666666,,0.5833333333333334,,0.25,0.6666666666666666,,0.15384615384615385,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.75,1.0,0.6666666666666666,0.14285714285714285,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1629567-202662-203826,1611661323,"Jonquel Jones, Brionna Jones, Natisha Hiedeman, Jasmine Thomas, Alyssa Thomas","Jones, Jones, Hiedeman, Thomas, Thomas",1627673-1628280-1629567-202662-203826,CON,162.0,1,3.0,3,5,8,,1.0,,,,,2.0,2.0,,1.0,2.0,2.0,6.0,9.0,,3.0,2.0,2.0,,1.0,1.0,1.0,,,,3.0,,,,2.0,2.0,,,,,,6.0,,,0.5,1.0,1.0,,1.0,1.0,0.6666666666666666,,71.1111111111111,22.666666666666668,18.8,22.666666666666668,16.6,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,0.3863833333333333,10.6,24.4,-3.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1630097-201886-202662,1611661323,"Jonquel Jones, Brionna Jones, Kaila Charles, DeWanna Bonner, Jasmine Thomas","Jones, Jones, Charles, Bonner, Thomas",1627673-1628280-1630097-201886-202662,CON,357.0,2,6.0,12,9,21,,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,5.0,16.0,6.0,,9.0,4.0,2.0,,3.0,3.0,2.0,1.0,,,9.0,1.0,1.0,2.0,,,3.0,,,,,13.0,,,1.0,0.6,0.6,0.25,0.6111111111111112,0.6363636363636364,0.5555555555555556,0.5,84.70588235294117,15.666666666666666,18.77777777777778,15.583333333333334,17.444444444444443,0.2222222222222222,,,,0.1111111111111111,1.0,1.0,,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,0.5,0.5,1.0,0.6666666666666666,0.5,0.5116277777777778,9.6,24.02,10.0,1.0,,1.0,,1.0,,,,,1.0,,,3.0,,,1.0,,2.0,,1.0,1.0,6.0,,1.0,,,1.5,,1.5,,,,0.3333333333333333,0.25,,0.1111111111111111,,,,,,,1.0,0.65805,0.4362,0.1875,,0.08333333333333333,5.0,,,1.0,4.0,,5.0,1.0,1.0,1.0,,,,,6.0,2.0,,0.8,1.0,,0.8333333333333334,,1.0,1.0,,0.18181818181818182,0.3333333333333333,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,0.6666666666666666,0.25,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-1630097-202662-203826,1611661323,"Jonquel Jones, Brionna Jones, Kaila Charles, Jasmine Thomas, Alyssa Thomas","Jones, Jones, Charles, Thomas, Thomas",1627673-1628280-1630097-202662-203826,CON,128.0,1,2.0,5,4,9,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,6.0,3.0,2.0,3.0,1.0,,1.0,1.0,2.0,,1.0,,,5.0,1.0,,1.0,1.0,3.0,,,,,,6.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.625,0.5,1.0,101.25,10.8,18.5,10.8,18.25,,,,,,,,,0.25,1.0,1.0,1.0,0.25,,,,1.0,,0.6531,2.1,24.5,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,,,,1.0,,,1.0,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1628280-201886-201896-202662,1611661323,"Jonquel Jones, Brionna Jones, DeWanna Bonner, Briann January, Jasmine Thomas","Jones, Jones, Bonner, January, Thomas",1627673-1628280-201886-201896-202662,CON,2686.0,3,45.0,85,84,169,3.0,11.0,1.0,6.0,2.0,9.0,8.0,20.0,26.0,56.0,10.0,29.0,91.0,65.0,36.0,24.0,20.0,8.0,18.0,8.0,26.0,6.0,2.0,2.0,1.0,60.0,6.0,3.0,13.0,7.0,15.0,12.0,1.0,4.0,3.0,4.0,73.0,0.6923076923076923,0.75,0.8,0.3448275862068966,0.3448275862068966,0.4642857142857143,0.4823529411764706,0.5112359550561798,0.3411764705882353,0.46153846153846156,90.60312732688013,15.611764705882353,16.178571428571427,14.376470588235295,15.916666666666666,0.12941176470588237,0.2727272727272727,0.3,0.6666666666666666,0.07058823529411765,0.16666666666666666,0.16666666666666666,1.0,0.10588235294117647,0.2222222222222222,0.2222222222222222,1.0,0.23529411764705882,0.4,0.4,0.75,0.8,0.4,0.5573564705882353,4.9750000000000005,23.96551724137931,26.0,6.0,8.0,13.0,22.0,39.0,4.0,8.0,,1.0,2.0,5.0,11.0,18.0,,2.0,2.0,5.0,16.0,7.0,11.0,16.0,50.0,5.0,6.0,0.45454545454545453,,0.5714285714285714,0.375,0.6,0.5,0.125,0.09090909090909091,0.3793103448275862,0.3333333333333333,0.25,0.4588235294117647,0.5641025641025641,0.6666666666666666,0.5714285714285714,0.5,0.25,,0.5,0.61285,0.4389625,0.1978021978021978,0.054945054945054944,0.07058823529411765,9.0,15.0,5.0,7.0,24.0,3.0,34.0,14.0,10.0,7.0,3.0,,2.0,,10.0,4.0,0.75,0.8571428571428571,0.7777777777777778,0.2631578947368421,0.8378378378378378,0.25,1.0,0.8333333333333334,0.6818181818181818,0.056179775280898875,0.06779661016949153,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,,1.0,4.0,0.6666666666666666,0.15384615384615385,0.47058823529411764,0.6923076923076923,1.0,0.07317073170731707,1.0,0.21428571428571427,0.6666666666666666,0.5,6.0,2.0,,4.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,0.5,0.25,0.2857142857142857,0.6666666666666666,0.25,0.5,0.03333333333333333,,,,,,,1611661323,2021,2021,True
1627673-1629567-1630097-201886-203826,1611661323,"Jonquel Jones, Natisha Hiedeman, Kaila Charles, DeWanna Bonner, Alyssa Thomas","Jones, Hiedeman, Charles, Bonner, Thomas",1627673-1629567-1630097-201886-203826,CON,94.0,1,2.0,3,3,6,,,1.0,1.0,,,,,2.0,3.0,,,4.0,8.0,4.0,,,,2.0,,2.0,,,,1.0,4.0,,,,,,,,,,,4.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,91.91489361702128,11.0,20.333333333333332,11.0,18.333333333333332,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.6666666666666666,,0.4973666666666667,6.833333333333333,,-4.0,3.0,3.0,,1.0,2.0,,,1.0,2.0,,,,,2.0,3.0,,4.0,,,,,,4.0,3.0,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,0.6666666666666666,0.5,0.5,,,0.6666666666666666,0.5,,,0.4973666666666667,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2021,2021,True
1627673-1629567-1630097-201896-203826,1611661323,"Jonquel Jones, Natisha Hiedeman, Kaila Charles, Briann January, Alyssa Thomas","Jones, Hiedeman, Charles, January, Thomas",1627673-1629567-1630097-201896-203826,CON,681.0,2,11.0,19,18,37,2.0,3.0,3.0,5.0,,2.0,,4.0,6.0,13.0,,6.0,15.0,25.0,6.0,,4.0,,3.0,,3.0,,,1.0,1.0,6.0,2.0,2.0,3.0,,3.0,1.0,,2.0,2.0,2.0,13.0,0.5,0.6,,,,0.46153846153846156,0.3157894736842105,0.375,0.3157894736842105,0.6666666666666666,78.23788546255507,17.42105263157895,19.444444444444443,16.94736842105263,18.88888888888889,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.5,0.2631578947368421,0.6,0.6,0.3333333333333333,0.10526315789473684,,,,0.21052631578947367,,,,0.5789473684210527,,0.45111842105263156,9.661538461538461,26.400000000000002,-10.0,,,3.0,1.0,5.0,,1.0,,,,1.0,2.0,2.0,,,,,6.0,1.0,2.0,3.0,8.0,,,0.5,,0.5,,0.5,,0.07692307692307693,,0.2857142857142857,0.2727272727272727,,0.2631578947368421,0.2,0.25,0.5,,,,,0.3393,,0.13333333333333333,,,3.0,1.0,1.0,1.0,4.0,,5.0,,,1.0,,,,,3.0,,,0.5,1.0,0.25,0.5555555555555556,0.3333333333333333,1.0,1.0,1.0,0.05,,,,,,,,1.0,,1.0,,,,,,0.2,0.25,0.4,0.5,0.1,,,,,,,,,,,2.0,,,1.0,,,0.5,,,,,0.14285714285714285,1.0,0.16666666666666666,0.25,,,,1611661323,2021,2021,True
