EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,FG3M,FtPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PtsUnassisted3s,Fg3aBlocked,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,FG3APctBlocked,Corner3PctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,OffThreePtRebounds,OffRebounds,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2A,PenaltyFG2M,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,BadPassSteals,BadPassTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceFG2M,SelfOReb,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceFg2Pct,SelfORebPct,SecondChanceAtRimAccuracy,PtsPutbacks,OffAtRimReboundPct,DefCorner3ReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Arc3PctBlocked,Travels,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,BlockedAtRim,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceTurnovers,Charge Fouls,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628282-1628878-1629484-201919-203849,1611661322,"Sydney Wiese, Ariel Atkins, Megan Gustafson, Shavonte Zellous, Theresa Plaisance","Wiese, Atkins, Gustafson, Zellous, Plaisance",1628282-1628878-1629484-201919-203849,WAS,370.0,2,6.0,-5.0,12.0,12.0,1.0,24.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,6.0,5.0,8.0,13.0,1.0,6.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,0.75,0.75,0.6666666666666666,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,1.0,0.8333333333333334,1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,93.4054054054054,17.5,13.333333333333334,17.5,12.583333333333334,0.18181818181818182,0.5,1.0,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.09090909090909091,0.36363636363636365,1.0,0.6363636363636364,0.48468636363636364,0.48945,10.549999999999999,25.2,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628899-1629506-201507-202250-204333,1611661322,"Myisha Hines-Allen, Kiara Leslie, Leilani Mitchell, Tina Charles, Natasha Cloud","Hines-Allen, Leslie, Mitchell, Charles, Cloud",1628899-1629506-201507-202250-204333,WAS,153.0,2,3.0,2.0,6.0,8.0,4.0,14.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,10.0,1.0,,2.0,1.0,,,2.0,,,6.0,,1.0,1.0,1.0,,,,4.0,4.0,2.0,,,,12.0,4.0,,,0.5,1.0,1.0,0.5,,,,1.0,,1.0,,1.0,,131.76470588235296,9.0,12.375,9.0,12.375,,,,0.25,1.0,1.0,,0.25,,,,0.25,0.25,0.5,0.5,0.5092875,0.4963,9.4,23.6,0.6666666666666666,7.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,7.0,6.0,1.0,2.0,1.0,1.0,4.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,0.75,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628878-201507-201919-203849-204333,1611661322,"Ariel Atkins, Leilani Mitchell, Shavonte Zellous, Theresa Plaisance, Natasha Cloud","Atkins, Mitchell, Zellous, Plaisance, Cloud",1628878-201507-201919-203849-204333,WAS,430.0,1,7.0,7.0,16.0,17.0,1.0,33.0,,,4.0,6.0,2.0,3.0,2.0,,2.0,6.0,9.0,4.0,19.0,12.0,1.0,6.0,6.0,2.0,,3.0,4.0,3.0,,9.0,3.0,3.0,6.0,6.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,,1.0,19.0,1.0,0.5,0.5,0.6666666666666666,0.6923076923076923,0.7307692307692307,0.3076923076923077,,,0.6666666666666666,1.0,1.0,1.0,,1.0,1.0,110.51162790697674,11.75,14.235294117647058,11.75,14.235294117647058,,,,0.46153846153846156,0.6666666666666666,0.6666666666666666,0.75,0.23076923076923078,0.6666666666666666,0.6666666666666666,,0.15384615384615385,0.15384615384615385,,0.3076923076923077,0.4406038461538462,0.51855,11.988888888888889,24.15,0.0625,9.0,,,2.0,2.0,1.0,,1.0,,3.0,3.0,2.0,1.0,1.0,,1.0,,3.0,,0.5,0.5,1.0,0.5,1.5,1.5,,,,1.0,1.0,0.5,,1.0,0.15789473684210525,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.07692307692307693,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1629484-1629506-201507-201919-203849,1611661322,"Megan Gustafson, Kiara Leslie, Leilani Mitchell, Shavonte Zellous, Theresa Plaisance","Gustafson, Leslie, Mitchell, Zellous, Plaisance",1629484-1629506-201507-201919-203849,WAS,24.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628282-1628899-1630118-201507-203849,1611661322,"Sydney Wiese, Myisha Hines-Allen, Stella Johnson, Leilani Mitchell, Theresa Plaisance","Wiese, Hines-Allen, Johnson, Mitchell, Plaisance",1628282-1628899-1630118-201507-203849,WAS,119.0,1,2.0,3.0,3.0,4.0,,7.0,,,1.0,2.0,,,,,2.0,1.0,2.0,2.0,5.0,2.0,,,2.0,2.0,,,1.0,,,3.0,2.0,1.0,3.0,4.0,,,,,,,,,,2.0,,,,0.5,0.625,0.625,0.5,,,,1.0,1.0,1.0,1.0,,1.0,84.70588235294117,17.333333333333332,16.75,15.666666666666666,16.75,,,,0.5,0.5,0.5,,,,,,,0.5,,0.5,0.47105,,7.25,24.8,,,,,1.0,1.0,,,,,,3.0,1.0,1.0,1.0,,,,,,1.0,0.5,,0.5,,,,,,0.5,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.5,1.5,1.0,0.5,1.0,1.0,1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628878-1629484-201507-201919-202250,1611661322,"Ariel Atkins, Megan Gustafson, Leilani Mitchell, Shavonte Zellous, Tina Charles","Atkins, Gustafson, Mitchell, Zellous, Charles",1628878-1629484-201507-201919-202250,WAS,549.0,3,9.0,-1.0,18.0,21.0,5.0,39.0,4.0,8.0,,3.0,,,,,4.0,4.0,11.0,4.0,16.0,17.0,1.0,6.0,2.0,4.0,2.0,3.0,5.0,,,12.0,1.0,9.0,11.0,12.0,2.0,,4.0,,2.0,4.0,,,,16.0,5.0,0.75,0.75,0.36363636363636365,0.4666666666666667,0.47058823529411764,0.26666666666666666,0.18181818181818182,0.125,0.5,0.8181818181818182,0.3333333333333333,0.7142857142857143,0.3333333333333333,1.0,0.5,102.29508196721311,13.88888888888889,14.238095238095237,13.38888888888889,13.380952380952381,0.5333333333333333,0.5,0.5714285714285714,0.2,,,,,,,,,0.26666666666666666,,0.8,0.5345142857142857,0.40793999999999997,4.3,28.025,0.2777777777777778,5.0,,,2.0,2.0,2.0,5.0,,,2.0,6.0,2.0,2.0,2.0,,4.0,,2.0,,1.0,0.5,,0.5,0.16666666666666666,0.16666666666666666,,,,0.5,0.5,1.0,,0.5,0.125,,1.0,,,1.0,,1.0,2.0,,,2.0,,,,,1.0,,0.16666666666666666,,0.11764705882352941,0.15384615384615385,2.0,,,,,,,1.0,,,,,0.125,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,1.0,0.14285714285714285,0.3333333333333333,0.75,1.0,0.5,0.3333333333333333,0.6009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628282-1628878-1628899-203849-204333,1611661322,"Sydney Wiese, Ariel Atkins, Myisha Hines-Allen, Theresa Plaisance, Natasha Cloud","Wiese, Atkins, Hines-Allen, Plaisance, Cloud",1628282-1628878-1628899-203849-204333,WAS,917.0,3,15.0,-6.0,28.0,31.0,2.0,59.0,4.0,5.0,2.0,7.0,,2.0,1.0,,10.0,6.0,14.0,11.0,22.0,28.0,1.0,8.0,4.0,10.0,2.0,4.0,7.0,1.0,,17.0,3.0,6.0,11.0,13.0,4.0,2.0,4.0,2.0,4.0,6.0,2.0,1.0,2.0,20.0,2.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42,0.4074074074074074,0.44,0.14285714285714285,,1.0,0.8571428571428571,0.75,0.8181818181818182,1.0,0.5,0.75,92.64994547437296,15.357142857142858,15.709677419354838,15.25,15.451612903225806,0.2,0.8,0.8,0.28,0.2857142857142857,0.4,0.5,0.08,,,,0.04,0.4,,0.64,0.500936,0.357825,6.371428571428572,25.39090909090909,0.07142857142857142,2.0,,,3.0,3.0,1.0,1.0,,,,9.0,3.0,3.0,3.0,,4.0,,,,1.0,0.2727272727272727,,0.2727272727272727,,,,,,0.3,0.3,1.0,,0.3,,,1.0,,,2.0,2.0,,,1.0,,2.0,1.0,,,,1.0,,0.5,,0.07407407407407407,0.125,1.0,,,,,2.0,,2.0,,1.0,0.5,,0.125,,,,,0.09090909090909091,1.0,,,1.0,,3.0,2.0,2.0,,2.0,,,,2.0,,0.2857142857142857,1.0,0.25,0.4,0.75,1.0,,,0.6895,1.0,1.0,2.0,2.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628282-1628878-201919-202250-203849,1611661322,"Sydney Wiese, Ariel Atkins, Shavonte Zellous, Tina Charles, Theresa Plaisance","Wiese, Atkins, Zellous, Charles, Plaisance",1628282-1628878-201919-202250-203849,WAS,357.0,2,6.0,6.0,13.0,10.0,2.0,23.0,4.0,6.0,1.0,2.0,,,,,3.0,5.0,8.0,3.0,15.0,9.0,,6.0,4.0,3.0,,3.0,4.0,,,9.0,2.0,3.0,5.0,7.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,13.0,2.0,0.6,0.75,0.625,0.5909090909090909,0.625,0.2727272727272727,,,0.6666666666666666,0.5,1.0,0.625,0.5,,1.0,92.77310924369748,12.153846153846153,19.9,11.538461538461538,19.0,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.5,0.5,,,,,,,0.2727272727272727,,0.8181818181818182,0.5744181818181818,,2.7625,24.53333333333333,0.15384615384615385,,,,1.0,1.0,2.0,,,,,3.0,1.0,1.0,1.0,,2.0,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,0.5,1.0,,,0.08333333333333333,0.1111111111111111,2.0,,1.0,,1.0,2.0,,2.0,,0.5,0.5,,0.4,,0.5,,,0.13333333333333333,1.0,,,1.0,,3.0,2.0,,1.0,,2.0,,,,,,,0.6666666666666666,,0.75,0.5,,,0.615375,1.0,1.0,,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628878-1629484-1630118-201919-202250,1611661322,"Ariel Atkins, Megan Gustafson, Stella Johnson, Shavonte Zellous, Tina Charles","Atkins, Gustafson, Johnson, Zellous, Charles",1628878-1629484-1630118-201919-202250,WAS,154.0,1,3.0,2.0,5.0,5.0,,10.0,,,,,1.0,2.0,1.0,,,1.0,2.0,1.0,6.0,4.0,,2.0,,,,1.0,2.0,,1.0,5.0,,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,,6.0,,1.0,1.0,0.5,0.8333333333333334,0.75,0.3333333333333333,,,,1.0,,1.0,,1.0,,93.5064935064935,17.0,13.8,17.0,13.8,,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,0.3333333333333333,0.45726666666666665,,15.85,23.4,,,1.0,,,1.0,1.0,,,,,3.0,,1.0,,1.0,2.0,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
1628282-1628878-201507-201919-203849,1611661322,"Sydney Wiese, Ariel Atkins, Leilani Mitchell, Shavonte Zellous, Theresa Plaisance","Wiese, Atkins, Mitchell, Zellous, Plaisance",1628282-1628878-201507-201919-203849,WAS,473.0,1,8.0,2.0,15.0,16.0,9.0,31.0,,,,2.0,1.0,3.0,,,6.0,1.0,5.0,6.0,16.0,14.0,4.0,2.0,,6.0,,1.0,4.0,,1.0,11.0,1.0,3.0,4.0,4.0,1.0,,1.0,,1.0,7.0,,,,16.0,9.0,1.0,1.0,0.2,0.5,0.5714285714285714,0.5454545454545454,,,1.0,0.75,0.3333333333333333,0.5714285714285714,1.0,,0.5,94.37632135306553,14.466666666666667,16.0,14.466666666666667,14.625,,,,0.18181818181818182,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,0.5454545454545454,,0.5454545454545454,0.45056363636363633,0.4431,13.84,26.183333333333334,0.6,,,,3.0,3.0,5.0,3.0,2.0,4.0,12.0,9.0,3.0,3.0,3.0,,7.0,1.0,12.0,1.0,1.0,0.5,0.5,0.5,0.5714285714285714,0.6666666666666666,,,,0.5,0.5,1.0,,0.5,0.75,2.0,4.0,,,3.0,1.0,,,,,2.0,,,,,,,0.5714285714285714,0.5,0.23076923076923078,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2021,2021,False
