EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,BadPassSteals,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,BlockedShortMidRange,PenaltyDefPoss,FTDefRebounds,Travels,Offensive Fouls,Offensive Fouls Drawn,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,SelfOReb,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SelfORebPct,SecondChanceAtRimAccuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallTurnovers,Loose Ball Fouls Drawn,SecondChanceArc3FGA,ShortMidRangePctBlocked,SecondChanceArc3Frequency,Charge Fouls,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Blocked3s,BlockedArc3,PtsUnassisted3s,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,BlockedLongMidRange,3SecondViolations,LongMidRangePctBlocked,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
1628244-1630127-204296-204334-204335,1611661313,"Sami Whitcomb, Leaonna Odom, Rebecca Allen, Reshanda Gray, Betnijah Laney","Whitcomb, Odom, Allen, Gray, Laney",1628244-1630127-204296-204334-204335,NYL,387.0,2,6.0,-5.0,13.0,13.0,3.0,26,1.0,2.0,2.0,6.0,1.0,2.0,1.0,4.0,10.0,1.0,4.0,12.0,17.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,4.0,3.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,10.0,0.75,0.75,0.4,0.5,0.36363636363636365,0.5,0.4230769230769231,0.5,0.09090909090909091,0.6666666666666666,0.5,0.5,1.0,0.8,0.42857142857142855,1.0,0.5,1.0,1.0,1.0,96.74418604651163,16.76923076923077,13.0,15.153846153846153,12.615384615384615,0.18181818181818182,0.5,0.5,1.0,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.5,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,0.2727272727272727,0.4282727272727273,0.35335,0.15384615384615385,0.16666666666666666,0.16666666666666666,8.9,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1629477-1630127-1630446-204296-204335,1611661313,"Sabrina Ionescu, Leaonna Odom, Michaela Onyenwere, Rebecca Allen, Betnijah Laney","Ionescu, Odom, Onyenwere, Allen, Laney",1629477-1630127-1630446-204296-204335,NYL,351.0,1,6.0,7.0,12.0,11.0,2.0,23,4.0,7.0,,,,,3.0,4.0,7.0,4.0,5.0,16.0,9.0,,2.0,,8.0,,3.0,4.0,5.0,4.0,,,11.0,2.0,2.0,3.0,5.0,3.0,8.0,2.0,,1.0,,1.0,,1.0,,,,3.0,6.0,,3.0,16.0,1.0,1.0,0.5714285714285714,,0.5,,0.5714285714285714,,0.36363636363636365,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,,1.0,1.0,1.0,94.35897435897436,16.666666666666668,13.727272727272727,15.5,13.727272727272727,0.6363636363636364,0.5714285714285714,0.6666666666666666,1.0,,,,,,,,,0.2727272727272727,1.0,0.5755863636363636,0.5053,0.21428571428571427,0.3,,2.3428571428571425,23.75,8.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,8.0,1.0,0.25,0.3333333333333333,0.25,0.6,0.5625,0.6111111111111112,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5,1.0,1.0,1.0,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.625,0.6,0.375,0.3333333333333333,0.3333333333333333,0.59574375,0.6875,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1629477-1630119-1630127-204334-204335,1611661313,"Sabrina Ionescu, Jazmine Jones, Leaonna Odom, Reshanda Gray, Betnijah Laney","Ionescu, Jones, Odom, Gray, Laney",1629477-1630119-1630127-204334-204335,NYL,122.0,1,2.0,6.0,5.0,5.0,,10,,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,,,,,4.0,,1.0,2.0,2.0,,1.0,1.0,4.0,,,3.0,3.0,,3.0,2.0,1.0,,,,,,,,,1.0,2.0,,1.0,6.0,1.0,1.0,0.6666666666666666,,0.5,,0.6,,0.25,,0.6,,,0.6,,,,1.0,,,118.03278688524591,7.4,17.0,7.4,14.2,,,,,0.5,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.25,0.25,0.452775,,0.2,0.25,,10.033333333333333,23.2,5.0,,,,,,,,1.0,,,2.0,3.0,,1.0,2.0,6.0,,,,,,,1.0,,1.0,,1.0,,6.0,5.0,,,,,0.6666666666666666,0.5,0.6,,,,,,0.3333333333333333,,,,,,,,,,0.25,,,0.452775,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1629477-1630119-1630459-204334-204335,1611661313,"Sabrina Ionescu, Jazmine Jones, DiDi Richards, Reshanda Gray, Betnijah Laney","Ionescu, Jones, Richards, Gray, Laney",1629477-1630119-1630459-204334-204335,NYL,515.0,3,9.0,-5.0,16.0,17.0,1.0,33,2.0,2.0,,2.0,2.0,5.0,1.0,4.0,9.0,2.0,2.0,10.0,15.0,,,,4.0,4.0,1.0,2.0,2.0,1.0,,1.0,4.0,1.0,1.0,3.0,5.0,1.0,6.0,,,1.0,,1.0,3.0,4.0,,1.0,5.0,5.0,2.0,,1.0,10.0,0.5,0.5,0.4444444444444444,,0.36363636363636365,,0.4166666666666667,,0.18181818181818182,0.25,1.0,0.2,0.5,0.8,0.14285714285714285,,,,0.5,,92.27184466019416,17.75,13.588235294117647,17.6875,13.294117647058824,0.18181818181818182,1.0,1.0,0.5,0.18181818181818182,,,,0.45454545454545453,0.4,0.4,0.5,0.09090909090909091,0.36363636363636365,0.4193545454545454,,0.08333333333333333,0.1,,12.155555555555557,24.6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.09090909090909091,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1630119-1630127-1630131-1630446-1630459,1611661313,"Jazmine Jones, Leaonna Odom, Kylee Shook, Michaela Onyenwere, DiDi Richards","Jones, Odom, Shook, Onyenwere, Richards",1630119-1630127-1630131-1630446-1630459,NYL,294.0,4,5.0,-5.0,10.0,10.0,2.0,20,1.0,1.0,1.0,3.0,,1.0,2.0,2.0,5.0,2.0,3.0,7.0,12.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,3.0,2.0,5.0,,,1.0,,1.0,1.0,2.0,,1.0,2.0,3.0,4.0,,2.0,3.0,0.5,1.0,0.4,1.0,0.2857142857142857,1.0,0.3888888888888889,1.0,0.2857142857142857,0.5,1.0,0.6666666666666666,1.0,1.0,0.4,,1.0,,1.0,,97.95918367346938,16.3,13.1,16.1,13.1,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,,,,0.2857142857142857,0.42857142857142855,0.41922857142857145,0.5113,0.2222222222222222,0.2857142857142857,0.5714285714285714,9.040000000000001,24.65,6.0,1.0,,,,,,,1.0,,,1.0,2.0,,1.0,1.0,3.0,,,,,,,,1.0,,,,,3.0,6.0,,,,,0.5,0.3333333333333333,0.375,,,,,,1.0,,,,,,1.0,,,,0.3333333333333333,,,0.37043333333333334,0.42857142857142855,0.6,,5.0,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1630119-1630127-1630459-204296-204334,1611661313,"Jazmine Jones, Leaonna Odom, DiDi Richards, Rebecca Allen, Reshanda Gray","Jones, Odom, Richards, Allen, Gray",1630119-1630127-1630459-204296-204334,NYL,120.0,1,2.0,2.0,5.0,5.0,,10,,,2.0,4.0,,,,2.0,4.0,1.0,,7.0,5.0,,,,,4.0,,,1.0,,,,3.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,2.0,1.0,,1.0,7.0,,,0.5,,0.7,,0.7,,0.2,,0.5,,1.0,0.6666666666666666,,,,1.0,1.0,,120.0,12.0,12.0,12.0,10.0,,,,,0.8,0.5,0.5,,,,,,,0.2,0.48061,,0.2,0.25,,9.1,24.2,5.0,,,,1.0,,,,,1.0,,2.0,4.0,1.0,1.0,,7.0,3.0,,,1.0,,,,,1.0,,1.0,,7.0,5.0,1.0,1.0,1.0,1.0,0.5,0.7,0.7,,,,,,,,0.2,,,,,,,,,,,0.48061,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1628244-1629477-1630115-1630119-204334,1611661313,"Sami Whitcomb, Sabrina Ionescu, Joyner Holmes, Jazmine Jones, Reshanda Gray","Whitcomb, Ionescu, Holmes, Jones, Gray",1628244-1629477-1630115-1630119-204334,NYL,48.0,1,1.0,3.0,2.0,1.0,1.0,3,1.0,1.0,,,,1.0,,1.0,2.0,,1.0,3.0,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,,2.0,1.0,,1.0,3.0,,,0.5,,0.5,,0.75,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,90.0,15.5,17.0,15.0,17.0,0.5,1.0,1.0,,,,,,0.5,,,,,0.5,0.42465,,0.5,0.5,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1628244-1629477-1630127-1630446-204296,1611661313,"Sami Whitcomb, Sabrina Ionescu, Leaonna Odom, Michaela Onyenwere, Rebecca Allen","Whitcomb, Ionescu, Odom, Onyenwere, Allen",1628244-1629477-1630127-1630446-204296,NYL,109.0,2,2.0,1.0,3.0,4.0,,7,,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,5.0,,,1.0,2.0,,1.0,1.0,2.0,,,1.0,5.0,1.0,,1.0,2.0,1.0,3.0,,,,,,,,,1.0,1.0,2.0,2.0,,1.0,5.0,1.0,1.0,0.3333333333333333,,0.625,,0.6,0.5,0.25,,1.0,0.5,,1.0,0.5,,1.0,,,,92.4770642201835,24.0,9.25,24.0,9.25,0.25,,,,0.25,,,,0.25,1.0,1.0,1.0,0.25,0.5,0.43885,,0.2,0.25,0.16666666666666666,6.966666666666666,23.4,,,,,,,1.0,,,1.0,,,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1628244-1629477-1630127-204296-204329,1611661313,"Sami Whitcomb, Sabrina Ionescu, Leaonna Odom, Rebecca Allen, Kiah Stokes","Whitcomb, Ionescu, Odom, Allen, Stokes",1628244-1629477-1630127-204296-204329,NYL,69.0,1,1.0,2.0,3.0,2.0,1.0,5,,,1.0,3.0,,,,1.0,3.0,,1.0,3.0,1.0,1.0,1.0,3.0,2.0,,,1.0,1.0,,1.0,,2.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.5,,1.0,,0.5,,,0.5,,0.5,,,,104.34782608695653,15.0,12.0,12.666666666666666,12.0,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,0.38903333333333334,0.4114,0.3333333333333333,0.3333333333333333,1.0,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
1628244-1629477-1630446-204296-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Michaela Onyenwere, Rebecca Allen, Betnijah Laney","Whitcomb, Ionescu, Onyenwere, Allen, Laney",1628244-1629477-1630446-204296-204335,NYL,303.0,4,5.0,13.0,11.0,10.0,2.0,21,1.0,3.0,2.0,3.0,3.0,4.0,3.0,6.0,10.0,3.0,1.0,19.0,6.0,1.0,3.0,2.0,8.0,4.0,3.0,4.0,6.0,,1.0,3.0,14.0,3.0,3.0,1.0,5.0,4.0,9.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,4.0,3.0,2.0,,1.0,17.0,0.6666666666666666,0.8,0.6,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.6785714285714286,0.3333333333333333,0.23076923076923078,1.0,0.3333333333333333,0.75,0.75,0.5714285714285714,0.8,1.0,,1.0,0.75,,99.8019801980198,13.909090909090908,15.0,13.272727272727273,13.6,0.23076923076923078,0.3333333333333333,0.5,,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.3076923076923077,0.75,0.75,1.0,0.23076923076923078,0.46153846153846156,0.47515384615384615,0.5116333333333333,0.07142857142857142,0.09090909090909091,0.10526315789473684,9.25,24.866666666666664,,2.0,,,,,2.0,,,2.0,,,,,,,,6.0,2.0,1.0,2.0,2.0,1.0,,,2.0,1.0,2.0,,,,1.0,0.6666666666666666,,0.6666666666666666,,,,0.1,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,,,,,0.6666666666666666,,,,1.0,3.0,1.0,,,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2021,2021,True
