EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,SecondChanceTurnovers,Loose Ball Fouls Drawn,PtsPutbacks,HeaveAttempts,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,AtRimPctBlocked,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,Travels,Charge Fouls,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedLongMidRange,3SecondViolations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,PtsUnassisted3s,Blocked3s,BlockedArc3,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100723-100874-201904-202253-202255,1611661323,"Asjha Jones, Kara Lawson, Renee Montgomery, Kalana Greene, Allison Hightower","Jones, Lawson, Montgomery, Greene, Hightower",100723-100874-201904-202253-202255,CON,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,144.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100874-101020-200691-201904-202250,1611661323,"Kara Lawson, Tan White, Mistie Bass, Renee Montgomery, Tina Charles","Lawson, White, Bass, Montgomery, Charles",100874-101020-200691-201904-202250,CON,2207.0,15,74.0,36.0,147.0,23.0,31.0,43.0,0.696969696969697,0.7073170731707317,0.6923076923076923,95.91300407793385,14.513513513513514,13.891891891891891,37.0,8.0,73.0,19.0,9.0,13.0,19.0,2.0,4.0,4.0,5.0,8.0,19.0,5.0,9.0,3.0,6.0,1.0,2.0,4.0,16.0,1.0,3.0,1.0,5.0,26.0,47.0,7.0,22.0,11.0,84.0,76.0,6.0,8.0,1.0,3.0,15.0,5.0,7.0,2.0,7.0,7.0,23.0,22.0,30.0,21.0,16.0,4.0,2.0,11.0,7.0,18.0,4.0,3.0,6.0,3.0,2.0,43.0,5.0,6.0,1.0,6.0,2.0,12.0,1.0,9.0,6.0,3.0,4.0,2.0,2.0,7.0,2.0,1.0,11.0,3.0,7.0,1.0,14.0,2.0,13.0,1.0,16.0,2.0,2.0,4.0,4.0,6.0,5.0,1.0,6.0,3.0,69.0,23.0,19.0,2.0,4.0,0.4230769230769231,0.4230769230769231,1.0,0.3181818181818182,0.3333333333333333,0.2857142857142857,0.3181818181818182,0.5531914893617021,0.75,0.7142857142857143,0.5289855072463768,0.6818181818181818,0.5714285714285714,0.5466666666666666,0.6818181818181818,0.5789473684210527,0.3188405797101449,0.0425531914893617,0.10526315789473684,0.36363636363636365,1.0,0.5,0.3,0.75,0.3333333333333333,0.3142857142857143,0.3333333333333333,0.18181818181818182,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.8888888888888888,0.8,0.6666666666666666,0.030303030303030304,0.5,15.520547945205479,14.479452054794521,0.2753623188405797,0.6842105263157895,0.6842105263157895,0.46153846153846156,0.2753623188405797,0.42105263157894735,0.47058823529411764,0.375,0.13043478260869565,0.5555555555555556,0.5555555555555556,0.4,0.08695652173913043,0.5,0.5,1.0,0.2318840579710145,0.25,0.25,1.0,0.36363636363636365,0.5,0.2727272727272727,0.3333333333333333,1.0,0.35714285714285715,0.8,0.14285714285714285,0.5,0.35714285714285715,0.2,0.5942028985507246,0.25,0.49850000000000005,0.4952083333333333,0.5324607142857143,0.056338028169014086,0.08163265306122448,0.17857142857142858,0.27380952380952384,7.359574468085106,22.363636363636363,0.2602739726027397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100874-101020-200691-201904-202263,1611661323,"Kara Lawson, Tan White, Mistie Bass, Renee Montgomery, Danielle McCray","Lawson, White, Bass, Montgomery, McCray",100874-101020-200691-201904-202263,CON,467.0,2,15.0,1.0,31.0,1.0,3.0,5.0,0.5,0.4,,95.58886509635974,14.733333333333333,13.266666666666667,8.0,-9.0,16.0,9.0,3.0,2.0,3.0,,,1.0,2.0,,3.0,1.0,1.0,,1.0,,,,,,,,,3.0,7.0,,1.0,8.0,14.0,23.0,,,,,3.0,1.0,3.0,,,4.0,6.0,6.0,,,,,,3.0,,3.0,,,2.0,,1.0,6.0,,2.0,,1.0,1.0,2.0,,4.0,3.0,1.0,3.0,,2.0,2.0,1.0,,5.0,4.0,3.0,,7.0,2.0,5.0,,10.0,,,3.0,2.0,,,,,,11.0,6.0,9.0,,2.0,1.0,1.0,,,,,,0.42857142857142855,,0.3333333333333333,0.375,,0.3333333333333333,0.5384615384615384,0.75,0.5,0.125,,,0.6,1.0,,0.5,0.3333333333333333,,0.4,1.0,0.3333333333333333,,,,,1.0,0.3333333333333333,,,,15.375,15.375,0.375,0.6666666666666666,0.6666666666666666,1.0,0.375,,,,0.125,1.0,1.0,1.0,0.125,,,,,,,,,,,,,0.6666666666666666,0.5,,,,,0.5,,0.47360625,,0.47809999999999997,0.2727272727272727,0.3,0.21428571428571427,0.42857142857142855,8.5,21.3,0.5625,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100874-201904-202250-202254-202255,1611661323,"Kara Lawson, Renee Montgomery, Tina Charles, Kelsey Griffin, Allison Hightower","Lawson, Montgomery, Charles, Griffin, Hightower",100874-201904-202250-202254-202255,CON,1908.0,11,65.0,23.0,128.0,19.0,21.0,34.0,0.76,0.7241379310344828,0.8333333333333334,96.60377358490565,15.153846153846153,14.307692307692308,32.0,-6.0,63.0,25.0,13.0,14.0,21.0,3.0,4.0,6.0,10.0,4.0,9.0,2.0,4.0,,5.0,,2.0,5.0,17.0,1.0,5.0,2.0,8.0,20.0,34.0,5.0,22.0,20.0,75.0,81.0,5.0,6.0,1.0,5.0,14.0,6.0,13.0,2.0,10.0,7.0,25.0,22.0,18.0,15.0,16.0,5.0,2.0,11.0,5.0,16.0,5.0,,8.0,2.0,1.0,37.0,7.0,6.0,,2.0,,13.0,2.0,6.0,5.0,1.0,7.0,2.0,3.0,4.0,4.0,,11.0,5.0,11.0,,17.0,1.0,14.0,,23.0,1.0,1.0,8.0,2.0,2.0,2.0,,2.0,2.0,61.0,25.0,25.0,1.0,3.0,0.55,0.5789473684210527,1.0,0.22727272727272727,0.2,0.2,0.23809523809523808,0.5882352941176471,0.8333333333333334,0.46153846153846156,0.49107142857142855,0.5909090909090909,0.391304347826087,0.5606060606060606,0.5833333333333334,0.46296296296296297,0.39285714285714285,0.058823529411764705,,0.6363636363636364,,,0.42857142857142855,0.5,0.4666666666666667,0.4482758620689655,0.5714285714285714,0.4,,0.5454545454545454,0.25,0.7777777777777778,0.7,0.5,0.5,0.07407407407407407,1.0,14.65079365079365,13.444444444444445,0.375,0.6666666666666666,0.7368421052631579,0.5714285714285714,0.16071428571428573,0.4444444444444444,0.4444444444444444,0.5,0.07142857142857142,0.5,0.5,0.5,0.08928571428571429,,,,0.30357142857142855,0.29411764705882354,0.29411764705882354,1.0,0.36363636363636365,0.75,0.45454545454545453,0.2,1.0,0.43478260869565216,0.6,0.08695652173913043,,0.34782608695652173,0.25,0.7678571428571429,0.3125,0.5145672727272728,0.5318666666666666,0.5407522727272727,0.140625,0.1951219512195122,0.18666666666666668,0.3333333333333333,5.629411764705883,23.404545454545453,0.3968253968253968,1.0,2.0,,2.0,1.0,1.0,1.0,0.09523809523809523,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
101020-200691-202254-202255-202263,1611661323,"Tan White, Mistie Bass, Kelsey Griffin, Allison Hightower, Danielle McCray","White, Bass, Griffin, Hightower, McCray",101020-200691-202254-202255-202263,CON,219.0,2,6.0,3.0,12.0,1.0,1.0,5.0,0.5,0.5,,78.9041095890411,18.833333333333332,18.666666666666668,4.0,-4.0,6.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,,1.0,4.0,,,,,,2.0,,2.0,,,2.0,7.0,,2.0,1.0,5.0,9.0,1.0,2.0,,2.0,2.0,1.0,3.0,,,1.0,3.0,,4.0,,2.0,,,,,,,,,,,,1.0,2.0,1.0,,,4.0,,,,,,,,,,,,,1.0,,2.0,,1.0,,2.0,,,,1.0,2.0,2.0,,2.0,1.0,3.0,3.0,3.0,,1.0,,,,,,,,0.2857142857142857,0.5,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.25,0.25,0.375,0.2222222222222222,,,,,1.0,0.4,,0.5,0.42857142857142855,0.5,,0.3333333333333333,0.5,,0.5,,,,,0.5,17.666666666666668,11.666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,0.4444444444444444,0.25,0.25,,,,,,0.2222222222222222,,,,0.25,1.0,0.5,,,0.6666666666666666,0.5,,,,,0.5555555555555556,,0.5057444444444444,0.48485,0.5650333333333334,,,0.4,0.6,9.87142857142857,21.85,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100874-200691-201904-202250-202254,1611661323,"Kara Lawson, Mistie Bass, Renee Montgomery, Tina Charles, Kelsey Griffin","Lawson, Bass, Montgomery, Charles, Griffin",100874-200691-201904-202250-202254,CON,287.0,2,9.0,,19.0,3.0,3.0,5.0,0.6,0.5,0.3333333333333333,95.33101045296168,15.0,11.333333333333334,5.0,5.0,10.0,3.0,2.0,2.0,3.0,,,,,,2.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,4.0,7.0,1.0,2.0,3.0,14.0,9.0,,2.0,,,,1.0,2.0,,1.0,2.0,4.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,3.0,,4.0,,,1.0,1.0,,,,,,14.0,4.0,3.0,,1.0,0.25,0.25,1.0,0.5,,,0.5,0.5714285714285714,,0.5,0.6111111111111112,,0.3333333333333333,0.6363636363636364,,0.5,0.2222222222222222,0.14285714285714285,,,,1.0,,,1.0,0.25,,,,,1.0,,1.0,,,0.3333333333333333,,15.2,13.3,0.3333333333333333,0.6666666666666666,1.0,0.5,0.2222222222222222,,,,0.2222222222222222,1.0,1.0,,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,1.0,,,,,,,,0.3333333333333333,,,,0.5555555555555556,1.0,0.49444444444444446,0.3724,0.45649999999999996,0.1,0.125,,0.2857142857142857,8.614285714285714,21.4,0.3,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100874-101042-201904-202253-202263,1611661323,"Kara Lawson, Jessica Moore, Renee Montgomery, Kalana Greene, Danielle McCray","Lawson, Moore, Montgomery, Greene, McCray",100874-101042-201904-202253-202263,CON,199.0,1,6.0,4.0,13.0,,1.0,3.0,,0.3333333333333333,,94.07035175879396,18.0,17.166666666666668,3.0,-3.0,7.0,3.0,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,,2.0,4.0,,1.0,4.0,8.0,11.0,1.0,2.0,,,4.0,1.0,3.0,,,2.0,4.0,,4.0,,1.0,,,,,,,,,,,,,2.0,,1.0,,2.0,1.0,1.0,1.0,,,,,2.0,,,2.0,1.0,1.0,,3.0,1.0,2.0,,4.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,4.0,4.0,3.0,,1.0,,,,,,,,0.5,0.5,0.3333333333333333,0.4,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,0.2,,,,,,1.0,1.0,,0.6666666666666666,1.0,,1.0,,,,,,1.0,0.3333333333333333,,13.0,9.428571428571429,0.4,0.5,0.5,,0.2,1.0,1.0,,0.2,,,,,,,,0.2,,,,0.5,,,,,0.6666666666666666,0.5,,,,,0.6,,0.51361,0.6915,0.5409666666666667,0.16666666666666666,0.2,0.5,0.5,9.0,21.1,0.42857142857142855,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
200691-202254-202255-202263-203033,1611661323,"Mistie Bass, Kelsey Griffin, Allison Hightower, Danielle McCray, Chay Shegog","Bass, Griffin, Hightower, McCray, Shegog",200691-202254-202255-202263-203033,CON,66.0,1,3.0,,6.0,,,1.0,,,,130.9090909090909,14.333333333333334,14.0,1.0,-1.0,3.0,3.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,2.0,1.0,1.0,2.0,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,0.125,0.5,0.125,0.6666666666666666,,,,,,,,0.5,0.3333333333333333,,,,,1.0,,,,,,,7.666666666666667,7.666666666666667,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,,0.43985,,0.43985,,,1.0,1.0,9.7,23.45,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-101020-200691-202263,1611661323,"Asjha Jones, Kara Lawson, Tan White, Mistie Bass, Danielle McCray","Jones, Lawson, White, Bass, McCray",100723-100874-101020-200691-202263,CON,84.0,1,2.0,,4.0,,,1.0,,,,68.57142857142857,16.5,16.5,1.0,-3.0,2.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,2.0,5.0,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,1.0,2.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,0.5,,,0.5,,,0.5,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,25.5,20.0,,,,,0.5,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.35205,,,,,,,10.6,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
100723-100874-101020-201904-202253,1611661323,"Asjha Jones, Kara Lawson, Tan White, Renee Montgomery, Kalana Greene","Jones, Lawson, White, Montgomery, Greene",100723-100874-101020-201904-202253,CON,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2012,2012,True
