EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallSteals,BlockingFouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,AtRimFGM,PtsUnassisted3s,AtRimAssists,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAssists,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyTurnovers,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,HeaveAttempts,Fg3aBlocked,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Loose Ball Fouls Drawn,BlockedShortMidRange,Charge Fouls,Charge Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,3SecondViolations,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,HeaveMakes,team_id,year,season,team_vs
100937-200674-202634-202658-203018,1611661319,"Shameka Christon, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson, Shenise Johnson","Christon, Young-Malcolm, Adams, Robinson, Johnson",100937-200674-202634-202658-203018,SAN,272.0,4,5.0,-1.0,10.0,12.0,4.0,3.0,4.0,22.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,7.0,2.0,5.0,11.0,12.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,4.0,6.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,10.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,6.0,2.0,1.0,7.0,6.0,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.4583333333333333,0.5,0.5,0.2222222222222222,0.14285714285714285,0.5,1.0,1.0,1.0,0.4,0.75,1.0,0.5,0.5,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,116.47058823529412,14.2,10.833333333333334,12.5,10.666666666666666,0.2222222222222222,0.2222222222222222,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.3333333333333333,0.25,0.25,0.4444444444444444,0.47544444444444445,0.5423666666666667,0.446475,0.18181818181818182,0.2222222222222222,0.36363636363636365,0.5454545454545454,9.885714285714286,22.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100952-202251-202634-202658-203018,1611661319,"Jia Perkins, Jayne Appel Marinelli, Danielle Adams, Danielle Robinson, Shenise Johnson","Perkins, Appel Marinelli, Adams, Robinson, Johnson",100952-202251-202634-202658-203018,SAN,249.0,2,4.0,2.0,9.0,10.0,,4.0,,19.0,,,,1.0,3.0,,1.0,2.0,,1.0,4.0,2.0,2.0,10.0,8.0,,,,,,,,,,,2.0,2.0,1.0,,2.0,,6.0,,,,1.0,1.0,1.0,3.0,,3.0,1.0,,2.0,2.0,,2.0,,,2.0,3.0,4.0,,,10.0,,,,,,,0.25,,,0.6666666666666666,,,0.7142857142857143,,,0.3333333333333333,0.25,,1.0,1.0,,0.5,,0.5,,0.5,,,,,1.0,0.5,109.87951807228914,14.222222222222221,12.1,14.222222222222221,11.4,,0.5,0.3333333333333333,0.5,0.16666666666666666,,,,0.3333333333333333,,,,0.3333333333333333,0.40899166666666664,,,0.2857142857142857,,,,8.475,23.0,,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100236-100342-100937-202251-202658,1611661319,"Tangela Smith, Becky Hammon, Shameka Christon, Jayne Appel Marinelli, Danielle Robinson","Smith, Hammon, Christon, Appel Marinelli, Robinson",100236-100342-100937-202251-202658,SAN,118.0,1,2.0,2.0,3.0,3.0,,,,6.0,2.0,,,,,,,1.0,,1.0,2.0,1.0,,5.0,3.0,,,,,,,,,,2.0,,1.0,,1.0,1.0,,2.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,5.0,,,,,1.0,1.0,0.5,,,0.8333333333333334,,,0.8333333333333334,,,0.3333333333333333,,,,,,,,1.0,,0.5,,,,,,1.0,73.22033898305085,13.0,26.333333333333332,13.0,20.0,0.6666666666666666,,,,,,,,0.3333333333333333,,,,1.0,0.6196166666666666,,,,,,,2.2,21.7,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,3.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100236-100342-100937-202634-203018,1611661319,"Tangela Smith, Becky Hammon, Shameka Christon, Danielle Adams, Shenise Johnson","Smith, Hammon, Christon, Adams, Johnson",100236-100342-100937-202634-203018,SAN,163.0,1,3.0,-1.0,6.0,6.0,,,,12.0,1.0,,,1.0,3.0,,,2.0,,1.0,4.0,2.0,,5.0,6.0,,,,,,,,,,2.0,,2.0,2.0,1.0,2.0,,5.0,,,,,3.0,,3.0,,3.0,,,,,,,,2.0,3.0,2.0,,,,5.0,,,,,1.0,1.0,0.25,,,0.4166666666666667,,,0.4166666666666667,,,0.3333333333333333,0.5,1.0,,,,1.0,,,,1.0,,,,,1.0,,106.0122699386503,15.166666666666666,12.0,15.166666666666666,12.0,0.16666666666666666,0.5,0.3333333333333333,0.5,,,,,0.3333333333333333,,,,0.5,0.4849833333333333,,,,,,,7.45,23.45,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100284-100937-200674-202634-202658,1611661319,"Tully Bevilaqua, Shameka Christon, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson","Bevilaqua, Christon, Young-Malcolm, Adams, Robinson",100284-100937-200674-202634-202658,SAN,5.0,1,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,288.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100342-100937-100952-203001-203018,1611661319,"Becky Hammon, Shameka Christon, Jia Perkins, Ziomara Morrison, Shenise Johnson","Hammon, Christon, Perkins, Morrison, Johnson",100342-100937-100952-203001-203018,SAN,169.0,1,3.0,,5.0,6.0,2.0,3.0,2.0,11.0,4.0,1.0,1.0,1.0,1.0,,,3.0,2.0,3.0,5.0,3.0,,6.0,6.0,1.0,2.0,,2.0,2.0,2.0,2.0,,4.0,4.0,2.0,3.0,2.0,2.0,2.0,,4.0,3.0,,,1.0,,1.0,2.0,3.0,5.0,,,,,,,,1.0,3.0,,,,,4.0,4.0,2.0,,,0.6666666666666666,1.0,0.6,0.5,1.0,0.375,0.3333333333333333,0.5,0.375,0.3333333333333333,0.5,0.375,0.4,0.5,,1.0,,,,1.0,1.0,0.3333333333333333,0.6,,,1.0,,1.0,93.72781065088756,17.4,13.666666666666666,15.6,13.166666666666666,0.5,0.125,1.0,1.0,,,,,0.375,0.3333333333333333,0.25,0.5,0.875,0.58279375,,0.5416625,,,0.3333333333333333,0.6666666666666666,4.1,22.099999999999998,0.4,,,,,,,,,,,,,,,,,,,,2.0,,2.0,0.5,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100342-100952-200674-202251-202658,1611661319,"Becky Hammon, Jia Perkins, Sophia Young-Malcolm, Jayne Appel Marinelli, Danielle Robinson","Hammon, Perkins, Young-Malcolm, Appel Marinelli, Robinson",100342-100952-200674-202251-202658,SAN,3178.0,20,53.0,12.0,98.0,96.0,21.0,16.0,14.0,194.0,17.0,2.0,5.0,10.0,19.0,10.0,19.0,25.0,6.0,26.0,55.0,28.0,23.0,111.0,99.0,1.0,5.0,3.0,14.0,3.0,11.0,7.0,11.0,26.0,24.0,28.0,24.0,4.0,12.0,23.0,4.0,57.0,5.0,8.0,1.0,7.0,20.0,,27.0,14.0,41.0,14.0,10.0,5.0,3.0,2.0,14.0,2.0,7.0,18.0,29.0,33.0,13.0,4.0,97.0,26.0,21.0,1.0,5.0,0.46153846153846156,0.48,0.4727272727272727,0.2,0.2727272727272727,0.5301204819277109,0.55,0.4166666666666667,0.5606060606060606,0.5384615384615384,0.52,0.3373493975903614,0.07272727272727272,0.17647058823529413,0.35714285714285715,,0.16666666666666666,0.5882352941176471,0.27586206896551724,0.6363636363636364,0.35714285714285715,0.6,0.3023255813953488,0.5454545454545454,0.1111111111111111,0.38461538461538464,0.8,0.6666666666666666,87.90434235368156,15.96938775510204,16.802083333333332,14.908163265306122,15.40625,0.20481927710843373,0.2289156626506024,0.5263157894736842,0.5555555555555556,0.2289156626506024,0.5263157894736842,0.5263157894736842,0.4,0.30120481927710846,0.2,0.2777777777777778,0.3333333333333333,0.5421686746987951,0.46545121951219515,0.4461,0.48993235294117643,0.1368421052631579,0.19402985074626866,0.12612612612612611,0.23423423423423423,9.396363636363635,23.839285714285715,0.21428571428571427,10.0,12.0,33.0,10.0,11.0,9.0,4.0,1.0,,,0.9166666666666666,0.42857142857142855,0.4444444444444444,0.05263157894736842,0.4,0.4166666666666667,0.9,0.4166666666666667,,6.0,3.0,4.0,0.35294117647058826,0.42857142857142855,0.6666666666666666,4.0,0.5384615384615384,0.45454545454545453,0.4,2.0,1.0,5.0,5.0,2.0,4.0,0.10256410256410256,0.5,0.2,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,0.6,0.42857142857142855,0.03571428571428571,0.04,0.1111111111111111,0.5,0.25,0.03614457831325301,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6,0.6666666666666666,0.05555555555555555,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100236-100284-202658-203001-203018,1611661319,"Tangela Smith, Tully Bevilaqua, Danielle Robinson, Ziomara Morrison, Shenise Johnson","Smith, Bevilaqua, Robinson, Morrison, Johnson",100236-100284-202658-203001-203018,SAN,11.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,11.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100236-100342-100937-100952-203018,1611661319,"Tangela Smith, Becky Hammon, Shameka Christon, Jia Perkins, Shenise Johnson","Smith, Hammon, Christon, Perkins, Johnson",100236-100342-100937-100952-203018,SAN,16.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,16.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
100236-100342-100952-203001-203018,1611661319,"Tangela Smith, Becky Hammon, Jia Perkins, Ziomara Morrison, Shenise Johnson","Smith, Hammon, Perkins, Morrison, Johnson",100236-100342-100952-203001-203018,SAN,352.0,3,6.0,-2.0,10.0,10.0,6.0,1.0,2.0,20.0,2.0,,1.0,,1.0,,2.0,2.0,1.0,1.0,5.0,3.0,3.0,8.0,10.0,,1.0,,,1.0,2.0,2.0,3.0,8.0,2.0,,2.0,,1.0,2.0,,5.0,1.0,1.0,,2.0,2.0,,4.0,2.0,6.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,4.0,2.0,,8.0,8.0,6.0,,,1.0,1.0,0.2,,0.5,0.3125,,0.625,0.4,,0.6666666666666666,0.375,,,0.5,,,1.0,0.25,1.0,0.5,1.0,0.3333333333333333,1.0,,,1.0,1.0,81.81818181818183,19.7,15.5,16.8,14.7,0.25,0.125,,,0.25,,,,0.25,,0.25,0.25,0.625,0.50568125,,0.554625,0.2,0.2857142857142857,,1.0,10.82,21.733333333333334,0.6,1.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,0.3333333333333333,0.3333333333333333,,0.5,0.5,1.0,0.5,,1.0,,1.0,0.5,0.5,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,0.5,,,,,,0.125,,,,,,,0.25,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,False
