EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffThreePtRebounds,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyTurnovers,FTOffRebounds,OffFTReboundPct,OffShortMidRangeReboundPct,PenaltyAtRimFGM,LongMidRangeFGM,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimAccuracy,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,PtsUnassisted3s,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedAtRim,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3FGA,3SecondViolations,LongMidRangePctBlocked,PenaltyCorner3Frequency,Loose Ball Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,Charge Fouls Drawn,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,Technical Free Throw Trips,BlockedArc3,Arc3PctBlocked,team_id,year,season,team_vs
100656-100721-201062-201480-202664,1611661329,"Ruth Riley, Swin Cash, Shay Murphy, Sylvia Fowles, Courtney Vandersloot","Riley, Cash, Murphy, Fowles, Vandersloot",100656-100721-201062-201480-202664,CHI,265.0,2,4.0,-7.0,9.0,10.0,2.0,1.0,19.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,0.3333333333333333,0.2,0.3333333333333333,0.4,0.5,1.0,0.5,1.0,1.0,0.25,0.5,1.0,1.0,1.0,103.24528301886792,15.0,13.0,14.333333333333334,13.0,0.2,1.0,1.0,0.4,0.2,0.2,1.0,0.6,0.52874,0.5763,0.16666666666666666,0.25,10.833333333333334,22.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100656-100973-201909-202259-202664,1611661329,"Ruth Riley, Le'coe Willingham, Sonja Petrovic, Epiphanny Prince, Courtney Vandersloot","Riley, Willingham, Petrovic, Prince, Vandersloot",100656-100973-201909-202259-202664,CHI,487.0,5,8.0,-11.0,17.0,15.0,,3.0,32.0,,4.0,4.0,1.0,3.0,,1.0,11.0,4.0,7.0,9.0,20.0,,2.0,3.0,2.0,2.0,2.0,5.0,3.0,8.0,2.0,,1.0,,1.0,,1.0,,2.0,1.0,2.0,7.0,8.0,2.0,5.0,0.09090909090909091,0.06666666666666667,0.23684210526315788,0.26666666666666666,0.5,1.0,0.2,1.0,1.0,0.21428571428571427,,1.0,1.0,1.0,94.62012320328542,19.41176470588235,10.466666666666667,17.235294117647058,10.466666666666667,0.26666666666666666,,,0.26666666666666666,0.06666666666666667,0.2,,0.5333333333333333,0.47453666666666666,0.36465,0.11764705882352941,0.15384615384615385,8.681818181818182,22.125,4.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,0.5,0.21428571428571427,0.2727272727272727,0.75,1.0,0.25,0.5,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.5,0.4,0.2,0.51637,0.4444444444444444,0.3333333333333333,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100656-201062-201477-202664-202670,1611661329,"Ruth Riley, Shay Murphy, Tamera Young, Courtney Vandersloot, Carolyn Swords","Riley, Murphy, Young, Vandersloot, Swords",100656-201062-201477-202664-202670,CHI,148.0,1,2.0,-7.0,5.0,4.0,,2.0,9.0,,2.0,,,,,,4.0,,2.0,2.0,9.0,,,,2.0,,,,2.0,2.0,,,1.0,1.0,,,,,1.0,,,1.0,2.0,1.0,,,,0.2,,1.0,,0.5,,,0.5,,,,,87.56756756756756,20.4,11.5,19.0,11.5,0.5,,,,,,,0.5,0.43885,0.4022,0.2,0.2,5.2,,4.0,,1.0,,2.0,,1.0,2.0,2.0,3.0,,,,2.0,,,,,,,,4.0,,0.5,,0.5,1.0,,,1.0,,0.5,,,,0.3333333333333333,,0.4897666666666667,1.0,,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100656-201062-201480-201909-202664,1611661329,"Ruth Riley, Shay Murphy, Sylvia Fowles, Sonja Petrovic, Courtney Vandersloot","Riley, Murphy, Fowles, Petrovic, Vandersloot",100656-201062-201480-201909-202664,CHI,90.0,3,2.0,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,3.0,,2.0,2.0,,,,,1.0,,,,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,,,0.25,,,,0.5,,,0.5,,,,,48.0,26.0,38.0,8.5,38.0,,,,,,,,,0.28963333333333335,0.3281,0.25,0.25,8.033333333333333,,1.0,,,,3.0,,2.0,,,1.0,,2.0,2.0,,,,1.0,,,,2.0,1.0,,,0.5,,,,,,,1.0,,,,,,0.2127,,1.0,0.5,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100721-100973-201477-202664-202670,1611661329,"Swin Cash, Le'coe Willingham, Tamera Young, Courtney Vandersloot, Carolyn Swords","Cash, Willingham, Young, Vandersloot, Swords",100721-100973-201477-202664-202670,CHI,225.0,5,4.0,6.0,10.0,7.0,1.0,1.0,17.0,3.0,6.0,2.0,,,,4.0,11.0,,2.0,10.0,4.0,,4.0,,2.0,,4.0,4.0,2.0,6.0,1.0,,,,1.0,,,,1.0,,,2.0,3.0,2.0,10.0,0.36363636363636365,0.36363636363636365,0.4166666666666667,,,1.0,0.2857142857142857,,1.0,0.2857142857142857,1.0,1.0,,,108.8,14.6,11.285714285714286,12.1,10.857142857142858,0.5454545454545454,0.5,0.6,0.18181818181818182,,,,0.5454545454545454,0.41765454545454544,0.309,0.16666666666666666,0.16666666666666666,6.954545454545454,,7.0,,5.0,,3.0,,2.0,,,8.0,,1.0,5.0,1.0,,,1.0,1.0,,,5.0,7.0,,,0.3125,0.09090909090909091,0.16666666666666666,,,0.3333333333333333,,0.2727272727272727,,,,0.625,,0.4223625,,0.5,0.7,,,,,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.25,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100721-201480-201909-202259-202664,1611661329,"Swin Cash, Sylvia Fowles, Sonja Petrovic, Epiphanny Prince, Courtney Vandersloot","Cash, Fowles, Petrovic, Prince, Vandersloot",100721-201480-201909-202259-202664,CHI,152.0,3,3.0,-1.0,4.0,7.0,4.0,,11.0,2.0,2.0,,,1.0,,2.0,2.0,1.0,2.0,9.0,10.0,,4.0,1.0,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,9.0,1.0,1.1666666666666667,1.125,0.3333333333333333,,,,,,,,,,,104.21052631578948,11.25,15.285714285714286,11.25,15.285714285714286,0.6666666666666666,1.0,1.0,,,0.3333333333333333,,1.0,0.64525,,0.5,0.6666666666666666,0.65,22.7,3.0,,2.0,,,1.0,,,,2.0,1.0,,7.0,,,,,,,,7.0,3.0,,,1.1666666666666667,,,,,,,,,,,0.6666666666666666,0.3333333333333333,0.64525,,0.7777777777777778,0.75,,,,,2.0,,2.0,,,1.0,,,3.0,1.0,,,,,,,1.0,1.1666666666666667,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100721-201477-201480-201909-202664,1611661329,"Swin Cash, Tamera Young, Sylvia Fowles, Sonja Petrovic, Courtney Vandersloot","Cash, Young, Fowles, Petrovic, Vandersloot",100721-201477-201480-201909-202664,CHI,2346.0,7,39.0,32.0,78.0,78.0,14.0,9.0,156.0,10.0,18.0,8.0,7.0,19.0,2.0,17.0,39.0,26.0,23.0,99.0,67.0,3.0,14.0,19.0,6.0,4.0,24.0,29.0,12.0,41.0,11.0,1.0,4.0,4.0,8.0,2.0,,1.0,12.0,6.0,15.0,19.0,26.0,13.0,87.0,0.4358974358974359,0.5846153846153846,0.6428571428571429,0.4,0.3333333333333333,0.75,0.2727272727272727,0.6666666666666666,0.7368421052631579,0.3235294117647059,0.25,0.8,0.625,0.6,95.7544757033248,15.115384615384615,14.961538461538462,14.14102564102564,14.205128205128204,0.27692307692307694,0.5555555555555556,0.625,0.12307692307692308,0.1076923076923077,0.2923076923076923,0.25,0.676923076923077,0.515253076923077,0.5146083333333333,0.17105263157894737,0.26,7.489743589743591,22.01153846153846,12.0,2.0,2.0,3.0,13.0,5.0,5.0,2.0,12.0,4.0,5.0,6.0,11.0,4.0,5.0,1.0,10.0,1.0,1.0,1.0,11.0,12.0,1.0,0.6666666666666666,0.4583333333333333,0.10256410256410256,0.1111111111111111,0.5,0.4166666666666667,0.125,0.3333333333333333,0.2,0.23076923076923078,0.2727272727272727,0.25,0.2222222222222222,0.5555555555555556,0.5297611111111111,0.12121212121212122,0.1111111111111111,0.15384615384615385,,1.0,0.3333333333333333,0.4,1.0,4.0,1.0,20.0,10.0,22.0,6.0,3.0,56.0,2.0,5.0,,5.0,4.0,0.5882352941176471,0.625,0.25,0.2777777777777778,0.7857142857142857,0.8,0.6,0.5,0.5,0.75,0.5,10.0,1.0,14.0,1.0,36.0,10.0,12.0,8.0,,0.8571428571428571,0.5384615384615384,0.2,0.5384615384615384,0.5263157894736842,0.5263157894736842,0.8,0.2,0.5263157894736842,1.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.6666666666666666,0.4,0.625,0.15384615384615385,0.6666666666666666,1.0,0.03333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,1.0,0.5,0.125,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100234-100721-201062-201477-201480,1611661329,"Ticha Penicheiro, Swin Cash, Shay Murphy, Tamera Young, Sylvia Fowles","Penicheiro, Cash, Murphy, Young, Fowles",100234-100721-201062-201477-201480,CHI,2155.0,6,36.0,1.0,68.0,65.0,20.0,10.0,133.0,8.0,17.0,10.0,6.0,13.0,,12.0,42.0,19.0,12.0,57.0,56.0,2.0,10.0,13.0,9.0,7.0,17.0,26.0,13.0,39.0,5.0,,2.0,1.0,11.0,2.0,1.0,1.0,13.0,7.0,16.0,15.0,20.0,8.0,51.0,0.2857142857142857,0.36885245901639346,0.40714285714285714,0.3114754098360656,0.15384615384615385,0.85,0.3,0.875,0.8571428571428571,0.2619047619047619,,0.7777777777777778,1.0,1.0,88.8723897911833,16.573529411764707,15.815384615384616,15.25,15.538461538461538,0.2786885245901639,0.47058823529411764,0.5333333333333333,0.16393442622950818,0.09836065573770492,0.21311475409836064,,0.5901639344262295,0.48389754098360654,0.51495625,0.11940298507462686,0.16666666666666666,8.119047619047619,21.81578947368421,15.0,4.0,4.0,3.0,15.0,4.0,8.0,2.0,6.0,7.0,5.0,4.0,14.0,4.0,2.0,2.0,5.0,2.0,,3.0,14.0,15.0,3.0,0.25,0.4375,0.09523809523809523,0.11764705882352941,0.6666666666666666,0.16666666666666666,0.3333333333333333,,0.2459016393442623,0.2,0.21428571428571427,0.4,0.3333333333333333,0.3333333333333333,0.5225541666666667,0.10526315789473684,0.24561403508771928,0.22058823529411764,4.0,2.0,1.0,0.5,2.0,1.0,2.0,14.0,7.0,14.0,5.0,1.0,35.0,2.0,2.0,,2.0,1.0,0.5833333333333334,0.7,0.2857142857142857,0.4166666666666667,0.8333333333333334,0.5,0.625,0.1,0.1111111111111111,1.0,0.5,6.0,2.0,7.0,2.0,21.0,6.0,7.0,6.0,1.0,1.0,0.3684210526315789,0.4,0.3684210526315789,0.46153846153846156,0.46153846153846156,1.0,0.5,0.46153846153846156,2.0,1.0,,2.0,,2.0,,,4.0,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,0.25,0.2,0.06666666666666667,0.4,0.6666666666666666,0.07894736842105263,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.5,0.2,,,,1.0,2.0,0.1,0.08333333333333333,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100234-201062-201477-201480-201909,1611661329,"Ticha Penicheiro, Shay Murphy, Tamera Young, Sylvia Fowles, Sonja Petrovic","Penicheiro, Murphy, Young, Fowles, Petrovic",100234-201062-201477-201480-201909,CHI,106.0,1,2.0,2.0,3.0,2.0,1.0,1.0,5.0,,,1.0,,,,1.0,2.0,,,2.0,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,2.0,,,,2.0,0.5,0.5,0.5,,,0.3333333333333333,,,0.2,,,,1.0,,67.9245283018868,9.0,39.5,7.333333333333333,24.0,,,,0.5,,,,,0.4333,0.4568,,,12.5,,3.0,,,,1.0,,1.0,,,2.0,,,2.0,,,,1.0,,,,2.0,3.0,,,0.5,,,,,,,0.5,,,,,,0.4333,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,0.5,0.5,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
100656-100721-201909-202259-202664,1611661329,"Ruth Riley, Swin Cash, Sonja Petrovic, Epiphanny Prince, Courtney Vandersloot","Riley, Cash, Petrovic, Prince, Vandersloot",100656-100721-201909-202259-202664,CHI,343.0,3,6.0,-1.0,12.0,12.0,,,24.0,,2.0,4.0,1.0,1.0,,4.0,8.0,2.0,,11.0,12.0,,,1.0,,2.0,2.0,4.0,,4.0,1.0,1.0,2.0,1.0,,,1.0,,2.0,2.0,3.0,,,,11.0,0.5,0.55,0.55,0.2,1.0,0.5,,1.0,0.6666666666666666,,,0.3333333333333333,,1.0,100.75801749271137,13.916666666666666,14.666666666666666,13.916666666666666,14.166666666666666,0.2,,,0.4,0.1,0.1,,0.4,0.46148999999999996,,,,11.725,22.2,5.0,,1.0,2.0,2.0,,,,,4.0,,,6.0,,,,,,,,6.0,5.0,,,0.75,,,,,,,0.2,1.0,1.0,,0.25,,0.41755,,0.5454545454545454,0.4166666666666667,1.0,,,,,2.0,3.0,8.0,4.0,5.0,,2.0,11.0,,2.0,,2.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,,0.5,0.5,1.0,,,,1.0,,3.0,,1.0,,,1.0,0.5,,0.5,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2012,2012,True
