EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,ShootingFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,AtRimFGM,AtRimFGA,Arc3FGA,FG3A,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,AtRimAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls Drawn,BlockingFoulsDrawn,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls Drawn,BlockedAtRim,BlockedLongMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Fg2aBlocked,LongMidRangeAssists,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctAssisted,ShortMidRangePctBlocked,HeaveAttempts,BlockingFouls,Charge Fouls,Offensive Fouls,3SecondViolations,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
100076-100404-201067-202252-203015,1611661328,"Tina Thompson, Katie Smith, Camille Little, Alysha Clark, Shekinna Stricklen","Thompson, Smith, Little, Clark, Stricklen",100076-100404-201067-202252-203015,SEA,48.0,1,1.0,-2.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,150.0,12.5,7.666666666666667,12.5,7.666666666666667,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100076-100720-201067-202318-203015,1611661328,"Tina Thompson, Sue Bird, Camille Little, Ewelina Kobryn, Shekinna Stricklen","Thompson, Bird, Little, Kobryn, Stricklen",100076-100720-201067-202318-203015,SEA,58.0,1,1.0,-3.0,1.0,2.0,,,3.0,,2.0,5.0,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,74.48275862068965,27.0,15.5,27.0,15.5,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3511,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100404-100445-100682-201067-203015,1611661328,"Katie Smith, Ann Wauters, Lauren Jackson, Camille Little, Shekinna Stricklen","Smith, Wauters, Jackson, Little, Stricklen",100404-100445-100682-201067-203015,SEA,172.0,1,3.0,1.0,5.0,5.0,,,10.0,,4.0,3.0,,,1.0,3.0,3.0,,,,,1.0,,,,4.0,,,,0.4,,,0.3333333333333333,0.6,,83.72093023255813,12.6,21.8,12.6,14.8,,,,,,1.0,2.0,3.0,,,,,,1.0,,,0.6666666666666666,0.4,0.2,,,,0.47987,5.8,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.5,1.0,0.4,1.0,1.0,0.4,0.8,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100404-100445-201067-202252-203015,1611661328,"Katie Smith, Ann Wauters, Camille Little, Alysha Clark, Shekinna Stricklen","Smith, Wauters, Little, Clark, Stricklen",100404-100445-201067-202252-203015,SEA,473.0,1,8.0,-7.0,16.0,16.0,4.0,,32.0,2.0,10.0,17.0,,,1.0,6.0,6.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,10.0,,4.0,,0.45454545454545453,,0.2,1.0,0.75,,97.42071881606765,14.3125,15.25,14.3125,14.875,0.09090909090909091,0.14285714285714285,,0.25,1.0,2.0,4.0,6.0,4.0,2.0,2.0,,4.0,1.0,0.5,0.5,0.6666666666666666,0.4,0.2,0.5,0.5,,0.46962000000000004,6.533333333333334,3.0,3.0,3.0,4.0,4.0,3.0,5.0,,,,,0.4,0.7142857142857143,0.3333333333333333,1.0,1.0,,0.3,1.0,1.0,0.3,0.7,21.85,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,0.6666666666666666,0.1,0.1,0.3333333333333333,0.3333333333333333,0.4644333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100404-100682-100720-101030-202252,1611661328,"Katie Smith, Lauren Jackson, Sue Bird, Tanisha Wright, Alysha Clark","Smith, Jackson, Bird, Wright, Clark",100404-100682-100720-101030-202252,SEA,97.0,1,2.0,-2.0,3.0,3.0,,,6.0,,2.0,4.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,2.0,,,,0.5,,,1.0,1.0,,89.0721649484536,18.666666666666668,13.666666666666666,18.666666666666668,13.666666666666666,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,0.5,0.5,1.0,1.0,,0.377775,4.6,,,1.0,1.0,2.0,1.0,,,,,,0.5,,,,1.0,,,,,0.5,0.5,21.2,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100404-101030-201067-202252-203015,1611661328,"Katie Smith, Tanisha Wright, Camille Little, Alysha Clark, Shekinna Stricklen","Smith, Wright, Little, Clark, Stricklen",100404-101030-201067-202252-203015,SEA,318.0,2,5.0,2.0,12.0,12.0,9.0,6.0,24.0,5.0,11.0,9.0,4.0,8.0,,2.0,4.0,,,,,2.0,6.0,5.0,2.0,8.0,8.0,9.0,1.0,0.39285714285714285,0.4444444444444444,,,0.6666666666666666,,108.67924528301887,12.666666666666666,13.833333333333334,11.416666666666666,13.833333333333334,0.15384615384615385,0.2,0.7272727272727273,0.75,,1.0,3.0,9.0,2.0,1.0,1.0,,2.0,,0.3333333333333333,0.5,0.3333333333333333,0.25,0.08333333333333333,,,,0.4994083333333333,9.622222222222222,3.0,4.0,1.0,3.0,4.0,1.0,2.0,,,,,0.25,1.0,1.0,,,,0.3333333333333333,0.75,0.75,0.08333333333333333,0.5833333333333334,21.7,4.0,2.0,2.0,1.0,4.0,3.0,1.0,,,2.0,,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.14285714285714285,0.5286857142857143,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2857142857142857,0.75,0.3333333333333333,0.2222222222222222,1.0,0.25,0.1111111111111111,0.5,1.0,0.5,0.2857142857142857,1.0,0.65705,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100076-100404-100720-101030-201067,1611661328,"Tina Thompson, Katie Smith, Sue Bird, Tanisha Wright, Camille Little","Thompson, Smith, Bird, Wright, Little",100076-100404-100720-101030-201067,SEA,3286.0,10,55.0,5.0,98.0,92.0,33.0,22.0,190.0,31.0,122.0,117.0,19.0,47.0,6.0,31.0,44.0,5.0,2.0,16.0,3.0,27.0,35.0,43.0,14.0,102.0,45.0,32.0,3.0,0.6421052631578947,0.6714285714285714,0.3125,0.5,0.5087719298245614,,83.26232501521606,17.418367346938776,17.16304347826087,16.285714285714285,15.33695652173913,0.16091954022988506,0.25925925925925924,0.38524590163934425,0.336734693877551,6.0,11.0,26.0,41.0,18.0,9.0,21.0,2.0,54.0,16.0,0.34615384615384615,0.375,0.6341463414634146,0.6148648648648649,0.14864864864864866,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.4985202702702703,6.804878048780488,17.0,21.0,20.0,33.0,34.0,20.0,23.0,3.0,,3.0,,0.44594594594594594,0.5111111111111111,0.6,0.55,0.5454545454545454,,0.28378378378378377,0.8095238095238095,0.8095238095238095,0.2702702702702703,0.7297297297297297,22.642424242424244,9.0,13.0,3.0,8.0,11.0,11.0,7.0,4.0,11.0,1.0,1.0,0.4117647058823529,0.12162162162162163,0.17567567567567569,0.13636363636363635,0.36363636363636365,0.45389999999999997,13.0,3.0,3.0,5.0,6.0,,5.0,6.0,2.0,7.0,20.0,5.0,4.0,3.0,13.0,,5.0,2.0,3.0,2.0,,1.0,8.0,7.0,0.8333333333333334,0.45454545454545453,0.8125,0.6363636363636364,0.8333333333333334,0.2,0.34285714285714286,,0.16666666666666666,,0.375,1.0,,0.2727272727272727,0.8333333333333334,0.409825,0.16393442622950818,3.0,4.0,1.0,9.0,1.0,2.0,5.0,13.0,1.0,6.0,36.0,3.0,9.0,1.0,12.0,8.0,4.0,9.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.9230769230769231,0.3939393939393939,0.5,0.5454545454545454,0.3939393939393939,0.030303030303030304,0.07692307692307693,0.5,0.2,0.45,0.4,0.36363636363636365,0.5555555555555556,0.3,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.3333333333333333,1.0,0.45,0.45,0.8888888888888888,0.6666666666666666,0.25,0.5,1.0,0.3333333333333333,0.625,0.45,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100076-100404-100445-202252-203015,1611661328,"Tina Thompson, Katie Smith, Ann Wauters, Alysha Clark, Shekinna Stricklen","Thompson, Smith, Wauters, Clark, Stricklen",100076-100404-100445-202252-203015,SEA,259.0,1,4.0,-4.0,7.0,8.0,1.0,,15.0,,9.0,13.0,,3.0,,2.0,2.0,,,1.0,,2.0,,,,9.0,3.0,1.0,,0.75,1.5,,,0.4,,83.39768339768341,16.428571428571427,18.0,16.428571428571427,15.0,,,0.3333333333333333,0.14285714285714285,,1.0,3.0,4.0,4.0,2.0,3.0,,7.0,,0.6666666666666666,0.6666666666666666,0.75,0.75,0.16666666666666666,,,,0.5113833333333333,4.15,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,0.3333333333333333,0.5,0.3333333333333333,1.0,,,0.5,1.0,1.0,0.16666666666666666,0.8333333333333334,24.55,,1.0,1.0,,,1.0,2.0,,1.0,,,0.6666666666666666,,0.16666666666666666,1.0,,0.50265,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.5,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,3.0,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,0.5,,1.0,0.5,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100076-100404-100658-202318-203015,1611661328,"Tina Thompson, Katie Smith, Svetlana Abrosimova, Ewelina Kobryn, Shekinna Stricklen","Thompson, Smith, Abrosimova, Kobryn, Stricklen",100076-100404-100658-202318-203015,SEA,501.0,5,8.0,-3.0,15.0,15.0,2.0,1.0,30.0,,13.0,16.0,,,4.0,7.0,9.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,11.0,,2.0,,0.43333333333333335,,0.5,1.0,1.0,1.0,86.22754491017965,17.533333333333335,15.866666666666667,17.4,15.866666666666667,0.06666666666666667,0.09090909090909091,,0.13333333333333333,3.0,6.0,5.0,11.0,6.0,3.0,4.0,2.0,9.0,2.0,0.6,0.75,0.45454545454545453,0.43333333333333335,0.4,0.5,0.5,0.6666666666666666,0.46204999999999996,11.054545454545455,1.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.5,1.0,0.13333333333333333,0.4,23.05,3.0,2.0,,,1.0,,,,1.0,1.0,,,0.2,0.13333333333333333,,,0.3147,2.0,1.0,1.0,,,,1.0,1.0,,,2.0,,2.0,2.0,2.0,,,,,,,1.0,,,1.0,,1.0,,1.0,0.3333333333333333,0.2222222222222222,1.0,,,1.0,1.0,,,,0.7161,0.15384615384615385,1.0,1.0,,,,,,1.0,,,3.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,0.25,,,0.25,,,,,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,1.0,1.0,0.09090909090909091,0.5,1.0,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100076-100404-100445-100682-203015,1611661328,"Tina Thompson, Katie Smith, Ann Wauters, Lauren Jackson, Shekinna Stricklen","Thompson, Smith, Wauters, Jackson, Stricklen",100076-100404-100445-100682-203015,SEA,21.0,1,,-1.0,,1.0,,,1.0,,2.0,3.0,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,68.57142857142857,,15.0,,15.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,0.6811,1.5,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
100076-100404-100682-100720-101030,1611661328,"Tina Thompson, Katie Smith, Lauren Jackson, Sue Bird, Tanisha Wright","Thompson, Smith, Jackson, Bird, Wright",100076-100404-100682-100720-101030,SEA,19.0,1,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,19.0,,19.0,,,,,,,,,1.0,,,,,,,,,,,,,,,0.3397,19.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2012,2012,False
