EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted3s,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,LostBallOutOfBoundsTurnovers,ShootingFouls,Fouls,Charge Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,DefTwoPtRebounds,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,PtsPutbacks,LostBallTurnovers,Offensive Fouls,OffShortMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,ShortMidRangeAssists,BlockingFouls,Offensive Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg3Pct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Corner3FGA,PenaltyCorner3FGA,Fg2aBlocked,OffThreePtRebounds,SelfOReb,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,HeaveMakes,HeaveAttempts,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,FTDefRebounds,DefFTReboundPct,Blocked3s,BlockedArc3,team_id,year,season,team_vs
100396-100928-100949-201496-201911,1611661320,"DeLisha Milton-Jones, Ebony Hoffman, Alana Beard, Candace Parker, Kristi Toliver","Milton-Jones, Hoffman, Beard, Parker, Toliver",100396-100928-100949-201496-201911,LAS,73.0,1,1.0,-2.0,3.0,3,3.0,6,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.5,0.5,0.5,1.0,118.35616438356165,11.0,13.333333333333334,11.0,13.333333333333334,0.5,1.0,1.0,0.5,0.38305,0.3333333333333333,0.3333333333333333,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100928-100949-201496-202626,1611661320,"DeLisha Milton-Jones, Ebony Hoffman, Alana Beard, Candace Parker, Jenna O'Hea","Milton-Jones, Hoffman, Beard, Parker, O'Hea",100396-100928-100949-201496-202626,LAS,81.0,1,1.0,,4.0,4,4.0,8,,,,1.0,1.0,,5.0,5.0,,1.0,,,,1.0,,,,5.0,1.0,1.25,1.25,,142.2222222222222,6.75,13.5,6.75,13.5,,,,,0.65795,,,0.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.65795,1.0,21.4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100928-100949-201911-203014,1611661320,"DeLisha Milton-Jones, Ebony Hoffman, Alana Beard, Kristi Toliver, Nneka Ogwumike","Milton-Jones, Hoffman, Beard, Toliver, Ogwumike",100396-100928-100949-201911-203014,LAS,68.0,1,1.0,-1.0,2.0,2,2.0,4,,1.0,,,1.0,,3.0,4.0,,,,,,,1.0,,,3.0,,0.75,0.75,,84.70588235294117,21.5,12.5,21.5,11.5,0.5,,,,0.475975,,,10.1,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.5,,,,,,,,0.5,1.0,1.0,,,,,,0.5,1.0,,,21.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201496-201500-201911,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Nicky Anosike, Kristi Toliver","Milton-Jones, Beard, Parker, Anosike, Toliver",100396-100949-201496-201500-201911,LAS,434.0,3,7.0,-2.0,15.0,16,10.0,31,1.0,2.0,3.0,4.0,8.0,5.0,13.0,15.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,7.0,4.0,9.0,0.5,0.4444444444444444,0.5416666666666666,0.2,102.85714285714286,12.8,15.125,12.666666666666666,12.6875,0.2222222222222222,0.5,0.5,0.3333333333333333,0.43187777777777775,0.3333333333333333,0.36363636363636365,8.975,7.0,2.0,3.0,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,5.0,6.0,,1.0,,3.0,,3.0,,2.0,6.0,3.0,3.0,5.0,1.0,1.0,4.0,3.0,5.0,7.0,0.75,0.75,,,,,1.0,0.5,0.625,0.1111111111111111,0.6,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,,,,,,0.5,,0.4444444444444444,,0.40345,0.38461538461538464,21.4,0.4666666666666667,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.4,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.6096,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201496-201500-202626,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Nicky Anosike, Jenna O'Hea","Milton-Jones, Beard, Parker, Anosike, O'Hea",100396-100949-201496-201500-202626,LAS,116.0,1,2.0,-1.0,4.0,5,,9,,,1.0,1.0,3.0,1.0,3.0,4.0,,,,,,,2.0,2.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.375,,111.72413793103448,15.0,11.2,15.0,11.2,,,,0.3333333333333333,0.4935333333333333,0.25,0.25,7.533333333333334,,1.0,2.0,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,1.0,2.0,,3.0,3.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201496-201911-202626,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Kristi Toliver, Jenna O'Hea","Milton-Jones, Beard, Parker, Toliver, O'Hea",100396-100949-201496-201911-202626,LAS,138.0,1,2.0,-2.0,5.0,5,,10,1.0,2.0,,3.0,4.0,,6.0,8.0,6.0,1.0,,1.0,,2.0,,,,4.0,0.75,0.75,0.75,0.5,104.34782608695653,14.8,12.8,14.8,12.8,0.5,0.5,0.5,,0.564675,,,7.9,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,0.5,,,,,,,1.0,1.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,0.6768,0.3333333333333333,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201496-201911-202650,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Kristi Toliver, Jantel Lavender","Milton-Jones, Beard, Parker, Toliver, Lavender",100396-100949-201496-201911-202650,LAS,376.0,1,6.0,8.0,11.0,12,1.0,23,1.0,1.0,,8.0,9.0,2.0,24.0,16.0,10.0,1.0,1.0,1.0,,1.0,4.0,2.0,2.0,21.0,0.8888888888888888,1.0,1.0909090909090908,1.0,88.08510638297872,14.363636363636363,18.166666666666668,14.0,16.833333333333332,0.09090909090909091,1.0,1.0,,0.6351045454545455,0.18181818181818182,0.2222222222222222,1.7444444444444445,,7.0,8.0,,,2.0,2.0,,,2.0,2.0,,,,,,6.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,9.0,,3.0,4.0,,,,,,,0.375,0.375,0.5,1.0,,1.0,,,,0.18181818181818182,,0.5,,0.7272727272727273,0.875,0.875,0.2857142857142857,0.18181818181818182,1.0,1.0,0.5,,,,,0.9090909090909091,1.0,,,21.7,,3.0,1.0,,,,,,,3.0,,,1.0,1.0,,2.0,4.0,,2.0,1.0,,,1.0,,,1.5,1.5,1.0,1.0,1.0,,,,,,,,,0.55695,0.125,3.0,0.6,,0.5,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201496-201911-203014,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Kristi Toliver, Nneka Ogwumike","Milton-Jones, Beard, Parker, Toliver, Ogwumike",100396-100949-201496-201911-203014,LAS,3784.0,4,63.0,-2.0,120.0,115,11.0,235,10.0,24.0,24.0,45.0,88.0,23.0,128.0,130.0,50.0,11.0,9.0,12.0,8.0,19.0,25.0,33.0,13.0,98.0,0.5113636363636364,0.481651376146789,0.512,0.631578947368421,89.4291754756871,15.058333333333334,17.191304347826087,14.241666666666667,15.965217391304348,0.22018348623853212,0.4166666666666667,0.43478260869565216,0.22018348623853212,0.47553440366972477,0.10743801652892562,0.13,7.986363636363635,18.0,24.0,40.0,3.0,6.0,5.0,18.0,1.0,2.0,5.0,21.0,6.0,11.0,1.0,4.0,23.0,40.0,12.0,18.0,5.0,20.0,4.0,24.0,4.0,12.0,52.0,10.0,34.0,58.0,2.0,2.0,7.0,2.0,23.0,18.0,0.4444444444444444,0.5263157894736842,0.8,0.23809523809523808,0.25,0.23809523809523808,0.5454545454545454,0.5,0.6052631578947368,0.1926605504587156,0.625,0.576271186440678,0.6,0.3669724770642202,0.6,0.631578947368421,0.5,0.1651376146788991,0.2777777777777778,0.2777777777777778,0.8,0.4,0.5,0.13333333333333333,0.5,0.5596330275229358,0.2777777777777778,0.48234666666666665,0.1796875,23.104761904761904,0.15,3.0,20.0,6.0,11.0,11.0,10.0,17.0,4.0,30.0,8.0,5.0,16.0,24.0,2.0,8.0,24.0,,1.0,7.0,5.0,,7.0,,0.5882352941176471,0.6842105263157895,0.6818181818181818,0.3902439024390244,0.42857142857142855,0.375,0.4166666666666667,1.0,0.4583333333333333,0.4583333333333333,0.45454545454545453,0.5789473684210527,0.5454545454545454,,0.547534375,0.234375,24.0,0.5581395348837209,0.47058823529411764,0.5882352941176471,14.0,4.0,2.0,0.38461538461538464,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.14285714285714285,0.3,0.10526315789473684,1.0,3.0,2.0,3.0,8.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,5.0,0.03409090909090909,0.05,0.041666666666666664,0.5333333333333333,0.5833333333333334,0.3333333333333333,0.018867924528301886,0.027522935779816515,1.0,0.13333333333333333,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201496-202626-202650,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Jenna O'Hea, Jantel Lavender","Milton-Jones, Beard, Parker, O'Hea, Lavender",100396-100949-201496-202626-202650,LAS,113.0,1,2.0,-2.0,4.0,2,,6,,,1.0,1.0,2.0,,2.0,4.0,2.0,,,1.0,1.0,2.0,,,,2.0,0.5,0.5,0.5,0.5,76.46017699115045,15.25,26.0,15.25,26.0,,,,0.5,0.4667,,,9.25,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
100396-100949-201911-202626-203014,1611661320,"DeLisha Milton-Jones, Alana Beard, Kristi Toliver, Jenna O'Hea, Nneka Ogwumike","Milton-Jones, Beard, Toliver, O'Hea, Ogwumike",100396-100949-201911-202626-203014,LAS,127.0,1,2.0,-6.0,4.0,5,2.0,9,,,1.0,,2.0,,,6.0,,,,,,,,,,,,,,,102.04724409448819,18.75,10.4,18.75,10.4,,,,0.25,0.5122,,,8.9,,,1.0,,,,2.0,,,,2.0,,,,,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,0.5,1.0,0.6666666666666666,1.0,0.25,,,,0.5,,,,,,,,0.75,,,,21.3,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,False
