EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Corner3Assists,AtRimAssists,ShortMidRangeAssists,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,2pt And 1 Free Throw Trips,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,PtsPutbacks,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Loose Ball Fouls Drawn,FTOffRebounds,Offensive Fouls,OffFTReboundPct,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,team_id,year,season,team_vs
100236-100284-100937-202634-203018,1611661319,"Tangela Smith, Tully Bevilaqua, Shameka Christon, Danielle Adams, Shenise Johnson","Smith, Bevilaqua, Christon, Adams, Johnson",100236-100284-100937-202634-203018,SAN,259.0,2,4.0,8.0,8.0,8.0,2.0,16.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,1.0,2.0,13.0,5.0,2.0,3.0,4.0,2.0,8.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,4.0,4.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,0.2,0.2,1.0,0.5,0.5,0.5555555555555556,0.6666666666666666,0.5909090909090909,0.6666666666666666,0.5909090909090909,0.6666666666666666,0.18181818181818182,0.2222222222222222,0.25,0.25,1.0,0.75,0.75,1.0,1.0,0.8,0.8,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,88.95752895752896,14.75,17.625,13.125,16.875,0.36363636363636365,0.75,1.0,0.36363636363636365,0.25,0.3333333333333333,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,1.0,0.5454545454545454,1.0,0.4848590909090909,0.53205,0.3076923076923077,6.977777777777778,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100342-100937-100952-200674-202634,1611661319,"Becky Hammon, Shameka Christon, Jia Perkins, Sophia Young-Malcolm, Danielle Adams","Hammon, Christon, Perkins, Young-Malcolm, Adams",100342-100937-100952-200674-202634,SAN,2016.0,14,34.0,-33.0,66.0,70.0,7.0,136.0,9.0,14.0,,1.0,1.0,10.0,6.0,13.0,5.0,4.0,10.0,16.0,37.0,7.0,15.0,68.0,101.0,1.0,4.0,3.0,20.0,12.0,21.0,10.0,4.0,3.0,10.0,7.0,17.0,4.0,4.0,41.0,2.0,6.0,6.0,12.0,20.0,8.0,28.0,2.0,4.0,1.0,5.0,3.0,11.0,16.0,25.0,65.0,0.625,0.625,1.0,0.4666666666666667,0.4666666666666667,0.43243243243243246,0.25,0.5096153846153846,0.2,0.5483870967741935,0.25,0.28846153846153844,0.08108108108108109,0.14285714285714285,0.1,0.45454545454545453,0.5714285714285714,0.2857142857142857,0.6,0.25,0.5806451612903226,0.27586206896551724,0.6,0.1111111111111111,,0.8571428571428571,0.4444444444444444,0.4,0.5714285714285714,0.07692307692307693,97.14285714285714,14.712121212121213,14.928571428571429,13.878787878787879,13.971428571428572,0.2692307692307692,0.6428571428571429,0.75,0.19230769230769232,0.1,0.1111111111111111,0.25,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.09615384615384616,0.19230769230769232,0.4,0.4,1.0,0.2,,0.5576923076923077,0.4,0.4756625,0.4155375,0.04411764705882353,8.667567567567568,22.573333333333334,22.0,37.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,15.0,1.0,1.0,5.0,7.0,3.0,6.0,13.0,32.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,14.0,20.0,4.0,6.0,2.0,1.0,1.0,2.0,1.0,27.0,19.0,5.0,3.0,0.5,0.7142857142857143,0.7307692307692307,0.7619047619047619,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5,0.5555555555555556,1.0,0.6,0.6,1.0,0.2,0.15384615384615385,1.0,0.15384615384615385,0.5,0.3076923076923077,0.5,0.47026538461538464,0.07142857142857142,0.0975609756097561,0.47058823529411764,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100236-100284-100937-202251-203018,1611661319,"Tangela Smith, Tully Bevilaqua, Shameka Christon, Jayne Appel Marinelli, Shenise Johnson","Smith, Bevilaqua, Christon, Appel Marinelli, Johnson",100236-100284-100937-202251-203018,SAN,128.0,1,2.0,3.0,4.0,4.0,,8.0,2.0,2.0,,,,,,,,,1.0,2.0,2.0,,1.0,5.0,2.0,,,,2.0,2.0,,1.0,,,1.0,,1.0,,,2.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,5.0,0.5,0.5,,,,1.0,,0.6666666666666666,,0.8333333333333334,,0.3333333333333333,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,90.0,11.25,20.75,11.25,20.75,0.6666666666666666,1.0,1.0,,,,,,,,,0.3333333333333333,,,,,,1.0,,0.5930333333333333,,,1.15,22.2,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.3333333333333333,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100236-100937-100952-202634-202658,1611661319,"Tangela Smith, Shameka Christon, Jia Perkins, Danielle Adams, Danielle Robinson","Smith, Christon, Perkins, Adams, Robinson",100236-100937-100952-202634-202658,SAN,166.0,2,3.0,-5.0,6.0,6.0,,12.0,,,,,,2.0,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,2.0,5.0,10.0,,,,,2.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,3.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,5.0,,,1.0,0.5,0.5,0.3333333333333333,,0.5,,0.5,,0.4,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,104.09638554216868,14.833333333333334,12.833333333333334,14.833333333333334,12.833333333333334,,,,0.4,,,0.2,1.0,1.0,,,0.4,0.5,0.5,1.0,,,0.4,0.5,0.39203,,,12.966666666666667,23.35,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100284-100342-202634-203001-203018,1611661319,"Tully Bevilaqua, Becky Hammon, Danielle Adams, Ziomara Morrison, Shenise Johnson","Bevilaqua, Hammon, Adams, Morrison, Johnson",100284-100342-202634-203001-203018,SAN,160.0,1,3.0,-5.0,6.0,6.0,,12.0,,,,,,,,2.0,,,2.0,,2.0,,2.0,,5.0,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,2.0,,1.0,1.0,,,2.0,2.0,3.0,,,,,,,,,,,,,0.5,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,,,,0.6666666666666666,,108.0,14.666666666666666,12.0,14.666666666666666,12.0,,,,,,,0.5,,,,,0.5,,,,,,0.5,,0.4944,,,17.95,21.95,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100284-100937-202634-203001-203018,1611661319,"Tully Bevilaqua, Shameka Christon, Danielle Adams, Ziomara Morrison, Shenise Johnson","Bevilaqua, Christon, Adams, Morrison, Johnson",100284-100937-202634-203001-203018,SAN,34.0,1,1.0,3.0,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,3.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,0.75,1.5,0.75,1.5,0.5,,,,,,1.0,,,,1.0,,,,,,,,1.0,42.35294117647059,28.0,,16.0,,,,,,,,0.5,,,,,0.5,1.0,1.0,1.0,,,0.5,1.0,0.4834,0.5949,1.0,15.8,22.7,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100342-100937-100952-200674-203001,1611661319,"Becky Hammon, Shameka Christon, Jia Perkins, Sophia Young-Malcolm, Ziomara Morrison","Hammon, Christon, Perkins, Young-Malcolm, Morrison",100342-100937-100952-200674-203001,SAN,81.0,1,1.0,1.0,3.0,3.0,,6.0,1.0,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,4.0,3.0,,,,4.0,,,,,,2.0,,2.0,,1.0,4.0,,,,2.0,2.0,,2.0,,,,,,1.0,1.0,1.0,4.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,0.5,1.0,,,106.66666666666666,12.666666666666666,14.333333333333334,12.666666666666666,11.666666666666666,0.5,1.0,1.0,,,,0.5,1.0,1.0,1.0,,,,,,,,0.5,,0.49225,,,9.75,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100342-100937-100952-200674-202251,1611661319,"Becky Hammon, Shameka Christon, Jia Perkins, Sophia Young-Malcolm, Jayne Appel Marinelli","Hammon, Christon, Perkins, Young-Malcolm, Appel Marinelli",100342-100937-100952-200674-202251,SAN,739.0,5,12.0,-3.0,26.0,26.0,3.0,52.0,4.0,7.0,,1.0,2.0,6.0,2.0,7.0,1.0,,3.0,8.0,20.0,,4.0,18.0,21.0,,1.0,,8.0,8.0,,3.0,,,4.0,,4.0,,2.0,8.0,2.0,2.0,2.0,4.0,7.0,4.0,11.0,,6.0,1.0,5.0,2.0,5.0,4.0,5.0,18.0,0.5,0.5,,,,0.4,,0.3333333333333333,,0.36,,0.16666666666666666,,,,1.0,1.0,0.16666666666666666,0.6666666666666666,0.5,0.8571428571428571,0.25,,0.25,,,1.0,1.0,1.0,,101.32611637347767,12.576923076923077,15.846153846153847,12.038461538461538,14.692307692307692,0.2916666666666667,0.5714285714285714,0.5714285714285714,0.25,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.2857142857142857,0.2857142857142857,1.0,0.041666666666666664,0.125,,,,0.5,,0.4583333333333333,,0.48367916666666666,,,8.965,22.325,4.0,5.0,,1.0,,,,1.0,,,2.0,1.0,,,2.0,,,2.0,2.0,,2.0,,1.0,5.0,,3.0,,,,2.0,2.0,3.0,2.0,1.0,,,,,,,2.0,4.0,,,,,,0.3333333333333333,1.0,0.2,0.6666666666666666,0.5,,0.5,,,,,0.5,0.5,,,,,,0.48585,0.04,0.047619047619047616,0.1111111111111111,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100236-100284-100937-100952-202634,1611661319,"Tangela Smith, Tully Bevilaqua, Shameka Christon, Jia Perkins, Danielle Adams","Smith, Bevilaqua, Christon, Perkins, Adams",100236-100284-100937-100952-202634,SAN,11.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
100236-100284-100937-100952-203001,1611661319,"Tangela Smith, Tully Bevilaqua, Shameka Christon, Jia Perkins, Ziomara Morrison","Smith, Bevilaqua, Christon, Perkins, Morrison",100236-100284-100937-100952-203001,SAN,45.0,1,1.0,-1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,96.0,16.0,14.5,16.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2012,2012,True
