EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyFtPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,Arc3PctAssisted,Charge Fouls Drawn,ShortMidRangeFGM,ShortMidRangeFGA,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShootingFouls,BlockingFouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,ShortMidRangeAssists,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,Fg3aBlocked,FTDefRebounds,Charge Fouls,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffCorner3ReboundPct,Blocked3s,BlockedArc3,PenaltyCorner3FGM,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,ShortMidRangePctBlocked,DefCorner3ReboundPct,PenaltyCorner3Accuracy,HeaveAttempts,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,Travels,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,team_id,year,season,team_vs
100628-100646-100666-101039-201503,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erin Phillips, Erlana Larkins","Sutton-Brown, Catchings, Douglas, Phillips, Larkins",100628-100646-100666-101039-201503,IND,4.0,1,1.0,1,360.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-101039-201896,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erin Phillips, Briann January","Sutton-Brown, Catchings, Douglas, Phillips, January",100628-100646-100666-101039-201896,IND,445.0,3,13.0,27,87.37078651685393,19.153846153846153,16.923076923076923,7.0,6.0,14.0,9.0,1.0,3.0,2.0,5.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,10.0,1.0,3.0,2.0,15.0,9.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,3.0,7.0,8.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,2.0,4.0,6.0,3.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,9.0,2.0,1.0,1.0,12.0,7.0,9.0,1.0,0.8,0.8,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.3888888888888889,0.4411764705882353,0.5,0.3181818181818182,0.23076923076923078,1.0,1.0,0.8,0.2,0.6666666666666666,0.75,0.14285714285714285,0.3333333333333333,0.5,1.0,1.0,0.6666666666666666,14.0,13.5,0.38461538461538464,0.4,0.4,1.0,0.38461538461538464,0.6,0.6,0.6666666666666666,0.07692307692307693,0.15384615384615385,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.25,0.1111111111111111,0.2222222222222222,0.5,0.6153846153846154,0.5,0.5197884615384616,0.5477166666666667,0.5493833333333333,0.1875,0.16666666666666666,0.25,0.2,0.4666666666666667,9.27,22.900000000000002,0.6428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-101039-201919,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erin Phillips, Shavonte Zellous","Sutton-Brown, Catchings, Douglas, Phillips, Zellous",100628-100646-100666-101039-201919,IND,211.0,2,6.0,11,75.07109004739337,18.333333333333332,15.5,4.0,-3.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,3.0,,,,2.0,1.0,3.0,1.0,3.0,1.0,6.0,9.0,1.0,,,,1.0,1.0,,2.0,3.0,,2.0,,3.0,1.0,,1.0,,,3.0,2.0,,1.0,1.0,2.0,2.0,4.0,1.0,,1.0,,1.0,,2.0,3.0,1.0,2.0,1.0,,,6.0,3.0,3.0,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,1.0,0.4166666666666667,,0.3333333333333333,0.42857142857142855,,0.375,0.5,1.0,,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.5,,1.0,20.2,18.6,0.5,0.3333333333333333,0.5,,,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,1.0,,0.6666666666666666,,1.0,0.3333333333333333,0.50885,0.5018,0.49548333333333333,0.14285714285714285,0.25,,,0.5,0.6333333333333333,21.5,0.6,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-201503-202656,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erlana Larkins, Jeanette Pohlen-Mavunga","Sutton-Brown, Catchings, Douglas, Larkins, Pohlen-Mavunga",100628-100646-100666-201503-202656,IND,58.0,1,1.0,2,49.6551724137931,40.0,21.0,1.0,-2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,18.0,18.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.615,,,,,,,,,22.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-201896-201919,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Briann January, Shavonte Zellous","Sutton-Brown, Catchings, Douglas, January, Zellous",100628-100646-100666-201896-201919,IND,456.0,2,16.0,33,104.21052631578948,14.8125,13.5,8.0,-6.0,17.0,3.0,,1.0,1.0,3.0,1.0,,,2.0,4.0,,,,,3.0,,,,1.0,4.0,9.0,,3.0,2.0,10.0,16.0,1.0,,,,1.0,1.0,,1.0,4.0,4.0,4.0,,3.0,,2.0,2.0,1.0,1.0,4.0,,,,6.0,6.0,1.0,7.0,2.0,1.0,4.0,,5.0,,4.0,1.0,1.0,2.0,,,1.0,10.0,4.0,3.0,1.0,0.5,0.5,,,,,0.4444444444444444,1.0,0.3333333333333333,,0.5,0.38461538461538464,,0.6666666666666666,0.25,0.8,,0.5454545454545454,,,0.5454545454545454,0.125,,0.75,0.6666666666666666,0.25,,12.882352941176471,12.647058823529411,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.5,,0.25,,,1.0,,,,,,,0.5,,0.5,,0.47,0.7228,0.47875,,,,,0.4,9.577777777777778,21.933333333333334,0.17647058823529413,2.0,,,,,1.0,4.0,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-201896-202656,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Briann January, Jeanette Pohlen-Mavunga","Sutton-Brown, Catchings, Douglas, January, Pohlen-Mavunga",100628-100646-100666-201896-202656,IND,130.0,1,3.0,6,66.46153846153847,22.333333333333332,22.333333333333332,2.0,2.0,3.0,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,2.0,2.0,1.0,1.0,,7.0,5.0,,,,,,,,,,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,,5.0,,,,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,,,,7.0,,,,0.5,0.5,1.0,,,1.0,1.0,,1.1666666666666667,,,1.1666666666666667,,,0.3333333333333333,,,1.0,,,1.0,,,,1.0,,,21.0,21.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,0.3333333333333333,1.0,1.0,,,,,,,,,,0.6666666666666666,1.0,0.5045166666666666,,,,,,,,8.2,22.4,,,3.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-100666-201919-202656,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Shavonte Zellous, Jeanette Pohlen-Mavunga","Sutton-Brown, Catchings, Douglas, Zellous, Pohlen-Mavunga",100628-100646-100666-201919-202656,IND,189.0,2,5.0,10,76.19047619047619,17.6,16.8,3.0,-3.0,5.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,3.0,,1.0,3.0,5.0,8.0,,,1.0,,,,,,,2.0,,,1.0,,1.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,2.0,,,,,1.0,,,2.0,,4.0,2.0,,,5.0,,,,1.0,1.0,,,,,0.3333333333333333,,0.25,,,0.4166666666666667,,,0.25,,,0.5,0.5,,0.5,0.3333333333333333,,,1.0,,,20.2,18.2,0.25,1.0,1.0,1.0,,,,,,0.25,,,,,1.0,,,,,,,0.5,,0.4700125,0.55995,,0.3333333333333333,0.4,,,,8.033333333333333,23.1,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,0.5,,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-101039-201896-201919,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Erin Phillips, Briann January, Shavonte Zellous","Sutton-Brown, Catchings, Phillips, January, Zellous",100628-100646-101039-201896-201919,IND,431.0,3,15.0,30,100.23201856148492,13.266666666666667,13.2,7.0,-1.0,15.0,12.0,9.0,4.0,4.0,8.0,4.0,4.0,8.0,,1.0,,,,1.0,3.0,,,1.0,3.0,6.0,12.0,1.0,3.0,7.0,22.0,23.0,4.0,,,6.0,6.0,11.0,1.0,3.0,20.0,2.0,10.0,3.0,3.0,1.0,1.0,1.0,,,2.0,4.0,,,2.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,,8.0,6.0,1.0,10.0,2.0,,3.0,16.0,20.0,12.0,3.0,0.16666666666666666,0.25,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5,0.5454545454545454,0.5,0.5,0.5357142857142857,0.5526315789473685,0.6,0.5882352941176471,0.2,1.0,,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.625,0.75,,,0.6666666666666666,,15.466666666666667,15.2,0.5333333333333333,0.5,0.5,,0.06666666666666667,,,,,0.2,0.3333333333333333,0.3333333333333333,1.0,,,,0.5714285714285714,0.5,,0.21428571428571427,0.3333333333333333,0.7333333333333333,0.3333333333333333,0.48682,0.5473,0.49752857142857143,0.125,0.15384615384615385,,0.2727272727272727,0.9090909090909091,5.066666666666666,22.633333333333336,0.8,5.0,,,,,,,,,,,,,2.0,3.0,1.0,,,5.0,1.0,,,,,0.5,0.5,,0.2,0.6666666666666666,0.6666666666666666,2.0,,0.25,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-101039-201896-202656,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Erin Phillips, Briann January, Jeanette Pohlen-Mavunga","Sutton-Brown, Catchings, Phillips, January, Pohlen-Mavunga",100628-100646-101039-201896-202656,IND,55.0,1,2.0,5,130.9090909090909,9.0,9.0,1.0,-3.0,3.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,0.25,,,,1.0,,,,,,,,,,,,12.333333333333334,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,0.3417,0.3417,,0.5,0.5,,,,16.9,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
100628-100646-101039-201919-202640,1611661325,"Tammy Sutton-Brown, Tamika Catchings, Erin Phillips, Shavonte Zellous, Karima Christmas-Kelly","Sutton-Brown, Catchings, Phillips, Zellous, Christmas-Kelly",100628-100646-101039-201919-202640,IND,83.0,1,3.0,7,121.44578313253012,8.666666666666666,5.333333333333333,1.0,3.0,4.0,,,,1.0,3.0,,,,,,,,,,,,,,,1.0,3.0,,,1.0,3.0,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,2.0,,,,2.0,2.0,,2.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,,3.0,,,,1.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,,,0.5,,,,1.0,,0.6666666666666666,,,0.6666666666666666,,,,,1.0,,14.25,14.25,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,1.0,,0.5534333333333333,,,0.3333333333333333,0.3333333333333333,,,,2.3666666666666667,,,,,1.0,,,,1.0,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2012,2012,False
