EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Corner3Assists,OffThreePtRebounds,FTDefRebounds,OffRebounds,LostBallTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,ShortMidRangeFGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceShotQualityAvg,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,DefThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefAtRimReboundPct,PtsUnassisted3s,LostBallSteals,Offensive Fouls Drawn,ShortMidRangeFGM,ShortMidRangeAssists,Offensive Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,LongMidRangeAssists,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
100396-100928-100949-201496-201911,1611661320,"DeLisha Milton-Jones, Ebony Hoffman, Alana Beard, Candace Parker, Kristi Toliver","Milton-Jones, Hoffman, Beard, Parker, Toliver",100396-100928-100949-201496-201911,LAS,73.0,1,1.0,2.0,3,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0.5,1.0,1.0,1.0,1.0,118.35616438356165,13.333333333333334,11.0,13.333333333333334,11.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.57855,0.57855,1.0,2.1,23.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100928-100949-201496-202626,1611661320,"DeLisha Milton-Jones, Ebony Hoffman, Alana Beard, Candace Parker, Jenna O'Hea","Milton-Jones, Hoffman, Beard, Parker, O'Hea",100396-100928-100949-201496-202626,LAS,81.0,1,1.0,,4,4.0,4.0,8,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,,1.0,1.0,,3.0,,1.0,2.0,,,1.0,,1.0,1.0,,,3.0,5.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.625,0.625,0.625,0.625,0.75,1.0,,,,142.2222222222222,13.5,6.75,13.5,6.75,0.25,1.0,1.0,0.25,,,,0.25,1.0,0.25,,1.0,,0.49765,0.49765,1.0,1.4,22.566666666666666,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100928-100949-201911-203014,1611661320,"DeLisha Milton-Jones, Ebony Hoffman, Alana Beard, Kristi Toliver, Nneka Ogwumike","Milton-Jones, Hoffman, Beard, Toliver, Ogwumike",100396-100928-100949-201911-203014,LAS,68.0,1,1.0,1.0,2,2.0,2.0,4,2.0,2.0,2.0,2.0,,,,,2.0,3.0,,,4.0,3.0,2.0,3.0,,,4.0,2.0,,,,,1.0,,2.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,4.0,2.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,1.0,,84.70588235294117,12.5,21.5,11.5,21.5,0.6666666666666666,1.0,1.0,,,,,0.6666666666666666,1.0,,,0.6666666666666666,,0.5558333333333333,0.5558333333333333,1.0,5.6000000000000005,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100949-201496-201500-201911,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Nicky Anosike, Kristi Toliver","Milton-Jones, Beard, Parker, Anosike, Toliver",100396-100949-201496-201500-201911,LAS,434.0,3,7.0,2.0,16,15.0,10.0,31,3.0,4.0,1.0,1.0,,4.0,,3.0,4.0,8.0,,5.0,15.0,13.0,2.0,4.0,,3.0,8.0,4.0,,4.0,,,2.0,,4.0,2.0,3.0,9.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,10.0,8.0,10.0,,,,,0.5,0.5,0.3076923076923077,0.2857142857142857,0.4166666666666667,0.4,0.38461538461538464,0.5,0.5,0.6,0.5,102.85714285714286,15.125,12.8,12.6875,12.666666666666666,0.3076923076923077,0.75,1.0,0.3076923076923077,,,,0.14285714285714285,1.0,0.42857142857142855,,0.6923076923076923,,0.5127730769230769,0.5147357142857143,0.5333333333333333,7.8875,21.740000000000002,0.625,7.0,6.0,1.0,2.0,,1.0,,,1.0,2.0,5.0,2.0,,2.0,,6.0,1.0,0.5,0.3333333333333333,0.5,,0.4,0.6666666666666666,,0.07692307692307693,,,,0.6666666666666666,0.5,,,0.3333333333333333,1.0,4.0,2.0,2.0,4.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.07692307692307693,0.5549499999999999,1.0,3.0,1.0,7.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,10.0,3.0,2.0,2.0,0.25,0.25,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.14285714285714285,0.23076923076923078,0.3333333333333333,0.5,0.3333333333333333,0.1875,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100949-201496-201500-202626,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Nicky Anosike, Jenna O'Hea","Milton-Jones, Beard, Parker, Anosike, O'Hea",100396-100949-201496-201500-202626,LAS,116.0,1,2.0,1.0,5,4.0,,9,1.0,2.0,,,,,,,1.0,4.0,,,4.0,3.0,,,,,,,,,,,1.0,,2.0,2.0,2.0,2.0,,,,,,,1.0,2.0,4.0,,,,,,,0.25,,0.25,,0.4,,,,1.0,1.0,1.0,111.72413793103448,11.2,15.0,11.2,15.0,0.5,0.5,0.5,,,,,,,,,0.5,,0.505825,,,3.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,0.5,,,,,2.0,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100949-201496-201911-202626,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Kristi Toliver, Jenna O'Hea","Milton-Jones, Beard, Parker, Toliver, O'Hea",100396-100949-201496-201911-202626,LAS,138.0,1,2.0,2.0,5,5.0,,10,1.0,1.0,,,2.0,2.0,,,1.0,2.0,2.0,2.0,8.0,6.0,,,,,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,1.0,,2.0,,,,8.0,,,0.5,1.0,,1.0,0.5,,1.0,,1.0,,0.5,0.5,,,,104.34782608695653,12.8,14.8,12.8,14.8,0.25,1.0,1.0,0.5,1.0,1.0,0.5,,,,,0.75,1.0,0.4975875,,,5.05,22.4,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,0.25,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100949-201496-201911-202650,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Kristi Toliver, Jantel Lavender","Milton-Jones, Beard, Parker, Toliver, Lavender",100396-100949-201496-201911-202650,LAS,376.0,1,6.0,-8.0,12,11.0,1.0,23,4.0,4.0,,,1.0,2.0,,,5.0,10.0,1.0,2.0,16.0,24.0,,1.0,,,2.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,9.0,,,3.0,1.0,,1.0,1.0,2.0,,2.0,4.0,10.0,2.0,1.0,1.0,0.5,,0.5,0.5,,0.5416666666666666,,0.6153846153846154,0.5,0.16666666666666666,0.5,,,,88.08510638297872,18.166666666666668,14.363636363636363,16.833333333333332,14.0,0.3333333333333333,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,,,,,0.5,0.5,0.49177916666666666,0.4313,0.125,8.74,21.7,0.08333333333333333,,3.0,1.0,1.0,,,,,2.0,2.0,6.0,,,1.0,,3.0,,1.0,1.0,1.0,,1.0,0.5,,,,,,0.5,1.0,,,0.375,3.0,6.0,3.0,2.0,2.0,0.6,0.6,0.4,0.5,,0.5,0.25,0.3575,,3.0,,3.0,,2.0,2.0,1.0,,,,1.0,,,4.0,,3.0,2.0,,,0.1,,,,,0.3333333333333333,1.0,,,0.25,,,,0.15384615384615385,0.18181818181818182,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100949-201496-201911-203014,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Kristi Toliver, Nneka Ogwumike","Milton-Jones, Beard, Parker, Toliver, Ogwumike",100396-100949-201496-201911-203014,LAS,3784.0,4,63.0,2.0,115,120.0,11.0,235,24.0,41.0,2.0,3.0,9.0,24.0,1.0,4.0,41.0,84.0,12.0,28.0,130.0,128.0,4.0,7.0,1.0,4.0,13.0,38.0,33.0,24.0,9.0,11.0,33.0,8.0,77.0,25.0,35.0,60.0,12.0,8.0,11.0,9.0,23.0,,13.0,25.0,104.0,13.0,11.0,0.9166666666666666,0.42857142857142855,0.25,0.42857142857142855,0.4880952380952381,0.5714285714285714,0.5267857142857143,0.5,0.5508474576271186,0.5416666666666666,0.25,0.4782608695652174,0.6097560975609756,0.5714285714285714,0.5833333333333334,89.4291754756871,17.191304347826087,15.058333333333334,15.965217391304348,14.241666666666667,0.36607142857142855,0.5853658536585366,0.6666666666666666,0.21428571428571427,0.375,0.375,0.8888888888888888,0.2727272727272727,0.6666666666666666,0.36363636363636365,0.25,0.6160714285714286,0.375,0.4748053571428571,0.43588181818181815,0.1,7.121428571428572,22.62857142857143,0.09565217391304348,18.0,20.0,4.0,11.0,3.0,4.0,,,7.0,17.0,26.0,4.0,3.0,6.0,3.0,25.0,2.0,0.4117647058823529,0.5652173913043478,0.5652173913043478,1.0,0.375,0.423728813559322,,0.03571428571428571,0.75,0.75,1.0,0.4782608695652174,0.36363636363636365,,,0.2,28.0,44.0,22.0,12.0,19.0,0.5365853658536586,0.5641025641025641,0.4418604651162791,0.4117647058823529,0.6153846153846154,0.5,0.25,0.5063583333333334,6.0,15.0,2.0,12.0,6.0,,2.0,7.0,7.0,1.0,2.0,12.0,1.0,,24.0,,14.0,8.0,,,0.08333333333333333,0.12195121951219512,,0.4666666666666667,0.5294117647058824,0.3333333333333333,0.4,0.4166666666666667,0.019230769230769232,0.13392857142857142,0.4,0.4,0.08695652173913043,0.06779661016949153,0.08888888888888889,0.625,3.0,4.0,2.0,11.0,8.0,2.0,1.0,2.0,0.07142857142857142,0.39285714285714285,0.4230769230769231,0.7272727272727273,0.25,1.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,2.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,1.0,0.17391304347826086,0.75,1.0,,,,,,,,1611661320,2012,2012,True
100396-100949-201496-202626-202650,1611661320,"DeLisha Milton-Jones, Alana Beard, Candace Parker, Jenna O'Hea, Jantel Lavender","Milton-Jones, Beard, Parker, O'Hea, Lavender",100396-100949-201496-202626-202650,LAS,113.0,1,2.0,2.0,2,4.0,,6,1.0,1.0,,,,,,,2.0,2.0,,,4.0,2.0,,,,,,2.0,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,76.46017699115045,26.0,15.25,26.0,15.25,0.5,1.0,1.0,,,,,,,,,0.5,,0.5988,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,0.5,0.5,,,,,0.5,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2012,2012,True
100396-100949-201911-202626-203014,1611661320,"DeLisha Milton-Jones, Alana Beard, Kristi Toliver, Jenna O'Hea, Nneka Ogwumike","Milton-Jones, Beard, Toliver, O'Hea, Ogwumike",100396-100949-201911-202626-203014,LAS,127.0,1,2.0,6.0,5,4.0,2.0,9,1.0,1.0,,,,2.0,,1.0,1.0,2.0,,2.0,6.0,,,1.0,,1.0,2.0,2.0,,2.0,,,,,,2.0,4.0,5.0,,,,,,,,,4.0,2.0,2.0,,,,,0.5,,0.25,,0.5,0.3333333333333333,0.5,,1.0,1.0,1.0,102.04724409448819,10.4,18.75,10.4,18.75,0.25,1.0,1.0,0.5,,,,,,0.5,,0.75,,0.533225,0.511075,0.3333333333333333,8.25,22.4,0.4,,1.0,,,,,,,,,2.0,,,,,1.0,,,,1.0,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,,,1.0,,,1.0,,,,,,,1.0,,4.0,,2.0,2.0,,2.0,,,,,,2.0,,4.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,0.25,,,,0.2,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1611661320,2012,2012,True
