EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,PenaltyTurnovers,Loose Ball Fouls Drawn,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,FTDefRebounds,BlockingFouls,Charge Fouls Drawn,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,BlocksRecoveredPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Loose Ball Fouls,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,OffCorner3ReboundPct,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,BlockingFoulsDrawn,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg3Pct,LongMidRangePctBlocked,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,Corner3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,Clear Path Fouls,BlockedLongMidRange,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,3SecondViolations,Technical Free Throw Trips,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100940-200676-201501-202280-203069,1611661317,"Diana Taurasi, Candice Dupree, Charde Houston, Alexis Gray-Lawson, Avery Warley-Talbert","Taurasi, Dupree, Houston, Gray-Lawson, Warley-Talbert",100940-200676-201501-202280-203069,PHO,24.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
100940-201487-201886-202663-203046,1611661317,"Diana Taurasi, Alexis Hornbuckle, DeWanna Bonner, Krystal Thomas, Briana Butler","Taurasi, Hornbuckle, Bonner, Thomas, Butler",100940-201487-201886-202663-203046,PHO,450.0,3,8.0,-7.0,19.0,18.0,6.0,2.0,1.0,37.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,7.0,1.0,6.0,4.0,11.0,18.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,5.0,7.0,1.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,11.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.5,0.2692307692307692,0.25,0.36666666666666664,0.4,0.46153846153846156,0.75,1.0,0.2,1.0,1.0,0.1,0.3333333333333333,1.0,1.0,1.0,1.0,118.4,13.157894736842104,11.11111111111111,13.052631578947368,11.11111111111111,0.15384615384615385,0.5,0.5,1.0,0.15384615384615385,0.5,0.5,1.0,0.23076923076923078,0.15384615384615385,0.5,0.5,1.0,0.3076923076923077,1.0,0.25,1.0,0.5,0.6153846153846154,0.4798769230769231,0.6343,0.50275,0.07142857142857142,0.14285714285714285,0.36363636363636365,11.12857142857143,22.3,0.3157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
200676-201487-201886-202315-202663,1611661317,"Candice Dupree, Alexis Hornbuckle, DeWanna Bonner, Andrea Riley, Krystal Thomas","Dupree, Hornbuckle, Bonner, Riley, Thomas",200676-201487-201886-202315-202663,PHO,314.0,2,5.0,-3.0,8.0,9.0,4.0,9.0,3.0,17.0,1.0,4.0,2.0,,1.0,,1.0,2.0,,,3.0,,2.0,7.0,,3.0,2.0,6.0,9.0,4.0,,3.0,,,,2.0,,3.0,1.0,,1.0,,,,2.0,3.0,1.0,2.0,3.0,5.0,8.0,,,1.0,1.0,,,1.0,1.0,1.0,,4.0,4.0,,,4.0,,4.0,,,0.5,0.5,,,,0.2857142857142857,,0.2,,0.25,,0.3,1.0,0.5,0.6,1.0,0.6,0.625,1.0,1.0,,1.0,,77.96178343949045,24.375,13.222222222222221,17.375,11.333333333333334,0.4,0.25,1.0,,0.1,,,,0.2,,,,,0.3,0.4,0.3333333333333333,,,0.7,0.46617,0.3485875,0.4871666666666667,0.16666666666666666,,,6.471428571428571,21.7,0.5,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.2,0.2,0.42857142857142855,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,0.2,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
200676-201886-202280-203019-203069,1611661317,"Candice Dupree, DeWanna Bonner, Alexis Gray-Lawson, Samantha Prahalis, Avery Warley-Talbert","Dupree, Bonner, Gray-Lawson, Prahalis, Warley-Talbert",200676-201886-202280-203019-203069,PHO,383.0,2,6.0,-4.0,13.0,14.0,,2.0,,27.0,,,,,,,3.0,1.0,1.0,1.0,2.0,,,4.0,1.0,3.0,2.0,5.0,9.0,,,,,,,,3.0,2.0,,1.0,1.0,1.0,,,3.0,,1.0,4.0,6.0,,6.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,3.0,1.0,3.0,2.0,,,5.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.21428571428571427,,0.3125,,0.42857142857142855,0.3333333333333333,0.8,,1.0,0.8333333333333334,,,1.0,1.0,0.5,1.0,101.51436031331592,15.923076923076923,12.571428571428571,15.923076923076923,11.428571428571429,,,,,0.42857142857142855,,,,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,,,,,0.42857142857142855,0.40481666666666666,,,0.125,,,10.2,28.366666666666664,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,0.25,,,,,,,,,,0.2,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
201487-201501-203041-203046-203069,1611661317,"Alexis Hornbuckle, Charde Houston, Lynetta Kizer, Briana Butler, Avery Warley-Talbert","Hornbuckle, Houston, Kizer, Butler, Warley-Talbert",201487-201501-203041-203046-203069,PHO,184.0,1,3.0,-6.0,6.0,7.0,1.0,,1.0,13.0,,1.0,1.0,,1.0,,2.0,,1.0,2.0,1.0,,,3.0,2.0,3.0,2.0,8.0,14.0,1.0,,2.0,,,,,6.0,1.0,,2.0,2.0,1.0,,,6.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,2.0,3.0,,1.0,2.0,,,8.0,,1.0,,,,,1.0,0.6666666666666666,0.6666666666666666,,,0.5,,0.5714285714285714,,0.5,,1.0,0.3333333333333333,1.0,1.0,0.25,,,,1.0,1.0,101.7391304347826,13.5,14.714285714285714,13.166666666666666,14.714285714285714,0.16666666666666666,,,,0.3333333333333333,,,,,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,0.5,,,0.6666666666666666,0.530475,0.7499,0.5666,0.14285714285714285,,,6.633333333333333,21.433333333333334,0.16666666666666666,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
201487-202663-203019-203046-203069,1611661317,"Alexis Hornbuckle, Krystal Thomas, Samantha Prahalis, Briana Butler, Avery Warley-Talbert","Hornbuckle, Thomas, Prahalis, Butler, Warley-Talbert",201487-202663-203019-203046-203069,PHO,220.0,2,4.0,-6.0,6.0,7.0,,2.0,1.0,13.0,,,,,,1.0,3.0,1.0,,2.0,1.0,,1.0,4.0,1.0,3.0,2.0,7.0,13.0,2.0,,,,,,,3.0,1.0,,1.0,1.0,,,,3.0,1.0,,1.0,1.0,2.0,3.0,,,,,,,,1.0,1.0,,1.0,2.0,,,7.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.25,,0.35714285714285715,,0.4375,,0.42857142857142855,,0.5,0.3333333333333333,,0.3333333333333333,0.4,1.0,,1.0,,,85.0909090909091,19.833333333333332,14.428571428571429,17.833333333333332,11.428571428571429,,,,,0.42857142857142855,0.3333333333333333,0.5,,0.14285714285714285,0.2857142857142857,,,,0.14285714285714285,,,,,0.42857142857142855,0.4732928571428571,0.5329,,0.125,,,10.1,22.133333333333336,,,,,,,2.0,1.0,,1.0,,,1.0,,,,,,,0.25,,0.5,,,,,,,,0.2,,,,,,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
201487-202663-203013-203041-203069,1611661317,"Alexis Hornbuckle, Krystal Thomas, Dymond Simon, Lynetta Kizer, Avery Warley-Talbert","Hornbuckle, Thomas, Simon, Kizer, Warley-Talbert",201487-202663-203013-203041-203069,PHO,165.0,1,3.0,4.0,6.0,6.0,4.0,4.0,,12.0,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,3.0,5.0,,,,6.0,2.0,,2.0,3.0,,,4.0,6.0,,,3.0,,3.0,,1.0,,6.0,,1.0,2.0,3.0,,3.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,6.0,4.0,4.0,,,1.0,1.0,,,,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,104.72727272727273,11.833333333333334,15.666666666666666,11.833333333333334,15.666666666666666,0.2,1.0,1.0,1.0,0.4,,,,0.4,,,,,,,0.3333333333333333,1.0,,0.2,0.42994000000000004,,0.4862666666666667,,,0.6666666666666666,9.02,,0.6666666666666666,2.0,,,,,,1.0,2.0,,1.0,,,,,,,,,0.2,,,,,,1.0,1.0,1.0,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
201501-202280-202663-203019-203069,1611661317,"Charde Houston, Alexis Gray-Lawson, Krystal Thomas, Samantha Prahalis, Avery Warley-Talbert","Houston, Gray-Lawson, Thomas, Prahalis, Warley-Talbert",201501-202280-202663-203019-203069,PHO,245.0,3,4.0,-10.0,7.0,7.0,,1.0,1.0,14.0,,3.0,,,,,1.0,2.0,,,,,1.0,6.0,,,,2.0,12.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,3.0,5.0,,,,,,2.0,,,,,,,,,,0.16666666666666666,,0.16666666666666666,,0.16666666666666666,,,0.5,,0.2,,,0.2,,,,,,82.28571428571429,19.714285714285715,15.285714285714286,19.0,12.857142857142858,0.5,,,,0.16666666666666666,,,,0.3333333333333333,,,,,,,,,,0.5,0.4256,0.3809,,,,,8.1,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,,0.3333333333333333,,,0.5,0.5,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
100556-100940-201501-201886-202663,1611661317,"Nakia Sanford, Diana Taurasi, Charde Houston, DeWanna Bonner, Krystal Thomas","Sanford, Taurasi, Houston, Bonner, Thomas",100556-100940-201501-201886-202663,PHO,208.0,2,3.0,6.0,7.0,5.0,2.0,1.0,1.0,12.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,3.0,4.0,,,3.0,9.0,3.0,1.0,1.0,2.0,,3.0,5.0,2.0,,,1.0,,1.0,,,,2.0,1.0,2.0,2.0,4.0,1.0,5.0,,,1.0,,2.0,1.0,3.0,,4.0,1.0,2.0,3.0,1.0,,7.0,5.0,2.0,,,0.3333333333333333,0.3333333333333333,,,,0.75,0.5,0.75,0.5,0.9,0.8333333333333334,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.8,1.0,,1.0,1.0,,0.6666666666666666,83.07692307692308,14.285714285714286,21.6,13.857142857142858,15.4,0.25,1.0,1.0,,0.5,0.5,1.0,,0.25,,,,,,,,,,0.25,0.40245,0.3687,0.35405,0.2,1.0,0.5555555555555556,9.225,,0.2857142857142857,1.0,,1.0,,2.0,4.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.25,,,,,,1.0,1.0,1.0,,,0.2222222222222222,,,,,0.5,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
100556-200676-201501-201886-203019,1611661317,"Nakia Sanford, Candice Dupree, Charde Houston, DeWanna Bonner, Samantha Prahalis","Sanford, Dupree, Houston, Bonner, Prahalis",100556-200676-201501-201886-203019,PHO,3827.0,10,64.0,-5.0,133.0,123.0,2.0,10.0,18.0,256.0,18.0,32.0,12.0,,,13.0,33.0,25.0,2.0,2.0,22.0,1.0,38.0,90.0,9.0,24.0,20.0,123.0,128.0,19.0,,1.0,1.0,2.0,2.0,40.0,24.0,22.0,20.0,8.0,28.0,2.0,12.0,4.0,64.0,20.0,12.0,29.0,44.0,25.0,69.0,12.0,9.0,21.0,19.0,11.0,2.0,32.0,16.0,33.0,,28.0,27.0,,1.0,108.0,2.0,2.0,1.0,2.0,0.5263157894736842,0.5882352941176471,0.8888888888888888,0.375,0.375,0.4222222222222222,,0.4517543859649123,,0.4880952380952381,0.3333333333333333,0.21052631578947367,0.65625,0.5576923076923077,0.39215686274509803,0.7058823529411765,0.5942028985507246,0.3787878787878788,0.3888888888888889,0.4666666666666667,0.5714285714285714,0.625,0.7777777777777778,96.3261039979096,14.969924812030076,14.926829268292684,14.165413533834586,13.439024390243903,0.2807017543859649,0.5625,0.6,0.6666666666666666,0.2894736842105263,0.3939393939393939,0.41935483870967744,0.3076923076923077,0.21929824561403508,0.017543859649122806,1.0,1.0,1.0,0.19298245614035087,0.5714285714285714,,,0.5,0.49122807017543857,0.4596469298245614,0.5253823529411764,0.42665,0.112,,0.016260162601626018,8.71888888888889,22.383333333333336,0.015037593984962405,7.0,2.0,4.0,2.0,15.0,36.0,6.0,4.0,5.0,,,14.0,3.0,,3.0,0.21052631578947367,0.2619047619047619,0.32608695652173914,0.06666666666666667,0.0625,0.3333333333333333,0.5384615384615384,0.3333333333333333,0.625,0.28,0.30434782608695654,0.5714285714285714,0.09523809523809523,0.13861386138613863,0.12195121951219512,3.0,1.0,,1.0,0.06060606060606061,1.0,0.3333333333333333,7.0,7.0,6.0,5.0,0.3,0.3181818181818182,0.3181818181818182,0.8571428571428571,0.3181818181818182,,3.0,2.0,2.0,,4.0,1.0,1.0,4.0,3.0,8.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,0.5,0.08,0.04918032786885246,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2012,2012,False
