EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGA,PenaltyAtRimFGA,PenaltyFG2A,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,AtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,OpponentPoints,DefTwoPtRebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,SecondChanceOffPoss,AtRimFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,ShootingFouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,FTOffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsPutbacks,OffThreePtRebounds,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,Fg2aBlocked,LongMidRangeAssists,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,Blocked3s,BlockedCorner3,AtRimPctBlocked,SecondChanceArc3PctAssisted,BlockedLongMidRange,SecondChanceCorner3FGA,Travels,Charge Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,3SecondViolations,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
100835-100915-201499-202644-203016,1611661324,"Erin Thorn, Lindsay Whalen, Candice Wiggins, Amber Harris, Devereaux Peters","Thorn, Whalen, Wiggins, Harris, Peters",100835-100915-201499-202644-203016,MIN,37.0,1,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,77.83783783783784,27.0,10.0,27.0,10.0,1.0,1.0,1.0,1.0,0.3842,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100835-200671-201499-202257-202632,1611661324,"Erin Thorn, Seimone Augustus, Candice Wiggins, Monica Wright, Maya Moore","Thorn, Augustus, Wiggins, Wright, Moore",100835-200671-201499-202257-202632,MIN,7.0,1,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,411.42857142857144,7.0,,7.0,,,,,,0.6543,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6543,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100915-100944-200671-202257-202644,1611661324,"Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Monica Wright, Amber Harris","Whalen, Brunson, Augustus, Wright, Harris",100915-100944-200671-202257-202644,MIN,64.0,1,1.0,-2.0,2.0,2.0,4.0,,1.0,,1.0,,,,,,,,,,,,,90.0,21.0,11.0,21.0,11.0,1.0,,,,0.3581,13.2,,,,,,,1.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100915-201499-202257-202632-202644,1611661324,"Lindsay Whalen, Candice Wiggins, Monica Wright, Maya Moore, Amber Harris","Whalen, Wiggins, Wright, Moore, Harris",100915-201499-202257-202632-202644,MIN,291.0,2,5.0,10.0,11.0,10.0,21.0,2.0,3.0,4.0,7.0,11.0,4.0,2.0,3.0,1.0,7.0,11.0,0.5,0.5,0.5714285714285714,0.55,0.55,103.91752577319589,10.454545454545455,17.6,9.636363636363637,16.9,0.3,0.6666666666666666,0.6666666666666666,0.5,0.508715,6.671428571428572,1.0,,3.0,,,,6.0,7.0,1.0,,0.3,,0.6,0.3174,0.09090909090909091,1.0,5.0,1.0,1.0,4.0,,1.0,0.8571428571428571,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.5,1.5,0.3,0.3333333333333333,0.5,0.2,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.1,0.1,0.2,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.6192,0.2727272727272727,21.633333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100915-200671-201882-202632-203016,1611661324,"Lindsay Whalen, Seimone Augustus, Jessica Adair, Maya Moore, Devereaux Peters","Whalen, Augustus, Adair, Moore, Peters",100915-200671-201882-202632-203016,MIN,281.0,3,5.0,-5.0,9.0,11.0,20.0,2.0,3.0,4.0,7.0,9.0,2.0,1.0,1.0,,2.0,7.0,0.25,0.25,0.5714285714285714,0.5714285714285714,0.5625,102.49110320284697,14.777777777777779,13.454545454545455,14.0,13.454545454545455,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.44830000000000003,8.971428571428572,3.0,,2.0,1.0,3.0,,5.0,7.0,3.0,,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.5103666666666666,0.3333333333333333,14.0,2.0,1.0,3.0,3.0,,1.0,1.0,,2.0,2.0,2.0,,,,,,,,,,,,3.0,6.0,,,,,,1.0,1.0,3.0,2.0,,,3.0,,,2.0,,3.0,,,,,0.3333333333333333,0.375,,0.3333333333333333,1.0,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,0.5,0.2857142857142857,,,,,,,,,,0.7974,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.125,0.125,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100835-100915-100944-200671,1611661324,"Taj McWilliams-Franklin, Erin Thorn, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus","McWilliams-Franklin, Thorn, Whalen, Brunson, Augustus",100412-100835-100915-100944-200671,MIN,162.0,1,3.0,1.0,5.0,5.0,10.0,,,2.0,3.0,7.0,4.0,2.0,3.0,,7.0,7.0,1.0,1.0,0.6666666666666666,0.875,0.875,88.88888888888889,13.2,19.2,13.2,16.4,,,,,0.5347375,6.966666666666666,5.0,5.0,2.0,2.0,3.0,,1.0,1.0,5.0,,0.5,0.5,0.75,0.5347375,1.0,6.0,,1.0,1.0,1.0,,,0.5,,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,7.0,,3.0,,,1.0,,2.0,,1.0,,,,,,,,,7.0,1.0,1.0,1.0,1.0,0.875,0.875,0.25,,1.0,,,,,,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,1.0,22.3,,,2.0,,,,,2.0,,,,1.0,,,1.0,,,,0.6666666666666666,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-201882-202257-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Jessica Adair, Monica Wright, Maya Moore","McWilliams-Franklin, Whalen, Adair, Wright, Moore",100412-100915-201882-202257-202632,MIN,175.0,1,3.0,4.0,5.0,5.0,10.0,,1.0,3.0,4.0,9.0,4.0,2.0,3.0,,7.0,5.0,0.6666666666666666,1.0,0.75,0.75,0.75,82.28571428571429,15.6,19.4,14.8,16.6,0.16666666666666666,,,,0.522625,4.25,,5.0,3.0,,,,2.0,4.0,,,0.5,,0.8333333333333334,,,5.0,2.0,,1.0,,,1.0,1.0,1.0,2.0,3.0,,,1.0,2.0,,,,1.0,2.0,,,,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,,,,,,1.0,,,1.0,0.5,,0.5,,,0.3333333333333333,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.6666666666666666,,,0.3333333333333333,0.5,0.5,1.0,,,,0.5,0.5019,,21.4,2.0,2.0,,,2.0,2.0,4.0,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,0.4444444444444444,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100944-200671-201499-202632,1611661324,"Taj McWilliams-Franklin, Rebekkah Brunson, Seimone Augustus, Candice Wiggins, Maya Moore","McWilliams-Franklin, Brunson, Augustus, Wiggins, Moore",100412-100944-200671-201499-202632,MIN,2315.0,11,39.0,3.0,71.0,74.0,145.0,6.0,11.0,24.0,47.0,78.0,32.0,16.0,20.0,4.0,44.0,53.0,0.6666666666666666,0.8,0.5106382978723404,0.525,0.5652173913043478,90.19438444924405,17.35211267605634,14.635135135135135,15.070422535211268,13.945945945945946,0.18333333333333332,0.5454545454545454,0.6,0.6666666666666666,0.4754566666666667,9.61063829787234,9.0,15.0,17.0,1.0,5.0,1.0,26.0,46.0,9.0,0.5,0.2833333333333333,0.14285714285714285,0.5,0.45387142857142854,0.1267605633802817,75.0,17.0,10.0,22.0,15.0,4.0,0.7391304347826086,0.8064516129032258,0.6666666666666666,17.0,9.0,19.0,4.0,2.0,9.0,3.0,1.0,1.0,5.0,13.0,3.0,2.0,2.0,18.0,16.0,12.0,9.0,2.0,4.0,1.0,5.0,11.0,8.0,20.0,10.0,8.0,7.0,1.0,,20.0,2.0,18.0,0.8,0.38461538461538464,1.0,0.38461538461538464,1.0,0.9,0.21666666666666667,0.5,1.0,0.6333333333333333,0.2,0.8,0.7777777777777778,1.0,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.31666666666666665,0.06666666666666667,0.15,0.2222222222222222,0.2222222222222222,0.5,0.1875,0.14285714285714285,1.0,0.2222222222222222,0.4498375,0.23076923076923078,22.06153846153846,4.0,5.0,1.0,15.0,8.0,13.0,25.0,4.0,4.0,1.0,12.0,2.0,7.0,2.0,1.0,20.0,9.0,0.6153846153846154,0.8,0.59375,0.6578947368421053,0.5454545454545454,0.3333333333333333,0.5555555555555556,0.3125,0.8,1.0,0.13432835820895522,0.16666666666666666,0.32051282051282054,3.0,1.0,1.0,3.0,1.0,0.75,0.75,1.0,0.14285714285714285,1.0,8.0,8.0,5.0,4.0,1.0,4.0,3.0,1.0,1.0,0.75,,9.0,1.0,1.0,6.0,3.0,2.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.3333333333333333,0.0425531914893617,0.09090909090909091,0.05263157894736842,0.625,1.0,0.14285714285714285,0.47368421052631576,0.5,0.7777777777777778,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-100915-100944-201499-202632,1611661324,"Taj McWilliams-Franklin, Lindsay Whalen, Rebekkah Brunson, Candice Wiggins, Maya Moore","McWilliams-Franklin, Whalen, Brunson, Wiggins, Moore",100412-100915-100944-201499-202632,MIN,2924.0,9,49.0,12.0,84.0,84.0,168.0,4.0,10.0,27.0,46.0,97.0,38.0,19.0,27.0,3.0,62.0,90.0,0.7037037037037037,0.7307692307692307,0.5869565217391305,0.5869565217391305,0.6298701298701299,82.7359781121751,16.416666666666668,18.392857142857142,15.416666666666666,16.654761904761905,0.14492753623188406,0.4,0.4444444444444444,0.75,0.48553623188405803,8.560869565217391,15.0,11.0,20.0,2.0,7.0,,28.0,39.0,13.0,,0.2898550724637681,0.25,0.6231884057971014,0.46125625,0.17857142857142858,85.0,19.0,7.0,16.0,19.0,3.0,0.59375,0.56,0.7272727272727273,8.0,12.0,16.0,4.0,7.0,19.0,4.0,1.0,1.0,9.0,23.0,4.0,1.0,1.0,22.0,16.0,24.0,19.0,7.0,8.0,6.0,7.0,6.0,9.0,11.0,13.0,5.0,6.0,1.0,1.0,18.0,,19.0,0.8888888888888888,0.391304347826087,1.0,0.391304347826087,0.6875,0.7857142857142857,0.3333333333333333,0.3157894736842105,0.5,0.3333333333333333,0.5,0.5384615384615384,0.5,0.4166666666666667,0.6,0.7058823529411765,0.5833333333333334,0.2318840579710145,0.057971014492753624,0.2753623188405797,0.3684210526315789,0.3684210526315789,0.8571428571428571,0.5,0.125,1.0,0.3684210526315789,0.535275,0.2268041237113402,22.043478260869566,1.0,1.0,,16.0,2.0,4.0,7.0,4.0,11.0,,9.0,2.0,6.0,1.0,2.0,18.0,5.0,0.5,0.5714285714285714,0.4375,0.4375,0.5625,,0.2,0.125,1.0,,0.06944444444444445,0.10204081632653061,0.07216494845360824,2.0,,,2.0,0.6666666666666666,0.5,0.5,1.0,,,2.0,5.0,3.0,7.0,5.0,8.0,4.0,0.35714285714285715,0.25,0.5,,11.0,1.0,1.0,,3.0,4.0,9.0,,8.0,,,,,2.0,5.0,2.0,1.0,3.0,0.25,0.08695652173913043,0.1,,0.25,1.0,,0.6875,0.6875,0.8181818181818182,0.25,1.0,1.0,0.15,1.0,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
100412-200671-201499-202257-202644,1611661324,"Taj McWilliams-Franklin, Seimone Augustus, Candice Wiggins, Monica Wright, Amber Harris","McWilliams-Franklin, Augustus, Wiggins, Wright, Harris",100412-200671-201499-202257-202644,MIN,418.0,6,7.0,-7.0,14.0,14.0,28.0,2.0,4.0,4.0,11.0,10.0,6.0,3.0,3.0,1.0,6.0,8.0,0.75,0.75,0.36363636363636365,0.3076923076923077,0.35714285714285715,96.45933014354067,16.642857142857142,13.214285714285714,16.571428571428573,13.142857142857142,0.3076923076923077,0.5,0.5,0.5,0.4154,12.036363636363637,2.0,6.0,1.0,,2.0,,3.0,4.0,2.0,,0.07692307692307693,,0.23076923076923078,0.3175,0.14285714285714285,17.0,3.0,1.0,1.0,4.0,,1.0,0.75,,1.0,,6.0,,,2.0,,,,,2.0,,,,2.0,2.0,,2.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,2.0,,2.0,,,,,0.5,0.5,0.15384615384615385,0.14285714285714285,,0.1111111111111111,,,1.0,,,,,0.46153846153846156,,0.15384615384615385,,,,,,,,,0.2,21.35,,,,2.0,,,2.0,1.0,,,,,,,,2.0,1.0,,0.5,,1.0,,,,,,,0.07142857142857142,0.08333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,,1.0,,,,,,,2.0,,,,,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2012,2012,False
