EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,TotalPoss,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Minutes,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LostBallSteals,PenaltyTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallTurnovers,PlusMinus,DeadBallTurnovers,Travels,ShootingFouls,PtsUnassisted2s,Charge Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,ShortMidRangeFGM,Corner3FGM,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,OffCorner3ReboundPct,BlockingFouls,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,StepOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101023-101049-201046-201048-201484,1611661330,"Sancho Lyttle, Cathrine Kraayeveld, Lindsey Harding, Armintie Herrington, Ketia Swanier","Lyttle, Kraayeveld, Harding, Herrington, Swanier",101023-101049-201046-201048-201484,ATL,26.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.76923076923076,12.0,14.0,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101023-200715-201046-201048-201484,1611661330,"Sancho Lyttle, Yelena Leuchanka, Lindsey Harding, Armintie Herrington, Ketia Swanier","Lyttle, Leuchanka, Harding, Herrington, Swanier",101023-200715-201046-201048-201484,ATL,215.0,1,9.0,8.0,17.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,113.86046511627906,15.0,10.0,14.555555555555555,10.0,4.0,9.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,6.0,6.0,1.0,2.0,5.0,3.0,2.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,9.0,1.0,1.0,1.0,1.0,0.4,0.4,0.25,0.25,0.3333333333333333,0.3333333333333333,0.375,1.0,0.3333333333333333,1.0,0.16666666666666666,0.5,1.0,0.25,0.5,0.5,1.0,0.125,0.25,0.5,0.5,1.0,0.125,0.25,1.0,0.25,0.5,0.125,0.25,0.625,0.5147875,0.5147875,1.0,8.24,22.46666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101023-201484-201881-201907-203026,1611661330,"Sancho Lyttle, Ketia Swanier, Angel McCoughtry, Courtney Paris, Tiffany Hayes","Lyttle, Swanier, McCoughtry, Paris, Hayes",101023-201484-201881-201907-203026,ATL,37.0,1,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,77.83783783783784,12.0,25.0,12.0,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101042-101049-101084-201484-202623,1611661330,"Jessica Moore, Cathrine Kraayeveld, Laurie Koehn, Ketia Swanier, Aneika Morello","Moore, Kraayeveld, Koehn, Swanier, Morello",101042-101049-101084-201484-202623,ATL,58.0,1,2.0,3.0,5.0,,,,,1.0,1.0,,124.13793103448276,17.0,8.0,17.0,6.333333333333333,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.238,0.238,,17.7,,1.0,,-6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101049-200715-201048-201484-201881,1611661330,"Cathrine Kraayeveld, Yelena Leuchanka, Armintie Herrington, Ketia Swanier, Angel McCoughtry","Kraayeveld, Leuchanka, Herrington, Swanier, McCoughtry",101049-200715-201048-201484-201881,ATL,277.0,2,12.0,11.0,23.0,2.0,1.0,2.0,2.0,3.0,2.0,0.6666666666666666,119.56678700361012,11.916666666666666,12.181818181818182,11.916666666666666,12.181818181818182,5.0,6.0,5.0,,2.0,4.0,,,2.0,1.0,,1.0,,,1.0,1.0,2.0,6.0,1.0,3.0,7.0,7.0,,,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,2.0,,4.0,4.0,,4.0,1.0,1.0,4.0,4.0,1.0,7.0,3.0,6.0,1.0,1.0,0.5,0.5,0.3333333333333333,,0.2857142857142857,,0.3888888888888889,0.3,0.14285714285714285,1.0,,1.0,,,1.0,0.5714285714285714,0.5,0.5,0.5,0.14285714285714285,0.14285714285714285,,,,,0.14285714285714285,,0.6666666666666666,,,0.3333333333333333,0.7142857142857143,0.5297571428571428,0.5495,0.42857142857142855,4.7,21.3,0.5,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101023-201046-201048-201881-202623,1611661330,"Sancho Lyttle, Lindsey Harding, Armintie Herrington, Angel McCoughtry, Aneika Morello","Lyttle, Harding, Herrington, McCoughtry, Morello",101023-201046-201048-201881-202623,ATL,5859.0,15,199.0,191.0,390.0,24.0,15.0,22.0,16.0,39.0,42.0,0.5641025641025641,95.85253456221197,15.206030150753769,14.832460732984293,14.391959798994975,14.340314136125654,98.0,30.0,17.0,33.0,43.0,62.0,16.0,7.0,9.0,52.0,15.0,42.0,4.0,,17.0,2.0,72.0,156.0,21.0,45.0,207.0,184.0,27.0,9.0,17.0,2.0,15.0,33.0,72.0,17.0,36.0,42.0,20.0,6.0,90.0,2.0,47.0,61.0,43.0,104.0,9.0,5.0,52.0,58.0,6.0,176.0,31.0,29.0,4.0,5.0,0.5,0.5806451612903226,0.46153846153846156,0.5294117647058824,0.4576271186440678,0.47368421052631576,0.5098522167487685,0.5892857142857143,0.11864406779661017,0.7121212121212122,0.13333333333333333,0.7073170731707317,0.41836734693877553,0.16666666666666666,0.6111111111111112,0.3502824858757062,0.6935483870967742,0.7678571428571429,0.46511627906976744,0.2937853107344633,0.23728813559322035,0.35714285714285715,0.35714285714285715,0.4,0.022598870056497175,0.096045197740113,0.5714285714285714,0.47368421052631576,0.7777777777777778,,0.10526315789473684,0.4689265536723164,0.4809666666666667,0.48860789473684213,0.15942028985507245,8.135897435897435,21.80952380952381,0.1507537688442211,6.0,23.0,17.0,2.0,21.0,72.0,1.0,26.0,9.0,5.0,9.0,4.0,0.6956521739130435,0.8,0.4444444444444444,0.1319796954314721,0.14772727272727273,10.0,14.0,1.0,5.0,1.0,6.0,12.0,1.0,7.0,31.0,18.0,20.0,5.0,11.0,6.0,5.0,1.0,10.0,39.0,2.0,11.0,3.0,8.0,3.0,4.0,8.0,3.0,2.0,1.0,3.0,3.0,3.0,6.0,1.0,3.0,2.0,1.0,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.42857142857142855,0.4696969696969697,0.07051282051282051,0.0967741935483871,0.09615384615384616,1.0,0.2,0.46987951807228917,0.6875,0.631578947368421,0.39473684210526316,0.46153846153846156,0.6666666666666666,0.75,0.09195402298850575,0.2692307692307692,0.2978723404255319,0.7142857142857143,0.25,0.25,1.0,0.29411764705882354,0.29411764705882354,1.0,0.625,0.1,0.03571428571428571,0.29411764705882354,0.5078314814814815,0.1497584541062802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101023-201484-201484-202623-203026,1611661330,"Sancho Lyttle, Ketia Swanier, Ketia Swanier, Aneika Morello, Tiffany Hayes","Lyttle, Swanier, Swanier, Morello, Hayes",101023-201484-201484-202623-203026,ATL,154.0,1,5.0,5.0,10.0,,,1.0,1.0,1.0,,1.0,93.5064935064935,17.6,13.2,17.6,13.2,3.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,2.0,1.0,2.0,4.0,4.0,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,,4.0,,,,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,1.0,,1.0,,,,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,0.6666666666666666,0.40314999999999995,,,9.9,22.2,,,,,,,2.0,,1.0,,,,,1.0,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
101042-101049-201046-201484-202623,1611661330,"Jessica Moore, Cathrine Kraayeveld, Lindsey Harding, Ketia Swanier, Aneika Morello","Moore, Kraayeveld, Harding, Swanier, Morello",101042-101049-201046-201484-202623,ATL,130.0,1,4.0,4.0,8.0,,,1.0,1.0,1.0,1.0,1.0,88.61538461538463,24.5,8.0,15.75,8.0,2.0,4.0,1.0,2.0,,1.0,1.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,,4.0,2.0,,,6.0,2.0,,4.0,2.0,,,,1.0,,,,,,1.0,1.0,1.0,3.0,4.0,,1.0,,,,,,4.0,,,,,,,,,,,0.3333333333333333,1.0,0.5,1.0,0.5,,1.0,0.16666666666666666,,,,0.5,,,,,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.5,0.5031166666666667,0.5031166666666667,,7.0,21.5,1.0,,-6.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,,,,0.5,,,0.6666666666666666,,,,,,,,,,,,,,,,0.3333333333333333,,0.4576,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
200715-201046-201048-201881-201907,1611661330,"Yelena Leuchanka, Lindsey Harding, Armintie Herrington, Angel McCoughtry, Courtney Paris","Leuchanka, Harding, Herrington, McCoughtry, Paris",200715-201046-201048-201881-201907,ATL,266.0,2,8.0,8.0,16.0,2.0,,,,,3.0,,86.61654135338345,16.125,17.125,14.5,16.5,4.0,,,2.0,1.0,2.0,1.0,,,2.0,2.0,5.0,,,,,4.0,9.0,,,8.0,9.0,2.0,,,,,,4.0,,2.0,2.0,1.0,1.0,4.0,,2.0,2.0,3.0,5.0,2.0,,2.0,4.0,,6.0,,,,,0.5,0.5,0.4444444444444444,,0.4444444444444444,,0.36363636363636365,,,0.6666666666666666,,0.5,0.6,,,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.5555555555555556,0.4,0.4,0.5,,,0.5,,,,,0.2222222222222222,0.42733333333333334,,,10.2,,,,-1.0,,,1.0,4.0,,2.0,,,,,1.0,0.5,,0.18181818181818182,0.18181818181818182,,1.0,,,,,1.0,,,2.0,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.3333333333333333,0.1111111111111111,,0.5,,,0.6,,1.0,1.0,0.3333333333333333,,,,0.5,1.0,,,,,,,,,,,,0.50665,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
200715-201484-201881-202623-203026,1611661330,"Yelena Leuchanka, Ketia Swanier, Angel McCoughtry, Aneika Morello, Tiffany Hayes","Leuchanka, Swanier, McCoughtry, Morello, Hayes",200715-201484-201881-202623-203026,ATL,119.0,2,4.0,6.0,10.0,1.0,1.0,1.0,,1.0,,1.0,121.00840336134453,12.0,11.833333333333334,9.0,11.833333333333334,2.0,4.0,3.0,1.0,,,,,,2.0,,,,,,,1.0,2.0,,3.0,5.0,2.0,,1.0,2.0,,3.0,5.0,,,,,,,,,1.0,2.0,1.0,3.0,,1.0,3.0,4.0,2.0,5.0,5.0,4.0,,2.0,,,0.5,0.5,0.5,0.5,0.625,0.625,,0.5,,0.6666666666666666,1.0,,,,,,,1.0,,,,,,,,,,,,,0.3686,0.3686,1.0,9.2,,1.0,1.0,3.0,,,,2.0,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,0.5,,0.5,,,1.0,1.0,,1.0,,1.0,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2012,2012,False
