EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg3aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,FoulsDrawn,Offensive Fouls Drawn,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FtPoints,SecondChanceFtPoints,Fg2aBlocked,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,Corner3FGM,Arc3FGM,FG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,DefThreePtRebounds,FTDefRebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,OffThreePtRebounds,PenaltyTurnovers,PenaltyFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonShootingFoulsDrawn,BlockedShortMidRange,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,PenaltyFtPoints,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
100076-100942-101030-201049-202252,1611661328,"Tina Thompson, Ashley Robinson, Tanisha Wright, Noelle Quinn, Alysha Clark","Thompson, Robinson, Wright, Quinn, Clark",100076-100942-101030-201049-202252,SEA,218.0,2,4.0,-4.0,7,5.0,2.0,1.0,12,2.0,3.0,2.0,2.0,3.0,2.0,4.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,0.5,0.5,0.6666666666666666,1.0,0.4,1.0,0.4,1.0,0.4,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,79.26605504587155,16.285714285714285,20.8,14.857142857142858,19.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.4,0.4,0.33206,0.3504,0.5,7.966666666666666,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-100942-101030-202252-203015,1611661328,"Tina Thompson, Ashley Robinson, Tanisha Wright, Alysha Clark, Shekinna Stricklen","Thompson, Robinson, Wright, Clark, Stricklen",100076-100942-101030-202252-203015,SEA,43.0,1,1.0,-2.0,1,2.0,,,3,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,100.46511627906976,14.0,14.5,14.0,14.5,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-101024-101030-201049-201067,1611661328,"Tina Thompson, Temeka Johnson, Tanisha Wright, Noelle Quinn, Camille Little","Thompson, Johnson, Wright, Quinn, Little",100076-101024-101030-201049-201067,SEA,1105.0,2,18.0,-5.0,29,29.0,4.0,3.0,58,4.0,9.0,3.0,9.0,20.0,4.0,26.0,31.0,,1.0,1.0,8.0,10.0,3.0,1.0,4.0,4.0,2.0,8.0,7.0,7.0,11.0,4.0,2.0,1.0,5.0,3.0,9.0,,,25.0,0.4444444444444444,0.4444444444444444,0.45,,0.375,,0.4642857142857143,0.25,0.16666666666666666,0.25,0.3333333333333333,0.8,0.5,0.4666666666666667,0.6666666666666666,,75.58371040723982,18.448275862068964,19.655172413793103,18.275862068965516,15.413793103448276,0.375,0.4444444444444444,0.5714285714285714,0.5,0.125,0.5416666666666666,0.44028958333333335,0.6174,0.038461538461538464,5.775,24.125,15.0,1.0,4.0,9.0,1.0,1.0,2.0,1.0,8.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,11.0,3.0,7.0,1.0,1.0,0.2,0.2222222222222222,0.2222222222222222,0.36363636363636365,0.26666666666666666,0.2,0.6,0.5555555555555556,0.2,0.375,0.4444444444444444,0.5714285714285714,0.25,0.08333333333333333,0.5,0.5,1.0,0.041666666666666664,1.0,0.25,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-101024-101030-201067-202252,1611661328,"Tina Thompson, Temeka Johnson, Tanisha Wright, Camille Little, Alysha Clark","Thompson, Johnson, Wright, Little, Clark",100076-101024-101030-201067-202252,SEA,58.0,1,1.0,-4.0,2,2.0,,,4,,,,1.0,2.0,,2.0,6.0,,,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,2.0,1.0,1.0,0.5,,0.5,,0.5,,,,,,,,,,99.3103448275862,17.0,12.0,17.0,12.0,,,,,,1.0,0.5176,,,2.1,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,1.0,0.5,0.5176,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-101024-101030-201067-203015,1611661328,"Tina Thompson, Temeka Johnson, Tanisha Wright, Camille Little, Shekinna Stricklen","Thompson, Johnson, Wright, Little, Stricklen",100076-101024-101030-201067-203015,SEA,985.0,2,16.0,-9.0,30,30.0,,3.0,60,2.0,4.0,7.0,9.0,17.0,9.0,27.0,36.0,1.0,2.0,2.0,6.0,12.0,7.0,,3.0,6.0,1.0,15.0,7.0,12.0,16.0,7.0,7.0,1.0,8.0,4.0,6.0,,1.0,25.0,0.3333333333333333,0.375,0.5294117647058824,0.5,0.5192307692307693,0.5,0.5192307692307693,0.5,0.34615384615384615,,,0.875,0.7,0.6666666666666666,1.0,0.6,87.71573604060913,18.3,14.533333333333333,17.933333333333334,13.8,0.15384615384615385,0.5,0.5,0.5,0.2692307692307692,0.6538461538461539,0.48115384615384615,0.4645,0.07407407407407407,8.570588235294117,23.91111111111111,4.0,,5.0,8.0,1.0,2.0,5.0,2.0,,,1.0,,2.0,4.0,4.0,,2.0,,2.0,,1.0,,,,,,,,0.058823529411764705,0.125,,0.5,0.2857142857142857,0.6666666666666666,0.5,0.75,,0.3076923076923077,0.625,0.7142857142857143,,0.19230769230769232,0.4,0.4,1.0,0.07692307692307693,0.5,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,0.2942,0.07407407407407407,0.03333333333333333,1.0,1.0,2.0,3.0,9.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-101024-101030-202252-203015,1611661328,"Tina Thompson, Temeka Johnson, Tanisha Wright, Alysha Clark, Shekinna Stricklen","Thompson, Johnson, Wright, Clark, Stricklen",100076-101024-101030-202252-203015,SEA,43.0,1,1.0,1.0,2,2.0,2.0,,4,,,,2.0,2.0,,4.0,3.0,,,,2.0,2.0,,,1.0,1.0,,2.0,,1.0,1.0,,,,,1.0,1.0,,,4.0,0.5,0.5,1.0,,1.0,,1.0,,,,,,,,,,133.95348837209303,9.0,12.5,9.0,12.5,,,,,,1.0,0.53145,,,2.6,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-101024-201049-201067-203015,1611661328,"Tina Thompson, Temeka Johnson, Noelle Quinn, Camille Little, Shekinna Stricklen","Thompson, Johnson, Quinn, Little, Stricklen",100076-101024-201049-201067-203015,SEA,264.0,2,4.0,-1.0,9,9.0,,,18,,2.0,1.0,,3.0,2.0,3.0,4.0,,,,,,1.0,,,1.0,,3.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,,3.0,,,3.0,,,,,0.3,,0.25,,0.4,,,0.25,0.8,0.8,0.5,1.0,98.18181818181817,13.666666666666666,15.666666666666666,13.666666666666666,15.444444444444445,0.4,,,,0.2,0.6,0.4040875,,,8.733333333333333,30.9,1.0,,,1.0,,,,1.0,,,1.0,,,,,,2.0,1.0,1.0,,,,,2.0,,1.0,,,0.3333333333333333,1.0,,,,,,1.0,,0.2,,,,,,,,0.2,,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,1.0,,1.0,,,1.0,0.5,0.5,,,,,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
100076-101030-201049-201067-202252,1611661328,"Tina Thompson, Tanisha Wright, Noelle Quinn, Camille Little, Alysha Clark","Thompson, Wright, Quinn, Little, Clark",100076-101030-201049-201067-202252,SEA,797.0,2,13.0,14.0,23,22.0,8.0,2.0,45,2.0,4.0,5.0,9.0,12.0,8.0,29.0,15.0,1.0,2.0,2.0,4.0,14.0,5.0,,2.0,4.0,1.0,10.0,7.0,10.0,11.0,1.0,1.0,2.0,3.0,1.0,4.0,,,27.0,0.2222222222222222,0.25,0.75,0.5,0.675,0.5,0.6904761904761905,0.5,0.4,,,0.3333333333333333,0.6363636363636364,0.7142857142857143,1.0,0.4,81.30489335006274,16.956521739130434,18.5,16.08695652173913,17.636363636363637,0.2,0.5,0.5,0.5,0.25,0.7,0.5022575,0.4516,0.06896551724137931,6.216666666666666,23.425,4.0,1.0,6.0,6.0,1.0,1.0,2.0,3.0,2.0,,,1.0,,,1.0,,4.0,2.0,2.0,,,,,2.0,,1.0,,1.0,,,,,0.125,,,0.8,,0.3,1.0,1.0,0.16666666666666666,0.1,0.5,0.5,,0.15,0.5,0.047619047619047616,0.07692307692307693,9.0,3.0,3.0,4.0,5.0,11.0,11.0,9.0,0.8,0.6875,0.6875,0.375,1.0,0.53165,0.3793103448275862,0.391304347826087,1.0,1.0,2.0,3.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,,0.6666666666666666,0.375,0.375,,1.0,,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4,0.4,0.5,1.0,0.4,1.0,,,,,,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.3333333333333333,0.2,0.5,0.25,0.125,1.0,,,,,,,1611661328,2013,2013,False
100076-101030-201049-201067-203015,1611661328,"Tina Thompson, Tanisha Wright, Noelle Quinn, Camille Little, Shekinna Stricklen","Thompson, Wright, Quinn, Little, Stricklen",100076-101030-201049-201067-203015,SEA,243.0,1,4.0,,6,7.0,,1.0,13,1.0,1.0,2.0,3.0,5.0,2.0,6.0,6.0,,1.0,,6.0,,2.0,,3.0,3.0,1.0,6.0,3.0,3.0,4.0,,,,,,1.0,,,6.0,1.0,1.0,0.6,,0.42857142857142855,,0.42857142857142855,,0.2857142857142857,,,,1.0,1.0,1.0,,77.03703703703704,20.833333333333332,16.857142857142858,19.333333333333332,16.857142857142858,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.7142857142857143,0.4889357142857143,0.6026,,6.9799999999999995,23.6,1.0,,2.0,3.0,1.0,,1.0,,,,,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,0.5,0.25,,,1.0,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,,,,,1.0,,,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5826666666666667,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.3333333333333333,,,,,,,,1611661328,2013,2013,False
100076-101030-201049-202252-203015,1611661328,"Tina Thompson, Tanisha Wright, Noelle Quinn, Alysha Clark, Shekinna Stricklen","Thompson, Wright, Quinn, Clark, Stricklen",100076-101030-201049-202252-203015,SEA,11.0,1,,,1,,,1.0,1,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,11.0,,11.0,,,,,,,1.0,0.5528,,,1.9,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,0.5528,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2013,2013,False
