EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsPutbacks,Fg2aBlocked,Corner3Assists,Steals,BadPassSteals,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,PenaltyCorner3FGA,SecondChanceArc3FGA,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg3Pct,AtRimPctBlocked,DefCorner3ReboundPct,PenaltyCorner3Accuracy,PenaltyArc3FGM,Charge Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3Accuracy,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,Loose Ball Fouls,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,FTOffRebounds,LostBallSteals,BlockingFouls,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,team_id,year,season,team_vs
100646-101039-201503-201896-201919,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Briann January, Shavonte Zellous","Catchings, Phillips, Larkins, January, Zellous",100646-101039-201503-201896-201919,IND,387.0,3,6.0,-2.0,11.0,13.0,4.0,1.0,24,3.0,4.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,11.0,13.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,3.0,1.0,5.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,11.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.6428571428571429,0.6875,0.5,0.14285714285714285,0.5,1.0,0.6,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6,1.0,89.30232558139535,16.09090909090909,16.153846153846153,15.818181818181818,13.461538461538462,0.5714285714285714,0.75,0.75,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.7142857142857143,1.0,0.5015285714285714,0.14285714285714285,1.0,0.09090909090909091,6.183333333333334,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201503-201896-202640,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Briann January, Karima Christmas-Kelly","Catchings, Phillips, Larkins, January, Christmas-Kelly",100646-101039-201503-201896-202640,IND,495.0,2,8.0,1.0,13.0,13.0,3.0,4.0,26,4.0,8.0,4.0,1.0,,2.0,4.0,13.0,1.0,3.0,,11.0,10.0,,2.0,4.0,4.0,3.0,2.0,,2.0,1.0,3.0,,2.0,7.0,4.0,4.0,2.0,1.0,7.0,4.0,11.0,2.0,2.0,,,,2.0,1.0,2.0,3.0,,2.0,,,,,,4.0,2.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.34375,0.34375,0.25,0.1875,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.8571428571428571,0.4,0.5,0.5,1.0,75.63636363636364,21.923076923076923,16.153846153846153,20.23076923076923,16.153846153846153,0.5,0.5,0.5,0.5,0.25,0.0625,0.125,,,,0.6875,,0.508178125,,,0.18181818181818182,3.9384615384615387,23.566666666666666,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.1666666666666667,0.25,1.1666666666666667,0.07692307692307693,0.25,0.5,1.0,0.5,0.0625,1.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.25,0.6944333333333333,0.4758375,0.6363636363636364,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201503-201896-202656,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Briann January, Jeanette Pohlen-Mavunga","Catchings, Phillips, Larkins, January, Pohlen-Mavunga",100646-101039-201503-201896-202656,IND,510.0,2,8.0,2.0,13.0,12.0,7.0,5.0,25,2.0,4.0,1.0,2.0,1.0,8.0,4.0,7.0,2.0,11.0,,14.0,12.0,,2.0,2.0,6.0,6.0,8.0,1.0,1.0,2.0,3.0,1.0,,8.0,2.0,1.0,3.0,,4.0,6.0,10.0,1.0,1.0,,,,1.0,,1.0,3.0,,2.0,,,,,,10.0,2.0,1.0,0.25,0.3333333333333333,1.0,0.18181818181818182,0.18181818181818182,0.5714285714285714,0.3888888888888889,0.3888888888888889,0.1111111111111111,0.6111111111111112,1.0,,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4,0.5,,0.6666666666666666,0.3333333333333333,70.58823529411765,18.23076923076923,22.75,13.615384615384615,20.333333333333332,0.2222222222222222,0.5,0.5,,0.05555555555555555,0.1111111111111111,0.4444444444444444,0.125,0.125,1.0,0.8333333333333334,0.125,0.5182444444444445,,,0.14285714285714285,7.285714285714286,23.94545454545454,6.0,1.0,1.0,1.0,3.0,1.0,3.0,,1.0,3.0,2.0,2.0,,4.0,4.0,1.0,4.0,5.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,6.0,,1.0,0.25,0.3333333333333333,0.1111111111111111,0.3333333333333333,,,0.5,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.50835,0.54445,0.2857142857142857,0.46153846153846156,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,0.5714285714285714,0.08333333333333333,1.0,1.0,0.5,0.5,1.0,0.5,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201503-201896-203406,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Briann January, Layshia Clarendon","Catchings, Phillips, Larkins, January, Clarendon",100646-101039-201503-201896-203406,IND,223.0,1,4.0,-6.0,7.0,8.0,,,15,,2.0,,,,2.0,,2.0,1.0,3.0,,3.0,9.0,,3.0,,,3.0,2.0,,,1.0,1.0,,,3.0,,1.0,1.0,,2.0,,2.0,1.0,1.0,2.0,,,3.0,,,,,,,,,,,3.0,3.0,,,,1.0,0.3333333333333333,0.3333333333333333,,0.3,0.3,0.3,0.6,0.3333333333333333,,1.0,,1.0,1.0,,,1.0,,96.8609865470852,16.142857142857142,13.75,16.142857142857142,13.75,0.4,,,,,,0.4,,,,1.0,,0.49718,,,1.0,1.3,24.266666666666666,7.0,,,,2.0,1.0,1.0,,,2.0,,,,,,,2.0,3.0,,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,7.0,,,,,0.3,,0.5,,,,1.0,0.2,1.0,1.0,1.0,,,,,,0.4,,0.4,,0.49718,,1.0,,,1.0,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,3.0,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201503-201919-203406,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Shavonte Zellous, Layshia Clarendon","Catchings, Phillips, Larkins, Zellous, Clarendon",100646-101039-201503-201919-203406,IND,568.0,3,9.0,3.0,18.0,16.0,8.0,,34,2.0,4.0,2.0,4.0,1.0,2.0,3.0,10.0,1.0,3.0,7.0,16.0,13.0,5.0,12.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,,2.0,3.0,,5.0,,5.0,,,1.0,,,1.0,,1.0,5.0,,6.0,1.0,9.0,,,2.0,16.0,12.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3,0.34615384615384615,0.4411764705882353,0.39285714285714285,0.23076923076923078,,,0.42857142857142855,,0.6666666666666666,0.5,,,,1.0,86.19718309859155,17.166666666666668,16.1875,17.166666666666668,13.875,0.3076923076923077,0.5,0.5,0.5,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.5,0.5,1.0,0.5384615384615384,0.5,0.4406615384615385,0.13333333333333333,,0.75,9.83,23.433333333333334,14.0,,,2.0,4.0,,1.0,,,2.0,,,,,,2.0,9.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,14.0,,,0.2222222222222222,,0.3181818181818182,,,,,0.5,,0.07692307692307693,,,,,,,,,0.36363636363636365,0.5,0.18181818181818182,,0.4391454545454545,,0.7777777777777778,,1.0,,,1.0,,,,,,,,,,,,0.25,0.25,1.0,,,,1.0,,,0.5,,,,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201503-202640-203406,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Karima Christmas-Kelly, Layshia Clarendon","Catchings, Phillips, Larkins, Christmas-Kelly, Clarendon",100646-101039-201503-202640-203406,IND,447.0,3,7.0,6.0,16.0,17.0,7.0,3.0,33,3.0,5.0,2.0,2.0,,1.0,5.0,9.0,,3.0,9.0,19.0,13.0,9.0,19.0,10.0,,,1.0,,5.0,,5.0,,3.0,10.0,2.0,1.0,6.0,,7.0,3.0,10.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,3.0,,7.0,,11.0,,,4.0,17.0,19.0,,1.0,1.0,,,,0.5555555555555556,0.4166666666666667,0.5625,0.6,0.25,0.6666666666666666,,0.75,0.5,0.5,0.7,0.42857142857142855,1.0,1.0,0.5,106.30872483221476,14.0,13.117647058823529,13.0,12.823529411764707,0.4166666666666667,0.6,0.6,1.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,,,,0.6666666666666666,,0.55355,0.16666666666666666,,1.0,6.6,23.46666666666667,14.0,1.0,2.0,3.0,5.0,,2.0,,,1.0,1.0,2.0,,,2.0,5.0,9.0,2.0,,,,,,1.0,,1.0,2.0,2.0,14.0,,0.5,0.5555555555555556,0.5,0.45454545454545453,0.5,,,0.5,,1.0,0.16666666666666666,,,,1.0,0.5,,,,0.45454545454545453,0.6,0.09090909090909091,0.732,0.5491909090909091,0.10526315789473684,0.875,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,,,0.14285714285714285,0.5,0.5,0.5,0.5,1.0,,0.09090909090909091,,,,1.0,,,,,,,,1.0,2.0,4.0,,0.2222222222222222,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201896-201919-202640,1611661325,"Tamika Catchings, Erin Phillips, Briann January, Shavonte Zellous, Karima Christmas-Kelly","Catchings, Phillips, January, Zellous, Christmas-Kelly",100646-101039-201896-201919-202640,IND,373.0,2,6.0,-4.0,11.0,11.0,1.0,4.0,22,4.0,4.0,1.0,3.0,,3.0,5.0,8.0,,4.0,1.0,11.0,15.0,,4.0,4.0,6.0,,3.0,,2.0,,2.0,,1.0,4.0,3.0,,4.0,,4.0,5.0,9.0,2.0,2.0,,,,2.0,1.0,2.0,4.0,,3.0,,2.0,,,,6.0,4.0,,0.4,0.5,,,,0.625,0.4166666666666667,0.4230769230769231,0.5,0.3333333333333333,1.0,,0.8,1.0,,0.5714285714285714,0.7142857142857143,1.0,1.0,,84.93297587131367,19.90909090909091,14.0,16.272727272727273,12.818181818181818,0.3333333333333333,1.0,1.0,0.25,0.08333333333333333,0.25,0.25,,,,0.6666666666666666,,0.48295,0.07692307692307693,,0.36363636363636365,8.5875,23.375,4.0,2.0,2.0,2.0,2.0,,1.0,,,1.0,2.0,4.0,,,5.0,2.0,3.0,1.0,2.0,,,,,,,,,,4.0,,0.5,0.6666666666666666,0.5,0.5,0.5,,,,,,0.08333333333333333,,,,0.5,1.0,,,,0.5,1.0,0.25,0.5099666666666667,0.488275,0.45454545454545453,0.36363636363636365,,1.0,,,1.0,2.0,,1.0,,,0.5,1.0,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,0.1111111111111111,,,,,1.0,0.6666666666666666,,,1.0,1.0,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201896-201919-202656,1611661325,"Tamika Catchings, Erin Phillips, Briann January, Shavonte Zellous, Jeanette Pohlen-Mavunga","Catchings, Phillips, January, Zellous, Pohlen-Mavunga",100646-101039-201896-201919-202656,IND,15.0,1,,-2.0,2.0,1.0,1.0,,3,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,7.5,,7.5,,,,,,1.0,,,,,,,,0.296,,,,12.9,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201896-201919-203418,1611661325,"Tamika Catchings, Erin Phillips, Briann January, Shavonte Zellous, Jasmine Hassell","Catchings, Phillips, January, Zellous, Hassell",100646-101039-201896-201919-203418,IND,52.0,1,1.0,-2.0,1.0,1.0,,,2,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.38461538461538,29.0,23.0,29.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1611661325,2013,2013,False
100646-101039-201896-202640-202656,1611661325,"Tamika Catchings, Erin Phillips, Briann January, Karima Christmas-Kelly, Jeanette Pohlen-Mavunga","Catchings, Phillips, January, Christmas-Kelly, Pohlen-Mavunga",100646-101039-201896-202640-202656,IND,74.0,2,1.0,3.0,1.0,3.0,2.0,,4,1.0,1.0,,,,,1.0,1.0,,,1.0,3.0,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,,,,3.0,,,,,,,,1.0,1.0,0.75,,,,,1.0,,,0.5,,,,,77.83783783783784,17.0,19.0,17.0,17.666666666666668,1.0,1.0,1.0,,,,,,,,1.0,,0.5503,0.5,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
