EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3Assists,FTOffRebounds,Charge Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,Technical Free Throw Trips,OffCorner3ReboundPct,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,HeaveMakes,OffensiveGoaltends,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
100646-101039-201503-201896-202640,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Briann January, Karima Christmas-Kelly","Catchings, Phillips, Larkins, January, Christmas-Kelly",100646-101039-201503-201896-202640,IND,4717.0,12,79.0,15.0,143.0,144.0,28.0,25.0,15.0,287,30.0,38.0,4.0,5.0,6.0,10.0,10.0,27.0,7.0,18.0,1.0,1.0,9.0,23.0,1.0,1.0,5.0,47.0,83.0,9.0,24.0,31.0,152.0,137.0,6.0,7.0,1.0,7.0,19.0,9.0,17.0,1.0,6.0,9.0,30.0,56.0,38.0,21.0,6.0,8.0,23.0,9.0,6.0,28.0,7.0,35.0,7.0,20.0,4.0,4.0,77.0,3.0,13.0,20.0,33.0,3.0,56.0,16.0,72.0,2.0,14.0,10.0,4.0,23.0,5.0,13.0,10.0,10.0,2.0,33.0,4.0,6.0,13.0,3.0,29.0,4.0,2.0,35.0,2.0,1.0,3.0,36.0,14.0,4.0,3.0,1.0,2.0,3.0,3.0,133.0,30.0,28.0,4.0,4.0,0.5957446808510638,0.6511627906976745,0.7777777777777778,0.375,0.16666666666666666,0.375,0.5662650602409639,0.8571428571428571,0.5294117647058824,0.5654205607476636,0.75,0.45652173913043476,0.608,0.7916666666666666,0.5357142857142857,0.22429906542056074,0.07228915662650602,0.05263157894736842,0.1111111111111111,0.05555555555555555,0.696969696969697,1.0,0.7333333333333333,0.3611111111111111,0.6666666666666666,0.2,0.7066666666666667,0.3137254901960784,0.75,0.29411764705882354,0.18181818181818182,0.21428571428571427,0.9166666666666666,0.5454545454545454,0.7272727272727273,0.72,0.4,0.044444444444444446,87.61500953996185,1.0,15.412587412587413,17.45138888888889,14.93006993006993,16.36111111111111,0.35514018691588783,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.2523364485981308,0.37037037037037035,0.4166666666666667,0.4,0.16822429906542055,0.3888888888888889,0.4117647058823529,0.5714285714285714,0.009345794392523364,0.21495327102803738,0.391304347826087,0.391304347826087,0.7777777777777778,0.625,0.8,0.125,0.43478260869565216,0.6,0.043478260869565216,0.21739130434782608,0.2,0.5794392523364486,0.391304347826087,0.4772308411214953,0.52253125,0.4932804347826087,0.11570247933884298,0.14432989690721648,0.125,0.19736842105263158,7.497590361445782,23.954166666666666,0.1958041958041958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
201503-201896-201919-202638-202640,1611661325,"Erlana Larkins, Briann January, Shavonte Zellous, Jessica Breland, Karima Christmas-Kelly","Larkins, January, Zellous, Breland, Christmas-Kelly",201503-201896-201919-202638-202640,IND,3692.0,12,62.0,-7.0,111.0,113.0,25.0,27.0,15.0,224,21.0,35.0,6.0,9.0,5.0,6.0,3.0,15.0,9.0,24.0,2.0,,3.0,14.0,,1.0,2.0,33.0,74.0,4.0,16.0,26.0,104.0,111.0,7.0,14.0,,3.0,17.0,9.0,16.0,1.0,2.0,15.0,36.0,48.0,18.0,9.0,3.0,8.0,14.0,3.0,6.0,24.0,3.0,27.0,2.0,13.0,3.0,8.0,57.0,5.0,14.0,4.0,26.0,3.0,33.0,20.0,53.0,3.0,19.0,11.0,8.0,19.0,4.0,14.0,7.0,5.0,1.0,26.0,1.0,3.0,8.0,,24.0,3.0,,29.0,1.0,1.0,1.0,33.0,13.0,5.0,12.0,7.0,2.0,12.0,5.0,87.0,34.0,24.0,4.0,4.0,0.7272727272727273,0.8275862068965517,0.75,0.25,0.5,0.25,0.44594594594594594,0.5,0.5625,0.43333333333333335,0.5,0.5833333333333334,0.49523809523809526,0.53125,0.6666666666666666,0.17777777777777778,0.08108108108108109,0.05714285714285714,0.2,0.041666666666666664,0.7307692307692307,1.0,0.65,0.35,0.4,0.4166666666666667,0.6,0.36538461538461536,0.42857142857142855,0.4166666666666667,0.21428571428571427,0.45454545454545453,0.6,0.5,0.75,0.375,0.5,0.06521739130434782,87.36728060671723,0.4166666666666667,16.333333333333332,16.628318584070797,14.711711711711711,15.398230088495575,0.3888888888888889,0.6,0.6363636363636364,0.6190476190476191,0.16666666666666666,0.2,0.25,1.0,0.26666666666666666,0.375,0.391304347826087,0.8888888888888888,0.022222222222222223,0.15555555555555556,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.6428571428571429,0.6666666666666666,,0.3333333333333333,0.8333333333333334,,0.1111111111111111,0.5,0.5666666666666667,0.21428571428571427,0.4834372222222222,0.5334800000000001,0.45529444444444445,0.13,0.15476190476190477,0.16346153846153846,0.34615384615384615,8.405405405405405,24.275,0.22522522522522523,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
101039-201503-201919-203406-203418,1611661325,"Erin Phillips, Erlana Larkins, Shavonte Zellous, Layshia Clarendon, Jasmine Hassell","Phillips, Larkins, Zellous, Clarendon, Hassell",101039-201503-201919-203406-203418,IND,224.0,1,4.0,,7.0,6.0,5.0,6.0,2.0,13,3.0,4.0,2.0,2.0,2.0,3.0,,1.0,1.0,2.0,,,,1.0,,,1.0,4.0,7.0,,1.0,,8.0,8.0,2.0,3.0,,,4.0,3.0,5.0,,1.0,,6.0,,8.0,,,2.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,,2.0,2.0,4.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,4.0,6.0,5.0,,,,,,,,,0.5714285714285714,0.6666666666666666,0.6,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.125,,,,,,,1.0,0.6666666666666666,1.0,,1.0,0.5,,1.0,1.0,,,,1.0,1.0,,0.25,83.57142857142857,,14.571428571428571,20.333333333333332,12.857142857142858,20.333333333333332,0.5,0.75,0.75,,0.125,,,,0.25,0.5,0.5,,,0.125,,,,0.6666666666666666,1.0,,0.5,0.6666666666666666,,0.16666666666666666,,0.625,,0.46164375,0.4599,0.472775,,,0.5,0.75,7.814285714285715,24.1,0.7142857142857143,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-100666-201503-201896-201919,1611661325,"Tamika Catchings, Katie Douglas, Erlana Larkins, Briann January, Shavonte Zellous","Catchings, Douglas, Larkins, January, Zellous",100646-100666-201503-201896-201919,IND,2809.0,3,47.0,-9.0,84.0,85.0,11.0,8.0,10.0,169,13.0,28.0,2.0,5.0,2.0,5.0,6.0,13.0,5.0,17.0,3.0,2.0,3.0,16.0,,,1.0,24.0,58.0,4.0,19.0,12.0,72.0,81.0,3.0,6.0,,7.0,13.0,2.0,8.0,1.0,3.0,4.0,11.0,28.0,20.0,12.0,,2.0,16.0,3.0,7.0,14.0,4.0,18.0,3.0,8.0,4.0,2.0,40.0,4.0,9.0,11.0,20.0,1.0,32.0,14.0,46.0,1.0,10.0,6.0,4.0,7.0,3.0,2.0,7.0,5.0,,14.0,2.0,,7.0,2.0,19.0,,,15.0,2.0,,1.0,14.0,5.0,1.0,6.0,3.0,3.0,6.0,2.0,59.0,11.0,11.0,,1.0,0.5833333333333334,0.6086956521739131,1.0,0.21052631578947367,0.3333333333333333,0.21052631578947367,0.41379310344827586,0.5,0.25,0.38961038961038963,0.5,0.3181818181818182,0.42168674698795183,0.6,0.4230769230769231,0.24675324675324675,0.1206896551724138,0.21428571428571427,0.07692307692307693,,0.5,1.0,0.6666666666666666,0.2727272727272727,0.7333333333333333,0.26666666666666666,0.6888888888888889,0.2708333333333333,0.26666666666666666,0.3333333333333333,0.25,0.23076923076923078,0.6923076923076923,0.6666666666666666,0.6363636363636364,0.7857142857142857,,0.024390243902439025,86.63581345674616,0.3333333333333333,16.392857142857142,16.847058823529412,15.583333333333334,15.564705882352941,0.36363636363636365,0.4642857142857143,0.5909090909090909,0.6153846153846154,0.16883116883116883,0.46153846153846156,0.5,0.6666666666666666,0.22077922077922077,0.29411764705882354,0.29411764705882354,0.4,0.03896103896103896,0.2077922077922078,0.1875,0.1875,1.0,0.8333333333333334,0.4,,0.45454545454545453,0.4,0.18181818181818182,0.09090909090909091,,0.6103896103896104,0.1875,0.48555064935064934,0.5317333333333333,0.5250636363636363,0.06097560975609756,0.07936507936507936,0.18055555555555555,0.1527777777777778,8.244827586206897,23.68421052631579,0.13095238095238096,1.0,1.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,,1.0,2.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-100666-101039-201896-203418,1611661325,"Tamika Catchings, Katie Douglas, Erin Phillips, Briann January, Jasmine Hassell","Catchings, Douglas, Phillips, January, Hassell",100646-100666-101039-201896-203418,IND,38.0,1,1.0,-2.0,1.0,1.0,1.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,18.0,20.0,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-100666-201503-201896-203406,1611661325,"Tamika Catchings, Katie Douglas, Erlana Larkins, Briann January, Layshia Clarendon","Catchings, Douglas, Larkins, January, Clarendon",100646-100666-201503-201896-203406,IND,136.0,1,2.0,3.0,4.0,4.0,,,,8,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,2.0,1.0,7.0,4.0,,,,,,,,,,,,,,3.0,3.0,,2.0,2.0,,,1.0,1.0,1.0,,,,3.0,,,1.0,1.0,,2.0,,2.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,,,2.0,1.0,,1.0,1.0,,1.0,,7.0,,,,,,,0.5,1.0,,1.0,,,,1.5,,,1.1666666666666667,,,1.0,,,,,1.0,,0.3333333333333333,,1.0,,0.5,,,,,,,,0.5,1.0,,,84.70588235294117,,16.5,17.5,16.5,14.0,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,1.0,1.0,0.48765,,,0.3333333333333333,1.0,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-100666-201896-202638-202640,1611661325,"Tamika Catchings, Katie Douglas, Briann January, Jessica Breland, Karima Christmas-Kelly","Catchings, Douglas, January, Breland, Christmas-Kelly",100646-100666-201896-202638-202640,IND,76.0,1,1.0,-2.0,2.0,2.0,,,,4,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,2.0,4.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,17.0,21.0,17.0,15.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.352,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-100835-201503-201919-202640,1611661325,"Tamika Catchings, Erin Thorn, Erlana Larkins, Shavonte Zellous, Karima Christmas-Kelly","Catchings, Thorn, Larkins, Zellous, Christmas-Kelly",100646-100835-201503-201919-202640,IND,244.0,1,4.0,-7.0,8.0,8.0,,,2.0,16,1.0,3.0,,1.0,,,,2.0,1.0,3.0,,,,,,,,2.0,8.0,,,1.0,5.0,12.0,,2.0,,1.0,1.0,,,,,,,,4.0,,,,,,2.0,,,,,,,,,,3.0,,2.0,,2.0,3.0,5.0,,,,,1.0,,,1.0,1.0,,2.0,,,2.0,,3.0,,1.0,1.0,,,,2.0,1.0,,,,,,,4.0,,,,,,,,,,,0.25,,,0.25,,,0.2777777777777778,0.16666666666666666,,,0.25,0.3333333333333333,0.5,,0.5,,1.0,0.5,,,0.6666666666666666,0.5,0.5,0.5,0.5,,1.0,,1.0,,,,94.42622950819673,,15.5,15.0,10.0,14.875,0.375,0.3333333333333333,0.5,,0.25,,,,0.375,0.3333333333333333,0.3333333333333333,,,,,,,0.5,,,,,,,,0.375,,0.455075,0.3651,,0.1111111111111111,0.1111111111111111,0.2,,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-101039-201503-201919-202656,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Shavonte Zellous, Jeanette Pohlen-Mavunga","Catchings, Phillips, Larkins, Zellous, Pohlen-Mavunga",100646-101039-201503-201919-202656,IND,249.0,1,4.0,,8.0,9.0,6.0,,,17,1.0,1.0,,,,,,,,2.0,,,,2.0,,,2.0,1.0,3.0,,2.0,4.0,6.0,6.0,,,,,,,1.0,,2.0,4.0,4.0,,2.0,,,,2.0,,1.0,,,,,,,,,,,3.0,,,3.0,,3.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,3.0,,,,4.0,1.0,1.0,1.0,,,1.0,,6.0,4.0,6.0,,1.0,,,,,,,0.3333333333333333,,,0.2,,,0.42857142857142855,,0.4,0.4,0.3333333333333333,,,0.5,1.0,,,,0.75,,0.6,,,,,,,,,0.75,,,98.31325301204818,,14.625,14.666666666666666,14.625,10.444444444444445,0.2,1.0,1.0,,,,,,0.4,,,,,0.4,,,,,,,,,,0.6666666666666666,,0.6,,0.47355,,0.44144999999999995,0.16666666666666666,0.25,,0.6666666666666666,12.133333333333333,23.85,0.75,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
100646-101039-201503-202640-202656,1611661325,"Tamika Catchings, Erin Phillips, Erlana Larkins, Karima Christmas-Kelly, Jeanette Pohlen-Mavunga","Catchings, Phillips, Larkins, Christmas-Kelly, Pohlen-Mavunga",100646-101039-201503-202640-202656,IND,163.0,1,3.0,-2.0,5.0,5.0,1.0,,2.0,10,2.0,2.0,,,,,,1.0,,,,,,1.0,,,1.0,2.0,3.0,,1.0,,4.0,6.0,,,,,,,,,1.0,,,4.0,,,,,1.0,,,2.0,,2.0,,2.0,,,4.0,,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,,,,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,4.0,,,1.0,,,,1.0,1.0,,,,,,,4.0,,1.0,,,1.0,1.0,,,,,0.6666666666666666,,,0.5,,,0.5,,,0.25,,,,,0.5,,1.0,1.0,1.0,,1.0,0.5,,1.0,,,,,1.0,1.0,,0.5,88.34355828220859,,14.8,17.8,11.8,17.8,0.5,1.0,1.0,1.0,0.25,,,,,,,,,0.25,,,,,,,,,,1.0,,0.75,,0.520325,,0.4848,0.25,0.3333333333333333,,,4.166666666666667,23.1,0.2,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,True
