EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SelfOReb,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,SecondChanceFg2Pct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,OffThreePtRebounds,LostBallSteals,BadPassTurnovers,2pt And 1 Free Throw Trips,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyFtPoints,FTDefRebounds,Offensive Fouls,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,SecondChanceFtPoints,LongMidRangeAssists,OffShortMidRangeReboundPct,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Corner3Assists,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,BlockedShortMidRange,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceTurnovers,ShortMidRangePctBlocked,ShortMidRangeFGM,ShortMidRangeAssists,StepOutOfBoundsTurnovers,BlockedLongMidRange,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Technical Free Throw Trips,PenaltyArc3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,FTOffRebounds,Clear Path Fouls,OffFTReboundPct,3SecondViolations,PtsPutbacks,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
100646-201896-201919-202638-203406,1611661325,"Tamika Catchings, Briann January, Shavonte Zellous, Jessica Breland, Layshia Clarendon","Catchings, January, Zellous, Breland, Clarendon",100646-201896-201919-202638-203406,IND,696.0,5,12.0,-9.0,23.0,22.0,3.0,5.0,1.0,45,2.0,5.0,1.0,1.0,2.0,1.0,6.0,2.0,6.0,1.0,1.0,3.0,13.0,2.0,6.0,2.0,14.0,23.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,1.0,6.0,2.0,2.0,1.0,5.0,5.0,2.0,1.0,6.0,2.0,7.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3157894736842105,1.5,0.3333333333333333,0.35,1.5,0.3333333333333333,0.3157894736842105,0.07692307692307693,0.16666666666666666,0.75,0.1111111111111111,0.4,0.5555555555555556,0.07692307692307693,0.25,1.0,0.6666666666666666,0.25,1.0,93.10344827586208,1.0,14.652173913043478,16.318181818181817,14.26086956521739,15.772727272727273,0.2631578947368421,0.4,0.4,0.5,0.10526315789473684,0.3157894736842105,0.16666666666666666,0.2,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.5789473684210527,0.3333333333333333,0.46861842105263163,0.5514,0.4246666666666667,0.05,0.07142857142857142,0.21428571428571427,0.14285714285714285,9.984615384615385,23.7,0.13043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
201896-201919-202638-203406-203418,1611661325,"Briann January, Shavonte Zellous, Jessica Breland, Layshia Clarendon, Jasmine Hassell","January, Zellous, Breland, Clarendon, Hassell",201896-201919-202638-203406-203418,IND,41.0,1,1.0,2.0,2.0,1.0,,1.0,,3,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,105.36585365853658,,9.5,22.0,9.5,22.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.5126,,,,,,,2.7,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
201896-202640-203067-203406-203418,1611661325,"Briann January, Karima Christmas-Kelly, Sasha Goodlett, Layshia Clarendon, Jasmine Hassell","January, Christmas-Kelly, Goodlett, Clarendon, Hassell",201896-202640-203067-203406-203418,IND,170.0,1,3.0,,4.0,4.0,2.0,2.0,1.0,8,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,3.0,,,,4.0,4.0,,,2.0,2.0,3.0,4.0,,4.0,,,,,,,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,2.0,3.0,,,2.0,,1.0,,,,2.0,1.0,,,,,2.0,4.0,2.0,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,,,,0.5,1.0,,0.5,1.0,1.0,1.0,0.5,,,67.76470588235294,,22.25,20.25,21.5,17.75,0.3333333333333333,1.0,1.0,,,0.6666666666666666,0.5,0.5,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.34650000000000003,0.6671,0.34650000000000003,0.25,0.25,0.5,1.0,13.966666666666667,,0.5,1.0,1.0,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-100835-201919-202640-203067,1611661325,"Tamika Catchings, Erin Thorn, Shavonte Zellous, Karima Christmas-Kelly, Sasha Goodlett","Catchings, Thorn, Zellous, Christmas-Kelly, Goodlett",100646-100835-201919-202640-203067,IND,228.0,2,4.0,5.0,8.0,8.0,,,1.0,16,3.0,3.0,,,1.0,1.0,2.0,,1.0,,,4.0,6.0,,1.0,,8.0,3.0,,,2.0,,,,4.0,4.0,,,1.0,,,2.0,,2.0,,2.0,4.0,,,3.0,3.0,1.0,4.0,2.0,1.0,,1.0,3.0,,,,,1.0,,,,1.0,1.0,,,,,6.0,,,0.5,0.5,,,,,0.6666666666666666,,0.5714285714285714,1.0,,0.5714285714285714,1.0,,0.14285714285714285,,,1.0,,,1.0,0.3333333333333333,,1.0,1.0,,,101.05263157894737,,14.75,13.75,14.375,13.75,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,,,,,,0.5714285714285714,,0.49257142857142855,,,0.14285714285714285,0.16666666666666666,0.25,,7.7,23.6,,2.0,1.0,,,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
101039-201503-201919-203067-203406,1611661325,"Erin Phillips, Erlana Larkins, Shavonte Zellous, Sasha Goodlett, Layshia Clarendon","Phillips, Larkins, Zellous, Goodlett, Clarendon",101039-201503-201919-203067-203406,IND,191.0,2,3.0,-3.0,5.0,6.0,3.0,1.0,1.0,11,,2.0,,2.0,1.0,,,,,,,,3.0,,,3.0,3.0,6.0,,,,,3.0,2.0,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,,,1.0,2.0,2.0,2.0,,3.0,,2.0,,,,4.0,2.0,,,,,3.0,2.0,3.0,,,,,,,,,,,,0.3,,0.25,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,82.93193717277488,,19.4,15.666666666666666,18.2,15.333333333333334,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,0.5663,0.42,0.5663,0.4,0.4,,0.6666666666666666,3.4,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
201503-201896-201919-202640-203067,1611661325,"Erlana Larkins, Briann January, Shavonte Zellous, Karima Christmas-Kelly, Sasha Goodlett","Larkins, January, Zellous, Christmas-Kelly, Goodlett",201503-201896-201919-202640-203067,IND,649.0,3,11.0,6.0,18.0,17.0,4.0,,4.0,35,2.0,6.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,,,5.0,13.0,1.0,2.0,6.0,19.0,13.0,,,3.0,2.0,5.0,4.0,8.0,2.0,3.0,,2.0,1.0,3.0,4.0,1.0,5.0,1.0,2.0,11.0,5.0,1.0,7.0,9.0,5.0,14.0,1.0,1.0,1.0,2.0,4.0,4.0,,7.0,,6.0,,,,8.0,4.0,1.0,1.0,1.0,1.0,16.0,4.0,4.0,0.8,0.8,1.0,0.5,,0.5,0.38461538461538464,0.4,0.43333333333333335,0.25,0.4,0.5,0.3,0.4,0.13333333333333333,0.23076923076923078,,0.875,0.625,0.25,0.6666666666666666,0.5555555555555556,0.5,0.75,1.0,0.25,,77.65793528505392,1.0,18.72222222222222,18.352941176470587,16.38888888888889,17.529411764705884,0.4,0.3333333333333333,0.6666666666666666,1.0,0.13333333333333333,0.3333333333333333,0.6,0.6,0.13333333333333333,0.5,0.5,1.0,,,,0.4,0.5,0.5333333333333333,0.5,0.45566333333333336,0.48565,0.46418,0.21052631578947367,0.23529411764705882,0.15789473684210525,0.21052631578947367,8.423076923076923,24.1,0.2222222222222222,2.0,,,,0.5,,2.0,1.0,4.0,,,1.0,0.25,,0.5,,,,2.0,,,,1.0,,1.0,,0.5,1.0,0.5,1.0,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-100666-201503-201896-202640,1611661325,"Tamika Catchings, Katie Douglas, Erlana Larkins, Briann January, Karima Christmas-Kelly","Catchings, Douglas, Larkins, January, Christmas-Kelly",100646-100666-201503-201896-202640,IND,517.0,2,9.0,10.0,16.0,14.0,10.0,,1.0,30,3.0,5.0,,,3.0,,1.0,,3.0,,1.0,3.0,9.0,1.0,4.0,11.0,20.0,10.0,,1.0,2.0,,3.0,9.0,6.0,,3.0,,3.0,,1.0,3.0,1.0,4.0,,3.0,9.0,2.0,2.0,3.0,5.0,3.0,8.0,4.0,2.0,,,,,1.0,3.0,,7.0,,,1.0,11.0,3.0,,,,,18.0,9.0,10.0,1.0,1.0,1.0,0.25,,0.25,0.3333333333333333,,0.34615384615384615,0.3333333333333333,0.25,0.5555555555555556,0.3333333333333333,0.5,0.3076923076923077,0.1111111111111111,,0.75,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.3333333333333333,,0.5,,0.6666666666666666,,83.55899419729207,,15.0625,19.714285714285715,13.375,18.214285714285715,0.38461538461538464,0.6,0.75,1.0,0.23076923076923078,0.07692307692307693,,,0.23076923076923078,,,,0.3333333333333333,,,,,0.6923076923076923,,0.4963692307692308,0.5993499999999999,0.4478416666666667,0.2,0.2727272727272727,0.1,0.45,4.633333333333334,23.55,0.625,,,,,,1.0,2.0,1.0,2.0,1.0,,,0.5,0.125,0.6666666666666666,0.5,1.0,2.0,,1.0,0.3333333333333333,0.3333333333333333,1.0,6.0,,,0.2,,0.5,,,0.3333333333333333,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-100666-201896-201919-203067,1611661325,"Tamika Catchings, Katie Douglas, Briann January, Shavonte Zellous, Sasha Goodlett","Catchings, Douglas, January, Zellous, Goodlett",100646-100666-201896-201919-203067,IND,89.0,1,1.0,-2.0,2.0,2.0,,,,4,,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,1.0,64.71910112359551,,21.5,23.0,21.5,22.0,,,,,,1.0,,,,,,,,,,,,,,0.3454,,,,,,,16.3,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-100666-201896-202638-202640,1611661325,"Tamika Catchings, Katie Douglas, Briann January, Jessica Breland, Karima Christmas-Kelly","Catchings, Douglas, January, Breland, Christmas-Kelly",100646-100666-201896-202638-202640,IND,76.0,1,1.0,2.0,2.0,2.0,,,1.0,4,2.0,2.0,,,,,,,1.0,,,2.0,2.0,,2.0,,4.0,2.0,,1.0,2.0,,,,2.0,2.0,,,1.0,,,1.0,,1.0,,1.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.5,0.5,,,,,1.0,,0.5,0.5,,0.5,0.5,,0.5,,,,,,,1.0,,,,,,75.78947368421053,,21.0,17.0,15.0,17.0,0.5,1.0,1.0,0.5,,,,,0.25,,,,,,,,,1.0,,0.591925,,,,,0.5,,2.45,24.2,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,0.5,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,0.25,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
100646-100835-201503-201896-202640,1611661325,"Tamika Catchings, Erin Thorn, Erlana Larkins, Briann January, Karima Christmas-Kelly","Catchings, Thorn, Larkins, January, Christmas-Kelly",100646-100835-201503-201896-202640,IND,112.0,1,2.0,1.0,3.0,2.0,,,1.0,5,,,,,2.0,,,,1.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,0.125,,,0.3333333333333333,0.5,,0.5,0.5,,0.5,0.3333333333333333,,,,,,64.28571428571428,,17.333333333333332,30.0,17.0,21.0,,,,,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.42639999999999995,,,,,,,5.85,23.3,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2013,2013,False
