EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3PctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PtsPutbacks,FTOffRebounds,Travels,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffAtRimReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,SelfOReb,BlockingFouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,3SecondViolations,SelfORebPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,3pt And 1 Free Throw Trips,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
200671-202257-202644-202647-203016,1611661324,"Seimone Augustus, Monica Wright, Amber Harris, Rachel Jarry, Devereaux Peters","Augustus, Wright, Harris, Jarry, Peters",200671-202257-202644-202647-203016,MIN,195.0,2,3.0,1.0,7.0,7.0,6.0,2.0,2.0,14,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,8.0,7.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,8.0,6.0,6.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2857142857142857,0.2,0.4444444444444444,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.25,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.5,103.38461538461539,14.142857142857142,13.714285714285714,12.0,10.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.2857142857142857,0.5,0.2,0.2,0.4,0.5714285714285714,0.33280000000000004,0.30375,0.33096000000000003,0.25,0.4,0.75,11.3,24.03333333333333,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100944-200671-202257-202632-203016,1611661324,"Rebekkah Brunson, Seimone Augustus, Monica Wright, Maya Moore, Devereaux Peters","Brunson, Augustus, Wright, Moore, Peters",100944-200671-202257-202632-203016,MIN,2968.0,18,49.0,14.0,96.0,97.0,12.0,18.0,12.0,193,20.0,4.0,5.0,13.0,8.0,18.0,6.0,,23.0,,3.0,28.0,51.0,29.0,19.0,105.0,91.0,5.0,2.0,4.0,8.0,3.0,3.0,14.0,34.0,23.0,1.0,,17.0,25.0,3.0,6.0,58.0,6.0,29.0,2.0,38.0,11.0,49.0,6.0,20.0,4.0,2.0,7.0,16.0,18.0,23.0,5.0,13.0,1.0,92.0,14.0,12.0,1.0,1.0,0.6071428571428571,0.6071428571428571,0.5490196078431373,0.5,0.5375,0.5,0.5898876404494382,0.5833333333333334,0.3625,,0.0196078431372549,,,1.0,0.7073170731707317,0.35294117647058826,0.7346938775510204,0.275,0.25,0.6666666666666666,0.75,93.6388140161725,16.322916666666668,14.443298969072165,15.083333333333334,13.402061855670103,0.25,0.1625,0.38461538461538464,0.4166666666666667,0.6,0.225,0.4444444444444444,0.4444444444444444,0.75,0.075,0.2875,,0.36363636363636365,,0.2727272727272727,0.6125,0.479676875,0.5669000000000001,0.5130772727272727,0.14772727272727273,0.22033898305084745,0.13333333333333333,9.264705882352942,23.941379310344825,0.125,15.0,3.0,4.0,3.0,1.0,2.0,9.0,1.0,10.0,4.0,5.0,13.0,1.0,22.0,24.0,6.0,9.0,8.0,7.0,1.0,8.0,5.0,7.0,10.0,9.0,1.0,14.0,2.0,12.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,0.8,0.3448275862068966,0.3333333333333333,0.3448275862068966,0.8,0.5714285714285714,0.7222222222222222,0.07692307692307693,0.7,0.21739130434782608,0.875,0.125,0.4,0.38461538461538464,0.625,0.8333333333333334,1.0,1.0,0.75,0.75,0.5333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.391304347826087,0.391304347826087,0.7777777777777778,0.5714285714285714,0.75,0.6666666666666666,0.2857142857142857,0.75,0.3333333333333333,0.391304347826087,0.12380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100915-100944-200671-202257-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Monica Wright, Maya Moore","Whalen, Brunson, Augustus, Wright, Moore",100915-100944-200671-202257-202632,MIN,3261.0,12,54.0,-8.0,108.0,104.0,26.0,34.0,11.0,212,30.0,7.0,9.0,20.0,3.0,19.0,4.0,,13.0,1.0,3.0,28.0,69.0,17.0,28.0,93.0,101.0,9.0,1.0,9.0,17.0,3.0,14.0,32.0,32.0,13.0,9.0,1.0,16.0,19.0,5.0,2.0,41.0,4.0,32.0,1.0,37.0,13.0,50.0,10.0,21.0,2.0,3.0,12.0,30.0,29.0,36.0,2.0,14.0,5.0,74.0,30.0,25.0,5.0,4.0,0.5714285714285714,0.6153846153846154,0.4057971014492754,0.5294117647058824,0.37790697674418605,0.45,0.45145631067961167,0.5714285714285714,0.19767441860465115,0.058823529411764705,0.13043478260869565,0.13333333333333333,,0.3333333333333333,0.7619047619047619,0.3076923076923077,0.7346938775510204,0.23076923076923078,0.6666666666666666,0.7222222222222222,0.7894736842105263,93.61545538178473,14.61111111111111,16.182692307692307,13.87962962962963,14.48076923076923,0.3488372093023256,0.23255813953488372,0.45,0.5625,0.5555555555555556,0.22093023255813954,0.15789473684210525,0.16666666666666666,0.6666666666666666,0.046511627906976744,0.1511627906976744,0.1,0.35,,0.15,0.5465116279069767,0.4720040697674419,0.4503333333333333,0.46114750000000004,0.14285714285714285,0.1728395061728395,0.34408602150537637,8.53623188405797,23.370588235294118,0.24074074074074073,16.0,3.0,4.0,3.0,1.0,,2.0,,3.0,8.0,3.0,19.0,,24.0,9.0,,2.0,3.0,2.0,1.0,9.0,8.0,4.0,8.0,7.0,1.0,11.0,4.0,8.0,,3.0,,2.0,,1.0,4.0,3.0,1.0,,4.0,3.0,1.0,1.0,0.17647058823529413,,0.17647058823529413,0.8888888888888888,0.8,0.7916666666666666,0.2,0.5238095238095238,0.20512820512820512,0.5714285714285714,0.2,0.125,0.2,0.8,0.6,0.5,0.75,0.5333333333333333,0.6153846153846154,0.5625,0.25,0.25,1.0,0.15384615384615385,0.16666666666666666,1.0,0.4,0.75,,,0.42857142857142855,,0.15384615384615385,0.20430107526881722,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.05263157894736842,0.07692307692307693,0.16666666666666666,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100915-100944-200671-202632-202647,1611661324,"Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Maya Moore, Rachel Jarry","Whalen, Brunson, Augustus, Moore, Jarry",100915-100944-200671-202632-202647,MIN,141.0,1,2.0,-1.0,4.0,5.0,4.0,3.0,,9,2.0,2.0,,,,1.0,,,,,,1.0,3.0,,2.0,4.0,5.0,,,1.0,3.0,,2.0,4.0,2.0,,1.0,,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,4.0,4.0,4.0,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,,,0.3333333333333333,0.5,,,0.16666666666666666,,0.14285714285714285,,,,,91.91489361702128,11.5,19.0,11.5,15.4,0.6666666666666666,,,,,0.3333333333333333,,,,,,,0.6666666666666666,,,0.6666666666666666,0.5812,,0.5812,0.25,0.25,1.0,7.6000000000000005,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,0.5,1.0,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100915-100944-202257-202632-202644,1611661324,"Lindsay Whalen, Rebekkah Brunson, Monica Wright, Maya Moore, Amber Harris","Whalen, Brunson, Wright, Moore, Harris",100915-100944-202257-202632-202644,MIN,205.0,3,3.0,6.0,8.0,6.0,,2.0,2.0,14,2.0,,,,,1.0,2.0,,1.0,1.0,,2.0,3.0,3.0,4.0,11.0,5.0,1.0,1.0,,,,,,4.0,1.0,,,2.0,3.0,,,7.0,,3.0,,3.0,1.0,4.0,,1.0,,,,,3.0,4.0,,2.0,,6.0,,,,,1.0,1.0,0.6666666666666666,,0.5833333333333334,,0.6875,,0.5,,,,,,0.6,,0.6,0.3333333333333333,,,0.6666666666666666,98.34146341463415,13.875,15.666666666666666,13.0,15.333333333333334,0.3333333333333333,,,,,0.16666666666666666,,,,0.3333333333333333,0.16666666666666666,0.5,,,,0.8333333333333334,0.5356166666666666,0.534,,0.25,0.4,,5.866666666666667,23.0,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,,5.0,,,3.0,,1.0,1.0,1.0,,2.0,1.0,,,,,1.0,,1.0,,,,,,1.0,2.0,2.0,,,2.0,1.0,,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.25,1.25,,1.0,1.0,,,1.0,,0.5,,,0.5,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,1.0,1.0,,,,1.0,0.45454545454545453,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100915-101019-202257-202644-203411,1611661324,"Lindsay Whalen, Janel McCarville, Monica Wright, Amber Harris, Sugar Rodgers","Whalen, McCarville, Wright, Harris, Rodgers",100915-101019-202257-202644-203411,MIN,174.0,1,3.0,-3.0,6.0,6.0,2.0,2.0,1.0,12,1.0,,,1.0,,,,,,,,1.0,2.0,,3.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,2.0,,,2.0,4.0,,2.0,,3.0,,2.0,,,,,0.5,,0.5,,0.625,,,,,,,,0.5,,0.5,1.0,,,0.5,99.3103448275862,13.666666666666666,15.333333333333334,13.666666666666666,12.666666666666666,0.5,0.5,,,,,,,,,,,,,,0.5,0.5192,0.6755,,0.5,0.5,,3.4,,0.3333333333333333,1.0,1.0,1.0,,,,,,,1.0,,2.0,,2.0,,,,,,,,1.0,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.6666666666666666,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,0.4,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100915-101019-202257-203016-203411,1611661324,"Lindsay Whalen, Janel McCarville, Monica Wright, Devereaux Peters, Sugar Rodgers","Whalen, McCarville, Wright, Peters, Rodgers",100915-101019-202257-203016-203411,MIN,343.0,2,6.0,-6.0,11.0,10.0,2.0,2.0,1.0,21,3.0,1.0,,2.0,,1.0,1.0,,3.0,,,1.0,6.0,4.0,2.0,7.0,13.0,1.0,,,1.0,,1.0,1.0,2.0,3.0,,,1.0,2.0,,,5.0,1.0,1.0,1.0,3.0,1.0,4.0,,,,,,2.0,2.0,4.0,,2.0,,7.0,1.0,2.0,1.0,,1.0,1.0,0.16666666666666666,,0.25,,0.2916666666666667,0.25,0.4,,,,,1.0,0.3333333333333333,0.3333333333333333,0.5,0.125,1.0,0.5,,88.16326530612244,17.09090909090909,15.5,16.454545454545453,15.5,0.3,0.2,,,,0.1,,,,0.1,0.3,,1.0,,,0.7,0.45319000000000004,,0.4475,0.16666666666666666,0.25,0.14285714285714285,7.25,24.275,0.18181818181818182,1.0,,1.0,,,,1.0,,1.0,,,,,,3.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.25,,0.25,,,,,,,1.0,,,,,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2013,2013,True
100915-100944-101019-202257-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Monica Wright, Maya Moore","Whalen, Brunson, McCarville, Wright, Moore",100915-100944-101019-202257-202632,MIN,5086.0,12,85.0,-29.0,164.0,168.0,13.0,24.0,19.0,332,55.0,5.0,10.0,24.0,6.0,22.0,12.0,2.0,30.0,3.0,1.0,48.0,101.0,42.0,19.0,157.0,186.0,13.0,3.0,5.0,9.0,3.0,6.0,19.0,34.0,30.0,6.0,,17.0,30.0,2.0,4.0,73.0,8.0,40.0,3.0,47.0,23.0,70.0,13.0,31.0,4.0,,19.0,46.0,24.0,25.0,1.0,10.0,1.0,140.0,19.0,13.0,4.0,1.0,0.3541666666666667,0.3695652173913043,0.4752475247524752,0.5555555555555556,0.4825174825174825,0.5416666666666666,0.5064935064935064,0.59375,0.2937062937062937,,0.0594059405940594,0.09090909090909091,,0.75,0.6451612903225806,0.2857142857142857,0.6567164179104478,0.2875,0.2,0.5714285714285714,0.7916666666666666,93.99921352732993,15.878048780487806,14.773809523809524,15.201219512195122,14.05952380952381,0.38461538461538464,0.16783216783216784,0.4166666666666667,0.43478260869565216,0.2,0.15384615384615385,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.08391608391608392,0.2097902097902098,0.1875,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.6783216783216783,0.4908965034965035,0.5269208333333334,0.4483375,0.0718954248366013,0.09090909090909091,0.12101910828025478,7.233663366336634,23.364285714285714,0.07926829268292683,32.0,5.0,9.0,2.0,7.0,,7.0,,14.0,6.0,5.0,17.0,1.0,62.0,39.0,3.0,7.0,13.0,6.0,7.0,11.0,15.0,4.0,12.0,6.0,6.0,18.0,4.0,15.0,,3.0,,5.0,,,7.0,4.0,2.0,1.0,7.0,4.0,1.0,0.9285714285714286,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.375,0.4473684210526316,0.041666666666666664,0.5806451612903226,0.28846153846153844,0.8,0.2857142857142857,0.1875,0.30434782608695654,0.5416666666666666,0.5,1.0,0.5714285714285714,0.5818181818181818,0.64,0.34375,0.5833333333333334,0.5833333333333334,1.0,0.23333333333333334,0.23333333333333334,0.8571428571428571,0.5625,0.5555555555555556,0.2,,0.4,,0.23333333333333334,0.10828025477707007,4.0,,1.0,1.0,4.0,1.0,5.0,,,,0.36363636363636365,,,,,,1.0,7.0,1.0,1.0,1.0,1.0,0.0945945945945946,0.5,0.023255813953488372,,,,,,,,,,1611661324,2013,2013,True
100915-100944-101019-200671-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Janel McCarville, Seimone Augustus, Maya Moore","Whalen, Brunson, McCarville, Augustus, Moore",100915-100944-101019-200671-202632,MIN,19223.0,28,320.0,-187.0,608.0,608.0,37.0,26.0,77.0,1216,193.0,10.0,27.0,103.0,43.0,129.0,24.0,,100.0,10.0,9.0,176.0,425.0,124.0,77.0,546.0,733.0,69.0,11.0,13.0,24.0,9.0,9.0,50.0,200.0,100.0,35.0,1.0,100.0,134.0,12.0,24.0,302.0,25.0,155.0,11.0,192.0,91.0,283.0,55.0,113.0,7.0,6.0,54.0,118.0,112.0,99.0,11.0,48.0,5.0,457.0,50.0,37.0,4.0,2.0,0.5681818181818182,0.6211180124223602,0.41411764705882353,0.5416666666666666,0.42714025500910746,0.6212121212121212,0.4593908629441624,0.6447368421052632,0.22586520947176686,0.008064516129032258,0.08235294117647059,0.08808290155440414,,0.7857142857142857,0.6828193832599119,0.29411764705882354,0.6678966789667896,0.2732732732732733,0.3684210526315789,0.74,0.6859504132231405,91.09088071580919,16.450657894736842,15.166118421052632,15.526315789473685,14.042763157894736,0.35154826958105645,0.18761384335154827,0.2621359223300971,0.3068181818181818,0.4444444444444444,0.23497267759562843,0.3333333333333333,0.3412698412698413,0.5581395348837209,0.04371584699453552,0.18214936247723132,0.125,0.30303030303030304,,0.2727272727272727,0.5774134790528234,0.4806764116575592,0.49808833333333336,0.47218939393939396,0.08191126279863481,0.1038961038961039,0.09157509157509157,8.288705882352941,23.635483870967743,0.06085526315789474,106.0,19.0,36.0,9.0,5.0,1.0,34.0,5.0,39.0,32.0,7.0,89.0,5.0,152.0,102.0,15.0,34.0,34.0,29.0,5.0,64.0,66.0,26.0,41.0,31.0,10.0,58.0,16.0,38.0,5.0,20.0,3.0,4.0,4.0,1.0,23.0,16.0,,7.0,23.0,13.0,1.0,0.8717948717948718,0.31451612903225806,0.5555555555555556,0.31451612903225806,0.463768115942029,0.5125,0.5297619047619048,0.14563106796116504,0.5132743362831859,0.2661290322580645,0.5909090909090909,0.21052631578947367,0.29411764705882354,0.2727272727272727,0.625,0.5945945945945946,0.5714285714285714,0.5652173913043478,0.5492227979274611,0.6022727272727273,0.6037735849056604,0.20833333333333334,0.20833333333333334,1.0,0.34,0.3434343434343434,0.8529411764705882,0.45,0.5277777777777778,0.15789473684210525,0.0125,0.9,0.5555555555555556,0.34,0.163003663003663,30.0,,5.0,1.0,16.0,3.0,10.0,0.023255813953488372,0.01,,0.28735632183908044,5.0,6.0,0.5454545454545454,0.5,0.6,,9.0,3.0,4.0,,,0.030303030303030304,,,1.0,1.0,1.0,,,,,,,1611661324,2013,2013,True
100915-100944-202257-202632-203016,1611661324,"Lindsay Whalen, Rebekkah Brunson, Monica Wright, Maya Moore, Devereaux Peters","Whalen, Brunson, Wright, Moore, Peters",100915-100944-202257-202632-203016,MIN,4166.0,20,69.0,-17.0,134.0,131.0,16.0,34.0,14.0,265,30.0,7.0,4.0,14.0,11.0,33.0,3.0,,31.0,3.0,3.0,28.0,77.0,34.0,23.0,118.0,135.0,12.0,3.0,3.0,10.0,3.0,7.0,16.0,30.0,31.0,11.0,,15.0,28.0,1.0,6.0,69.0,5.0,32.0,3.0,42.0,18.0,60.0,14.0,29.0,2.0,4.0,17.0,36.0,25.0,29.0,2.0,11.0,3.0,98.0,16.0,16.0,4.0,3.0,0.5357142857142857,0.5769230769230769,0.36363636363636365,0.3,0.42792792792792794,0.34615384615384615,0.47580645161290325,0.5,0.3063063063063063,,0.14285714285714285,0.26666666666666666,,1.0,0.6956521739130435,0.2631578947368421,0.7222222222222222,0.2727272727272727,0.3333333333333333,0.5714285714285714,0.75,91.59865578492558,16.067164179104477,15.366412213740459,15.126865671641792,14.763358778625955,0.2702702702702703,0.12612612612612611,0.2857142857142857,0.3333333333333333,0.25,0.2972972972972973,0.3333333333333333,0.34375,0.5454545454545454,0.02702702702702703,0.27927927927927926,0.2,0.5384615384615384,,0.23076923076923078,0.5765765765765766,0.46019054054054054,0.44631818181818184,0.48618076923076925,0.09917355371900827,0.12790697674418605,0.13559322033898305,10.054545454545455,24.023529411764706,0.11940298507462686,13.0,3.0,6.0,2.0,,,13.0,1.0,13.0,7.0,3.0,20.0,1.0,26.0,39.0,,13.0,13.0,13.0,,8.0,13.0,7.0,15.0,9.0,6.0,15.0,2.0,12.0,2.0,3.0,1.0,1.0,2.0,1.0,6.0,3.0,,3.0,6.0,3.0,,1.0,0.38235294117647056,0.3333333333333333,0.38235294117647056,0.5833333333333334,0.5666666666666667,0.625,0.14285714285714285,0.5172413793103449,0.2765957446808511,0.875,0.1111111111111111,0.23809523809523808,0.25,0.75,0.875,,0.5,0.43333333333333335,0.5909090909090909,0.6153846153846154,,,,0.41935483870967744,0.41935483870967744,1.0,0.4,0.5,0.3333333333333333,,0.2857142857142857,0.3333333333333333,0.41935483870967744,0.1694915254237288,4.0,,2.0,1.0,5.0,,2.0,0.030303030303030304,,,0.4117647058823529,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,,1.0,,0.01818181818181818,,0.02857142857142857,,,,,,,,,,1611661324,2013,2013,True
