EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DefAtRimReboundPct,PtsPutbacks,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,Charge Fouls,Transition Take Fouls,Charge Fouls Drawn,BlockedLongMidRange,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Transition Take Fouls Drawn,Corner3PctBlocked,team_id,year,season,team_vs
1628278-1628279-1628878-1628899-204320,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, Myisha Hines-Allen, Amanda Zahui B","Walker-Kimbrough, Sykes, Atkins, Hines-Allen, Zahui B",1628278-1628279-1628878-1628899-204320,WAS,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628279-1628878-203399-203403-204333,1611661322,"Brittney Sykes, Ariel Atkins, Elena Delle Donne, Tianna Hawkins, Natasha Cloud","Sykes, Atkins, Delle Donne, Hawkins, Cloud",1628279-1628878-203399-203403-204333,WAS,2052.0,6,34.0,3.0,70.0,69.0,17.0,12.0,10.0,139.0,9.0,15.0,1.0,4.0,1.0,1.0,4.0,16.0,3.0,12.0,1.0,4.0,7.0,16.0,1.0,3.0,1.0,5.0,16.0,43.0,8.0,20.0,19.0,75.0,72.0,2.0,7.0,1.0,3.0,3.0,10.0,1.0,5.0,1.0,5.0,9.0,14.0,24.0,8.0,21.0,3.0,1.0,15.0,7.0,5.0,12.0,7.0,19.0,6.0,1.0,7.0,2.0,3.0,45.0,5.0,8.0,9.0,11.0,2.0,22.0,13.0,35.0,1.0,9.0,6.0,3.0,6.0,4.0,3.0,2.0,1.0,9.0,1.0,3.0,5.0,21.0,3.0,2.0,21.0,3.0,1.0,25.0,2.0,1.0,10.0,3.0,5.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,65.0,14.0,17.0,1.0,3.0,0.75,0.75,0.875,0.4,0.3333333333333333,0.2,0.42105263157894735,0.37209302325581395,0.2857142857142857,0.2,0.4444444444444444,0.35,0.25,0.5,0.38461538461538464,0.4375,0.31746031746031744,0.11627906976744186,0.13333333333333333,0.1875,0.6666666666666666,1.0,0.55,0.2962962962962963,0.9,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.8181818181818182,0.5,0.8333333333333334,1.0,0.029411764705882353,97.5438596491228,0.16666666666666666,13.771428571428572,15.768115942028986,12.785714285714286,15.376811594202898,0.23809523809523808,0.6,0.6923076923076923,0.7777777777777778,0.25396825396825395,0.25,0.3076923076923077,0.5,0.19047619047619047,0.25,0.25,1.0,0.06349206349206349,0.25,0.25,1.0,0.25396825396825395,0.4375,0.4375,0.8571428571428571,0.4,0.25,1.0,0.3,0.3333333333333333,0.1,1.0,0.5,0.2,0.5555555555555556,0.4666666666666667,0.4933233870967742,0.46173888888888887,0.4719,0.14084507042253522,0.19607843137254902,0.13333333333333333,0.18666666666666668,8.244186046511627,27.035000000000004,0.24285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628279-1628899-1641671-203403,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Myisha Hines-Allen, Abby Meyers, Tianna Hawkins","Walker-Kimbrough, Sykes, Hines-Allen, Meyers, Hawkins",1628278-1628279-1628899-1641671-203403,WAS,96.0,1,2.0,-4.0,3.0,3.0,,,,6.0,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,,1.0,,,,,,,,,,,,90.0,,17.666666666666668,14.333333333333334,17.666666666666668,14.333333333333334,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,0.5,,0.36285,,,,,,,15.9,24.8,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628279-1628878-203403-204320,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, Tianna Hawkins, Amanda Zahui B","Walker-Kimbrough, Sykes, Atkins, Hawkins, Zahui B",1628278-1628279-1628878-203403-204320,WAS,175.0,2,3.0,2.0,4.0,5.0,,,1.0,9.0,1.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,2.0,3.0,1.0,1.0,,7.0,5.0,1.0,1.0,,,,2.0,,,,,,,4.0,,3.0,,,1.0,1.0,,2.0,1.0,3.0,1.0,,1.0,1.0,,7.0,,1.0,2.0,,,2.0,1.0,3.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,5.0,,,,,1.0,1.0,1.0,1.0,,,1.0,0.6666666666666666,1.0,,0.875,1.0,,0.875,1.0,,0.25,,,,1.0,,,1.0,0.6666666666666666,,0.5,1.0,1.0,,,,,,,0.5,1.0,,74.05714285714286,,18.5,20.2,16.0,16.2,0.5,0.5,0.5,1.0,0.25,1.0,1.0,1.0,,,,,,,,,0.25,1.0,1.0,1.0,,,,,,,,,,0.75,1.0,0.496125,0.3863,,,,0.2857142857142857,,4.5,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628878-203399-204320-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Elena Delle Donne, Amanda Zahui B, Natasha Cloud","Walker-Kimbrough, Atkins, Delle Donne, Zahui B, Cloud",1628278-1628878-203399-204320-204333,WAS,49.0,1,1.0,-4.0,1.0,2.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.16326530612245,,25.0,12.0,25.0,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3554,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628279-1628878-1628899-1631031-204333,1611661322,"Brittney Sykes, Ariel Atkins, Myisha Hines-Allen, Queen Egbo, Natasha Cloud","Sykes, Atkins, Hines-Allen, Egbo, Cloud",1628279-1628878-1628899-1631031-204333,WAS,168.0,1,3.0,-2.0,6.0,5.0,,,1.0,11.0,1.0,3.0,,1.0,,,,1.0,,2.0,,,,,,,,,1.0,6.0,,,,2.0,4.0,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,1.0,2.0,3.0,1.0,1.0,,1.0,,,2.0,,,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.16666666666666666,,,0.16666666666666666,,,0.16666666666666666,,,,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.4,,,1.0,0.4,1.0,,,,,1.0,,,,0.3333333333333333,94.28571428571429,,17.333333333333332,12.8,16.333333333333332,12.8,0.5,0.3333333333333333,0.5,,0.16666666666666666,,,,0.3333333333333333,,,,,,,,,,,,0.5,,,,,,,,,0.5,,0.44803333333333334,0.42315,,,,,,8.200000000000001,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628278-1628899-1641671-204320-204333,1611661322,"Shatori Walker-Kimbrough, Myisha Hines-Allen, Abby Meyers, Amanda Zahui B, Natasha Cloud","Walker-Kimbrough, Hines-Allen, Meyers, Zahui B, Cloud",1628278-1628899-1641671-204320-204333,WAS,106.0,1,2.0,5.0,5.0,5.0,5.0,4.0,,10.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,3.0,3.0,,,2.0,8.0,3.0,,,,,,,3.0,3.0,,,2.0,8.0,4.0,2.0,,,,,,,2.0,,2.0,,,1.0,,1.0,4.0,,,1.0,1.0,,2.0,,2.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,,,8.0,8.0,5.0,,1.0,0.6666666666666666,0.6666666666666666,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,135.8490566037736,,9.0,12.2,9.0,12.2,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,,0.4572,,0.4572,,,,1.0,8.633333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628279-1628878-203399-204320-204333,1611661322,"Brittney Sykes, Ariel Atkins, Elena Delle Donne, Amanda Zahui B, Natasha Cloud","Sykes, Atkins, Delle Donne, Zahui B, Cloud",1628279-1628878-203399-204320-204333,WAS,38.0,1,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,2.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,1.0,,0.5,1.0,,0.5,,,,,,0.5,,,1.0,0.5,1.0,,,,1.0,,0.5,,,,,75.78947368421053,,14.0,24.0,12.0,16.0,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,,,,1.0,1.0,,,,,,,,1.0,,0.57715,,,,,1.0,,2.3,26.4,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1628279-1628878-1631031-1641642-203403,1611661322,"Brittney Sykes, Ariel Atkins, Queen Egbo, Li Meng, Tianna Hawkins","Sykes, Atkins, Egbo, Meng, Hawkins",1628279-1628878-1631031-1641642-203403,WAS,393.0,3,7.0,-13.0,12.0,13.0,4.0,4.0,,25.0,2.0,2.0,,,,,2.0,4.0,,,,,1.0,2.0,,,,1.0,4.0,6.0,1.0,2.0,2.0,13.0,26.0,,,,,,,1.0,1.0,,1.0,,2.0,6.0,2.0,,3.0,,2.0,1.0,,3.0,,3.0,,,2.0,1.0,,6.0,,,1.0,,,1.0,,1.0,,,,,,,2.0,,,2.0,,1.0,3.0,6.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,13.0,2.0,4.0,2.0,,0.75,0.75,,0.5,,,0.5,0.6666666666666666,,1.0,0.6875,,0.5,0.7222222222222222,,0.5,0.25,,,,,,,,0.5,,0.3333333333333333,,,,,,,,,1.0,,,91.6030534351145,,15.083333333333334,16.307692307692307,15.083333333333334,15.846153846153847,0.25,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,0.25,0.5,0.5,,,,,,,,,0.5,,0.5,0.5,0.4678875,,0.43705,0.1111111111111111,0.14285714285714285,,0.15384615384615385,5.816666666666666,24.45,0.3333333333333333,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
1627643-1628278-1628279-203403-204333,1611661322,"Cyesha Goree, Shatori Walker-Kimbrough, Brittney Sykes, Tianna Hawkins, Natasha Cloud","Goree, Walker-Kimbrough, Sykes, Hawkins, Cloud",1627643-1628278-1628279-203403-204333,WAS,393.0,3,7.0,8.0,14.0,14.0,2.0,,2.0,28.0,2.0,3.0,,1.0,,,1.0,2.0,,,,1.0,2.0,4.0,,,,1.0,3.0,5.0,2.0,5.0,4.0,16.0,8.0,,2.0,,,,,,,,1.0,2.0,2.0,6.0,,6.0,,,4.0,2.0,,3.0,2.0,5.0,2.0,,2.0,1.0,,12.0,1.0,,4.0,4.0,1.0,9.0,1.0,10.0,,,,,2.0,2.0,1.0,,,3.0,,,1.0,3.0,,,4.0,1.0,,4.0,,,1.0,1.0,,,,,,,,,16.0,2.0,2.0,,1.0,1.0,1.0,1.0,0.4,,,0.4,0.6,,,0.6,,,0.6666666666666666,,0.5,0.5,,,,0.6666666666666666,1.0,1.0,,1.0,0.3333333333333333,1.0,0.2,,,,,1.0,1.0,1.0,1.0,,,102.59541984732824,,13.5,14.571428571428571,11.857142857142858,14.571428571428571,0.3,0.6666666666666666,0.6666666666666666,1.0,0.2,0.5,0.5,1.0,,,,,0.1,,,,0.4,0.5,0.6666666666666666,1.0,0.5,,,,,,,1.0,,0.8,0.5,0.54934,0.589,0.345,0.09090909090909091,0.16666666666666666,,0.125,3.22,24.64,0.14285714285714285,1.0,1.0,,,1.0,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2023,2023,True
