EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,BadPassSteals,Loose Ball Fouls Drawn,BlockedAtRim,SecondChanceArc3Frequency,Fg3aBlocked,RecoveredBlocks,FG3APctBlocked,Arc3PctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Blocked3s,BlockedArc3,Travels,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,Charge Fouls,Transition Take Fouls,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedCorner3,HeaveAttempts,Clear Path Fouls,team_id,year,season,team_vs
1629497-1630113-1630389-1631021-1641641,1611661329,"Marina Mabrey, Ruthy Hebard, Dana Evans, Sika Koné, Robyn Parks","Mabrey, Hebard, Evans, Koné, Parks",1629497-1630113-1630389-1631021-1641641,CHI,673.0,4,11.0,4.0,22,21.0,11.0,3.0,43,4.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,8.0,5.0,9.0,5.0,12.0,6.0,31.0,27.0,1.0,1.0,2.0,4.0,2.0,8.0,9.0,6.0,2.0,8.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,3.0,1.0,2.0,2.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,6.0,1.0,8.0,4.0,1.0,1.0,1.0,27.0,3.0,0.2,0.25,0.6,0.4166666666666667,0.4166666666666667,0.5555555555555556,1.0,0.5952380952380952,1.0,0.62,1.0,0.5714285714285714,0.1111111111111111,0.3333333333333333,0.5,0.25,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.36363636363636365,0.5,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,92.00594353640416,16.136363636363637,15.142857142857142,15.772727272727273,14.0,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.25,0.14285714285714285,0.3333333333333333,0.5,0.19047619047619047,0.25,0.25,1.0,0.38095238095238093,0.5,0.5,0.5,1.0,1.0,0.8571428571428571,0.5,0.5493642857142857,0.2696,0.16,0.3076923076923077,0.12903225806451613,5.2444444444444445,24.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1630113-1630389-1631021-1641641,1611661329,"Kahleah Copper, Ruthy Hebard, Dana Evans, Sika Koné, Robyn Parks","Copper, Hebard, Evans, Koné, Parks",1627674-1630113-1630389-1631021-1641641,CHI,189.0,3,3.0,-2.0,7,7.0,,2.0,14,,1.0,,,1.0,2.0,,,1.0,2.0,2.0,5.0,1.0,2.0,,7.0,9.0,1.0,1.0,,2.0,2.0,2.0,3.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,,,5.0,,1.0,2.0,1.0,3.0,1.0,4.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,5.0,,0.5,0.5,1.0,0.5,0.5,0.4,1.0,0.5,1.0,0.5,1.0,0.2857142857142857,,,0.5,0.3333333333333333,1.0,,0.75,0.25,,,,1.0,,1.0,106.66666666666667,14.428571428571429,12.571428571428571,13.714285714285714,12.0,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,,,,,0.2857142857142857,0.5,0.5,1.0,,,0.42857142857142855,0.5,0.48315714285714284,0.2556,,,0.2857142857142857,10.059999999999999,25.95,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627675-1629571-1630389-1631021-1641641,1611661329,"Courtney Williams, Morgan Bertsch, Dana Evans, Sika Koné, Robyn Parks","Williams, Bertsch, Evans, Koné, Parks",1627675-1629571-1630389-1631021-1641641,CHI,169.0,1,3.0,1.0,5,4.0,,2.0,9,,1.0,,1.0,,1.0,,,1.0,3.0,1.0,3.0,1.0,3.0,,5.0,4.0,,1.0,,,2.0,,3.0,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,5.0,1.0,1.0,1.0,,1.0,2.0,3.0,1.0,,1.0,1.0,,,,,2.0,,,,1.0,,1.0,5.0,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.4166666666666667,,0.4166666666666667,,0.5,0.3333333333333333,1.0,,0.5,1.0,0.5,0.5,0.5,,0.5,,,,1.0,76.68639053254438,17.2,20.75,13.6,20.75,0.16666666666666666,,,,0.16666666666666666,,,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.6666666666666666,0.3333333333333333,0.5389333333333334,0.653475,,,,8.866666666666667,24.3,1.0,1.0,1.0,,,,1.0,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627675-1629485-1629571-1630389-203822,1611661329,"Courtney Williams, Kristine Anigwe, Morgan Bertsch, Dana Evans, Rebekah Gardner","Williams, Anigwe, Bertsch, Evans, Gardner",1627675-1629485-1629571-1630389-203822,CHI,283.0,1,5.0,-4.0,10,9.0,6.0,,19,1.0,2.0,,,,,,1.0,,2.0,3.0,4.0,,3.0,,6.0,10.0,,,,,6.0,,,,,2.0,,,3.0,,3.0,,,1.0,6.0,,,,2.0,2.0,,2.0,1.0,,,2.0,,2.0,2.0,,,,,,1.0,,1.0,6.0,,1.0,1.0,,,,0.75,,0.42857142857142855,,0.42857142857142855,,0.42857142857142855,,,1.0,,,,0.6666666666666666,,,,,1.0,,,96.67844522968197,14.0,15.88888888888889,14.0,15.444444444444445,0.2857142857142857,0.5,0.5,1.0,,,,0.14285714285714285,,,,0.2857142857142857,,,,,,0.7142857142857143,,0.44897857142857145,,,,,8.925,25.900000000000002,2.0,2.0,2.0,2.0,2.0,1.0,,,0.2857142857142857,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629497-1629571-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Morgan Bertsch, Elizabeth Williams","Copper, Williams, Mabrey, Bertsch, Williams",1627674-1627675-1629497-1629571-204322,CHI,5683.0,14,95.0,-31.0,194,195.0,63.0,19.0,389,28.0,45.0,9.0,10.0,18.0,40.0,3.0,6.0,17.0,41.0,56.0,124.0,20.0,47.0,16.0,188.0,219.0,10.0,16.0,,26.0,62.0,50.0,51.0,9.0,14.0,41.0,17.0,8.0,31.0,17.0,48.0,14.0,3.0,16.0,113.0,5.0,16.0,28.0,33.0,63.0,22.0,85.0,16.0,5.0,7.0,36.0,3.0,18.0,37.0,3.0,28.0,4.0,20.0,9.0,11.0,3.0,11.0,162.0,6.0,0.5535714285714286,0.6326530612244898,0.85,0.425531914893617,0.425531914893617,0.45161290322580644,0.625,0.5029239766081871,0.6842105263157895,0.5251396648044693,0.6842105263157895,0.27485380116959063,0.06451612903225806,0.125,0.6226415094339622,0.23880597014925373,0.6666666666666666,0.19230769230769232,0.6421052631578947,0.22580645161290322,0.35294117647058826,0.17391304347826086,0.3333333333333333,0.5909090909090909,1.0,0.696969696969697,98.56765792715115,14.845360824742269,14.374358974358975,14.443298969072165,13.430769230769231,0.2631578947368421,0.6222222222222222,0.6511627906976745,0.5714285714285714,0.23391812865497075,0.45,0.5142857142857142,0.03508771929824561,0.5,0.6,1.0,0.23976608187134502,0.4146341463414634,0.4146341463414634,0.8235294117647058,0.5263157894736842,0.9,0.5380116959064327,0.4146341463414634,0.48711286549707605,0.5287882352941177,0.05084745762711865,0.06923076923076923,0.13829787234042554,8.821774193548388,24.434042553191492,10.0,39.0,3.0,29.0,18.0,0.8055555555555556,0.23809523809523808,0.5555555555555556,0.22807017543859648,0.2564102564102564,0.2631578947368421,0.3,3.0,3.0,11.0,4.0,8.0,0.15789473684210525,1.0,4.0,0.02127659574468085,,0.47619047619047616,0.36363636363636365,13.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0,3.0,5.0,17.0,12.0,1.0,2.0,3.0,2.0,1.0,11.0,2.0,3.0,1.0,3.0,1.0,2.0,17.0,13.0,2.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.7083333333333334,0.044444444444444446,0.02564102564102564,0.16666666666666666,1.0,0.3333333333333333,0.1724137931034483,0.03529411764705882,0.6666666666666666,0.1111111111111111,0.6666666666666666,1.0,0.1111111111111111,1.0,0.3333333333333333,0.6666666666666666,0.44452222222222226,0.09042553191489362,0.06701030927835051,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629571-203822-204322,1611661329,"Kahleah Copper, Courtney Williams, Morgan Bertsch, Rebekah Gardner, Elizabeth Williams","Copper, Williams, Bertsch, Gardner, Williams",1627674-1627675-1629571-203822-204322,CHI,38.0,1,1.0,-2.0,1,1.0,1.0,,2,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,20.0,18.0,20.0,18.0,,,,,,,,,,,,,,,,,,,,0.3284,,,,,17.5,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627675-1629501-1629571-1630389-203822,1611661329,"Courtney Williams, Alanna Smith, Morgan Bertsch, Dana Evans, Rebekah Gardner","Williams, Smith, Bertsch, Evans, Gardner",1627675-1629501-1629571-1630389-203822,CHI,23.0,1,,-1.0,1,2.0,,,3,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.82608695652172,17.0,3.0,17.0,3.0,,,,,1.0,,,,,,,,,,,,,,,0.4334,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1629497-1629571-1630389-1641641,1611661329,"Kahleah Copper, Marina Mabrey, Morgan Bertsch, Dana Evans, Robyn Parks","Copper, Mabrey, Bertsch, Evans, Parks",1627674-1629497-1629571-1630389-1641641,CHI,41.0,2,1.0,1.0,1,2.0,1.0,,3,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,105.36585365853658,25.0,8.0,25.0,7.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.3854,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1629501-1629571-1630389-1641641,1611661329,"Kahleah Copper, Alanna Smith, Morgan Bertsch, Dana Evans, Robyn Parks","Copper, Smith, Bertsch, Evans, Parks",1627674-1629501-1629571-1630389-1641641,CHI,72.0,1,1.0,-1.0,3,2.0,2.0,,5,,,,,,2.0,,,,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,100.0,15.0,13.5,15.0,13.5,,,,,0.6666666666666666,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.40473333333333333,,,,,8.65,25.2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
1627674-1627675-1629485-1629501-1641641,1611661329,"Kahleah Copper, Courtney Williams, Kristine Anigwe, Alanna Smith, Robyn Parks","Copper, Williams, Anigwe, Smith, Parks",1627674-1627675-1629485-1629501-1641641,CHI,90.0,1,2.0,,3,3.0,3.0,1.0,6,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,3.0,,,1.0,3.0,3.0,1.0,1.0,,2.0,,2.0,,,2.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.375,1.0,,0.3333333333333333,1.0,,0.5,0.5,,0.5,0.5,1.0,,,,,0.5,96.0,19.333333333333332,10.666666666666666,19.333333333333332,8.666666666666666,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,,,,,,,,1.0,1.0,0.6666666666666666,,0.5582333333333334,0.6786,0.25,0.25,0.6666666666666666,2.766666666666667,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,1.0,2.0,,,,,1.0,3.0,,,1.0,3.0,,,,,,,,,,,,,,3.0,3.0,,,,0.3333333333333333,0.3333333333333333,0.375,,,,,,,,,,,,0.6666666666666666,0.5,,,0.5582333333333334,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,False
