EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Charge Fouls,FoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,LongMidRangeFGM,FtPoints,PenaltyFtPoints,PenaltyPoints,AtRimAssists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Transition Take Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyTsPct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PtsUnassisted2s,LostBallOutOfBoundsTurnovers,PenaltyFG2M,PenaltyFG2A,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Fg2aBlocked,ShootingFouls,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,OffLongMidRangeReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsPutbacks,Corner3Assists,LostBallSteals,Offensive Fouls,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PtsUnassisted3s,Travels,PenaltyArc3FGM,Loose Ball Fouls,Offensive Fouls Drawn,PenaltyArc3Accuracy,SecondChanceFtPoints,OffCorner3ReboundPct,SecondChanceCorner3FGA,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3Frequency,team_id,year,season,team_vs
1627671-1627672-1629483-1629524-203825,1611661324,"Rachel Banham, Aerial Powers, Napheesa Collier, Bridget Carleton, Kayla McBride","Banham, Powers, Collier, Carleton, McBride",1627671-1627672-1629483-1629524-203825,MIN,356.0,1,6.0,-9.0,13.0,11,2.0,2.0,24,2.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,5.0,1.0,6.0,5.0,14.0,1.0,2.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.2,0.22727272727272727,0.22727272727272727,0.5454545454545454,0.75,0.75,0.25,0.2,0.75,0.2222222222222222,0.5,0.2,1.0,0.5,1.0,0.1111111111111111,97.07865168539325,15.538461538461538,14.0,14.846153846153847,13.636363636363637,0.18181818181818182,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,0.5454545454545454,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.7272727272727273,0.16666666666666666,0.5180590909090909,0.57765,8.879999999999999,24.916666666666668,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1627672-1629483-1631263-203825,1611661324,"Rachel Banham, Aerial Powers, Napheesa Collier, Nikolina Milic, Kayla McBride","Banham, Powers, Collier, Milic, McBride",1627671-1627672-1629483-1631263-203825,MIN,257.0,1,4.0,-1.0,9.0,11,5.0,,20,1.0,,1.0,1.0,,3.0,,3.0,2.0,3.0,,3.0,7.0,8.0,,3.0,4.0,,3.0,,2.0,,2.0,,,4.0,,,2.0,4.0,,4.0,,,,1.0,,1.0,1.0,2.0,,1.0,2.0,,2.0,7.0,5.0,1.0,1.0,,,,0.6666666666666666,0.3333333333333333,0.4375,0.5,0.5,0.5,,,0.6,,,,1.0,0.3333333333333333,,,112.06225680933852,12.0,13.545454545454545,12.0,13.0,0.16666666666666666,0.16666666666666666,,,,0.16666666666666666,0.5,,,,,1.0,0.6666666666666666,,0.43533333333333335,0.4837,10.700000000000001,24.900000000000002,0.5555555555555556,7.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1627672-1629524-1631263-203825,1611661324,"Rachel Banham, Aerial Powers, Bridget Carleton, Nikolina Milic, Kayla McBride","Banham, Powers, Carleton, Milic, McBride",1627671-1627672-1629524-1631263-203825,MIN,233.0,1,4.0,3.0,8.0,8,,,16,,1.0,2.0,1.0,,,,,2.0,3.0,,,10.0,7.0,,,,,,,,,,,,,,,4.0,4.0,,4.0,,,,1.0,1.0,1.0,,2.0,,,,,4.0,10.0,,,,,,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,0.5,1.0,,,1.0,,,,1.0,1.0,1.0,,98.88412017167381,14.75,14.375,14.75,14.375,,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,,,,,,0.3622,,11.733333333333334,,,,,1.0,6.0,,,,,,,,,6.0,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,0.5,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1627676-1629483-1629524-1641657,1611661324,"Rachel Banham, Tiffany Mitchell, Napheesa Collier, Bridget Carleton, Dorka Juhász","Banham, Mitchell, Collier, Carleton, Juhász",1627671-1627676-1629483-1629524-1641657,MIN,96.0,1,2.0,-4.0,2.0,3,2.0,,5,,,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,6.0,,1.0,2.0,,1.0,,1.0,,1.0,,,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,1.0,,0.5,,1.0,,,,,75.0,32.0,10.666666666666666,32.0,10.666666666666666,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,0.40678333333333333,0.40678333333333333,13.55,24.3,1.0,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,2.0,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,2.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1627676-1629483-1629524-203825,1611661324,"Rachel Banham, Tiffany Mitchell, Napheesa Collier, Bridget Carleton, Kayla McBride","Banham, Mitchell, Collier, Carleton, McBride",1627671-1627676-1629483-1629524-203825,MIN,172.0,1,3.0,4.0,6.0,7,5.0,1.0,13,2.0,1.0,1.0,2.0,,1.0,,1.0,3.0,5.0,,1.0,10.0,6.0,,1.0,2.0,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,2.0,3.0,2.0,5.0,,,,,,,,,,,3.0,,3.0,8.0,5.0,0.3333333333333333,0.3333333333333333,,,,0.6,0.5,0.625,0.16666666666666666,,0.5,0.5,1.0,0.5,0.6666666666666666,1.0,1.0,,0.3333333333333333,1.0,,108.83720930232558,10.666666666666666,15.428571428571429,9.333333333333334,14.285714285714286,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.16666666666666666,,,,,0.16666666666666666,0.5,,0.5361250000000001,0.5361250000000001,9.040000000000001,23.7,0.8333333333333334,3.0,1.0,1.0,4.0,2.0,8.0,,1.0,,1.0,,,4.0,2.0,,1.0,,,1.0,,8.0,1.0,0.5714285714285714,1.0,,,,0.5,1.0,,0.5,0.5,1.0,0.25,0.2857142857142857,0.8,4.0,,3.0,5.0,0.6,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.2,0.5,0.5,0.3333333333333333,0.5,0.3728,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1629483-1629524-1631263-203825,1611661324,"Rachel Banham, Napheesa Collier, Bridget Carleton, Nikolina Milic, Kayla McBride","Banham, Collier, Carleton, Milic, McBride",1627671-1629483-1629524-1631263-203825,MIN,225.0,2,4.0,4.0,8.0,7,,1.0,15,,,2.0,2.0,2.0,3.0,,,1.0,4.0,2.0,4.0,8.0,4.0,,,,6.0,3.0,2.0,,2.0,2.0,2.0,,6.0,,1.0,1.0,5.0,1.0,6.0,1.0,,,1.0,1.0,,,1.0,,,,,,8.0,,,,1.0,0.5,0.5,0.25,0.5,0.5,0.5,1.0,0.5,0.3333333333333333,,0.8333333333333334,0.2,,,1.0,,,0.2,96.0,12.0,18.428571428571427,11.5,16.0,,0.25,,,,0.25,0.375,0.6666666666666666,0.6666666666666666,1.0,,,0.5,0.6666666666666666,0.4503,,13.275,24.2,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,0.5,0.5,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3756,,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1629483-1629524-1641649-203825,1611661324,"Rachel Banham, Napheesa Collier, Bridget Carleton, Diamond Miller, Kayla McBride","Banham, Collier, Carleton, Miller, McBride",1627671-1629483-1629524-1641649-203825,MIN,277.0,2,5.0,10.0,9.0,9,4.0,2.0,18,1.0,2.0,3.0,1.0,1.0,3.0,1.0,,3.0,5.0,2.0,4.0,14.0,4.0,1.0,1.0,4.0,6.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,10.0,1.0,1.0,2.0,4.0,2.0,6.0,,2.0,1.0,,,1.0,,1.0,,,4.0,,3.0,9.0,4.0,0.6666666666666666,1.0,1.0,0.5,0.5,0.6,0.6666666666666666,0.7,0.4444444444444444,,1.0,0.5,0.5,0.8,0.5,,0.5,1.0,,,,93.57400722021661,13.555555555555555,17.22222222222222,12.333333333333334,17.11111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.5555555555555556,0.3333333333333333,0.5014333333333334,0.454,7.4,23.725,0.4444444444444444,7.0,1.0,,2.0,,7.0,1.0,,2.0,,,,2.0,1.0,,1.0,1.0,,1.0,1.0,7.0,,0.7,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,,,,0.1,0.16666666666666666,0.5,2.0,,2.0,4.0,0.5,0.7,,,,1.0,1.0,5.0,,2.0,,,1.0,1.25,1.25,,,,,,0.3995,0.35714285714285715,1.0,1.0,0.5,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1629483-1629524-1641657-203825,1611661324,"Rachel Banham, Napheesa Collier, Bridget Carleton, Dorka Juhász, Kayla McBride","Banham, Collier, Carleton, Juhász, McBride",1627671-1629483-1629524-1641657-203825,MIN,701.0,2,12.0,-7.0,21.0,22,,2.0,43,4.0,4.0,9.0,1.0,1.0,3.0,1.0,,8.0,14.0,1.0,6.0,19.0,26.0,1.0,,6.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,9.0,1.0,2.0,3.0,7.0,3.0,10.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,,,6.0,,2.0,14.0,,0.375,0.42857142857142855,1.0,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.475,0.475,0.3,0.6666666666666666,0.5,0.3333333333333333,0.2,0.6666666666666666,0.2727272727272727,,0.5,1.0,0.25,,0.1111111111111111,88.33095577746077,16.571428571428573,16.045454545454547,15.761904761904763,15.545454545454545,0.2,0.45,0.4444444444444444,0.5714285714285714,0.25,0.05,0.15,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.45779,,7.885714285714286,24.28333333333333,,6.0,3.0,1.0,,,,2.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,0.75,0.75,0.6666666666666666,1.0,1.0,,0.05,0.07142857142857142,,10.0,,,,,,1.0,,,1.0,2.0,5.0,2.0,3.0,,1.0,0.5,0.8333333333333334,0.8333333333333334,0.14285714285714285,,0.3333333333333333,,,0.404975,0.2631578947368421,3.0,,1.0,0.15,,,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,0.2222222222222222,0.4,1.0,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1629483-1631263-1641649-203825,1611661324,"Rachel Banham, Napheesa Collier, Nikolina Milic, Diamond Miller, Kayla McBride","Banham, Collier, Milic, Miller, McBride",1627671-1629483-1631263-1641649-203825,MIN,63.0,1,1.0,,2.0,1,,,3,1.0,,,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,0.5,0.5,0.5,,,,,,,,,,,,,68.57142857142857,16.0,31.0,16.0,29.0,0.5,,,,,,0.5,,,,,,1.0,,0.5442,,3.3,23.6,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2023,2023,False
1627671-1629483-1641649-1641657-203825,1611661324,"Rachel Banham, Napheesa Collier, Diamond Miller, Dorka Juhász, Kayla McBride","Banham, Collier, Miller, Juhász, McBride",1627671-1629483-1641649-1641657-203825,MIN,301.0,3,5.0,-9.0,10.0,8,2.0,,18,1.0,,2.0,,1.0,2.0,,,1.0,3.0,1.0,4.0,5.0,14.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,,,1.0,2.0,,2.0,,,,2.0,2.0,1.0,,3.0,,1.0,1.0,,2.0,5.0,2.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.6666666666666666,1.0,,,1.0,,,,,,1.0,,86.11295681063123,18.6,14.375,18.6,14.375,0.14285714285714285,0.2857142857142857,,,,,0.2857142857142857,0.5,1.0,1.0,,,0.7142857142857143,0.5,0.4814928571428571,0.48975,9.1,23.975,0.2,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,0.2857142857142857,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,0.25,0.5,,,,,,,,,,,,1611661324,2023,2023,False
