EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,BlockedArc3,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,FTOffRebounds,Transition Take Fouls,Transition Take Fouls Drawn,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,Corner3PctBlocked,team_id,year,season,team_vs
1627674-1627675-1629497-1629571-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Morgan Bertsch, Elizabeth Williams","Copper, Williams, Mabrey, Bertsch, Williams",1627674-1627675-1629497-1629571-204322,CHI,5683.0,14,95.0,31.0,195.0,194,63.0,13.0,29.0,389,38.0,59.0,6.0,11.0,10.0,17.0,17.0,39.0,9.0,19.0,4.0,13.0,2.0,3.0,2.0,14.0,47.0,2.0,6.0,7.0,20.0,64.0,117.0,18.0,60.0,37.0,219.0,188.0,9.0,20.0,4.0,9.0,2.0,32.0,15.0,31.0,7.0,22.0,15.0,66.0,82.0,46.0,39.0,15.0,12.0,47.0,14.0,11.0,41.0,13.0,54.0,9.0,4.0,22.0,11.0,8.0,121.0,14.0,20.0,21.0,51.0,2.0,74.0,34.0,108.0,6.0,29.0,18.0,11.0,16.0,7.0,11.0,16.0,1.0,5.0,1.0,32.0,3.0,10.0,9.0,28.0,1.0,4.0,4.0,37.0,3.0,3.0,45.0,5.0,2.0,18.0,6.0,8.0,1.0,2.0,1.0,1.0,5.0,9.0,6.0,187.0,66.0,63.0,2.0,6.0,0.640625,0.7068965517241379,0.7222222222222222,0.3,0.4444444444444444,0.3181818181818182,0.3,0.5470085470085471,0.45,0.4838709677419355,0.5141242937853108,0.5172413793103449,0.4811320754716981,0.5561224489795918,0.5333333333333333,0.5409836065573771,0.3389830508474576,0.09401709401709402,0.13559322033898305,0.07692307692307693,0.5,0.6666666666666666,0.7611940298507462,0.37735849056603776,0.8076923076923077,0.3333333333333333,0.7741935483870968,0.35789473684210527,0.5238095238095238,0.4090909090909091,0.30303030303030304,0.4444444444444444,0.6470588235294118,0.7619047619047619,0.8275862068965517,0.8260869565217391,0.6666666666666666,0.07142857142857142,98.56765792715115,0.6666666666666666,14.374358974358975,14.845360824742269,13.430769230769231,14.443298969072165,0.3333333333333333,0.6440677966101694,0.7450980392156863,0.5789473684210527,0.22033898305084745,0.4358974358974359,0.4722222222222222,0.6470588235294118,0.10734463276836158,0.47368421052631576,0.47368421052631576,0.8888888888888888,0.07344632768361582,0.3076923076923077,0.3076923076923077,1.0,0.2655367231638418,0.2978723404255319,0.2978723404255319,0.6428571428571429,0.3793103448275862,0.5454545454545454,0.10344827586206896,0.6666666666666666,1.0,0.20689655172413793,0.3333333333333333,1.0,0.32075471698113206,0.5882352941176471,0.03773584905660377,0.37735849056603776,0.35,0.672316384180791,0.2978723404255319,0.5196977401129944,0.5189277777777778,0.5198858490566037,0.09473684210526316,0.13846153846153847,0.1461187214611872,0.3013698630136986,6.665811965811965,24.44333333333333,0.3230769230769231,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627674-1627675-1629501-1630389-204322,1611661329,"Kahleah Copper, Courtney Williams, Alanna Smith, Dana Evans, Elizabeth Williams","Copper, Williams, Smith, Evans, Williams",1627674-1627675-1629501-1630389-204322,CHI,5346.0,26,89.0,19.0,170.0,172,17.0,27.0,18.0,342,36.0,54.0,6.0,8.0,2.0,4.0,18.0,37.0,8.0,17.0,4.0,6.0,,,,7.0,31.0,1.0,3.0,,3.0,62.0,108.0,11.0,37.0,30.0,187.0,168.0,10.0,16.0,1.0,3.0,2.0,25.0,5.0,8.0,,3.0,9.0,19.0,72.0,52.0,33.0,,10.0,30.0,7.0,8.0,36.0,11.0,47.0,7.0,4.0,23.0,7.0,6.0,105.0,8.0,12.0,12.0,48.0,3.0,63.0,20.0,83.0,4.0,18.0,13.0,5.0,19.0,4.0,14.0,10.0,1.0,5.0,1.0,29.0,,3.0,13.0,30.0,,3.0,1.0,38.0,1.0,,38.0,3.0,,13.0,7.0,8.0,,3.0,,1.0,4.0,8.0,4.0,162.0,19.0,17.0,3.0,6.0,0.5806451612903226,0.631578947368421,1.0,0.2972972972972973,0.3333333333333333,,0.3055555555555556,0.5740740740740741,0.625,0.625,0.5413793103448276,0.6052631578947368,0.45454545454545453,0.5771604938271605,0.625,0.5277777777777778,0.25517241379310346,0.07407407407407407,0.07407407407407407,0.10810810810810811,0.6551724137931034,0.6,0.7384615384615385,0.2608695652173913,0.6666666666666666,0.32,0.7228915662650602,0.28169014084507044,0.3888888888888889,0.21052631578947367,0.30434782608695654,0.5,0.7894736842105263,0.7727272727272727,0.6666666666666666,0.6923076923076923,0.6,0.06451612903225806,92.12121212121212,0.5,16.49411764705882,14.779069767441861,15.976470588235294,14.05813953488372,0.3724137931034483,0.6666666666666666,0.72,0.6388888888888888,0.25517241379310346,0.4864864864864865,0.5454545454545454,0.3888888888888889,0.11724137931034483,0.47058823529411764,0.47058823529411764,0.75,0.041379310344827586,0.6666666666666666,0.6666666666666666,1.0,0.21379310344827587,0.22580645161290322,0.23333333333333334,1.0,0.42105263157894735,0.75,,,,0.15789473684210525,0.3333333333333333,1.0,0.36363636363636365,0.5,,0.2727272727272727,,0.6275862068965518,0.23333333333333334,0.501786111111111,0.53145,0.48565,0.08387096774193549,0.11016949152542373,0.13368983957219252,0.10160427807486631,6.356481481481482,25.97837837837838,0.1,1.0,1.0,1.0,0.02702702702702703,0.03225806451612903,0.1111111111111111,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1629485-1629497-1630389-1631021-1641641,1611661329,"Kristine Anigwe, Marina Mabrey, Dana Evans, Sika Koné, Robyn Parks","Anigwe, Mabrey, Evans, Koné, Parks",1629485-1629497-1630389-1631021-1641641,CHI,269.0,1,4.0,,10.0,10,1.0,1.0,1.0,20,2.0,4.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,4.0,8.0,,,1.0,9.0,9.0,,,,,,,,,,,1.0,1.0,6.0,2.0,,,,,,,3.0,,3.0,,,1.0,,2.0,6.0,,,,2.0,,2.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,3.0,,1.0,2.0,,,,1.0,1.0,1.0,,,,1.0,2.0,1.0,9.0,1.0,1.0,,1.0,0.75,0.75,,,,,,0.5,,,0.5,,,0.5,,0.5,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,107.06319702602231,0.5,12.6,14.3,11.5,14.3,0.5,0.5,0.5,0.5,0.25,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,0.545025,,,,,,0.1111111111111111,7.5875,,0.1,,,,,,,1.0,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627674-1629485-1629571-1630389-203822,1611661329,"Kahleah Copper, Kristine Anigwe, Morgan Bertsch, Dana Evans, Rebekah Gardner","Copper, Anigwe, Bertsch, Evans, Gardner",1627674-1629485-1629571-1630389-203822,CHI,43.0,1,1.0,-2.0,1.0,2,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,100.46511627906976,,22.0,10.5,22.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627675-1629485-1629571-1630389-203822,1611661329,"Courtney Williams, Kristine Anigwe, Morgan Bertsch, Dana Evans, Rebekah Gardner","Williams, Anigwe, Bertsch, Evans, Gardner",1627675-1629485-1629571-1630389-203822,CHI,283.0,1,5.0,4.0,9.0,10,6.0,,1.0,19,,1.0,,1.0,,1.0,,1.0,,,,,,,,2.0,3.0,,,1.0,2.0,,2.0,2.0,3.0,4.0,10.0,6.0,,1.0,,,,,,2.0,1.0,2.0,,3.0,,,6.0,,,3.0,2.0,1.0,,2.0,2.0,2.0,,,,,6.0,1.0,,2.0,1.0,,3.0,1.0,4.0,,2.0,2.0,,1.0,,1.0,2.0,1.0,,1.0,3.0,,3.0,,,,,,2.0,,,4.0,,,2.0,,,1.0,,,,,1.0,1.0,10.0,3.0,6.0,,,,,1.0,0.6666666666666666,,0.5,0.6666666666666666,,,,0.6,,0.375,0.7142857142857143,,0.375,0.6,0.5,1.0,,0.3333333333333333,,1.0,,1.0,1.0,1.0,0.3333333333333333,,,1.0,,1.0,,,1.0,1.0,,96.67844522968197,1.0,15.88888888888889,14.0,15.444444444444445,14.0,0.2,,,,0.2,,,,,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,,0.25,,,0.5,0.5,0.8,0.6666666666666666,0.488,,0.47905,0.2857142857142857,0.5,,0.3,5.45,25.46666666666667,0.6666666666666666,,,,,,,1.0,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627674-1627675-1629485-1629501-1641641,1611661329,"Kahleah Copper, Courtney Williams, Kristine Anigwe, Alanna Smith, Robyn Parks","Copper, Williams, Anigwe, Smith, Parks",1627674-1627675-1629485-1629501-1641641,CHI,90.0,1,2.0,,3.0,3,3.0,3.0,1.0,6,,,,,,,,,,,,,,,,1.0,3.0,,1.0,1.0,3.0,,,1.0,3.0,,3.0,3.0,,,,1.0,,,,,1.0,3.0,,3.0,,,3.0,,,3.0,1.0,,,1.0,1.0,1.0,,,,,3.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,3.0,3.0,3.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,0.5,,0.5,0.5,,0.5,1.0,,,,,,0.5,,,0.5,0.5,0.5,,,0.5,,,1.0,,,,,96.0,1.0,10.666666666666666,19.333333333333332,8.666666666666666,19.333333333333332,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,1.0,,,,,,1.0,,,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,0.526,,0.526,,,,1.0,,25.866666666666664,1.0,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627675-1629497-1629571-1630113-1630389,1611661329,"Courtney Williams, Marina Mabrey, Morgan Bertsch, Ruthy Hebard, Dana Evans","Williams, Mabrey, Bertsch, Hebard, Evans",1627675-1629497-1629571-1630113-1630389,CHI,179.0,2,3.0,4.0,6.0,5,1.0,3.0,,11,2.0,3.0,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,1.0,3.0,4.0,1.0,2.0,,9.0,5.0,,,,,,,,,1.0,1.0,,3.0,4.0,2.0,3.0,,,2.0,1.0,,2.0,1.0,3.0,1.0,,2.0,,,7.0,,,2.0,1.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,9.0,3.0,1.0,,,0.6666666666666666,0.6666666666666666,1.0,0.5,,1.0,0.5,0.75,,,0.75,,1.5,0.75,,1.5,0.3333333333333333,,,,,,1.0,,0.6666666666666666,,0.75,,,,,,,1.0,,0.6666666666666666,,,88.49162011173185,,14.5,18.4,14.5,15.2,0.5,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,,,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,1.0,1.0,0.8333333333333334,0.5,0.48105833333333337,,0.43935,,,,0.3333333333333333,4.525,26.05,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627675-1629501-1629571-1630389-203822,1611661329,"Courtney Williams, Alanna Smith, Morgan Bertsch, Dana Evans, Rebekah Gardner","Williams, Smith, Bertsch, Evans, Gardner",1627675-1629501-1629571-1630389-203822,CHI,23.0,1,,1.0,2.0,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,187.82608695652172,,3.0,17.0,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627674-1629497-1629571-203822-204322,1611661329,"Kahleah Copper, Marina Mabrey, Morgan Bertsch, Rebekah Gardner, Elizabeth Williams","Copper, Mabrey, Bertsch, Gardner, Williams",1627674-1629497-1629571-203822-204322,CHI,114.0,2,2.0,-2.0,4.0,4,3.0,3.0,1.0,8,1.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,2.0,3.0,,,,4.0,6.0,1.0,1.0,,,,2.0,1.0,2.0,,,,2.0,4.0,,,,,,,,2.0,,2.0,,,1.0,1.0,,4.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,3.0,4.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,3.0,,,1.0,1.0,,,,,,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,,,,,,,,,1.0,,0.5,,,,,,,,,1.0,,,101.05263157894737,1.0,9.75,18.75,8.25,17.5,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,0.6666666666666666,,0.5721333333333333,0.4314,0.6425,,,0.5,0.5,5.5,,0.75,,,,,,,1.0,,,,,,,,,,,,,,,,1611661329,2023,2023,True
1627674-1627675-1629497-203822-204322,1611661329,"Kahleah Copper, Courtney Williams, Marina Mabrey, Rebekah Gardner, Elizabeth Williams","Copper, Williams, Mabrey, Gardner, Williams",1627674-1627675-1629497-203822-204322,CHI,239.0,1,4.0,4.0,7.0,7,,2.0,1.0,14,3.0,4.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,5.0,7.0,,,,10.0,6.0,1.0,1.0,,,,2.0,,,,,,,4.0,6.0,,,2.0,,,,2.0,,2.0,,,1.0,1.0,,4.0,,1.0,1.0,1.0,1.0,3.0,1.0,4.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,0.4,0.5,,,,,,0.7142857142857143,1.0,,0.7142857142857143,1.0,,0.7142857142857143,1.0,,,,,,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,1.0,,,,,1.0,,1.0,,,84.35146443514644,,16.571428571428573,17.571428571428573,16.428571428571427,17.571428571428573,0.5714285714285714,0.75,0.75,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.5714285714285714,,0.5423714285714286,0.7102,,,,0.2,,7.357142857142857,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2023,2023,True
