EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,LostBallTurnovers,ShootingFouls,PenaltyDefPoss,PenaltyCorner3FGA,PenaltyTurnovers,PenaltyCorner3Frequency,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,Corner3Assists,OffTwoPtRebounds,BadPassOutOfBoundsTurnovers,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyFg3Pct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,LostBallOutOfBoundsTurnovers,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyFtPoints,FTDefRebounds,SecondChanceTurnovers,DefFTReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls,OffLongMidRangeReboundPct,SelfOReb,LostBallSteals,SelfORebPct,Charge Fouls,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonShootingPenaltyNonTakeFouls,SecondChanceFtPoints,LongMidRangeAssists,StepOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,LongMidRangePctAssisted,BlockedLongMidRange,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Transition Take Fouls,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,3SecondViolations,Corner3PctBlocked,team_id,year,season,team_vs
1628317-1631089-1641660-203014-203823,1611661320,"Karlie Samuelson, Destanni Henderson, Zia Cooke, Nneka Ogwumike, Chiney Ogwumike","Samuelson, Henderson, Cooke, Ogwumike, Ogwumike",1628317-1631089-1641660-203014-203823,LAS,255.0,3,4.0,7.0,7.0,7.0,2.0,1.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,11.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,11.0,2.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.75,1.0,0.75,0.5,0.7857142857142857,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,79.05882352941177,17.571428571428573,18.857142857142858,16.142857142857142,18.857142857142858,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,0.5,0.6666666666666666,0.5,0.5159083333333333,0.425675,0.14285714285714285,0.2,0.18181818181818182,5.85,24.6,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628317-1628922-1630996-202662-204324,1611661320,"Karlie Samuelson, Azurá Stevens, Rae Burrell, Jasmine Thomas, Dearica Hamby","Samuelson, Stevens, Burrell, Thomas, Hamby",1628317-1628922-1630996-202662-204324,LAS,252.0,2,4.0,-2.0,7.0,8.0,,1.0,15.0,2.0,2.0,,,,1.0,,,2.0,,2.0,3.0,,3.0,,4.0,6.0,,,,,4.0,,,2.0,,2.0,,2.0,,,4.0,1.0,2.0,2.0,4.0,1.0,5.0,,,2.0,,,2.0,,,1.0,1.0,,,,0.6666666666666666,,0.3333333333333333,,0.3333333333333333,,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.5,,0.5,85.71428571428571,16.285714285714285,17.25,14.857142857142858,17.125,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,,0.3333333333333333,,,,,,,0.8333333333333334,,0.529525,,,,,3.6999999999999997,24.333333333333332,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628886-1631089-202662-203014-204324,1611661320,"Jordin Canada, Destanni Henderson, Jasmine Thomas, Nneka Ogwumike, Dearica Hamby","Canada, Henderson, Thomas, Ogwumike, Hamby",1628886-1631089-202662-203014-204324,LAS,10.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628317-1628922-1631089-202662-203014,1611661320,"Karlie Samuelson, Azurá Stevens, Destanni Henderson, Jasmine Thomas, Nneka Ogwumike","Samuelson, Stevens, Henderson, Thomas, Ogwumike",1628317-1628922-1631089-202662-203014,LAS,60.0,1,1.0,-3.0,2.0,2.0,,,4.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,,,,1.0,96.0,8.5,21.5,8.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628886-1630996-1631089-203014-204324,1611661320,"Jordin Canada, Rae Burrell, Destanni Henderson, Nneka Ogwumike, Dearica Hamby","Canada, Burrell, Henderson, Ogwumike, Hamby",1628886-1630996-1631089-203014-204324,LAS,32.0,1,1.0,-2.0,2.0,2.0,2.0,,4.0,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,180.0,14.5,1.5,14.5,1.5,,,,,,,,,,,,,,,,1.0,,0.6006,0.6006,,,,,23.4,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628886-1628922-1631089-1641660-203014,1611661320,"Jordin Canada, Azurá Stevens, Destanni Henderson, Zia Cooke, Nneka Ogwumike","Canada, Stevens, Henderson, Cooke, Ogwumike",1628886-1628922-1631089-1641660-203014,LAS,17.0,1,,-2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628317-1628886-1630996-1641660-204324,1611661320,"Karlie Samuelson, Jordin Canada, Rae Burrell, Zia Cooke, Dearica Hamby","Samuelson, Canada, Burrell, Cooke, Hamby",1628317-1628886-1630996-1641660-204324,LAS,406.0,2,7.0,6.0,15.0,12.0,4.0,2.0,27.0,3.0,4.0,1.0,1.0,1.0,4.0,,2.0,3.0,1.0,4.0,8.0,3.0,4.0,2.0,19.0,13.0,1.0,3.0,1.0,5.0,2.0,6.0,6.0,3.0,2.0,1.0,2.0,3.0,1.0,,8.0,,1.0,4.0,5.0,2.0,7.0,,,5.0,4.0,1.0,17.0,5.0,4.0,0.25,0.3333333333333333,0.6666666666666666,0.75,0.75,0.5,0.3333333333333333,0.7083333333333334,0.625,0.6785714285714286,0.625,0.3333333333333333,1.0,1.0,,1.0,0.5,,1.0,1.0,95.76354679802955,14.533333333333333,15.666666666666666,14.466666666666667,15.666666666666666,0.3333333333333333,0.75,0.75,0.3333333333333333,0.25,0.25,,,0.25,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,0.25,0.6666666666666666,0.6666666666666666,0.4852666666666667,0.44415,0.15384615384615385,0.1111111111111111,0.2631578947368421,6.1375,24.5,0.26666666666666666,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,5.0,,,,,,,0.5,0.5,0.5,0.5,1.0,,,,0.3333333333333333,0.08333333333333333,0.5,1.0,,0.10526315789473684,1.0,3.0,6.0,,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.511,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628886-1628922-1631091-1641660-203014,1611661320,"Jordin Canada, Azurá Stevens, Evina Westbrook, Zia Cooke, Nneka Ogwumike","Canada, Stevens, Westbrook, Cooke, Ogwumike",1628886-1628922-1631091-1641660-203014,LAS,38.0,1,1.0,-2.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,113.6842105263158,1.0,18.5,1.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1628886-1628922-1631091-203406-204324,1611661320,"Jordin Canada, Azurá Stevens, Evina Westbrook, Layshia Clarendon, Dearica Hamby","Canada, Stevens, Westbrook, Clarendon, Hamby",1628886-1628922-1631091-203406-204324,LAS,23.0,1,,-3.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.21739130434781,11.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
1630996-1631089-202662-203014-204324,1611661320,"Rae Burrell, Destanni Henderson, Jasmine Thomas, Nneka Ogwumike, Dearica Hamby","Burrell, Henderson, Thomas, Ogwumike, Hamby",1630996-1631089-202662-203014-204324,LAS,79.0,1,1.0,2.0,3.0,3.0,,,6.0,1.0,2.0,,,,,,,,,1.0,2.0,,,2.0,4.0,2.0,,,,,2.0,,,,,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,4.0,,,1.0,1.0,,,,0.5,,0.5,,0.6666666666666666,,,1.0,,,1.0,,,,,109.36708860759494,14.666666666666666,11.666666666666666,14.666666666666666,11.666666666666666,1.0,0.5,0.5,,,,,,,,,,,,,1.0,,0.46875,,0.3333333333333333,0.3333333333333333,,3.5,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2023,2023,True
