EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,LostBallSteals,DefShortMidRangeReboundPct,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,FtPoints,PenaltyFtPoints,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,AtRimAssists,FTOffRebounds,LostBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Transition Take Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,AtRimPctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,Charge Fouls,Offensive Fouls Drawn,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFoulsDrawn,Loose Ball Fouls Drawn,SecondChanceArc3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedCorner3,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,Charge Fouls Drawn,Arc3PctBlocked,team_id,year,season,team_vs
1628268-1628276-1631006-202641-204297,1611661319,"Alaina Coates, Kelsey Plum, Kierstan Bell, Sydney Colson, Cayla George","Coates, Plum, Bell, Colson, George",1628268-1628276-1631006-202641-204297,LVA,299.0,2,5.0,-1.0,11.0,11,5.0,4.0,22,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,5.0,5.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.6428571428571429,1.25,0.5625,0.8333333333333334,0.14285714285714285,0.5,0.6666666666666666,1.0,0.8333333333333334,1.0,1.0,1.0,105.95317725752508,12.909090909090908,14.272727272727273,12.909090909090908,14.272727272727273,0.14285714285714285,1.0,1.0,0.7142857142857143,0.4,0.4,1.0,0.14285714285714285,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.2857142857142857,1.0,0.43955,0.596575,0.125,0.14285714285714285,0.5555555555555556,5.95,24.1,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628268-1631006-202252-202641-204297,1611661319,"Alaina Coates, Kierstan Bell, Alysha Clark, Sydney Colson, Cayla George","Coates, Bell, Clark, Colson, George",1628268-1631006-202252-202641-204297,LVA,209.0,3,3.0,-2.0,7.0,7,7.0,6.0,14,,1.0,,1.0,,,1.0,2.0,1.0,2.0,,2.0,1.0,3.0,3.0,5.0,,2.0,1.0,3.0,3.0,,,3.0,2.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,2.0,2.0,,,,,,,3.0,3.0,7.0,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.3,0.3,0.3,0.3,0.6,,0.5,,0.3333333333333333,,,,96.45933014354067,10.428571428571429,19.428571428571427,10.428571428571429,16.428571428571427,0.2,,,,,,,0.4,0.5,0.5,1.0,0.2,,0.4,0.5,0.8,0.5,0.5257799999999999,0.5257799999999999,,,1.0,9.45,24.933333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628268-1631006-202641-203833-204297,1611661319,"Alaina Coates, Kierstan Bell, Sydney Colson, Chelsea Gray, Cayla George","Coates, Bell, Colson, Gray, George",1628268-1631006-202641-203833-204297,LVA,147.0,1,2.0,2.0,6.0,6,6.0,6.0,12,1.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,1.0,2.0,,2.0,4.0,2.0,1.0,2.0,,2.0,4.0,,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,4.0,4.0,6.0,,,,,,,0.5,0.5,0.25,0.25,0.4,0.4,0.5,,0.6666666666666666,,0.6666666666666666,,,,117.55102040816325,12.0,12.5,12.0,12.166666666666666,0.25,1.0,1.0,0.25,,,,0.5,,,,0.25,1.0,0.5,,0.75,,0.51725,0.51725,0.2,0.3333333333333333,1.0,7.65,25.8,1.0,,,,,0.6666666666666666,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-1631006-202252,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Kierstan Bell, Alysha Clark","Plum, Wilson, Young, Bell, Clark",1628276-1628932-1629498-1631006-202252,LVA,523.0,5,9.0,7.0,15.0,18,,8.0,33,2.0,2.0,,,3.0,5.0,2.0,6.0,,,5.0,9.0,2.0,7.0,20.0,13.0,,,,,,4.0,6.0,6.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,1.0,6.0,8.0,11.0,2.0,1.0,,,1.0,,1.0,,,1.0,4.0,5.0,1.0,,,1.0,18.0,,,0.4,0.4,1.0,0.2857142857142857,,0.2857142857142857,0.5555555555555556,,0.5,,0.5555555555555556,,0.4375,,0.8571428571428571,0.3333333333333333,0.7,,0.3333333333333333,,90.8604206500956,16.933333333333334,14.944444444444445,15.133333333333333,14.333333333333334,0.125,1.0,1.0,0.3125,0.6,0.75,0.6666666666666666,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,0.5625,0.3333333333333333,0.505034375,,0.1111111111111111,0.1,,8.255555555555555,24.728571428571428,,2.0,1.0,,1.0,1.0,0.125,0.0625,,4.0,,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.1111111111111111,0.2,1.0,0.25,0.4,0.3333333333333333,0.5,0.5,1.0,0.2919,0.125,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-202252-202641,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Alysha Clark, Sydney Colson","Plum, Wilson, Young, Clark, Colson",1628276-1628932-1629498-202252-202641,LVA,475.0,1,8.0,-7.0,15.0,15,,3.0,30,2.0,3.0,,,1.0,4.0,1.0,4.0,,,4.0,9.0,1.0,5.0,12.0,19.0,,,,,,2.0,6.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,,5.0,2.0,,3.0,6.0,1.0,,1.0,1.0,1.0,,2.0,,4.0,4.0,3.0,2.0,1.0,,,,10.0,,,0.25,0.3333333333333333,1.0,0.2,,0.2,0.4444444444444444,,0.39285714285714285,,0.4,,0.35714285714285715,0.5,,1.0,0.6666666666666666,,1.0,,90.94736842105263,15.0,16.666666666666668,14.6,16.133333333333333,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.25,0.25,,0.2857142857142857,0.25,0.25,1.0,,,,,0.5714285714285714,0.25,0.45677142857142855,,0.06666666666666667,0.1,,8.711111111111112,25.119999999999997,,2.0,1.0,,1.0,,0.14285714285714285,0.07142857142857142,,1.0,,3.0,1.0,1.0,2.0,,,3.0,1.0,3.0,,,,,1.0,0.5,0.5,,,1.0,0.6,,0.3333333333333333,0.6666666666666666,,,0.5376,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.5,0.5,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-202252-203833,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Alysha Clark, Chelsea Gray","Plum, Wilson, Young, Clark, Gray",1628276-1628932-1629498-202252-203833,LVA,5224.0,8,87.0,-39.0,176.0,178,29.0,49.0,354,18.0,23.0,3.0,4.0,24.0,56.0,16.0,47.0,1.0,9.0,49.0,97.0,18.0,61.0,175.0,214.0,10.0,20.0,1.0,10.0,28.0,50.0,48.0,48.0,47.0,16.0,25.0,16.0,41.0,14.0,12.0,98.0,24.0,36.0,61.0,86.0,11.0,8.0,18.0,17.0,9.0,1.0,27.0,3.0,26.0,46.0,33.0,40.0,21.0,12.0,6.0,13.0,153.0,28.0,29.0,0.5102040816326531,0.625,0.8888888888888888,0.29508196721311475,0.1,0.29508196721311475,0.5051546391752577,0.5,0.4810126582278481,0.38333333333333336,0.4943181818181818,0.4090909090909091,0.3860759493670886,0.6666666666666666,0.6792452830188679,0.7741935483870968,0.7142857142857143,0.8461538461538461,0.7307692307692307,1.0,97.58039816232773,14.823863636363637,14.691011235955056,14.352272727272727,13.94943820224719,0.14556962025316456,0.782608695652174,0.8571428571428571,0.35443037974683544,0.42857142857142855,0.47058823529411764,0.5,0.2974683544303797,0.3404255319148936,0.3404255319148936,0.875,0.13333333333333333,0.75,0.3,0.1111111111111111,0.5316455696202531,0.3404255319148936,0.47072675159235666,0.4693083333333333,0.12,0.18421052631578946,0.16,8.064948453608247,24.811475409836067,0.16477272727272727,18.0,14.0,1.0,3.0,0.5357142857142857,0.11392405063291139,0.08860759493670886,0.03333333333333333,23.0,5.0,21.0,9.0,17.0,22.0,8.0,10.0,14.0,1.0,25.0,3.0,,1.0,1.0,0.5294117647058824,0.4772727272727273,0.5,0.08247422680412371,0.08928571428571429,0.5,0.2916666666666667,0.24390243902439024,0.2696629213483146,0.34375,0.16666666666666666,0.8333333333333334,0.48028125,,0.12571428571428572,4.0,5.0,7.0,3.0,5.0,18.0,3.0,4.0,4.0,0.18181818181818182,0.04938271604938271,0.3888888888888889,0.4117647058823529,0.42857142857142855,0.22727272727272727,0.8,0.13636363636363635,2.0,1.0,2.0,1.0,1.0,6.0,2.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,8.0,1.0,5.0,0.2,0.08695652173913043,0.05555555555555555,0.14285714285714285,0.2,0.45454545454545453,0.6153846153846154,0.5555555555555556,0.14285714285714285,0.14285714285714285,1.0,0.09090909090909091,0.5,1.0,,,,,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-202252-204297,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Alysha Clark, Cayla George","Plum, Wilson, Young, Clark, George",1628276-1628932-1629498-202252-204297,LVA,1407.0,1,23.0,9.0,48.0,46,7.0,,94,8.0,14.0,1.0,2.0,1.0,5.0,3.0,11.0,,2.0,11.0,27.0,7.0,15.0,46.0,37.0,1.0,2.0,2.0,4.0,8.0,18.0,4.0,21.0,11.0,3.0,9.0,7.0,16.0,3.0,1.0,39.0,9.0,11.0,20.0,25.0,3.0,3.0,4.0,4.0,5.0,,9.0,1.0,1.0,6.0,5.0,5.0,3.0,3.0,,3.0,41.0,8.0,7.0,0.8181818181818182,0.9,1.0,0.4666666666666667,0.5,0.4666666666666667,0.4074074074074074,0.5,0.5119047619047619,0.6666666666666666,0.5227272727272727,0.6666666666666666,0.35714285714285715,0.4444444444444444,0.7857142857142857,0.9,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,96.2046908315565,13.666666666666666,16.32608695652174,12.958333333333334,15.826086956521738,0.3333333333333333,0.5714285714285714,0.6153846153846154,0.11904761904761904,0.2,0.2,1.0,0.2619047619047619,0.2727272727272727,0.2727272727272727,1.0,0.3333333333333333,0.5,0.3333333333333333,,0.6904761904761905,0.2727272727272727,0.5046285714285714,0.5100333333333333,0.06818181818181818,0.10344827586206896,0.17391304347826086,8.25925925925926,24.98,0.14583333333333334,8.0,4.0,2.0,,1.0,0.19047619047619047,0.09523809523809523,0.3333333333333333,3.0,,4.0,1.0,3.0,5.0,1.0,1.0,4.0,,5.0,1.0,,,,0.3333333333333333,0.625,0.625,0.037037037037037035,,,0.25,0.14285714285714285,0.21739130434782608,0.25,0.14285714285714285,0.7142857142857143,0.45259999999999995,,0.10869565217391304,1.0,1.0,2.0,,1.0,2.0,2.0,,2.0,0.3333333333333333,,0.25,0.25,1.0,0.25,1.0,,4.0,1.0,1.0,1.0,,,4.0,6.0,,,1.0,,,,1.0,,,3.0,,2.0,,,1.0,0.07142857142857142,,,0.16666666666666666,,0.6666666666666666,0.75,1.0,1.0,1.0,0.25,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-202252-204329,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Alysha Clark, Kiah Stokes","Plum, Wilson, Young, Clark, Stokes",1628276-1628932-1629498-202252-204329,LVA,732.0,6,12.0,,22.0,23,4.0,3.0,45,3.0,3.0,,,2.0,5.0,3.0,8.0,2.0,2.0,7.0,13.0,3.0,9.0,29.0,29.0,,,2.0,2.0,10.0,14.0,,9.0,8.0,3.0,7.0,3.0,10.0,3.0,2.0,23.0,1.0,7.0,8.0,15.0,,,3.0,2.0,1.0,,4.0,,4.0,4.0,5.0,6.0,2.0,,,,29.0,10.0,4.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5384615384615384,,0.5227272727272727,1.5,0.58,1.25,0.4090909090909091,0.75,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.5,0.5,,88.52459016393443,16.772727272727273,15.782608695652174,15.136363636363637,15.08695652173913,0.13636363636363635,1.0,1.0,0.22727272727272727,0.4,0.4,1.0,0.36363636363636365,0.375,0.375,1.0,,,1.0,1.0,0.5454545454545454,0.375,0.48629545454545453,0.528,0.08333333333333333,0.13333333333333333,0.3448275862068966,10.2,25.166666666666668,0.18181818181818182,5.0,1.0,,,0.8,0.22727272727272727,0.045454545454545456,,6.0,4.0,4.0,,2.0,,,5.0,2.0,,7.0,2.0,,,,,,,,,,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.3333333333333333,1.0,1.0,0.4316,,,,,2.0,2.0,2.0,,2.0,,,0.3333333333333333,,0.4,0.4,1.0,,,0.5,,,,,,,,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-202641-204297,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Sydney Colson, Cayla George","Plum, Wilson, Young, Colson, George",1628276-1628932-1629498-202641-204297,LVA,181.0,1,3.0,-6.0,6.0,6,,,12,,1.0,,,1.0,1.0,,2.0,,,1.0,2.0,,3.0,2.0,8.0,,,,,,,2.0,,2.0,,,,,,,,,2.0,2.0,3.0,,,2.0,2.0,,,2.0,,1.0,1.0,4.0,,,1.0,,1.0,2.0,,,,,,,,,0.5,,0.2,,0.2,,0.6,1.0,0.6666666666666666,,0.6666666666666666,,,,95.4696132596685,19.166666666666668,11.0,18.333333333333332,10.166666666666666,0.2,,,0.2,1.0,1.0,,0.4,,,,,,,,0.8,,0.5686899999999999,,,,,6.05,23.433333333333334,,,1.0,,,,,0.2,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,0.3333333333333333,0.25,,,0.6666666666666666,0.7548,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1611661319,2023,2023,True
1628276-1628932-1629498-203833-204329,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Chelsea Gray, Kiah Stokes","Plum, Wilson, Young, Gray, Stokes",1628276-1628932-1629498-203833-204329,LVA,7385.0,8,123.0,-82.0,245.0,245,8.0,17.0,490,28.0,35.0,2.0,2.0,19.0,78.0,22.0,60.0,2.0,2.0,56.0,142.0,27.0,77.0,217.0,299.0,3.0,6.0,2.0,3.0,12.0,70.0,42.0,69.0,59.0,22.0,35.0,23.0,58.0,18.0,11.0,139.0,23.0,51.0,77.0,104.0,13.0,9.0,24.0,15.0,13.0,4.0,37.0,,29.0,43.0,37.0,32.0,16.0,13.0,10.0,14.0,193.0,12.0,8.0,0.625,0.7291666666666666,0.8518518518518519,0.35064935064935066,0.6666666666666666,0.35526315789473684,0.39436619718309857,0.5,0.4406392694063927,0.6666666666666666,0.46170212765957447,0.6,0.3515981735159817,0.6486486486486487,0.7183098591549296,0.7666666666666667,0.7326732673267327,0.8125,0.7916666666666666,0.6666666666666666,95.54502369668246,15.534693877551021,14.608163265306123,15.06530612244898,14.106122448979592,0.1598173515981735,0.8,0.875,0.3561643835616438,0.24358974358974358,0.2878787878787879,0.5789473684210527,0.273972602739726,0.36666666666666664,0.36666666666666664,0.8181818181818182,0.2222222222222222,1.0,0.2222222222222222,1.0,0.5114155251141552,0.3728813559322034,0.47526857798165134,0.5104055555555556,0.06808510638297872,0.10126582278481013,0.055299539170506916,8.236619718309859,25.553246753246754,0.0326530612244898,29.0,17.0,1.0,4.0,0.6923076923076923,0.1324200913242009,0.0776255707762557,0.1111111111111111,24.0,,27.0,8.0,17.0,24.0,15.0,11.0,14.0,3.0,27.0,4.0,,1.0,,0.47058823529411764,0.5,0.5,0.1056338028169014,0.15384615384615385,1.0,0.16470588235294117,0.22916666666666666,0.18796992481203006,0.13793103448275862,0.25,0.6875,0.5443416666666666,,0.11059907834101383,8.0,9.0,9.0,4.0,5.0,16.0,6.0,,5.0,0.25,,0.3103448275862069,0.3103448275862069,0.6666666666666666,0.4090909090909091,0.8888888888888888,0.18181818181818182,5.0,,1.0,2.0,2.0,12.0,5.0,18.0,2.0,9.0,,3.0,,,,,,3.0,,8.0,1.0,,0.4,0.08571428571428572,,0.4,0.14285714285714285,0.16666666666666666,0.5714285714285714,0.6428571428571429,0.29411764705882354,0.29411764705882354,1.0,0.045454545454545456,,,,1.0,5.0,,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,1611661319,2023,2023,True
