EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,2pt And 1 Free Throw Trips,FTDefRebounds,Travels,Loose Ball Fouls,DefFTReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGA,PenaltyCorner3FGA,BlockingFouls,Loose Ball Fouls Drawn,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,HeaveAttempts,FTOffRebounds,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,3SecondViolations,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100723-100915-100944-202632-203813,1611661324,"Asjha Jones, Lindsay Whalen, Rebekkah Brunson, Maya Moore, Anna Cruz","Jones, Whalen, Brunson, Moore, Cruz",100723-100915-100944-202632-203813,MIN,3775.0,13,63.0,8.0,121.0,125.0,19.0,26.0,14.0,246.0,21.0,43.0,4.0,8.0,3.0,6.0,13.0,20.0,7.0,17.0,3.0,6.0,5.0,20.0,3.0,2.0,6.0,41.0,80.0,8.0,26.0,16.0,122.0,114.0,5.0,10.0,3.0,1.0,11.0,4.0,10.0,2.0,6.0,7.0,21.0,30.0,52.0,18.0,6.0,4.0,20.0,5.0,6.0,1.0,15.0,6.0,21.0,3.0,3.0,8.0,3.0,4.0,48.0,4.0,12.0,13.0,44.0,57.0,16.0,73.0,3.0,9.0,6.0,3.0,10.0,9.0,6.0,11.0,4.0,21.0,2.0,2.0,7.0,26.0,1.0,28.0,1.0,1.0,1.0,21.0,1.0,7.0,3.0,13.0,1.0,1.0,7.0,6.0,14.0,9.0,1.0,111.0,18.0,17.0,3.0,2.0,0.36585365853658536,0.38461538461538464,0.75,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.5125,0.5,0.4,0.5,0.38461538461538464,0.4375,0.5258620689655172,0.39285714285714285,0.525,0.24528301886792453,0.038461538461538464,0.075,0.11627906976744186,0.05,0.05,0.47619047619047616,0.7586206896551724,0.3076923076923077,0.9285714285714286,0.2222222222222222,0.7916666666666666,0.2807017543859649,0.3181818181818182,0.42857142857142855,0.2,0.2,0.3333333333333333,0.7,0.6470588235294118,0.9047619047619048,0.9230769230769231,1.0,0.06,93.83841059602649,0.6428571428571429,15.066115702479339,15.616,14.173553719008265,14.752,0.4056603773584906,0.4883720930232558,0.5526315789473685,0.38095238095238093,0.18867924528301888,0.65,0.6842105263157895,0.23076923076923078,0.16037735849056603,0.4117647058823529,0.4117647058823529,0.5714285714285714,0.05660377358490566,0.5,0.5,1.0,0.18867924528301888,0.25,0.2631578947368421,0.6,0.6153846153846154,0.5,0.25,0.23076923076923078,0.375,0.5,0.375,0.3333333333333333,0.6509433962264151,0.25,0.4893014150943396,0.58425,0.477390625,0.061946902654867256,0.08045977011494253,0.09016393442622951,0.1721311475409836,7.1425,23.86923076923077,0.15702479338842976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-201904-202632-203016-203813,1611661324,"Asjha Jones, Renee Montgomery, Maya Moore, Devereaux Peters, Anna Cruz","Jones, Montgomery, Moore, Peters, Cruz",100723-201904-202632-203016-203813,MIN,132.0,2,2.0,2.0,5.0,5.0,1.0,,1.0,10.0,1.0,2.0,1.0,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,4.0,1.0,1.0,3.0,8.0,6.0,1.0,1.0,,1.0,3.0,,,,,2.0,2.0,2.0,,,3.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,,,,,5.0,2.0,1.0,,,1.0,1.0,,1.0,,1.0,0.25,1.0,,0.5,1.0,,0.6666666666666666,1.5,1.0,0.2,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,0.5,,,,,,,,,109.09090909090908,,13.2,13.2,11.6,13.2,0.4,0.5,0.5,1.0,,,,,0.4,,,,,,,,0.2,1.0,1.0,,1.0,1.0,1.0,,,,,,0.6,1.0,0.52378,0.6421,,0.3333333333333333,0.4,0.375,0.25,9.175,23.5,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
201904-202632-203016-203834-204352,1611661324,"Renee Montgomery, Maya Moore, Devereaux Peters, Tricia Liston, Shae Kelley","Montgomery, Moore, Peters, Liston, Kelley",201904-202632-203016-203834-204352,MIN,127.0,2,2.0,,4.0,5.0,3.0,,,9.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,2.0,4.0,,,,4.0,4.0,,,,,,2.0,3.0,,,,4.0,4.0,,,,,,,,,2.0,,2.0,,,1.0,,1.0,4.0,,,1.0,2.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,,,1.0,1.0,,,,,0.5,,0.6666666666666666,0.5,,0.6666666666666666,0.5,,0.6666666666666666,,,,,,,,0.6666666666666666,,0.5,,0.6,,,,,,,,1.0,1.0,0.5,,,102.04724409448819,,11.25,16.4,11.25,16.0,0.5,0.5,0.5,1.0,0.25,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,0.6666666666666666,0.5,,,0.5,,0.536,,0.5904,,,,1.0,8.15,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100915-100944-201904-203016,1611661324,"Asjha Jones, Lindsay Whalen, Rebekkah Brunson, Renee Montgomery, Devereaux Peters","Jones, Whalen, Brunson, Montgomery, Peters",100723-100915-100944-201904-203016,MIN,140.0,1,2.0,,4.0,4.0,4.0,,,8.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,4.0,4.0,4.0,,,,,,,1.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,2.0,,,,4.0,,,2.0,,,,,,,,,4.0,4.0,4.0,,2.0,,,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,,,1.0,0.6666666666666666,,,,0.6666666666666666,,,,,,,,1.0,0.5,,,,82.28571428571428,,15.25,19.75,15.25,16.25,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3568,,0.3568,,,,1.0,19.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100915-200671-202632-203024,1611661324,"Asjha Jones, Lindsay Whalen, Seimone Augustus, Maya Moore, Damiris Dantas","Jones, Whalen, Augustus, Moore, Dantas",100723-100915-200671-202632-203024,MIN,404.0,4,7.0,4.0,12.0,11.0,,,1.0,23.0,1.0,1.0,,,,,,,3.0,5.0,1.0,1.0,,1.0,,,,4.0,6.0,1.0,2.0,5.0,16.0,12.0,,,,,,,,,,,,8.0,,3.0,,,1.0,,,,4.0,1.0,5.0,,1.0,1.0,,3.0,11.0,1.0,,1.0,5.0,6.0,1.0,7.0,,,,,1.0,,,2.0,1.0,3.0,1.0,,,4.0,2.0,4.0,,,,5.0,,3.0,,1.0,,,1.0,,1.0,1.0,,16.0,,,,,1.0,1.0,1.0,0.5,,0.5,0.6666666666666666,,,0.6875,,,0.8,,,0.25,,,,,,0.3333333333333333,0.8333333333333334,,1.0,1.0,0.8571428571428571,0.3333333333333333,,,,1.0,,1.0,1.0,,1.0,,,81.98019801980197,1.0,16.25,19.0,16.083333333333332,17.545454545454547,0.125,1.0,1.0,1.0,,,,,0.625,0.6,0.6,1.0,0.125,1.0,1.0,1.0,0.125,,,,,,,,,,,,0.375,,0.47145625,,,0.3,0.375,,,14.5,23.25,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100915-201480-201904-202632,1611661324,"Asjha Jones, Lindsay Whalen, Sylvia Fowles, Renee Montgomery, Maya Moore","Jones, Whalen, Fowles, Montgomery, Moore",100723-100915-201480-201904-202632,MIN,1004.0,8,17.0,-5.0,34.0,36.0,1.0,19.0,5.0,70.0,6.0,12.0,1.0,1.0,,,3.0,7.0,2.0,7.0,,1.0,,1.0,,,,11.0,26.0,,2.0,9.0,31.0,36.0,3.0,5.0,,1.0,7.0,,,,,,,16.0,6.0,,,2.0,1.0,,4.0,,8.0,,8.0,,,4.0,2.0,2.0,16.0,,5.0,3.0,7.0,12.0,5.0,17.0,1.0,5.0,3.0,2.0,6.0,,5.0,1.0,1.0,7.0,,1.0,4.0,10.0,,6.0,,,,9.0,,5.0,,3.0,,,,3.0,3.0,2.0,,24.0,,1.0,4.0,,0.7272727272727273,0.8,,,,,0.4230769230769231,0.6,,0.39285714285714285,0.6,,0.484375,0.7,,0.07142857142857142,,0.15384615384615385,0.25,0.14285714285714285,,0.8571428571428571,0.5833333333333334,0.3333333333333333,1.0,,0.6666666666666666,0.29411764705882354,0.6666666666666666,0.25,,,,,0.7142857142857143,0.4,1.0,1.0,0.07692307692307693,100.39840637450199,0.6666666666666666,14.852941176470589,13.86111111111111,14.0,13.555555555555555,0.42857142857142855,0.5,0.6666666666666666,0.6666666666666666,0.25,0.42857142857142855,0.5,0.6666666666666666,0.25,0.2857142857142857,0.2857142857142857,1.0,0.03571428571428571,,,,0.03571428571428571,,,,0.2,1.0,,,,,,,0.5,,0.49529821428571424,0.40292000000000006,,0.15625,0.16666666666666666,0.22580645161290322,,8.453846153846154,22.95,0.029411764705882353,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100915-201480-202632-203834,1611661324,"Asjha Jones, Lindsay Whalen, Sylvia Fowles, Maya Moore, Tricia Liston","Jones, Whalen, Fowles, Moore, Liston",100723-100915-201480-202632-203834,MIN,617.0,4,10.0,3.0,21.0,19.0,1.0,4.0,3.0,40.0,5.0,7.0,2.0,2.0,,1.0,1.0,4.0,2.0,6.0,,1.0,1.0,3.0,,,,8.0,17.0,1.0,4.0,2.0,21.0,18.0,2.0,3.0,,1.0,5.0,,2.0,,,,,4.0,12.0,3.0,,2.0,3.0,1.0,3.0,,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,1.0,3.0,,7.0,7.0,4.0,11.0,,4.0,2.0,2.0,,,,3.0,,3.0,,,1.0,4.0,2.0,2.0,,,,3.0,,2.0,,1.0,,,,1.0,1.0,,,16.0,,1.0,,,0.25,0.2857142857142857,1.0,0.25,,0.25,0.47058823529411764,0.6666666666666666,,0.4523809523809524,0.6666666666666666,,0.4772727272727273,0.8333333333333334,,0.19047619047619047,,0.17647058823529413,0.2857142857142857,0.25,,,0.5384615384615384,0.3333333333333333,,0.3333333333333333,0.5384615384615384,0.3333333333333333,1.0,,0.25,,1.0,0.25,0.8,0.5,,,,93.354943273906,,15.714285714285714,15.105263157894736,14.80952380952381,13.31578947368421,0.3333333333333333,0.7142857142857143,1.0,0.2,0.19047619047619047,0.25,0.3333333333333333,,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.047619047619047616,,,,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,,,0.5,,,,0.5238095238095238,0.3333333333333333,0.5004833333333333,0.59085,0.5557,0.09090909090909091,0.1111111111111111,0.23809523809523808,,8.711764705882352,23.575,0.047619047619047616,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100915-202632-203016-203813,1611661324,"Asjha Jones, Lindsay Whalen, Maya Moore, Devereaux Peters, Anna Cruz","Jones, Whalen, Moore, Peters, Cruz",100723-100915-202632-203016-203813,MIN,600.0,4,10.0,-4.0,15.0,17.0,,2.0,3.0,32.0,3.0,5.0,1.0,2.0,,,2.0,4.0,1.0,6.0,,1.0,1.0,4.0,1.0,,,6.0,15.0,1.0,5.0,1.0,16.0,20.0,2.0,4.0,1.0,,4.0,,,,,,,6.0,6.0,3.0,,2.0,4.0,1.0,,,3.0,1.0,4.0,1.0,,2.0,1.0,,9.0,1.0,5.0,,6.0,6.0,6.0,12.0,1.0,,,,,1.0,,1.0,,1.0,,,,3.0,,3.0,,,,1.0,1.0,,,,,,,,,,,12.0,,,,,0.5,0.6,1.0,0.2,,0.2,0.4,0.5,,0.375,0.4,,0.375,0.4,,0.25,,,,,,,0.8571428571428571,0.5555555555555556,,0.25,0.6666666666666666,0.46153846153846156,1.0,,0.6,0.3333333333333333,,1.0,0.5,1.0,,,0.07692307692307693,76.8,,22.533333333333335,15.411764705882353,19.266666666666666,13.411764705882353,0.25,0.6,0.6,0.6666666666666666,0.2,0.5,0.5,0.5,0.3,0.16666666666666666,0.16666666666666666,,0.05,,,,0.2,0.25,0.25,1.0,0.4,0.5,,0.2,,,,,0.5,0.25,0.4600075,0.56805,,,,0.25,,9.82,23.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100944-200671-202632-204362,1611661324,"Asjha Jones, Rebekkah Brunson, Seimone Augustus, Maya Moore, Jennifer O'Neill","Jones, Brunson, Augustus, Moore, O'Neill",100723-100944-200671-202632-204362,MIN,132.0,2,2.0,,3.0,3.0,,,1.0,6.0,1.0,3.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,2.0,4.0,,1.0,,4.0,4.0,1.0,2.0,,,2.0,,,,,,,2.0,2.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,2.0,,2.0,1.0,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,0.5,0.5,,,,,0.5,0.5,,0.4,0.5,,0.4,0.5,,0.2,,0.25,0.3333333333333333,,,,,1.0,1.0,,1.0,0.6666666666666666,1.0,,,,,,,,1.0,,0.5,65.45454545454545,,24.0,20.0,21.666666666666668,20.0,0.6,0.3333333333333333,0.5,1.0,,,,,0.2,1.0,1.0,,,,,,0.2,,,,0.5,,,,,,,,0.8,,0.54982,0.52735,,0.2,0.25,0.5,,5.8,23.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
100723-100944-202632-203016-203813,1611661324,"Asjha Jones, Rebekkah Brunson, Maya Moore, Devereaux Peters, Anna Cruz","Jones, Brunson, Moore, Peters, Cruz",100723-100944-202632-203016-203813,MIN,1221.0,3,20.0,-5.0,36.0,37.0,7.0,11.0,6.0,73.0,2.0,8.0,1.0,2.0,,,3.0,4.0,2.0,8.0,,3.0,4.0,10.0,1.0,2.0,3.0,7.0,20.0,4.0,13.0,7.0,33.0,38.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,6.0,3.0,11.0,8.0,6.0,12.0,,2.0,10.0,4.0,1.0,,4.0,4.0,8.0,4.0,,,2.0,2.0,20.0,2.0,5.0,1.0,10.0,11.0,7.0,18.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,6.0,1.0,,7.0,13.0,,11.0,,4.0,,8.0,,3.0,1.0,2.0,,,,2.0,2.0,,,29.0,11.0,7.0,1.0,2.0,0.5714285714285714,0.6666666666666666,1.0,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.35,0.3333333333333333,1.0,0.3939393939393939,0.2,0.5714285714285714,0.44594594594594594,0.3333333333333333,0.6111111111111112,0.3939393939393939,,0.05,0.125,,,0.5,0.6666666666666666,0.38461538461538464,0.5,0.2222222222222222,0.6470588235294118,0.3181818181818182,0.3333333333333333,,0.5,,0.6666666666666666,1.0,0.625,0.6,0.5,,0.047619047619047616,86.09336609336609,,15.63888888888889,17.783783783783782,14.472222222222221,16.54054054054054,0.24242424242424243,0.25,0.2857142857142857,,0.12121212121212122,0.75,0.75,0.6666666666666666,0.24242424242424243,0.25,0.25,1.0,0.09090909090909091,,,,0.30303030303030304,0.4,0.4,1.0,0.4,0.5,,0.2,,,0.42857142857142855,0.6666666666666666,0.6363636363636364,0.4,0.4610924242424242,0.50153,0.3852857142857143,0.08333333333333333,0.13043478260869565,0.12121212121212122,0.3333333333333333,9.83,23.338461538461537,0.19444444444444445,,,,,,,1.0,3.0,2.0,1.0,0.2,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,True
