EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,ShortMidRangeAssists,FTOffRebounds,SelfOReb,StepOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFoulsDrawn,PtsPutbacks,Charge Fouls,Blocked3s,BlockedCorner3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,team_id,year,season,team_vs
100646-201503-201889-201896-201919,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Shavonte Zellous","Catchings, Larkins, Coleman, January, Zellous",100646-201503-201889-201896-201919,IND,1555.0,9,26.0,14.0,46.0,50.0,6.0,9.0,7.0,96.0,6.0,12.0,1.0,3.0,1.0,1.0,1.0,4.0,7.0,12.0,1.0,2.0,4.0,10.0,1.0,1.0,14.0,28.0,5.0,12.0,11.0,54.0,40.0,3.0,5.0,1.0,6.0,1.0,3.0,1.0,2.0,4.0,12.0,16.0,12.0,3.0,10.0,4.0,5.0,1.0,6.0,4.0,10.0,3.0,1.0,3.0,3.0,24.0,4.0,4.0,4.0,9.0,1.0,14.0,8.0,22.0,10.0,9.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,13.0,2.0,12.0,1.0,1.0,12.0,5.0,1.0,3.0,3.0,3.0,1.0,48.0,2.0,5.0,2.0,0.42857142857142855,0.42857142857142855,0.8,0.4166666666666667,0.4166666666666667,0.5,0.6,0.3333333333333333,0.5375,0.5,0.25,0.5869565217391305,0.5,0.4,0.3,0.08333333333333333,0.17857142857142858,0.25,0.5,0.1,0.5,1.0,0.5625,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.52,0.4,0.3333333333333333,0.3333333333333333,0.2,0.8,0.5,0.75,0.5,0.5,0.4,88.90032154340835,0.3333333333333333,16.565217391304348,15.86,14.978260869565217,14.42,0.3,0.5,0.6666666666666666,0.5,0.1,0.25,0.5,0.3,0.5833333333333334,0.5833333333333334,0.42857142857142855,0.05,0.5,0.5,1.0,0.25,0.4,0.4444444444444444,0.75,0.5,0.3333333333333333,1.0,0.16666666666666666,0.25,1.0,0.25,0.6,0.4,0.4810325,0.56033,0.4559375,0.1111111111111111,0.15151515151515152,0.1111111111111111,0.07407407407407407,9.485714285714286,23.625,0.13043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201889-201896-203018,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Shenise Johnson","Catchings, Larkins, Coleman, January, Johnson",100646-201503-201889-201896-203018,IND,9500.0,11,158.0,57.0,282.0,273.0,19.0,35.0,38.0,555.0,54.0,89.0,6.0,13.0,2.0,2.0,12.0,21.0,23.0,72.0,8.0,15.0,20.0,54.0,6.0,2.0,89.0,182.0,28.0,69.0,55.0,317.0,260.0,11.0,24.0,7.0,46.0,3.0,6.0,4.0,12.0,21.0,80.0,98.0,78.0,6.0,54.0,20.0,16.0,,40.0,26.0,66.0,18.0,8.0,27.0,10.0,158.0,13.0,27.0,21.0,80.0,4.0,105.0,43.0,148.0,29.0,19.0,10.0,26.0,7.0,18.0,20.0,1.0,8.0,5.0,46.0,7.0,2.0,19.0,49.0,3.0,69.0,3.0,4.0,62.0,27.0,6.0,11.0,4.0,11.0,5.0,271.0,10.0,13.0,1.0,0.449438202247191,0.449438202247191,0.9285714285714286,0.4057971014492754,0.4057971014492754,0.489010989010989,0.4583333333333333,0.5,0.5219123505976095,0.5967741935483871,0.45,0.5665467625899281,0.6571428571428571,0.625,0.2749003984063745,,0.08791208791208792,0.14606741573033707,0.09523809523809523,,0.5652173913043478,1.0,0.6666666666666666,0.2967032967032967,0.7,0.3170731707317073,0.6733333333333333,0.30303030303030304,0.34285714285714286,0.2222222222222222,0.2765957446808511,0.3235294117647059,0.6388888888888888,0.7096774193548387,0.660377358490566,0.6818181818181818,0.75,84.12631578947368,0.45454545454545453,17.03900709219858,17.197802197802197,15.882978723404255,15.963369963369964,0.3545816733067729,0.6067415730337079,0.7105263157894737,0.5,0.08366533864541832,0.5714285714285714,0.631578947368421,0.2868525896414343,0.3194444444444444,0.323943661971831,0.43478260869565216,0.05976095617529881,0.5333333333333333,0.5333333333333333,1.0,0.2151394422310757,0.37037037037037035,0.37037037037037035,0.9,0.41935483870967744,0.46153846153846156,0.3333333333333333,0.1935483870967742,0.2,1.0,0.2,0.6294820717131474,0.37037037037037035,0.4926699203187251,0.47885,0.41811,0.09926470588235294,0.1330049261083744,0.14511041009463724,0.06624605678233439,9.182967032967033,23.726086956521737,0.0673758865248227,1.0,1.0,2.0,4.0,1.0,5.0,9.0,1.0,3.0,3.0,3.0,1.0,6.0,2.0,4.0,4.0,6.0,2.0,2.0,5.0,1.0,0.7142857142857143,0.25,0.013888888888888888,0.5,0.2857142857142857,0.02564102564102564,0.25,0.03225806451612903,1.0,1.0,0.6666666666666666,1.0,0.2,0.5,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201889-201919-203018,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Shavonte Zellous, Shenise Johnson","Catchings, Larkins, Coleman, Zellous, Johnson",100646-201503-201889-201919-203018,IND,963.0,8,16.0,-5.0,31.0,32.0,6.0,10.0,4.0,63.0,8.0,11.0,,,1.0,2.0,3.0,5.0,1.0,5.0,1.0,2.0,,5.0,1.0,3.0,12.0,21.0,1.0,7.0,6.0,33.0,38.0,,,1.0,,1.0,2.0,4.0,3.0,5.0,6.0,18.0,3.0,,5.0,,2.0,,3.0,1.0,4.0,,1.0,2.0,,9.0,1.0,2.0,1.0,5.0,1.0,7.0,3.0,10.0,5.0,1.0,4.0,2.0,,2.0,3.0,,,,5.0,2.0,,1.0,5.0,,8.0,2.0,,7.0,3.0,2.0,,,,,33.0,3.0,5.0,2.0,0.25,0.25,1.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,,0.5,0.48214285714285715,,0.16666666666666666,0.532258064516129,,0.3125,0.25,,0.09523809523809523,0.09090909090909091,0.2,,0.4,1.0,0.625,0.25,1.0,0.16666666666666666,0.6666666666666666,0.21428571428571427,,,0.5,,0.3333333333333333,1.0,0.75,1.0,,94.2056074766355,,17.580645161290324,13.0625,17.193548387096776,12.5625,0.39285714285714285,0.7272727272727273,0.8,0.25,0.17857142857142858,0.6,0.75,0.17857142857142858,0.2,0.2,,0.07142857142857142,0.5,0.5,1.0,0.17857142857142858,,,,,,,1.0,0.3333333333333333,0.5,0.5,0.6428571428571429,,0.4679410714285714,,0.4474666666666667,0.10344827586206896,0.13636363636363635,,0.15151515151515152,7.70952380952381,23.571428571428573,0.1935483870967742,,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,0.3333333333333333,,,,,,0.16666666666666666,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201889-201919-203406,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Shavonte Zellous, Layshia Clarendon","Catchings, Larkins, Coleman, Zellous, Clarendon",100646-201503-201889-201919-203406,IND,567.0,6,9.0,-1.0,17.0,19.0,11.0,6.0,5.0,36.0,2.0,5.0,,1.0,2.0,3.0,1.0,4.0,1.0,3.0,,2.0,,2.0,1.0,1.0,4.0,12.0,,4.0,7.0,15.0,16.0,,2.0,1.0,4.0,4.0,7.0,3.0,5.0,13.0,6.0,2.0,,,2.0,,2.0,,3.0,,3.0,,,1.0,1.0,6.0,1.0,2.0,1.0,7.0,,8.0,4.0,12.0,3.0,2.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,6.0,,7.0,2.0,,9.0,3.0,2.0,2.0,,2.0,1.0,11.0,13.0,11.0,2.0,0.75,0.75,,,,0.3333333333333333,,0.5714285714285714,0.25,,0.4,0.375,0.4,0.5,0.25,,0.16666666666666666,0.2,0.25,,1.0,,0.7777777777777778,0.25,1.0,0.25,0.8,0.25,0.3333333333333333,,0.5,,1.0,0.75,0.6666666666666666,1.0,,91.42857142857143,0.5,15.823529411764707,15.68421052631579,13.294117647058824,15.526315789473685,0.3125,0.4,0.5,0.5,0.25,0.25,0.3333333333333333,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.125,,,,0.125,,,,0.3333333333333333,,,0.3333333333333333,0.3,0.6666666666666666,0.1,0.5625,,0.51689375,0.535675,0.5539799999999999,0.16666666666666666,0.21428571428571427,0.26666666666666666,0.8666666666666667,7.675,22.85,0.6470588235294118,,,2.0,,,,4.0,,1.0,1.0,,,1.0,,,,1.0,,,2.0,,,,,0.5,0.5,,1.0,,,,,,0.2,,2.0,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201889-201919-203843,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Shavonte Zellous, Maggie Lucas","Catchings, Larkins, Coleman, Zellous, Lucas",100646-201503-201889-201919-203843,IND,29.0,1,,3.0,2.0,1.0,,1.0,,3.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,1.0,,,,1.5,,,1.5,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,148.9655172413793,,13.0,3.0,13.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,0.3441,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201896-201919-202656,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shavonte Zellous, Jeanette Pohlen-Mavunga","Catchings, Larkins, January, Zellous, Pohlen-Mavunga",100646-201503-201896-201919-202656,IND,123.0,2,2.0,-5.0,5.0,5.0,,5.0,,10.0,,,,,,,,2.0,,,,,,,,,,2.0,,,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,0.5,,1.0,,,,1.0,,,,,,,1.0,,,,117.07317073170732,,12.6,12.0,12.6,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.31955,,,0.3333333333333333,0.3333333333333333,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201896-201919-203018,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shavonte Zellous, Shenise Johnson","Catchings, Larkins, January, Zellous, Johnson",100646-201503-201896-201919-203018,IND,2123.0,9,35.0,,61.0,60.0,21.0,14.0,8.0,121.0,14.0,18.0,4.0,5.0,2.0,2.0,1.0,5.0,6.0,12.0,,1.0,5.0,10.0,1.0,,21.0,35.0,5.0,11.0,17.0,74.0,74.0,4.0,5.0,1.0,12.0,4.0,8.0,,10.0,18.0,14.0,28.0,15.0,,10.0,5.0,4.0,,7.0,5.0,12.0,5.0,,4.0,3.0,29.0,3.0,6.0,6.0,5.0,1.0,12.0,9.0,21.0,6.0,3.0,3.0,4.0,1.0,2.0,9.0,,2.0,,13.0,2.0,6.0,8.0,20.0,1.0,20.0,,1.0,22.0,6.0,6.0,1.0,1.0,1.0,,62.0,13.0,17.0,,0.3333333333333333,0.3684210526315789,1.0,0.45454545454545453,0.45454545454545453,0.6,0.8,0.5,0.6195652173913043,0.6666666666666666,0.5,0.6607142857142857,0.8571428571428571,0.6,0.2391304347826087,,0.11428571428571428,0.05555555555555555,0.6,,0.3076923076923077,0.5,0.35714285714285715,0.42857142857142855,0.6,0.5,0.4583333333333333,0.45,0.75,0.75,,0.4,0.4,0.4,0.25,0.5,1.0,82.07253886010363,,17.37704918032787,17.716666666666665,16.81967213114754,16.2,0.391304347826087,0.7777777777777778,0.8235294117647058,0.2857142857142857,0.10869565217391304,0.2,0.5,0.2608695652173913,0.5,0.5,0.5,0.021739130434782608,,,,0.21739130434782608,0.5,0.5,1.0,0.8333333333333334,0.8,,0.16666666666666666,0.25,1.0,,0.6304347826086957,0.5,0.47530652173913046,0.5784,0.3876875,0.12,0.15384615384615385,0.16216216216216217,0.24324324324324326,8.225714285714284,23.7,0.3442622950819672,,,,,,,4.0,,,,2.0,1.0,,2.0,1.0,1.0,2.0,,,,2.0,,,,,1.0,0.125,,,,,,,,,2.0,4.0,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201896-201919-203041,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shavonte Zellous, Lynetta Kizer","Catchings, Larkins, January, Zellous, Kizer",100646-201503-201896-201919-203041,IND,88.0,1,1.0,6.0,3.0,3.0,,,1.0,6.0,2.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,,,3.0,4.0,,,,6.0,,1.0,1.0,,2.0,,,,,,2.0,4.0,,,,,,,1.0,,1.0,,,,1.0,2.0,,1.0,2.0,,,2.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.3333333333333333,0.5,,,,0.75,1.0,,0.75,1.0,,0.75,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,98.18181818181819,,12.0,17.333333333333332,11.333333333333334,17.333333333333332,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,0.75,,0.603725,0.52,,,,0.3333333333333333,,5.425,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201896-201919-203827,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shavonte Zellous, Natasha Howard","Catchings, Larkins, January, Zellous, Howard",100646-201503-201896-201919-203827,IND,246.0,1,4.0,-2.0,7.0,7.0,,,2.0,14.0,1.0,6.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,6.0,,1.0,,2.0,4.0,1.0,1.0,1.0,2.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,2.0,2.0,1.0,,3.0,2.0,5.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,0.16666666666666666,1.0,,0.14285714285714285,0.5,,0.125,0.5,,0.14285714285714285,,,,,,,,1.0,0.4,1.0,,1.0,0.3333333333333333,0.4,,,,,,1.0,1.0,,81.95121951219512,,16.857142857142858,18.285714285714285,15.0,18.285714285714285,0.8571428571428571,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,0.14285714285714285,,,,0.5,1.0,,0.5,,,,1.0,,0.5333785714285714,0.461425,,0.125,0.14285714285714285,1.0,,2.5833333333333335,24.3,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,2.0,,,,,,,,,,1611661325,2015,2015,False
100646-201503-201896-201919-203843,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shavonte Zellous, Maggie Lucas","Catchings, Larkins, January, Zellous, Lucas",100646-201503-201896-201919-203843,IND,155.0,1,3.0,6.0,4.0,4.0,,,,8.0,,,,,,,1.0,1.0,1.0,1.0,,,2.0,2.0,,,2.0,2.0,2.0,2.0,,10.0,4.0,,,,,,,,,,,4.0,6.0,,2.0,2.0,,,,2.0,2.0,2.0,,,,6.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,10.0,,,,,,1.0,1.0,1.0,1.0,,,1.25,,,1.25,,,0.5,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,74.32258064516128,,17.25,21.5,17.25,16.0,,,,,0.25,1.0,1.0,0.25,1.0,1.0,,,,,,0.5,1.0,1.0,1.0,,,,,,,,0.5,1.0,0.4261,,,,,,,15.1,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2015,2015,False
