EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BlockingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGA,FtPoints,DefThreePtRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,BlockedShortMidRange,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceOffPoss,ShortMidRangeFGM,Corner3FGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Offensive Fouls,2pt And 1 Free Throw Trips,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChancePointsPct,PenaltyOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Fg3aBlocked,LongMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,LostBallSteals,LostBallTurnovers,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,Corner3Assists,SecondChanceTurnovers,Loose Ball Fouls,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFGA,SelfOReb,SelfORebPct,PenaltyAtRimFrequency,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,BlockedLongMidRange,PenaltyAtRimAccuracy,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls,team_id,year,season,team_vs
100888-201050-202640-203824-203835,1611661321,"Plenette Pierson, Tiffany Jackson, Karima Christmas-Kelly, Odyssey Sims, Jordan Hooper","Pierson, Jackson, Christmas-Kelly, Sims, Hooper",100888-201050-202640-203824-203835,TUL,140.0,1,2.0,3.0,4.0,4,8,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,1.0,1.0,1.0,1.0,82.28571428571428,1.0,15.75,19.25,15.75,19.25,0.5,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,0.75,1.0,0.5502,4.166666666666667,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201050-202640-203824-204331,1611661321,"Plenette Pierson, Tiffany Jackson, Karima Christmas-Kelly, Odyssey Sims, Brianna Kiesel","Pierson, Jackson, Christmas-Kelly, Sims, Kiesel",100888-201050-202640-203824-204331,TUL,146.0,1,2.0,7.0,4.0,4,8,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,7.0,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,,1.0,1.0,,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.875,0.3333333333333333,1.0,1.0,,1.0,78.9041095890411,1.0,11.5,25.0,11.5,25.0,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.47628333333333334,9.7,23.1,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201050-203824-203835-204331,1611661321,"Plenette Pierson, Tiffany Jackson, Odyssey Sims, Jordan Hooper, Brianna Kiesel","Pierson, Jackson, Sims, Hooper, Kiesel",100888-201050-203824-203835-204331,TUL,25.0,1,,-2.0,1.0,1,2,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.19999999999999,,18.0,7.0,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201907-202640-203029-203824,1611661321,"Plenette Pierson, Courtney Paris, Karima Christmas-Kelly, Riquna Williams, Odyssey Sims","Pierson, Paris, Christmas-Kelly, Williams, Sims",100888-201907-202640-203029-203824,TUL,216.0,1,4.0,5.0,6.0,5,11,,,5.0,,,3.0,5.0,,1.0,9.0,4.0,4.0,,,,2.0,,2.0,,,4.0,2.0,3.0,5.0,,1.0,4.0,4.0,4.0,1.0,7.0,0.6666666666666666,0.6666666666666666,,,,0.6,0.5,0.6428571428571429,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.25,,73.33333333333333,0.25,12.0,28.8,10.833333333333334,23.6,,,,,0.8333333333333334,,,,,0.16666666666666666,,0.3882666666666667,9.28,25.2,,3.0,1.0,4.0,3.0,2.0,,0.5,0.5,,0.2857142857142857,0.3333333333333333,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,0.6,0.6,0.6666666666666666,0.16666666666666666,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201907-202640-203824-203835,1611661321,"Plenette Pierson, Courtney Paris, Karima Christmas-Kelly, Odyssey Sims, Jordan Hooper","Pierson, Paris, Christmas-Kelly, Sims, Hooper",100888-201907-202640-203824-203835,TUL,1469.0,2,24.0,7.0,47.0,48,95,9.0,16.0,12.0,,3.0,18.0,36.0,,3.0,46.0,39.0,6.0,,3.0,,3.0,,3.0,,,6.0,16.0,28.0,31.0,,14.0,8.0,5.0,8.0,6.0,43.0,0.16666666666666666,0.16666666666666666,,,,0.5,0.46153846153846156,0.5232558139534884,0.07692307692307693,0.6956521739130435,0.7272727272727273,0.5,0.8571428571428571,93.12457454050374,0.75,15.0,15.916666666666666,14.53191489361702,15.229166666666666,0.41025641025641024,0.5625,0.6,,0.3076923076923077,0.07692307692307693,,,,0.48717948717948717,,0.45741538461538467,7.305555555555555,23.733333333333334,8.0,10.0,8.0,10.0,12.0,6.0,3.0,0.8,0.7142857142857143,0.20512820512820512,0.14285714285714285,0.15384615384615385,1.0,1.0,5.0,8.0,3.0,5.0,,2.0,1.0,3.0,30.0,1.0,1.0,2.0,3.0,2.0,3.0,0.5,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.14285714285714285,,1.0,0.4166666666666667,0.4166666666666667,0.2,,0.06521739130434782,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.16666666666666666,0.3333333333333333,0.027777777777777776,0.0625,0.3333333333333333,0.375,1.0,0.25,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,1.0,0.7278,0.3726,0.021739130434782608,0.06382978723404255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201907-202640-203824-204331,1611661321,"Plenette Pierson, Courtney Paris, Karima Christmas-Kelly, Odyssey Sims, Brianna Kiesel","Pierson, Paris, Christmas-Kelly, Sims, Kiesel",100888-201907-202640-203824-204331,TUL,192.0,1,3.0,-1.0,5.0,5,10,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,9.0,10.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,1.0,,,,,9.0,,,1.0,1.0,1.0,1.0,1.1666666666666667,1.125,0.3333333333333333,,,,,75.0,,21.8,16.6,21.8,15.6,,,,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3670833333333334,10.05,23.6,,2.0,,2.0,2.0,,,,,,,,5.0,,1.0,1.0,,2.0,,,,,4.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,5.0,,,,,2.0,2.0,9.0,,,,,,,,,,,1.0,,,,1.0,9.0,5.0,1.0,,,1.125,,,,,,,,,,,,,,,,0.3670833333333334,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201907-203029-203824-203835,1611661321,"Plenette Pierson, Courtney Paris, Riquna Williams, Odyssey Sims, Jordan Hooper","Pierson, Paris, Williams, Sims, Hooper",100888-201907-203029-203824-203835,TUL,33.0,1,1.0,-1.0,,1,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,43.63636363636363,,,33.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-201907-203824-203835-204331,1611661321,"Plenette Pierson, Courtney Paris, Odyssey Sims, Jordan Hooper, Brianna Kiesel","Pierson, Paris, Sims, Hooper, Kiesel",100888-201907-203824-203835-204331,TUL,99.0,1,2.0,-2.0,3.0,4,7,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,101.81818181818183,,10.333333333333334,17.0,10.333333333333334,17.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-202640-203029-203037-203824,1611661321,"Plenette Pierson, Karima Christmas-Kelly, Riquna Williams, Vicki Baugh, Odyssey Sims","Pierson, Christmas-Kelly, Williams, Baugh, Sims",100888-202640-203029-203037-203824,TUL,331.0,1,6.0,13.0,12.0,11,23,2.0,3.0,2.0,,2.0,5.0,6.0,1.0,4.0,17.0,4.0,4.0,3.0,2.0,,2.0,1.0,3.0,,1.0,7.0,8.0,8.0,10.0,,2.0,4.0,4.0,4.0,4.0,17.0,0.4,0.4,1.0,0.25,0.25,0.8333333333333334,0.65,0.7083333333333334,0.4,0.7272727272727273,0.7272727272727273,1.0,0.25,100.06042296072508,1.0,13.0,15.909090909090908,11.5,14.272727272727273,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,0.2,,,,0.7,,0.50462,5.466666666666666,24.15,1.0,4.0,,3.0,5.0,3.0,,,,0.1,0.25,0.375,,,,2.0,2.0,2.0,2.0,,,,6.0,1.0,1.0,1.0,2.0,,1.0,,1.0,0.3333333333333333,0.5,,,1.0,1.0,1.0,0.5,0.2,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,0.5,,1.0,1.0,,,,0.543,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
100888-202640-203029-203037-204331,1611661321,"Plenette Pierson, Karima Christmas-Kelly, Riquna Williams, Vicki Baugh, Brianna Kiesel","Pierson, Christmas-Kelly, Williams, Baugh, Kiesel",100888-202640-203029-203037-204331,TUL,65.0,1,1.0,,2.0,2,4,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,3.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,88.61538461538463,,16.5,16.0,16.0,16.0,1.0,,,,,,,,,1.0,,0.6808,1.4,,,,1.0,,,,,1.0,,,,,,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,0.6808,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661321,2015,2015,True
