EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGA,FG3A,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,3SecondViolations,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,LostBallSteals,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,DefCorner3ReboundPct,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,Corner3Assists,BadPassTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,BlockingFoulsDrawn,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,BlockedShortMidRange,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,BlockedLongMidRange,FTDefRebounds,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,Travels,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,team_id,year,season,team_vs
100812-200665-201477-202638-202664,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Jessica Breland, Courtney Vandersloot","de Souza, Pondexter, Young, Breland, Vandersloot",100812-200665-201477-202638-202664,CHI,48.0,1,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,20.0,28.0,20.0,28.0,1.0,1.0,1.0,1.0,0.2859,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-200665-201477-202664-203399,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Courtney Vandersloot, Elena Delle Donne","de Souza, Pondexter, Young, Vandersloot, Delle Donne",100812-200665-201477-202664-203399,CHI,253.0,2,4.0,-1.0,9.0,9.0,18.0,,1.0,4.0,8.0,9.0,,,,,,3.0,3.0,8.0,2.0,4.0,,,0.5,0.3333333333333333,0.375,0.75,0.75,,102.45059288537549,15.333333333333334,12.777777777777779,13.777777777777779,12.444444444444445,0.08333333333333333,,,,0.5890833333333333,3.9375,3.0,4.0,7.0,2.0,5.0,1.0,3.0,4.0,1.0,10.0,2.0,5.0,1.0,5.0,8.0,4.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.5,0.3333333333333333,0.125,0.14285714285714285,0.5,0.5,0.75,0.625,0.6666666666666666,0.6666666666666666,1.0,0.75,0.14285714285714285,1.0,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.08333333333333333,0.25,1.0,0.4,0.9166666666666666,0.6375,0.08333333333333333,0.125,0.5555555555555556,23.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-200665-201516-202638-203399,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jessica Breland, Elena Delle Donne","de Souza, Pondexter, Quigley, Breland, Delle Donne",100812-200665-201516-202638-203399,CHI,317.0,3,5.0,2.0,9.0,8.0,17.0,,1.0,3.0,6.0,10.0,2.0,1.0,2.0,,5.0,2.0,3.0,3.0,1.0,7.0,0.3333333333333333,0.3333333333333333,0.5,0.6428571428571429,0.7142857142857143,0.5,0.6,,77.22397476340694,16.555555555555557,21.0,14.88888888888889,20.375,0.14285714285714285,,,,0.524,5.833333333333333,1.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,4.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.5,0.14285714285714285,0.16666666666666666,0.25,,,,,,,,,,,0.5714285714285714,0.5,0.6666666666666666,,0.14285714285714285,1.0,1.0,0.7142857142857143,,0.14285714285714285,0.16666666666666666,0.3,23.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-200665-201516-202664-203399,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Courtney Vandersloot, Elena Delle Donne","de Souza, Pondexter, Quigley, Vandersloot, Delle Donne",100812-200665-201516-202664-203399,CHI,628.0,3,10.0,15.0,21.0,21.0,42.0,4.0,5.0,11.0,14.0,34.0,16.0,8.0,9.0,3.0,19.0,6.0,9.0,10.0,6.0,34.0,0.7272727272727273,0.7272727272727273,0.7857142857142857,0.7352941176470589,0.8095238095238095,0.6666666666666666,0.75,,96.30573248407643,14.857142857142858,15.047619047619047,14.619047619047619,14.619047619047619,0.29411764705882354,0.8,0.8,0.75,0.48963529411764706,9.307142857142859,1.0,5.0,7.0,,,1.0,2.0,3.0,9.0,19.0,,,,,6.0,,2.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,3.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,0.17647058823529413,,,,,0.5,0.2,,,1.0,1.0,,1.0,0.4117647058823529,0.7142857142857143,0.7142857142857143,0.058823529411764705,0.11764705882352941,,,0.5882352941176471,,0.2,0.23529411764705882,,23.5,7.0,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,,7.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.8,0.11764705882352941,1.0,1.0,0.5,0.5,1.0,0.5,0.3333333333333333,2.0,4.0,3.0,5.0,5.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,1.0,0.6,0.6,0.7857142857142857,0.5,0.8,0.5,0.55924,0.3235294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-200665-201516-203399-203857,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Elena Delle Donne, Jamierra Faulkner","de Souza, Pondexter, Quigley, Delle Donne, Faulkner",100812-200665-201516-203399-203857,CHI,88.0,1,1.0,6.0,3.0,3.0,6.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,,2.0,3.0,,4.0,0.3333333333333333,0.5,0.75,0.75,0.75,,1.0,,98.18181818181819,12.0,17.333333333333332,11.333333333333334,17.333333333333332,0.25,1.0,1.0,1.0,0.603725,5.425,1.0,2.0,3.0,1.0,1.0,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,0.75,0.6666666666666666,0.6666666666666666,,,1.0,1.0,0.75,0.52,,,0.3333333333333333,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-200665-202638-202664-203399,1611661329,"Erika de Souza, Cappie Pondexter, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","de Souza, Pondexter, Breland, Vandersloot, Delle Donne",100812-200665-202638-202664-203399,CHI,892.0,2,15.0,1.0,25.0,26.0,51.0,4.0,7.0,11.0,18.0,34.0,10.0,5.0,8.0,1.0,19.0,8.0,9.0,13.0,4.0,32.0,0.45454545454545453,0.5,0.6111111111111112,0.5740740740740741,0.5892857142857143,0.7272727272727273,0.6923076923076923,1.0,82.33183856502242,17.92,17.076923076923077,16.64,16.73076923076923,0.25925925925925924,0.5714285714285714,0.5714285714285714,0.25,0.4924851851851852,8.305555555555555,3.0,6.0,10.0,1.0,2.0,2.0,7.0,9.0,3.0,33.0,1.0,3.0,,2.0,12.0,2.0,7.0,1.0,1.0,3.0,4.0,,,,1.0,,,,1.0,2.0,5.0,3.0,,1.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.25,0.25,0.3333333333333333,0.05555555555555555,0.1,1.0,0.42857142857142855,0.16666666666666666,0.3076923076923077,0.5,0.2,,0.5,,0.5,0.37037037037037035,0.6,0.6666666666666666,0.07407407407407407,0.25925925925925924,0.5,0.5,0.7037037037037037,0.45826666666666666,0.03571428571428571,0.05263157894736842,0.058823529411764705,24.555555555555557,1.0,2.0,1.0,1.0,2.0,3.0,9.0,2.0,3.0,2.0,4.0,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.6666666666666666,0.037037037037037035,1.0,1.0,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,0.04,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,2.0,,1.0,1.0,1.0,,1.0,1.0,0.5276,0.058823529411764705,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-201477-201516-202638-203399,1611661329,"Erika de Souza, Tamera Young, Allie Quigley, Jessica Breland, Elena Delle Donne","de Souza, Young, Quigley, Breland, Delle Donne",100812-201477-201516-202638-203399,CHI,36.0,1,1.0,-3.0,1.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,120.0,10.0,13.0,10.0,13.0,,,,,0.5345,3.0,,,1.0,,,,,,,3.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-201477-201516-202664-203399,1611661329,"Erika de Souza, Tamera Young, Allie Quigley, Courtney Vandersloot, Elena Delle Donne","de Souza, Young, Quigley, Vandersloot, Delle Donne",100812-201477-201516-202664-203399,CHI,122.0,1,2.0,-1.0,4.0,4.0,8.0,,1.0,2.0,3.0,4.0,4.0,2.0,2.0,,4.0,2.0,2.0,2.0,,4.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,94.42622950819673,18.75,11.75,18.75,11.75,0.25,,,,0.45275,10.700000000000001,,1.0,1.0,,,,1.0,1.0,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,0.25,1.0,1.0,,0.25,,,0.5,,,,,24.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,0.25,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-201477-202638-202664-203399,1611661329,"Erika de Souza, Tamera Young, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","de Souza, Young, Breland, Vandersloot, Delle Donne",100812-201477-202638-202664-203399,CHI,1016.0,3,17.0,-5.0,32.0,30.0,62.0,1.0,4.0,9.0,20.0,25.0,6.0,3.0,4.0,1.0,9.0,8.0,9.0,19.0,6.0,23.0,0.3333333333333333,0.3333333333333333,0.45,0.328125,0.36764705882352944,0.5333333333333333,0.5625,0.3333333333333333,87.8740157480315,15.96875,16.833333333333332,13.125,15.966666666666667,0.125,0.25,0.25,1.0,0.5449625,6.1049999999999995,8.0,8.0,11.0,1.0,3.0,2.0,10.0,12.0,4.0,30.0,1.0,5.0,,2.0,12.0,,10.0,4.0,6.0,4.0,10.0,1.0,7.0,5.0,4.0,,4.0,,8.0,3.0,8.0,4.0,,2.0,3.0,3.0,3.0,2.0,0.2,0.125,0.125,0.375,0.2,0.09090909090909091,0.5,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.3333333333333333,0.6,,0.7142857142857143,0.05555555555555555,0.6666666666666666,0.34375,0.7272727272727273,0.8,0.0625,0.3125,0.375,0.3333333333333333,0.71875,0.44603333333333334,0.058823529411764705,0.09090909090909091,0.08,23.400000000000002,1.0,,,5.0,,1.0,3.0,,1.0,,2.0,1.0,,1.0,1.0,0.08333333333333333,0.08333333333333333,1.0,0.4,1.0,0.25,0.15625,,,,,,,0.03125,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,1.0,2.0,3.0,1.0,4.0,,,0.3333333333333333,0.5,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
100812-201516-202638-202664-203399,1611661329,"Erika de Souza, Allie Quigley, Jessica Breland, Courtney Vandersloot, Elena Delle Donne","de Souza, Quigley, Breland, Vandersloot, Delle Donne",100812-201516-202638-202664-203399,CHI,670.0,3,11.0,4.0,19.0,19.0,38.0,2.0,7.0,5.0,12.0,24.0,4.0,2.0,5.0,,13.0,6.0,6.0,8.0,6.0,22.0,0.4,0.4,0.4166666666666667,0.5588235294117647,0.6,0.8571428571428571,0.6666666666666666,1.0,81.67164179104478,16.63157894736842,18.63157894736842,15.31578947368421,16.263157894736842,0.4117647058823529,0.2857142857142857,0.2857142857142857,,0.46087647058823533,11.641666666666666,2.0,3.0,4.0,1.0,2.0,2.0,3.0,5.0,5.0,20.0,1.0,2.0,,2.0,6.0,,3.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,1.0,,2.0,6.0,,3.0,1.0,,1.0,,0.5,0.5,0.5,0.29411764705882354,0.08333333333333333,0.25,1.0,0.14285714285714285,0.5,0.2222222222222222,,0.5,,1.0,,,0.23529411764705882,0.75,1.0,0.11764705882352941,0.17647058823529413,1.0,0.5,0.5294117647058824,0.6391,0.15,0.2,0.08333333333333333,23.580000000000002,,2.0,,1.0,1.0,3.0,9.0,1.0,3.0,1.0,2.0,,,,1.0,0.6,0.6,,0.75,,0.6666666666666666,0.058823529411764705,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
200665-201477-202664-203399-204309,1611661329,"Cappie Pondexter, Tamera Young, Courtney Vandersloot, Elena Delle Donne, Clarissa Dos Santos","Pondexter, Young, Vandersloot, Delle Donne, Dos Santos",200665-201477-202664-203399-204309,CHI,108.0,1,2.0,-2.0,3.0,4.0,7.0,,,1.0,4.0,2.0,,,,,,2.0,2.0,3.0,1.0,2.0,,,0.25,0.25,0.25,1.0,1.0,1.0,93.33333333333333,21.333333333333332,11.0,21.0,7.5,,,,,0.60095,2.475,1.0,1.0,3.0,,1.0,,,,,4.0,,1.0,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.3333333333333333,,0.3333333333333333,0.5,,,,,,0.75,0.3333333333333333,0.3333333333333333,,,1.0,,0.75,0.7167,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2015,2015,True
