EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,HeaveAttempts,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,FtPoints,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGM,PtsUnassisted2s,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,NonHeaveArc3FGA,ShortMidRangeFGA,ShootingFouls,ShortMidRangeFrequency,Corner3FGA,LongMidRangeAssists,DefThreePtRebounds,DeadBallTurnovers,Travels,BlockedShortMidRange,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceFG3M,Corner3Assists,FTDefRebounds,Loose Ball Fouls,SecondChanceFg3Pct,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,Charge Fouls,SecondChanceArc3Accuracy,BlockedLongMidRange,BlockingFoulsDrawn,PenaltyCorner3FGA,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3PctAssisted,3SecondViolations,Blocked3s,BlockedArc3,team_id,year,season,team_vs
100723-100915-100944-200671-202632,1611661324,"Asjha Jones, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Maya Moore","Jones, Whalen, Brunson, Augustus, Moore",100723-100915-100944-200671-202632,MIN,61.0,1,1.0,-2.0,2.0,1.0,3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,70.81967213114754,20.5,20.0,20.5,20.0,1.0,0.3847,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-100915-100944-200671-203813,1611661324,"Asjha Jones, Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Anna Cruz","Jones, Whalen, Brunson, Augustus, Cruz",100723-100915-100944-200671-203813,MIN,48.0,1,1.0,2.0,1.0,2.0,3,,1.0,,,,,,,90.0,17.0,15.5,17.0,9.0,,0.4037,3.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.4037,1.0,43.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-100915-100944-202632-203016,1611661324,"Asjha Jones, Lindsay Whalen, Rebekkah Brunson, Maya Moore, Devereaux Peters","Jones, Whalen, Brunson, Moore, Peters",100723-100915-100944-202632-203016,MIN,25.0,1,,1.0,1.0,,1,,1.0,,,,,1.0,,57.599999999999994,18.0,,15.0,,,0.3681,3.3,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.25,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-100915-200671-202632-203016,1611661324,"Asjha Jones, Lindsay Whalen, Seimone Augustus, Maya Moore, Devereaux Peters","Jones, Whalen, Augustus, Moore, Peters",100723-100915-200671-202632-203016,MIN,44.0,1,1.0,2.0,2.0,1.0,3,2.0,2.0,,,,,,,98.18181818181819,15.0,14.0,15.0,14.0,1.0,0.3812,15.8,2.0,1.0,,,,,,,1.0,,2.0,1.0,2.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,,,,,,,,,,0.3812,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-100915-200671-203016-203813,1611661324,"Asjha Jones, Lindsay Whalen, Seimone Augustus, Devereaux Peters, Anna Cruz","Jones, Whalen, Augustus, Peters, Cruz",100723-100915-200671-203016-203813,MIN,3.0,1,,,1.0,,1,,,,,,,,,480.0,3.0,,3.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,38.8,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-100915-201480-202632-203016,1611661324,"Asjha Jones, Lindsay Whalen, Sylvia Fowles, Maya Moore, Devereaux Peters","Jones, Whalen, Fowles, Moore, Peters",100723-100915-201480-202632-203016,MIN,48.0,1,1.0,-4.0,1.0,2.0,3,,1.0,4.0,,,,1.0,,90.0,22.0,13.0,22.0,13.0,,0.3541,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-100915-201480-202632-203813,1611661324,"Asjha Jones, Lindsay Whalen, Sylvia Fowles, Maya Moore, Anna Cruz","Jones, Whalen, Fowles, Moore, Cruz",100723-100915-201480-202632-203813,MIN,39.0,1,1.0,-2.0,1.0,1.0,2,1.0,1.0,2.0,,,,,,73.84615384615384,17.0,22.0,17.0,15.0,1.0,0.3522,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-200671-201480-201904-203813,1611661324,"Asjha Jones, Seimone Augustus, Sylvia Fowles, Renee Montgomery, Anna Cruz","Jones, Augustus, Fowles, Montgomery, Cruz",100723-200671-201480-201904-203813,MIN,187.0,1,3.0,-4.0,6.0,6.0,12,2.0,3.0,10.0,,,1.0,1.0,,92.40641711229947,15.833333333333334,15.333333333333334,15.833333333333334,14.166666666666666,0.5,0.3960625,16.566666666666666,1.0,6.0,,,,,,,2.0,1.0,6.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,6.0,2.0,1.0,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,0.6,1.0,0.25,0.5,0.6666666666666666,,1.0,,,,,,,,,0.25,0.2523,0.3333333333333333,24.7,0.16666666666666666,,2.0,,,,,2.0,2.0,1.0,,,,,0.2,0.25,,2.0,2.0,1.0,1.0,,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100723-201904-203016-203834-204352,1611661324,"Asjha Jones, Renee Montgomery, Devereaux Peters, Tricia Liston, Shae Kelley","Jones, Montgomery, Peters, Liston, Kelley",100723-201904-203016-203834-204352,MIN,6.0,1,,,,1.0,1,,,,,,,,,240.0,,6.0,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
100915-100944-200671-201480-202632,1611661324,"Lindsay Whalen, Rebekkah Brunson, Seimone Augustus, Sylvia Fowles, Maya Moore","Whalen, Brunson, Augustus, Fowles, Moore",100915-100944-200671-201480-202632,MIN,6801.0,10,113.0,-12.0,203.0,207.0,410,69.0,178.0,208.0,19.0,7.0,31.0,37.0,0.6129032258064516,86.81076312307015,17.16256157635468,16.02415458937198,15.694581280788178,14.8743961352657,0.34328358208955223,0.4605997512437811,9.319662921348316,16.0,20.0,39.0,66.0,1.0,2.0,21.0,2.0,73.0,23.0,196.0,2.0,9.0,2.0,21.0,78.0,,39.0,45.0,22.0,96.0,59.0,73.0,118.0,8.0,5.0,8.0,3.0,159.0,14.0,12.0,0.5342465753424658,0.6,0.4101123595505618,0.2222222222222222,0.4154228855721393,0.3181818181818182,0.4470046082949309,0.5526315789473685,0.11442786069651742,0.7108433734939759,0.6952380952380952,0.6666666666666666,0.375,0.3283582089552239,0.5909090909090909,0.65,0.5641025641025641,0.1044776119402985,0.18181818181818182,0.5,0.18181818181818182,0.4427860696517413,0.3302,0.10714285714285714,23.62608695652174,0.07881773399014778,36.0,29.0,3.0,37.0,39.0,45.0,43.0,35.0,8.0,0.47435897435897434,0.375,0.36134453781512604,0.2962962962962963,0.038461538461538464,0.043243243243243246,0.18877551020408162,20.0,68.0,0.2898550724637681,0.30303030303030304,21.0,43.0,14.0,0.21393034825870647,2.0,9.0,14.0,12.0,2.0,3.0,0.6363636363636364,0.6470588235294118,0.6111111111111112,0.45,0.009950248756218905,11.0,21.0,14.0,7.0,1.0,1.0,7.0,17.0,36.0,1.0,1.0,14.0,18.0,3.0,16.0,7.0,11.0,6.0,6.0,8.0,4.0,2.0,3.0,23.0,17.0,6.0,2.0,12.0,4.0,4.0,2.0,1.0,3.0,1.0,6.0,4.0,1.0,2.0,9.0,1.0,3.0,0.8571428571428571,0.30434782608695654,0.5,0.30434782608695654,0.4722222222222222,0.4594594594594595,0.06179775280898876,0.09090909090909091,0.046511627906976744,0.043478260869565216,0.5,0.26666666666666666,0.27586206896551724,0.4791666666666667,0.23076923076923078,0.5,0.7619047619047619,0.75,0.027777777777777776,0.32558139534883723,0.34146341463414637,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.5675675675675675,0.5238095238095238,0.2727272727272727,0.02702702702702703,0.5,0.3333333333333333,0.5241414285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2015,2015,False
