EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,FTDefRebounds,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,DefFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,BlockedLongMidRange,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Corner3PctBlocked,team_id,year,season,team_vs
100812-101023-101033-201492-201881,1611661330,"Erika de Souza, Sancho Lyttle, Roneeka Hodges, Matee Ajavon, Angel McCoughtry","de Souza, Lyttle, Hodges, Ajavon, McCoughtry",100812-101023-101033-201492-201881,ATL,3584.0,7,60.0,-12.0,120.0,117.0,9.0,9.0,13.0,237.0,18.0,29.0,4.0,6.0,1.0,2.0,4.0,12.0,9.0,36.0,3.0,6.0,6.0,15.0,1.0,31.0,77.0,9.0,21.0,16.0,105.0,117.0,5.0,9.0,5.0,15.0,1.0,4.0,1.0,2.0,4.0,28.0,34.0,24.0,3.0,6.0,15.0,6.0,7.0,14.0,8.0,22.0,5.0,3.0,9.0,1.0,4.0,52.0,2.0,12.0,2.0,7.0,30.0,37.0,16.0,53.0,1.0,12.0,6.0,6.0,19.0,1.0,9.0,10.0,2.0,10.0,1.0,29.0,3.0,2.0,10.0,1.0,21.0,2.0,1.0,2.0,26.0,1.0,5.0,22.0,4.0,13.0,8.0,5.0,3.0,8.0,1.0,1.0,90.0,4.0,9.0,1.0,0.45161290322580644,0.5,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.4025974025974026,0.5555555555555556,0.25,0.45408163265306123,0.5555555555555556,0.2,0.49065420560747663,0.625,0.2857142857142857,0.21428571428571427,0.09090909090909091,0.06896551724137931,0.25,0.05555555555555555,0.6551724137931034,0.5,0.5555555555555556,0.2608695652173913,1.0,0.16666666666666666,0.6065573770491803,0.2413793103448276,0.18181818181818182,0.25,0.2962962962962963,0.2222222222222222,0.3,0.5333333333333333,0.6551724137931034,1.0,1.0,0.0196078431372549,95.22321428571428,0.125,14.675,15.581196581196581,14.15,14.23076923076923,0.29591836734693877,0.6206896551724138,0.6666666666666666,0.5,0.12244897959183673,0.3333333333333333,0.4444444444444444,0.25,0.3673469387755102,0.25,0.2647058823529412,0.4444444444444444,0.061224489795918366,0.5,0.5,1.0,0.15306122448979592,0.4,0.4,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.4,0.5,0.2,0.5102040816326531,0.4,0.4890040816326531,0.578475,0.46835000000000004,0.12149532710280374,0.1511627906976744,0.14285714285714285,0.0380952380952381,10.181818181818182,23.39047619047619,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101023-201492-201881-203026,1611661330,"Erika de Souza, Sancho Lyttle, Matee Ajavon, Angel McCoughtry, Tiffany Hayes","de Souza, Lyttle, Ajavon, McCoughtry, Hayes",100812-101023-201492-201881-203026,ATL,3882.0,5,65.0,-19.0,119.0,118.0,22.0,17.0,10.0,237.0,15.0,27.0,2.0,3.0,4.0,5.0,3.0,10.0,7.0,20.0,1.0,5.0,8.0,25.0,6.0,25.0,57.0,9.0,30.0,19.0,96.0,115.0,2.0,4.0,1.0,11.0,6.0,9.0,7.0,6.0,24.0,36.0,14.0,27.0,,2.0,25.0,8.0,4.0,18.0,9.0,27.0,8.0,1.0,12.0,2.0,4.0,63.0,2.0,8.0,,8.0,33.0,44.0,10.0,54.0,1.0,14.0,11.0,3.0,24.0,5.0,10.0,10.0,,14.0,2.0,34.0,3.0,5.0,18.0,2.0,37.0,2.0,2.0,,28.0,,3.0,26.0,2.0,10.0,9.0,6.0,3.0,9.0,5.0,,85.0,24.0,22.0,1.0,0.72,0.75,1.0,0.3,0.3,0.43859649122807015,0.5,0.6666666666666666,0.4425287356321839,0.7142857142857143,0.5625,0.4797979797979798,0.6875,0.631578947368421,0.3448275862068966,0.07017543859649122,0.14814814814814814,,,0.7058823529411765,,0.5238095238095238,0.25,0.6153846153846154,0.09523809523809523,0.5394736842105263,0.18867924528301888,0.25,0.2857142857142857,0.23076923076923078,0.11764705882352941,0.42857142857142855,0.5238095238095238,0.6190476190476191,0.8,,0.02040816326530612,87.91344667697064,0.5555555555555556,16.025210084033613,16.73728813559322,15.201680672268907,14.983050847457626,0.3103448275862069,0.5555555555555556,0.6521739130434783,0.8,0.11494252873563218,0.3,0.3,0.6666666666666666,0.22988505747126436,0.35,0.35,0.5714285714285714,0.05747126436781609,0.2,0.2,1.0,0.28735632183908044,0.32,0.32,1.0,0.42857142857142855,0.6666666666666666,0.3125,0.8,0.375,0.6551724137931034,0.32,0.4769442528735632,0.5294428571428572,0.49073125,0.10526315789473684,0.15384615384615385,0.11458333333333333,0.25,8.603508771929825,23.61,0.18487394957983194,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,0.6666666666666666,0.2857142857142857,0.6,0.5,0.14285714285714285,1.0,1.0,0.2857142857142857,0.5,1.0,0.0625,0.3333333333333333,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101033-201881-203026-203830,1611661330,"Erika de Souza, Roneeka Hodges, Angel McCoughtry, Tiffany Hayes, Shoni Schimmel","de Souza, Hodges, McCoughtry, Hayes, Schimmel",100812-101033-201881-203026-203830,ATL,50.0,1,1.0,,1.0,2.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,0.5,,0.5,,,,,,,,,0.5,,,86.39999999999999,,14.0,18.0,14.0,17.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.4063,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101023-101033-204332-204365,1611661330,"Erika de Souza, Sancho Lyttle, Roneeka Hodges, Cierra Burdick, Erica Wheeler","de Souza, Lyttle, Hodges, Burdick, Wheeler",100812-101023-101033-204332-204365,ATL,219.0,2,4.0,12.0,7.0,5.0,1.0,,3.0,12.0,3.0,4.0,1.0,2.0,1.0,1.0,,3.0,2.0,2.0,,,,,,5.0,9.0,,,2.0,12.0,,2.0,3.0,2.0,6.0,1.0,1.0,,,2.0,6.0,4.0,,,2.0,,,,3.0,,3.0,,,2.0,,1.0,6.0,,3.0,,1.0,,1.0,3.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,5.0,1.0,,2.0,,1.0,,,,,,,6.0,2.0,1.0,,0.6,0.75,,,,0.5555555555555556,0.6666666666666666,1.0,0.5555555555555556,0.6666666666666666,1.0,0.6,0.75,1.0,,,,,,,,,0.75,0.5,,0.5,0.75,1.0,0.6666666666666666,,,,,,0.5,,,78.9041095890411,,15.714285714285714,21.8,13.857142857142858,21.8,0.4444444444444444,0.75,0.75,0.6666666666666666,0.3333333333333333,,,,0.2222222222222222,1.0,1.0,0.5,,,,,,,,,0.6666666666666666,0.5,1.0,1.0,,0.4444444444444444,,0.4969111111111111,0.5689333333333334,0.6681,0.1,0.1,0.5,0.16666666666666666,7.977777777777778,,0.14285714285714285,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101023-201881-203026-203830,1611661330,"Erika de Souza, Sancho Lyttle, Angel McCoughtry, Tiffany Hayes, Shoni Schimmel","de Souza, Lyttle, McCoughtry, Hayes, Schimmel",100812-101023-201881-203026-203830,ATL,2176.0,4,36.0,-5.0,70.0,68.0,19.0,26.0,5.0,138.0,8.0,11.0,1.0,3.0,3.0,4.0,4.0,12.0,4.0,15.0,2.0,4.0,5.0,16.0,3.0,16.0,38.0,7.0,20.0,9.0,62.0,67.0,2.0,4.0,,4.0,7.0,14.0,3.0,2.0,16.0,16.0,16.0,15.0,6.0,2.0,16.0,5.0,3.0,8.0,5.0,13.0,3.0,2.0,5.0,,3.0,31.0,1.0,5.0,,6.0,17.0,23.0,6.0,29.0,1.0,10.0,8.0,2.0,4.0,1.0,3.0,8.0,1.0,1.0,,12.0,1.0,2.0,6.0,1.0,26.0,,4.0,4.0,16.0,1.0,,15.0,1.0,5.0,2.0,1.0,,2.0,1.0,,58.0,16.0,19.0,2.0,0.5,0.5333333333333333,0.7142857142857143,0.35,0.35,0.42105263157894735,0.5,0.5,0.45689655172413796,0.4,0.4117647058823529,0.484375,0.4,0.42105263157894735,0.3448275862068966,0.07894736842105263,0.18181818181818182,,0.06666666666666667,0.3333333333333333,,0.5862068965517241,0.23809523809523808,0.6666666666666666,0.08333333333333333,0.6052631578947368,0.18181818181818182,,0.14285714285714285,0.36363636363636365,0.1,0.5,0.5714285714285714,0.6666666666666666,0.6666666666666666,,0.03333333333333333,91.32352941176471,0.5,16.67142857142857,14.838235294117647,16.114285714285714,13.441176470588236,0.1896551724137931,0.7272727272727273,0.8888888888888888,0.625,0.20689655172413793,0.3333333333333333,0.3333333333333333,,0.25862068965517243,0.26666666666666666,0.2857142857142857,0.75,0.06896551724137931,0.5,0.5,1.0,0.27586206896551724,0.3125,0.3125,0.6,0.6,0.3333333333333333,0.23529411764705882,0.75,0.17647058823529413,0.5344827586206896,0.3125,0.4570913793103448,0.5569,0.42552352941176474,0.08064516129032258,0.11904761904761904,0.06451612903225806,0.25806451612903225,10.049999999999999,23.575,0.2714285714285714,,,,,1.0,,,1.0,,,,,2.0,2.0,2.0,,,,,,,,0.2,,,,,1.0,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101033-201492-203026-203814,1611661330,"Erika de Souza, Roneeka Hodges, Matee Ajavon, Tiffany Hayes, Nadia Colhado","de Souza, Hodges, Ajavon, Hayes, Colhado",100812-101033-201492-203026-203814,ATL,20.0,1,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,72.0,,,5.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6228,,,,,,,2.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101033-201881-202623-203830,1611661330,"Erika de Souza, Roneeka Hodges, Angel McCoughtry, Aneika Morello, Shoni Schimmel","de Souza, Hodges, McCoughtry, Morello, Schimmel",100812-101033-201881-202623-203830,ATL,662.0,4,11.0,-13.0,23.0,23.0,6.0,5.0,3.0,46.0,3.0,5.0,1.0,1.0,2.0,3.0,,3.0,3.0,7.0,,,1.0,3.0,,6.0,15.0,1.0,3.0,2.0,17.0,30.0,1.0,3.0,,2.0,3.0,5.0,,,6.0,8.0,4.0,3.0,,,3.0,1.0,3.0,4.0,1.0,5.0,1.0,,1.0,,3.0,11.0,,2.0,,1.0,3.0,4.0,2.0,6.0,1.0,1.0,,1.0,2.0,3.0,1.0,4.0,,1.0,1.0,6.0,,2.0,3.0,,4.0,,,,4.0,,1.0,2.0,,1.0,,,,,,,15.0,6.0,6.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.6,0.4166666666666667,0.3333333333333333,0.6,0.4473684210526316,0.3333333333333333,0.6,0.16666666666666666,0.2,0.4,0.3333333333333333,,0.3333333333333333,,0.75,0.2222222222222222,0.2,,0.4444444444444444,0.18181818181818182,0.5,0.3333333333333333,,,1.0,1.0,0.5,,0.5,0.125,100.06042296072508,,16.608695652173914,12.173913043478262,15.652173913043478,11.173913043478262,0.2777777777777778,0.6,1.0,0.3333333333333333,0.16666666666666666,,,,0.3888888888888889,0.42857142857142855,0.42857142857142855,1.0,,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6,0.6666666666666666,,0.4444444444444444,0.3333333333333333,0.45869722222222226,0.5173666666666666,0.50942,0.05263157894736842,0.0625,0.11764705882352941,0.35294117647058826,10.28,22.96666666666667,0.2608695652173913,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101033-201881-203830-204365,1611661330,"Erika de Souza, Roneeka Hodges, Angel McCoughtry, Shoni Schimmel, Erica Wheeler","de Souza, Hodges, McCoughtry, Schimmel, Wheeler",100812-101033-201881-203830-204365,ATL,265.0,2,4.0,-3.0,8.0,9.0,,,,17.0,1.0,1.0,,,,,3.0,3.0,,,,,,1.0,,4.0,4.0,,1.0,,8.0,11.0,,,,,,,,,,6.0,2.0,,,,1.0,,,3.0,,3.0,,,1.0,2.0,,6.0,,,,2.0,1.0,3.0,,3.0,,1.0,,1.0,3.0,,3.0,,,,,3.0,,,2.0,,3.0,,,,,,,,,,,,,,,,8.0,,,,0.75,0.75,,,,1.0,,,0.8,,,0.8,,,0.2,,,,,1.0,,1.0,,0.6666666666666666,,0.75,,,,,,,1.0,,0.6666666666666666,,,92.37735849056604,,16.25,15.0,16.25,14.555555555555555,0.2,1.0,1.0,1.0,0.6,1.0,1.0,0.6666666666666666,,,,,,,,,0.2,,,,,,,,,0.4,,0.41380999999999996,,,,,,,5.45,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-101033-202623-203026-203039,1611661330,"Erika de Souza, Roneeka Hodges, Aneika Morello, Tiffany Hayes, Sydney Carter","de Souza, Hodges, Morello, Hayes, Carter",100812-101033-202623-203026-203039,ATL,130.0,1,2.0,1.0,5.0,4.0,5.0,,,9.0,1.0,2.0,,,1.0,2.0,,,,1.0,,,,,,1.0,3.0,,,1.0,3.0,2.0,,,,,1.0,3.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,2.0,1.0,,,1.0,,,2.0,,,,,,,,,3.0,3.0,5.0,,,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.375,,0.375,,,,,,,,,,,,,,,,,,,,,,,,99.6923076923077,,10.0,20.0,10.0,20.0,0.6666666666666666,0.5,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,0.5,,0.6666666666666666,,0.5449666666666667,,0.5449666666666667,,,,1.0,6.5,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
100812-201881-202623-203026-203039,1611661330,"Erika de Souza, Angel McCoughtry, Aneika Morello, Tiffany Hayes, Sydney Carter","de Souza, McCoughtry, Morello, Hayes, Carter",100812-201881-202623-203026-203039,ATL,89.0,2,1.0,,2.0,3.0,,2.0,1.0,5.0,1.0,2.0,1.0,1.0,,,,,,2.0,,,,,,1.0,4.0,,,1.0,3.0,3.0,1.0,2.0,,2.0,,,,,,,2.0,,,2.0,,,1.0,,,,,,,,,,,2.0,1.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,3.0,1.0,,2.0,,1.0,,,,,,,1.0,,,1.0,,,,,,0.25,0.5,,0.25,0.5,,0.3,0.5,,,0.25,,,0.5,,1.0,,0.6666666666666666,,,,0.6666666666666666,,,1.0,,,,,,,,80.89887640449437,,30.5,9.333333333333334,25.0,9.333333333333334,0.5,0.5,0.5,,,,,,0.5,,,,,,,,,,,,0.5,1.0,,,,0.5,,0.475625,0.5986,,0.2,0.2,0.6666666666666666,,8.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2015,2015,True
