EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,Fg2aBlocked,FTDefRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SelfOReb,BadPassSteals,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,AtRimPctBlocked,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,LongMidRangePctBlocked,3SecondViolations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,team_id,year,season,team_vs
1627674-1628922-1628931-203828-204323,1611661329,"Kahleah Copper, Azurá Stevens, Gabby Williams, Stefanie Dolson, Cheyenne Parker","Copper, Stevens, Williams, Dolson, Parker",1627674-1628922-1628931-203828-204323,CHI,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1440.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628931-202664-203828-204323,1611661329,"Kahleah Copper, Gabby Williams, Courtney Vandersloot, Stefanie Dolson, Cheyenne Parker","Copper, Williams, Vandersloot, Dolson, Parker",1627674-1628931-202664-203828-204323,CHI,861.0,3,27,10.0,5.0,55,4.0,3.0,9.0,2.0,2.0,10.0,0.4444444444444444,91.98606271777004,15.666666666666666,0.37037037037037035,14.0,-14.0,28.0,8.0,3.0,4.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0,2.0,2.0,6.0,2.0,5.0,15.0,3.0,8.0,2.0,21.0,35.0,1.0,3.0,1.0,3.0,1.0,8.0,2.0,1.0,3.0,8.0,2.0,9.0,2.0,1.0,5.0,2.0,4.0,3.0,7.0,2.0,1.0,2.0,1.0,1.0,17.0,1.0,5.0,6.0,3.0,9.0,6.0,15.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,8.0,2.0,4.0,5.0,1.0,2.0,18.0,3.0,1.0,0.8,1.0,1.0,0.375,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.125,0.41304347826086957,0.3333333333333333,0.1,0.42,0.375,0.13636363636363635,0.34782608695652173,0.5,0.5,0.75,0.25,0.6428571428571429,0.42857142857142855,1.0,0.5714285714285714,1.0,0.5,0.6666666666666666,0.8,0.6666666666666666,15.642857142857142,15.185185185185185,14.321428571428571,0.17391304347826086,0.75,0.75,0.6666666666666666,0.34782608695652173,0.125,0.125,1.0,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.08695652173913043,0.5,0.5,1.0,0.2608695652173913,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.2,0.5217391304347826,0.4,0.43885454545454544,0.4806333333333333,0.3949944444444444,0.08,0.11764705882352941,0.14285714285714285,0.14285714285714285,8.74,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628890-1628922-1630113-202664,1611661329,"Kahleah Copper, Diamond DeShields, Azurá Stevens, Ruthy Hebard, Courtney Vandersloot","Copper, DeShields, Stevens, Hebard, Vandersloot",1627674-1628890-1628922-1630113-202664,CHI,283.0,4,9,5.0,1.0,16,,,,,,5.0,,81.41342756183745,16.333333333333332,0.5555555555555556,5.0,-3.0,7.0,4.0,,,,,1.0,2.0,,2.0,,,1.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,8.0,11.0,,,,,,1.0,3.0,1.0,4.0,2.0,,3.0,,,4.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,5.0,1.0,,1.0,1.0,3.0,1.0,4.0,,,,,,,,2.0,,4.0,4.0,,1.0,8.0,4.0,,1.0,1.0,1.0,0.25,0.25,0.25,,,0.3125,,0.375,0.4,,0.4,0.5,0.3333333333333333,,1.0,0.3333333333333333,0.5,0.16666666666666666,,,,1.0,,,1.0,19.428571428571427,13.0,19.285714285714285,,,,,0.25,0.5,1.0,1.0,0.25,,,,,,,,0.5,0.25,0.25,1.0,,,0.75,0.5,0.25,0.45136875,0.471,0.474225,0.1111111111111111,0.2,,0.5,13.025,24.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628922-201516-202664-204323,1611661329,"Kahleah Copper, Azurá Stevens, Allie Quigley, Courtney Vandersloot, Cheyenne Parker","Copper, Stevens, Quigley, Vandersloot, Parker",1627674-1628922-201516-202664-204323,CHI,6245.0,10,201,11.0,24.0,404,23.0,14.0,44.0,5.0,2.0,11.0,0.5227272727272727,93.15612489991994,15.781094527363184,0.05472636815920398,104.0,-39.0,203.0,11.0,30.0,42.0,6.0,9.0,16.0,51.0,9.0,27.0,3.0,6.0,19.0,45.0,1.0,55.0,120.0,22.0,51.0,28.0,204.0,243.0,8.0,15.0,1.0,20.0,5.0,8.0,1.0,3.0,13.0,62.0,48.0,57.0,6.0,,45.0,19.0,31.0,19.0,50.0,17.0,2.0,19.0,8.0,4.0,119.0,5.0,21.0,22.0,34.0,57.0,26.0,83.0,25.0,16.0,7.0,21.0,5.0,9.0,14.0,39.0,2.0,45.0,40.0,2.0,20.0,184.0,13.0,1.0,0.5636363636363636,0.5961538461538461,0.8636363636363636,0.43137254901960786,0.43137254901960786,0.4583333333333333,0.5333333333333333,0.625,0.5146198830409356,0.475,0.5555555555555556,0.5372340425531915,0.47619047619047616,0.5416666666666666,0.2982456140350877,0.6938775510204082,0.3230769230769231,0.6285714285714286,0.17857142857142858,0.6666666666666666,0.27956989247311825,0.3333333333333333,0.2857142857142857,,0.75,0.6296296296296297,0.6060606060606061,1.0,15.137931034482758,15.08457711442786,14.463054187192117,0.24561403508771928,0.7142857142857143,0.7692307692307693,0.6333333333333333,0.2982456140350877,0.3137254901960784,0.37209302325581395,0.5,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.03508771929824561,0.5,0.5,0.6666666666666666,0.2631578947368421,0.4222222222222222,0.4222222222222222,0.8947368421052632,0.45,0.6666666666666666,0.1111111111111111,0.543859649122807,0.4222222222222222,0.4776152046783626,0.517264705882353,0.39021111111111106,0.10695187165775401,0.14705882352941177,0.09803921568627451,0.06372549019607843,7.755833333333333,24.95686274509804,5.0,,5.0,,11.0,1.0,1.0,1.0,,0.09166666666666666,0.1568627450980392,1.0,0.2,0.25,,2.0,3.0,1.0,1.0,9.0,2.0,9.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,8.0,3.0,1.0,4.0,8.0,5.0,0.2,0.07142857142857142,0.3888888888888889,0.7857142857142857,0.024390243902439025,0.625,0.3333333333333333,0.2,1.0,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1628890-1628922-1628931-202641-204323,1611661329,"Diamond DeShields, Azurá Stevens, Gabby Williams, Sydney Colson, Cheyenne Parker","DeShields, Stevens, Williams, Colson, Parker",1628890-1628922-1628931-202641-204323,CHI,112.0,1,5,,,9,2.0,2.0,2.0,,,,1.0,115.71428571428571,10.6,,2.0,2.0,4.0,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,6.0,4.0,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,2.0,,1.0,6.0,,,,,,1.0,1.0,1.0,,,1.25,,,1.0,,,0.5,0.5,,,,0.5,,,,,,0.5,,,14.75,10.6,14.75,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,1.0,1.0,0.530675,,,0.3333333333333333,0.5,,,2.6,25.1,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1628922-1628931-201516-202664-204323,1611661329,"Azurá Stevens, Gabby Williams, Allie Quigley, Courtney Vandersloot, Cheyenne Parker","Stevens, Williams, Quigley, Vandersloot, Parker",1628922-1628931-201516-202664-204323,CHI,291.0,2,9,1.0,1.0,18,,,2.0,1.0,,1.0,,89.07216494845362,15.222222222222221,0.1111111111111111,5.0,-1.0,9.0,,1.0,1.0,,,1.0,3.0,1.0,2.0,,1.0,,,,3.0,6.0,,1.0,1.0,7.0,8.0,,,,,1.0,1.0,,,2.0,2.0,4.0,,,,,,1.0,,1.0,,,,,1.0,2.0,,1.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,,2.0,1.0,,1.0,4.0,,2.0,2.0,,1.0,7.0,2.0,,0.3333333333333333,0.3333333333333333,,,,0.5,,1.0,0.42857142857142855,,1.0,0.4375,,1.0,0.14285714285714285,1.0,0.3333333333333333,0.25,,0.5,0.25,,0.5,,1.0,1.0,0.25,,17.11111111111111,15.11111111111111,16.22222222222222,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,,,,,,,,,,,0.2857142857142857,,0.4688857142857143,,0.4126,0.125,0.14285714285714285,,0.2857142857142857,10.933333333333332,23.1,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1628890-1628931-1630113-202641-204323,1611661329,"Diamond DeShields, Gabby Williams, Ruthy Hebard, Sydney Colson, Cheyenne Parker","DeShields, Williams, Hebard, Colson, Parker",1628890-1628931-1630113-202641-204323,CHI,192.0,1,6,2.0,1.0,11,1.0,,2.0,,1.0,2.0,0.5,82.5,14.333333333333334,0.3333333333333333,3.0,-1.0,5.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,2.0,2.0,,1.0,1.0,5.0,6.0,,,,,,,,1.0,1.0,4.0,,,,,1.0,,2.0,,2.0,,,,1.0,1.0,4.0,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,5.0,1.0,,1.0,1.0,,,,1.0,,,0.6666666666666666,,,0.625,,0.5,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,,,0.5,,,21.2,13.833333333333334,17.4,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,0.4768333333333334,,,,,,0.2,13.45,26.1,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628890-1628931-201516-204323,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Allie Quigley, Cheyenne Parker","Copper, DeShields, Williams, Quigley, Parker",1627674-1628890-1628931-201516-204323,CHI,572.0,3,21,5.0,1.0,42,,,3.0,,1.0,5.0,,105.73426573426573,14.80952380952381,0.23809523809523808,10.0,-1.0,21.0,5.0,,2.0,,,3.0,8.0,,1.0,,,3.0,7.0,2.0,3.0,11.0,3.0,7.0,1.0,16.0,17.0,,,,,,2.0,2.0,1.0,4.0,2.0,4.0,6.0,,,7.0,3.0,1.0,2.0,3.0,2.0,,,1.0,,8.0,,1.0,2.0,2.0,5.0,1.0,6.0,3.0,3.0,1.0,3.0,,,1.0,5.0,1.0,4.0,2.0,,,16.0,4.0,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.2727272727272727,,,0.4166666666666667,,0.375,0.42105263157894735,,0.4,0.3888888888888889,0.5,0.125,1.0,,0.6666666666666666,0.09090909090909091,0.5,,,0.5,,1.0,,12.428571428571429,14.19047619047619,11.476190476190476,0.1111111111111111,,,,0.4444444444444444,0.375,0.375,0.3333333333333333,0.05555555555555555,,,,,,,,0.3888888888888889,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,0.5,0.5,0.42857142857142855,0.45004411764705887,0.51975,0.4647666666666667,,,,0.25,7.7,27.75714285714286,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.5,,,1.0,,1.0,0.5,,1.0,,,3.0,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628890-1628931-202641-204323,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Sydney Colson, Cheyenne Parker","Copper, DeShields, Williams, Colson, Parker",1627674-1628890-1628931-202641-204323,CHI,263.0,3,7,,1.0,14,1.0,1.0,2.0,1.0,,,0.5,76.65399239543726,17.714285714285715,,4.0,6.0,7.0,,,,,,1.0,2.0,1.0,2.0,,,1.0,3.0,,2.0,4.0,1.0,3.0,1.0,8.0,2.0,,1.0,,,,,,,,,4.0,3.0,,,3.0,1.0,,1.0,1.0,1.0,,,,,3.0,,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,,1.0,,,,,,2.0,2.0,,,8.0,,,,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,0.5,,,0.5,,,0.42857142857142855,0.5,1.0,1.0,,0.6,0.3333333333333333,,,,,0.5,1.0,,19.857142857142858,15.714285714285714,19.857142857142858,,,,,0.2857142857142857,0.5,0.5,,0.2857142857142857,0.5,0.5,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,0.42857142857142855,0.3333333333333333,0.44572142857142855,0.3797,,,,,,14.35,25.266666666666666,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
1627674-1628922-1628931-1630113-201516,1611661329,"Kahleah Copper, Azurá Stevens, Gabby Williams, Ruthy Hebard, Allie Quigley","Copper, Stevens, Williams, Hebard, Quigley",1627674-1628922-1628931-1630113-201516,CHI,203.0,2,7,7.0,1.0,13,,,,,,7.0,,92.21674876847291,16.285714285714285,1.0,3.0,3.0,6.0,,2.0,2.0,,,,2.0,,1.0,,,,1.0,1.0,2.0,5.0,,1.0,5.0,9.0,6.0,,1.0,,,2.0,5.0,1.0,5.0,9.0,2.0,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,,,,,1.0,1.0,,3.0,6.0,,2.0,9.0,9.0,,0.5,0.5,,,,0.4,,0.4,0.3333333333333333,,0.3333333333333333,0.5,,0.5,0.16666666666666666,0.5,0.3333333333333333,,1.0,0.5,0.5,,,,,,,,14.833333333333334,13.857142857142858,14.666666666666666,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,,,,0.16666666666666666,,,,,,,,0.16666666666666666,,,,,,0.16666666666666666,0.5,,0.42593333333333333,0.5463,0.42593333333333333,0.25,0.2857142857142857,,1.0,7.5,24.4,1.0,,1.0,,,,1.0,1.0,,,,,1.0,0.5,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,1611661329,2020,2020,True
