EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,LiveBallTurnoverPct,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyTurnovers,Charge Fouls Drawn,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3FGM,FTDefRebounds,RecoveredBlocks,DefFTReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,PenaltyArc3Accuracy,team_id,year,season,team_vs
1628279-1628282-1629485-201496-203833,1611661320,"Brittney Sykes, Sydney Wiese, Kristine Anigwe, Candace Parker, Chelsea Gray","Sykes, Wiese, Anigwe, Parker, Gray",1628279-1628282-1629485-201496-203833,LAS,600.0,1,10,17,19,2.0,36,2.0,5.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,14.0,2.0,3.0,2.0,16.0,16.0,1.0,2.0,2.0,4.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,10.0,2.0,4.0,3.0,7.0,2.0,9.0,3.0,3.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,14.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.5,0.4117647058823529,0.5,0.4444444444444444,0.5,0.17647058823529413,0.07142857142857142,0.2,0.42857142857142855,0.2,0.6666666666666666,0.5384615384615384,0.18181818181818182,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.8,86.4,15.588235294117647,17.63157894736842,15.352941176470589,16.263157894736842,0.29411764705882354,0.4,0.5,1.0,0.29411764705882354,0.23529411764705882,0.5,0.5,0.058823529411764705,1.0,1.0,1.0,0.11764705882352941,0.5,0.5,1.0,1.0,0.5,1.0,0.47058823529411764,0.5,0.4713588235294117,0.63215,0.05555555555555555,0.06666666666666667,0.125,8.328571428571427,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1628282-1630099-200671-201496,1611661320,"Brittney Sykes, Sydney Wiese, Te'a Cooper, Seimone Augustus, Candace Parker","Sykes, Wiese, Cooper, Augustus, Parker",1628279-1628282-1630099-200671-201496,LAS,208.0,1,3,6,5,1.0,11,,1.0,,1.0,,1.0,2.0,,1.0,1.0,2.0,1.0,3.0,1.0,3.0,,5.0,6.0,,1.0,,2.0,,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,5.0,,1.0,1.0,2.0,1.0,3.0,,,,1.0,2.0,1.0,1.0,,,,,,5.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.4166666666666667,,0.4166666666666667,,0.5,,,1.0,,1.0,1.0,0.3333333333333333,,,,1.0,1.0,76.15384615384615,19.833333333333332,17.8,18.166666666666668,17.8,0.16666666666666666,,,,,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,1.0,,,0.6666666666666666,0.5,0.469925,,,,,12.133333333333333,23.900000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1628282-200671-201496-203833,1611661320,"Brittney Sykes, Sydney Wiese, Seimone Augustus, Candace Parker, Chelsea Gray","Sykes, Wiese, Augustus, Parker, Gray",1628279-1628282-200671-201496-203833,LAS,41.0,1,1,1,1,,2,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,70.2439024390244,15.0,26.0,15.0,26.0,,,,,1.0,,,,,,,,,,,,,,,,,0.4448,,,,,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1629485-201496-203029-203833,1611661320,"Brittney Sykes, Kristine Anigwe, Candace Parker, Riquna Williams, Chelsea Gray","Sykes, Anigwe, Parker, Williams, Gray",1628279-1629485-201496-203029-203833,LAS,246.0,1,4,8,7,1.0,15,2.0,2.0,,,2.0,1.0,3.0,,2.0,,,4.0,7.0,,2.0,1.0,9.0,6.0,,1.0,,6.0,2.0,,,,,3.0,,3.0,,,2.0,6.0,,1.0,2.0,3.0,1.0,4.0,,,,,,3.0,2.0,1.0,1.0,,,,9.0,0.75,0.75,,,,0.5714285714285714,,0.4444444444444444,,0.5,,0.2222222222222222,,,1.0,,1.0,1.0,0.2,,,1.0,1.0,,87.8048780487805,17.125,15.571428571428571,15.5,15.571428571428571,0.2222222222222222,1.0,1.0,1.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,,,,,,,,,,,0.4444444444444444,,0.44732777777777777,,0.1111111111111111,0.14285714285714285,,11.771428571428572,22.85,3.0,,1.0,,,,2.0,,0.5,0.5,,,,,8.0,2.0,2.0,1.0,1.0,4.0,7.0,1.0,1.0,9.0,1.0,1.0,9.0,8.0,0.5714285714285714,0.5,0.5625,1.0,0.5,0.5,1.0,0.25,1.0,0.125,0.43805,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1630099-200671-201496-203029,1611661320,"Brittney Sykes, Te'a Cooper, Seimone Augustus, Candace Parker, Riquna Williams","Sykes, Cooper, Augustus, Parker, Williams",1628279-1630099-200671-201496-203029,LAS,32.0,1,1,1,1,,2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,19.0,13.0,19.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628279-1630099-200671-201496-203833,1611661320,"Brittney Sykes, Te'a Cooper, Seimone Augustus, Candace Parker, Chelsea Gray","Sykes, Cooper, Augustus, Parker, Gray",1628279-1630099-200671-201496-203833,LAS,220.0,1,4,8,8,1.0,16,,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,7.0,5.0,,1.0,,2.0,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,5.0,,2.0,1.0,3.0,,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,,,,7.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.625,,0.7,,0.25,,,1.0,,1.0,1.0,,,,,1.0,1.0,104.72727272727273,13.625,13.875,12.5,13.875,,,,,0.25,0.5,0.5,0.5,,,,,0.25,1.0,1.0,1.0,,,,0.25,1.0,0.44645,0.4238,0.2,0.25,,15.633333333333333,27.6,2.0,1.0,,,1.0,1.0,1.0,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628282-1629485-1630099-201496-203833,1611661320,"Sydney Wiese, Kristine Anigwe, Te'a Cooper, Candace Parker, Chelsea Gray","Wiese, Anigwe, Cooper, Parker, Gray",1628282-1629485-1630099-201496-203833,LAS,91.0,1,2,3,3,,6,1.0,1.0,,,2.0,,,,,,,3.0,3.0,,,1.0,7.0,,,,,6.0,,,,,,3.0,,3.0,,,1.0,6.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,7.0,1.0,1.0,,,,1.0,,1.0,,1.1666666666666667,,,,,1.0,,,1.0,,,,,1.0,,94.94505494505495,11.0,19.333333333333332,11.0,19.333333333333332,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,0.3333333333333333,,0.47153333333333336,,0.3333333333333333,0.3333333333333333,,5.466666666666666,,7.0,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,,2.0,2.0,,,4.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.5,1.0,,0.5158,0.5714285714285714,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1628282-1630099-200671-201496-203833,1611661320,"Sydney Wiese, Te'a Cooper, Seimone Augustus, Candace Parker, Chelsea Gray","Wiese, Cooper, Augustus, Parker, Gray",1628282-1630099-200671-201496-203833,LAS,112.0,1,2,4,3,,7,,,,,2.0,,,1.0,1.0,,1.0,,2.0,1.0,2.0,,3.0,,,,,,,3.0,1.0,,,,1.0,1.0,,1.0,,3.0,,1.0,1.0,2.0,,2.0,,,,1.0,1.0,,1.0,,,,,,3.0,,,1.0,0.5,0.5,,,0.375,,0.375,,0.5,,,0.5,,1.0,0.6666666666666666,,,,1.0,,1.0,90.0,16.5,15.333333333333334,16.5,14.666666666666666,,,,,0.5,,,,0.25,1.0,1.0,1.0,0.25,,,,,,,0.5,,0.3813625,,,,,8.65,27.5,3.0,,,,,,,,,,,,,,4.0,,,,1.0,,2.0,2.0,,3.0,,,3.0,4.0,,0.375,0.375,,,,,,,0.25,0.3813625,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,,,,,,,,1611661320,2020,2020,True
1629485-201496-203029-203437-203833,1611661320,"Kristine Anigwe, Candace Parker, Riquna Williams, Tierra Ruffin-Pratt, Chelsea Gray","Anigwe, Parker, Williams, Ruffin-Pratt, Gray",1629485-201496-203029-203437-203833,LAS,139.0,1,2,5,4,1.0,9,1.0,3.0,,1.0,,,1.0,,,1.0,1.0,1.0,4.0,1.0,1.0,2.0,7.0,,,1.0,,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,1.0,2.0,1.0,3.0,1.0,4.0,,,,,,,1.0,2.0,1.0,,,,7.0,1.0,1.0,1.0,1.0,1.0,0.25,,0.5,,0.5833333333333334,,0.2,0.25,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,,1.0,,1.0,93.23741007194243,13.4,18.0,12.4,18.0,0.6,0.3333333333333333,0.5,1.0,,0.2,,,,,,,0.2,1.0,1.0,1.0,1.0,,,0.8,1.0,0.44509999999999994,0.4086,0.16666666666666666,0.2,,6.45,24.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
1630099-200671-201496-203029-203437,1611661320,"Te'a Cooper, Seimone Augustus, Candace Parker, Riquna Williams, Tierra Ruffin-Pratt","Cooper, Augustus, Parker, Williams, Ruffin-Pratt",1630099-200671-201496-203029-203437,LAS,61.0,1,1,3,2,,5,1.0,1.0,,,1.0,,1.0,,,,,1.0,3.0,,,,2.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,118.03278688524591,12.333333333333334,12.0,12.333333333333334,12.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,0.3333333333333333,,0.5185333333333334,,,,,11.1,,-1.0,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,0.3622,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1611661320,2020,2020,True
