EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyDefPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,HeaveAttempts,BadPassTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,AtRimAssists,BadPassSteals,BlockedAtRim,NonShootingPenaltyNonTakeFouls,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Technical Free Throw Trips,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,Clear Path Fouls,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627675-1630150-203017-204322-204355,1611661330,"Courtney Williams, Chennedy Carter, Glory Johnson, Elizabeth Williams, Blake Dietrick","Williams, Carter, Johnson, Williams, Dietrick",1627675-1630150-203017-204322-204355,ATL,58.0,1,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,99.3103448275862,11.0,18.0,11.0,17.5,1.0,1.0,1.0,1.0,0.4413,0.5,0.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1630095-1630150-204322-204335-204355,1611661330,"Brittany Brewer, Chennedy Carter, Elizabeth Williams, Betnijah Laney, Blake Dietrick","Brewer, Carter, Williams, Laney, Dietrick",1630095-1630150-204322-204335-204355,ATL,302.0,1,5.0,2.0,11.0,11.0,22.0,3.0,4.0,4.0,7.0,1.0,12.0,10.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,,,1.0,2.0,1.0,12.0,0.25,0.25,0.5714285714285714,0.6111111111111112,0.6,0.6,0.6666666666666666,,104.90066225165563,14.727272727272727,12.727272727272727,14.727272727272727,12.090909090909092,0.4444444444444444,0.75,0.75,0.3333333333333333,0.4610888888888889,0.1,0.125,8.842857142857143,11.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2222222222222222,1.0,1.0,0.6,1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,0.2222222222222222,0.5,0.5,0.3333333333333333,0.5,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628881-1630150-203015-203017-204335,1611661330,"Monique Billings, Chennedy Carter, Shekinna Stricklen, Glory Johnson, Betnijah Laney","Billings, Carter, Stricklen, Johnson, Laney",1628881-1630150-203015-203017-204335,ATL,120.0,1,2.0,-4.0,6.0,5.0,11.0,2.0,3.0,2.0,3.0,,4.0,8.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,4.0,,,0.6666666666666666,0.5,0.5,,,,132.0,12.166666666666666,9.4,12.166666666666666,9.4,0.75,0.6666666666666666,0.6666666666666666,,0.38493333333333335,0.25,0.3333333333333333,6.733333333333333,5.0,,,,,1.0,,1.0,4.0,,,,,1.0,1.0,2.0,,2.0,,,,,,,0.25,1.0,,,,,,,,,0.25,,,0.25,,48.6,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,0.5,0.5,0.5,0.3572,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628283-1630095-1630150-1630153-204355,1611661330,"Alexis Jones, Brittany Brewer, Chennedy Carter, Jaylyn Agnew, Blake Dietrick","Jones, Brewer, Carter, Agnew, Dietrick",1628283-1630095-1630150-1630153-204355,ATL,160.0,1,3.0,-2.0,6.0,6.0,12.0,,,1.0,2.0,2.0,4.0,6.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.5,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,108.0,13.5,13.166666666666666,13.5,12.833333333333334,,,,,0.41475999999999996,0.16666666666666666,0.3333333333333333,12.9,6.0,1.0,1.0,1.0,,3.0,,3.0,,,3.0,,,1.0,,,,,1.0,,1.0,,,,0.6,,,,,,0.2,1.0,1.0,0.2,0.6,,,0.8,,25.833333333333332,4.0,2.0,1.0,2.0,2.0,2.0,,,,,2.0,4.0,0.5,0.25,0.25,0.5,0.4151,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628283-1630153-203015-204322-204355,1611661330,"Alexis Jones, Jaylyn Agnew, Shekinna Stricklen, Elizabeth Williams, Blake Dietrick","Jones, Agnew, Stricklen, Williams, Dietrick",1628283-1630153-203015-204322-204355,ATL,69.0,1,1.0,-1.0,3.0,3.0,6.0,,,,,,3.0,4.0,,,,,,,,,,1.0,,,,3.0,,,,0.75,0.75,,,,125.21739130434784,15.0,8.0,15.0,8.0,,,,,0.385425,,,,3.0,,,,1.0,2.0,1.0,2.0,,3.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,0.5,0.5,1.0,1.0,,,,,,,,,1.0,0.5,0.5,1.0,0.5,24.55,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628881-1630150-203015-204322-204335,1611661330,"Monique Billings, Chennedy Carter, Shekinna Stricklen, Elizabeth Williams, Betnijah Laney","Billings, Carter, Stricklen, Williams, Laney",1628881-1630150-203015-204322-204335,ATL,5239.0,10,87.0,-13.0,173.0,176.0,349.0,14.0,53.0,48.0,112.0,35.0,164.0,177.0,38.0,19.0,28.0,9.0,65.0,37.0,67.0,87.0,21.0,43.0,43.0,39.0,16.0,143.0,0.3958333333333333,0.41304347826086957,0.42857142857142855,0.4607142857142857,0.5222929936305732,0.6166666666666667,0.6770833333333334,0.7142857142857143,95.92670356938348,14.485549132947977,15.528409090909092,14.011560693641618,14.454545454545455,0.37857142857142856,0.2641509433962264,0.3333333333333333,0.6428571428571429,0.46244999999999997,0.1111111111111111,0.12903225806451613,8.188392857142857,17.0,27.0,37.0,22.0,10.0,24.0,11.0,28.0,58.0,6.0,24.0,10.0,28.0,14.0,7.0,19.0,10.0,36.0,7.0,7.0,7.0,4.0,0.39285714285714285,0.39285714285714285,0.2,0.5277777777777778,0.7777777777777778,0.625,0.7878787878787878,0.5714285714285714,0.2642857142857143,0.7297297297297297,0.7941176470588235,0.15714285714285714,0.17142857142857143,0.4166666666666667,0.4166666666666667,0.4642857142857143,0.4166666666666667,25.20357142857143,20.0,,8.0,17.0,,22.0,,9.0,3.0,4.0,22.0,20.0,0.47058823529411764,0.47058823529411764,0.55,,0.44475882352941176,0.13414634146341464,0.11560693641618497,5.0,7.0,8.0,7.0,,1.0,0.2962962962962963,0.4117647058823529,0.7142857142857143,16.0,4.0,5.0,7.0,1.0,4.0,2.0,5.0,5.0,8.0,2.0,5.0,5.0,21.0,6.0,27.0,4.0,15.0,9.0,8.0,1.0,2.0,2.0,18.0,2.0,20.0,1.0,3.0,17.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,0.8181818181818182,0.4,0.625,0.6153846153846154,0.7,0.13392857142857142,0.08108108108108109,0.20754716981132076,0.045454545454545456,0.6666666666666666,0.28125,0.11764705882352941,0.24691358024691357,0.3,0.28205128205128205,0.26666666666666666,0.14285714285714285,0.5384615384615384,0.6666666666666666,0.015151515151515152,0.3181818181818182,0.3333333333333333,0.2857142857142857,0.02857142857142857,0.25,0.25,1.0,0.8,0.38461538461538464,0.8,0.38461538461538464,0.4,1.0,0.5332576923076923,0.034482758620689655,0.12804878048780488,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1627675-1628881-1630150-203015-204335,1611661330,"Courtney Williams, Monique Billings, Chennedy Carter, Shekinna Stricklen, Betnijah Laney","Williams, Billings, Carter, Stricklen, Laney",1627675-1628881-1630150-203015-204335,ATL,286.0,1,5.0,-2.0,10.0,9.0,19.0,2.0,5.0,2.0,7.0,,7.0,9.0,4.0,2.0,3.0,2.0,7.0,1.0,3.0,3.0,1.0,4.0,2.0,,,7.0,1.0,1.0,0.2857142857142857,0.4375,0.4375,1.0,1.0,,95.66433566433567,16.0,14.0,16.0,14.0,0.625,0.4,0.5,1.0,0.42664375,,,10.242857142857144,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,,,,0.25,0.125,1.0,1.0,0.125,1.0,26.1,2.0,,1.0,2.0,,2.0,,,,,2.0,2.0,0.5,0.5,0.5,,0.42755,0.2857142857142857,0.2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.14285714285714285,,0.2,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1627675-1630150-203015-203017-204335,1611661330,"Courtney Williams, Chennedy Carter, Shekinna Stricklen, Glory Johnson, Betnijah Laney","Williams, Carter, Stricklen, Johnson, Laney",1627675-1630150-203015-203017-204335,ATL,173.0,1,3.0,-5.0,7.0,7.0,14.0,,,1.0,1.0,,2.0,7.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,0.25,0.25,1.0,0.6666666666666666,,116.53179190751445,10.714285714285714,14.0,10.714285714285714,12.285714285714286,,,,,0.50225,,,3.5,,1.0,1.0,,,3.0,,3.0,,,3.0,,1.0,1.0,,1.0,1.0,3.0,,,,,,,0.75,0.3333333333333333,0.5,1.0,0.5,,0.25,1.0,1.0,,0.75,,,1.0,,25.2,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1627675-1630153-203015-204322-204355,1611661330,"Courtney Williams, Jaylyn Agnew, Shekinna Stricklen, Elizabeth Williams, Blake Dietrick","Williams, Agnew, Stricklen, Williams, Dietrick",1627675-1630153-203015-204322-204355,ATL,149.0,1,2.0,-6.0,4.0,4.0,8.0,,1.0,,2.0,,3.0,9.0,,,1.0,,3.0,,,2.0,1.0,1.0,1.0,,,3.0,,,,0.3,0.3,,,,77.31543624161074,27.75,9.5,26.0,9.5,0.2,,,,0.56093,,,3.85,2.0,,1.0,,1.0,3.0,1.0,3.0,,,3.0,1.0,,,,,,1.0,,,,,0.3333333333333333,0.3333333333333333,0.6,,,,,,0.2,,,,0.6,0.3333333333333333,0.3333333333333333,0.8,0.3333333333333333,23.766666666666666,4.0,3.0,,2.0,3.0,3.0,,,1.0,,3.0,4.0,,0.3,0.3,0.6,0.56093,1.0,1.0,,1.0,,,,,,0.2,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,0.5,,1.0,,,0.5,0.5,0.5,1.0,,,0.5,,,0.3333333333333333,,,,,,,,1.0,0.5,,0.5,,,0.5655,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1627675-203015-203017-204335-204355,1611661330,"Courtney Williams, Shekinna Stricklen, Glory Johnson, Betnijah Laney, Blake Dietrick","Williams, Stricklen, Johnson, Laney, Dietrick",1627675-203015-203017-204335-204355,ATL,108.0,1,2.0,-1.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,,,,,,,,,,1.0,1.0,1.0,,3.0,,,0.5,0.3333333333333333,0.375,,,,80.0,17.666666666666668,18.333333333333332,17.666666666666668,18.333333333333332,0.3333333333333333,1.0,1.0,,0.42073333333333335,,,15.55,,,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628881-1629480-1630153-203017-204355,1611661330,"Monique Billings, Kalani Brown, Jaylyn Agnew, Glory Johnson, Blake Dietrick","Billings, Brown, Agnew, Johnson, Dietrick",1628881-1629480-1630153-203017-204355,ATL,113.0,1,2.0,-5.0,4.0,4.0,8.0,,,,,,,5.0,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,,101.94690265486726,17.75,10.5,17.75,10.5,,,,,0.50735,,,,,,,,,3.0,,3.0,,,3.0,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,25.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628881-203017-204322-204335-204355,1611661330,"Monique Billings, Glory Johnson, Elizabeth Williams, Betnijah Laney, Blake Dietrick","Billings, Johnson, Williams, Laney, Dietrick",1628881-203017-204322-204335-204355,ATL,16.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,16.0,,16.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1630150-203015-203017-204335-204355,1611661330,"Chennedy Carter, Shekinna Stricklen, Glory Johnson, Betnijah Laney, Blake Dietrick","Carter, Stricklen, Johnson, Laney, Dietrick",1630150-203015-203017-204335-204355,ATL,143.0,1,2.0,,4.0,4.0,8.0,1.0,1.0,2.0,3.0,,4.0,4.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.25,,80.55944055944056,14.5,21.25,14.5,17.75,0.3333333333333333,1.0,1.0,1.0,0.4150666666666667,,,9.733333333333333,,1.0,1.0,1.0,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628283-1628881-1630095-1630153-204355,1611661330,"Alexis Jones, Monique Billings, Brittany Brewer, Jaylyn Agnew, Blake Dietrick","Jones, Billings, Brewer, Agnew, Dietrick",1628283-1628881-1630095-1630153-204355,ATL,520.0,2,9.0,,16.0,15.0,31.0,,2.0,2.0,6.0,,19.0,19.0,2.0,1.0,4.0,,11.0,3.0,5.0,8.0,1.0,1.0,1.0,,,17.0,0.5,0.5,0.3333333333333333,0.6333333333333333,0.6333333333333333,0.5,0.5714285714285714,,85.84615384615385,14.9375,18.733333333333334,13.9375,17.866666666666667,0.13333333333333333,,,,0.4991966666666666,,,10.433333333333334,7.0,1.0,1.0,3.0,5.0,8.0,5.0,9.0,2.0,6.0,8.0,5.0,1.0,2.0,1.0,2.0,,4.0,,,,,0.5555555555555556,0.5555555555555556,0.6,0.5,1.0,0.3333333333333333,1.0,,0.06666666666666667,1.0,1.0,0.2,0.5333333333333333,0.625,0.625,0.6666666666666666,0.625,24.299999999999997,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,2.0,,9.0,,,3.0,3.0,,1.0,3.0,,1.0,3.0,,2.0,2.0,,,,1.0,,,,,,,,,,0.6,,1.0,0.5,0.5,,,,,1.0,,0.75,0.375,,,,1.0,1.0,,,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,,,,0.6,,,,,,0.5157,,0.10526315789473684,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628283-1628881-203015-204335-204355,1611661330,"Alexis Jones, Monique Billings, Shekinna Stricklen, Betnijah Laney, Blake Dietrick","Jones, Billings, Stricklen, Laney, Dietrick",1628283-1628881-203015-204335-204355,ATL,25.0,1,,3.0,1.0,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,1.5,1.5,,,,115.19999999999999,15.0,10.0,15.0,10.0,,,,,0.321,,,,1.0,,,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1628283-1630095-204322-204335-204355,1611661330,"Alexis Jones, Brittany Brewer, Elizabeth Williams, Betnijah Laney, Blake Dietrick","Jones, Brewer, Williams, Laney, Dietrick",1628283-1630095-204322-204335-204355,ATL,20.0,1,,-1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,144.0,16.0,4.0,16.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
1627675-1628881-1630150-203017-204355,1611661330,"Courtney Williams, Monique Billings, Chennedy Carter, Glory Johnson, Blake Dietrick","Williams, Billings, Carter, Johnson, Dietrick",1627675-1628881-1630150-203017-204355,ATL,363.0,3,6.0,3.0,11.0,12.0,23.0,1.0,2.0,6.0,10.0,,12.0,9.0,4.0,2.0,2.0,,4.0,3.0,6.0,8.0,,1.0,,,,12.0,0.3333333333333333,0.3333333333333333,0.6,0.5454545454545454,0.5454545454545454,0.75,0.8571428571428571,1.0,91.2396694214876,14.636363636363637,16.833333333333332,12.727272727272727,16.083333333333332,0.18181818181818182,0.5,0.5,,0.4033,,,14.65,,,,8.0,,1.0,,1.0,8.0,,1.0,,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,,,0.09090909090909091,0.5,1.0,0.5,1.0,0.5,,,,0.7272727272727273,0.09090909090909091,,,0.09090909090909091,,25.4,5.0,1.0,2.0,5.0,1.0,4.0,,1.0,1.0,,4.0,5.0,0.4,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.41078333333333333,0.3333333333333333,0.45454545454545453,,,,1.0,1.0,,,,,1.0,,,5.0,,,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,2.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.4,,,0.6666666666666666,,1.0,1.0,0.2,0.625,0.625,0.4,,,,,,,,0.5,,,0.41565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2020,2020,False
