EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,SecondChanceOffPoss,FtPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,AtRimFGM,AtRimFGA,AtRimAssists,DefTwoPtRebounds,DefRebounds,LostBallSteals,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyDefPoss,LongMidRangeFGA,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,PenaltyAtRimFGA,PenaltyAtRimFrequency,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,Blocked2s,BlockedLongMidRange,Blocks,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Travels,DefLongMidRangeReboundPct,PenaltyAtRimFGM,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,DefAtRimReboundPct,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,FTDefRebounds,LostBallTurnovers,DefFTReboundPct,DefCorner3ReboundPct,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,FTOffRebounds,StepOutOfBoundsTurnovers,Charge Fouls,Blocked3s,BlockedArc3,OffFTReboundPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1627671-1628286-1629483-1629524-1630101,1611661324,"Rachel Banham, Erica McCall, Napheesa Collier, Bridget Carleton, Crystal Dangerfield","Banham, McCall, Collier, Carleton, Dangerfield",1627671-1628286-1629483-1629524-1630101,MIN,17.0,1,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,254.11764705882354,6.0,5.5,6.0,5.5,1.0,1.0,1.0,0.3553,0.3553,1.0,5.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1629483-1629524-203824,1611661324,"Rachel Banham, Erica McCall, Napheesa Collier, Bridget Carleton, Odyssey Sims","Banham, McCall, Collier, Carleton, Sims",1627671-1628286-1629483-1629524-203824,MIN,44.0,1,2.0,1.0,,3.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,3.0,,,0.5,,0.5,,0.75,,98.18181818181819,15.5,13.0,9.0,13.0,1.0,0.5,1.0,0.44135,,,4.5,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1629483-1630101-1630114,1611661324,"Rachel Banham, Erica McCall, Napheesa Collier, Crystal Dangerfield, Mikiah Herbert Harrigan","Banham, McCall, Collier, Dangerfield, Herbert Harrigan",1627671-1628286-1629483-1630101-1630114,MIN,8.0,1,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,180.0,8.0,,8.0,,,,,0.2811,0.2811,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1629483-1630114-203824,1611661324,"Rachel Banham, Erica McCall, Napheesa Collier, Mikiah Herbert Harrigan, Odyssey Sims","Banham, McCall, Collier, Herbert Harrigan, Sims",1627671-1628286-1629483-1630114-203824,MIN,99.0,1,2.0,3.0,,5.0,1.0,1.0,2.0,2.0,5.0,2.0,,,,,,,5.0,,,1.0,,1.0,,1.25,,72.72727272727273,17.5,21.333333333333332,17.5,20.0,0.5,1.0,1.0,0.46975,,,4.5,,2.0,3.0,,1.0,4.0,,2.0,2.0,1.0,4.0,,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.5,0.5,,,,,,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1629524-1630101-1630114,1611661324,"Rachel Banham, Erica McCall, Bridget Carleton, Crystal Dangerfield, Mikiah Herbert Harrigan","Banham, McCall, Carleton, Dangerfield, Herbert Harrigan",1627671-1628286-1629524-1630101-1630114,MIN,87.0,1,3.0,2.0,3.0,5.0,,1.0,,3.0,,3.0,,3.0,,,,,,,3.0,,,,,,,82.75862068965517,16.0,19.5,16.0,10.5,0.3333333333333333,,,0.3697,0.3697,,12.200000000000001,1.0,1.0,-3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,2.0,2.0,1.0,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1629524-1630101-203024,1611661324,"Rachel Banham, Erica McCall, Bridget Carleton, Crystal Dangerfield, Damiris Dantas","Banham, McCall, Carleton, Dangerfield, Dantas",1627671-1628286-1629524-1630101-203024,MIN,50.0,1,1.0,1.0,1.0,2.0,,,,1.0,,2.0,,1.0,,,,,,,1.0,,,,,,,57.599999999999994,41.0,9.0,41.0,9.0,,,,0.3677,0.3677,,3.9,1.0,1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1629524-1630101-203824,1611661324,"Rachel Banham, Erica McCall, Bridget Carleton, Crystal Dangerfield, Odyssey Sims","Banham, McCall, Carleton, Dangerfield, Sims",1627671-1628286-1629524-1630101-203824,MIN,96.0,1,2.0,3.0,2.0,5.0,,,,,3.0,7.0,,,3.0,,,2.0,,3.0,2.0,,,0.5,0.5,0.5,0.5,75.0,29.0,12.666666666666666,20.5,12.666666666666666,,,,0.46445000000000003,0.46445000000000003,1.0,,1.0,2.0,-4.0,1.0,,,,,1.0,,3.0,,2.0,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,2.0,3.0,3.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,25.3,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,0.5265,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1630101-1630114-203024,1611661324,"Rachel Banham, Erica McCall, Crystal Dangerfield, Mikiah Herbert Harrigan, Damiris Dantas","Banham, McCall, Dangerfield, Herbert Harrigan, Dantas",1627671-1628286-1630101-1630114-203024,MIN,59.0,1,2.0,3.0,2.0,5.0,,1.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,122.03389830508475,14.5,10.0,14.5,10.0,0.5,,,0.4022,0.4022,1.0,13.9,1.0,1.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1628286-1630114-203018-203824,1611661324,"Rachel Banham, Erica McCall, Mikiah Herbert Harrigan, Shenise Johnson, Odyssey Sims","Banham, McCall, Herbert Harrigan, Johnson, Sims",1627671-1628286-1630114-203018-203824,MIN,139.0,1,4.0,3.0,,7.0,,,1.0,2.0,2.0,3.0,,,,,,1.0,2.0,,,0.5,,0.3333333333333333,,0.3333333333333333,,72.51798561151078,20.25,19.333333333333332,20.25,19.333333333333332,,,,0.37648333333333334,,,12.1,,2.0,-1.0,,,2.0,,1.0,1.0,,2.0,,,2.0,,,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,,0.6666666666666666,25.9,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
1627671-1629483-1629524-1630101-1630114,1611661324,"Rachel Banham, Napheesa Collier, Bridget Carleton, Crystal Dangerfield, Mikiah Herbert Harrigan","Banham, Collier, Carleton, Dangerfield, Herbert Harrigan",1627671-1629483-1629524-1630101-1630114,MIN,181.0,1,6.0,7.0,4.0,13.0,1.0,3.0,2.0,5.0,4.0,7.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,0.4,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,103.42541436464089,14.333333333333334,13.571428571428571,14.333333333333334,13.571428571428571,0.5,0.3333333333333333,0.3333333333333333,0.43701666666666666,0.472625,1.0,9.84,0.6666666666666666,3.0,-3.0,1.0,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.5,0.5,,,0.3333333333333333,0.25,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,33.9,1.0,1.0,,3.0,3.0,,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,,,1.0,,,,0.16666666666666666,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,False
