EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,SecondChanceTsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,PenaltyFG2M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,StepOutOfBoundsTurnovers,DefLongMidRangeReboundPct,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,PenaltyArc3FGM,PenaltyFG3M,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,Offensive Fouls,SecondChanceFg2Pct,DefAtRimReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Offensive Fouls Drawn,OffCorner3ReboundPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,Travels,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,Charge Fouls,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,HeaveAttempts,BlockedLongMidRange,DefCorner3ReboundPct,LongMidRangePctBlocked,team_id,year,season,team_vs
1628242-1628263-1628932-1629498-203411,1611661319,"Emma Cannon, Lindsay Allen, A'ja Wilson, Jackie Young, Sugar Rodgers","Cannon, Allen, Wilson, Young, Rodgers",1628242-1628263-1628932-1629498-203411,LVA,84.0,2,1.0,-1.0,3.0,2.0,3.0,1.0,1.0,5,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,0.5,1.0,0.5,85.71428571428572,12.666666666666666,23.0,9.666666666666666,20.0,1.0,0.262,0.262,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,8.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628263-1628932-1629498-203825,1611661319,"Emma Cannon, Lindsay Allen, A'ja Wilson, Jackie Young, Kayla McBride","Cannon, Allen, Wilson, Young, McBride",1628242-1628263-1628932-1629498-203825,LVA,114.0,1,2.0,4.0,4.0,3.0,3.0,,,7,,3.0,,4.0,,,,2.0,,4.0,3.0,,,4.0,4.0,3.0,0.5,,0.6666666666666666,88.42105263157895,21.0,10.0,21.0,10.0,,0.4157875,0.44734999999999997,,,,1.0,8.466666666666667,0.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.25,0.3333333333333333,0.5,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.75,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628263-1628932-201881-203825,1611661319,"Emma Cannon, Lindsay Allen, A'ja Wilson, Angel McCoughtry, Kayla McBride","Cannon, Allen, Wilson, McCoughtry, McBride",1628242-1628263-1628932-201881-203825,LVA,49.0,1,1.0,,1.0,2.0,,,1.0,3,,2.0,,,,,,,,,,,,,,,,,,88.16326530612245,23.0,13.0,15.0,13.0,,0.3898,,,,,,3.65,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628263-1629498-201881-202670,1611661319,"Emma Cannon, Lindsay Allen, Jackie Young, Angel McCoughtry, Carolyn Swords","Cannon, Allen, Young, McCoughtry, Swords",1628242-1628263-1629498-201881-202670,LVA,99.0,1,2.0,-7.0,4.0,4.0,,,,8,,3.0,1.0,1.0,8.0,,,,,,2.0,2.0,1.0,1.0,,,0.125,,,116.36363636363637,15.25,9.5,15.25,9.5,,0.4123666666666667,,0.25,0.25,,,13.966666666666667,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,0.3333333333333333,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628263-1629498-202670-203411,1611661319,"Emma Cannon, Lindsay Allen, Jackie Young, Carolyn Swords, Sugar Rodgers","Cannon, Allen, Young, Swords, Rodgers",1628242-1628263-1629498-202670-203411,LVA,42.0,1,1.0,,1.0,2.0,1.0,,,3,,,,,,,,,,,,,,,,1.0,,,,102.85714285714286,22.0,10.0,22.0,6.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628263-1629498-203411-204332,1611661319,"Emma Cannon, Lindsay Allen, Jackie Young, Sugar Rodgers, Cierra Burdick","Cannon, Allen, Young, Rodgers, Burdick",1628242-1628263-1629498-203411-204332,LVA,730.0,3,12.0,3.0,23.0,23.0,4.0,16.0,3.0,46,5.0,13.0,2.0,20.0,17.0,,3.0,2.0,,2.0,1.0,2.0,1.0,17.0,2.0,4.0,0.43478260869565216,0.5,0.25,90.73972602739727,17.52173913043478,14.217391304347826,17.130434782608695,13.130434782608695,0.22727272727272727,0.44177045454545455,0.4855375,0.043478260869565216,0.07142857142857142,0.15,0.1,8.86923076923077,0.17391304347826086,3.0,4.0,,,2.0,4.0,8.0,1.0,6.0,9.0,1.0,2.0,10.0,2.0,8.0,1.0,5.0,6.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,,0.8333333333333334,0.8333333333333334,0.46153846153846156,0.5,0.4090909090909091,0.25,0.4090909090909091,0.07692307692307693,,0.18181818181818182,0.75,0.75,0.18181818181818182,0.5,0.5,0.5,0.36363636363636365,,,0.25,0.5909090909090909,25.311111111111114,,1.0,1.0,8.0,12.0,3.0,15.0,,0.8,0.16666666666666666,0.7857142857142857,0.23076923076923078,,0.6,,,0.429375,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5,0.2,0.5,0.5,0.75,0.2857142857142857,0.25,0.3333333333333333,0.75,1.0,1.0,0.2,0.25,1.0,0.045454545454545456,0.25,0.25,0.5,0.6666666666666666,0.5,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628932-1629498-201881-202658,1611661319,"Emma Cannon, A'ja Wilson, Jackie Young, Angel McCoughtry, Danielle Robinson","Cannon, Wilson, Young, McCoughtry, Robinson",1628242-1628932-1629498-201881-202658,LVA,188.0,2,3.0,1.0,8.0,8.0,,4.0,,16,5.0,5.0,1.0,9.0,8.0,,,,,,1.0,1.0,1.0,9.0,,,0.5625,,,122.55319148936171,14.125,9.375,14.125,9.375,0.625,0.4417375,,0.125,0.2,,,7.6,,,,,,,,3.0,,4.0,3.0,,,8.0,,3.0,,4.0,4.0,,8.0,,,,,,,1.0,1.0,0.8,,0.5,,0.375,,,,,,,,,,0.375,,,,0.375,24.066666666666666,,,,2.0,4.0,,4.0,,1.0,,1.0,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,0.8,0.8,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628932-1629498-201881-203411,1611661319,"Emma Cannon, A'ja Wilson, Jackie Young, Angel McCoughtry, Sugar Rodgers","Cannon, Wilson, Young, McCoughtry, Rodgers",1628242-1628932-1629498-201881-203411,LVA,327.0,2,5.0,2.0,11.0,11.0,4.0,2.0,,22,4.0,7.0,1.0,14.0,12.0,,,2.0,1.0,8.0,3.0,1.0,,14.0,8.0,4.0,0.5909090909090909,,0.875,96.88073394495413,15.272727272727273,14.454545454545455,15.272727272727273,14.454545454545455,0.36363636363636365,0.46983499999999995,0.5130166666666667,,,,0.5714285714285714,11.9,0.36363636363636365,,,,,2.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,8.0,2.0,3.0,,4.0,5.0,2.0,11.0,3.0,2.0,,,,,0.8,0.8,0.7142857142857143,1.0,0.5909090909090909,0.875,0.36363636363636365,,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.2727272727272727,,,0.5,0.36363636363636365,26.55,,,,1.0,1.0,,1.0,,1.0,,0.5,,,1.0,,,,,,3.0,1.0,,1.0,,,1.0,,,3.0,,1.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,2.0,1.0,,,,,,1.0,0.25,,0.25,,,,,,,,,,,,0.75,0.75,0.6666666666666666,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,,,,,0.3333333333333333,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628932-1629498-201881-203825,1611661319,"Emma Cannon, A'ja Wilson, Jackie Young, Angel McCoughtry, Kayla McBride","Cannon, Wilson, Young, McCoughtry, McBride",1628242-1628932-1629498-201881-203825,LVA,134.0,1,2.0,4.0,5.0,5.0,,4.0,2.0,10,1.0,4.0,,6.0,2.0,,4.0,,,,,,,2.0,,,0.5,0.6666666666666666,,107.46268656716417,10.0,16.8,6.8,16.8,0.16666666666666666,0.4783916666666667,,,,0.6666666666666666,,7.5,,2.0,2.0,,,1.0,1.0,2.0,,3.0,2.0,,,2.0,4.0,2.0,1.0,1.0,1.0,,2.0,,,1.0,2.0,,,0.3333333333333333,0.5,0.75,,0.5,,0.3333333333333333,0.25,,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,,0.6666666666666666,25.3,2.0,2.0,1.0,4.0,4.0,3.0,7.0,,1.0,1.0,1.0,1.0,,1.0,,0.6666666666666666,0.37755,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,2.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,0.6666666666666666,1.0,0.5,,,1.0,1.0,1.0,,,0.5,,,,,,,,0.3333333333333333,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
1628242-1628932-1629498-202658-203411,1611661319,"Emma Cannon, A'ja Wilson, Jackie Young, Danielle Robinson, Sugar Rodgers","Cannon, Wilson, Young, Robinson, Rodgers",1628242-1628932-1629498-202658-203411,LVA,481.0,4,8.0,9.0,16.0,18.0,8.0,12.0,1.0,34,4.0,8.0,2.0,18.0,9.0,,3.0,5.0,,11.0,6.0,3.0,2.0,15.0,11.0,8.0,0.6923076923076923,1.5,0.7857142857142857,101.78794178794178,14.5,13.833333333333334,14.375,13.333333333333334,0.3333333333333333,0.4712625,0.4768142857142857,0.15384615384615385,0.2222222222222222,0.16666666666666666,0.6111111111111112,9.55,0.5,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,2.0,8.0,2.0,3.0,,4.0,6.0,1.0,14.0,3.0,,2.0,6.0,3.0,,0.8,0.8,0.625,0.8,0.6666666666666666,0.7857142857142857,0.3333333333333333,,,0.16666666666666666,0.5,0.5,0.16666666666666666,1.0,1.0,0.5,0.25,0.2857142857142857,0.5,0.14285714285714285,0.5,24.075,,,,6.0,8.0,2.0,10.0,,0.75,,0.7,0.4,,1.0,,,,,0.6,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,,,1.0,,,,,,1.0,1.0,0.5,1.0,0.5,1.5,,0.6666666666666666,1.0,0.5,1.0,,1.0,0.5,,1.0,0.5,0.5,1.0,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.14285714285714285,0.6666666666666666,1.0,1.0,1.0,,0.5,1.0,,,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1611661319,2020,2020,True
