EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,LongMidRangeFGM,LongMidRangeFGA,ShortMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,LiveBallTurnoverPct,DefFTReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,RecoveredBlocks,BlocksRecoveredPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceOffPoss,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,Fg3aBlocked,Technical Free Throw Trips,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,SecondChancePointsPct,OffThreePtRebounds,Defensive 3 Seconds Violations,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,Corner3Assists,FTOffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedAtRim,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LongMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1628915-1630119-1630127-203406-204329,1611661313,"Kia Nurse, Jazmine Jones, Leaonna Odom, Layshia Clarendon, Kiah Stokes","Nurse, Jones, Odom, Clarendon, Stokes",1628915-1630119-1630127-203406-204329,NYL,283.0,2,5.0,10.0,10.0,6.0,3.0,20.0,4.0,5.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,7.0,2.0,3.0,13.0,13.0,2.0,3.0,2.0,2.0,6.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,13.0,6.0,6.0,0.2,0.2,0.7142857142857143,0.6666666666666666,0.5555555555555556,0.4,0.65,0.5,0.2222222222222222,0.14285714285714285,0.5,1.0,1.0,1.0,1.0,1.0,1.0,101.76678445229682,15.0,13.3,15.0,13.3,0.5555555555555556,0.8,0.8,0.25,0.2222222222222222,0.5,1.0,0.2222222222222222,0.6,0.6666666666666666,0.4,0.7777777777777778,0.4837222222222223,0.5178200000000001,0.2,0.25,0.46153846153846156,4.3,24.55,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1629477-1630127-203406-204320-204329,1611661313,"Sabrina Ionescu, Leaonna Odom, Layshia Clarendon, Amanda Zahui B, Kiah Stokes","Ionescu, Odom, Clarendon, Zahui B, Stokes",1629477-1630127-203406-204320-204329,NYL,471.0,1,8.0,18.0,18.0,6.0,,36.0,,,,,3.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,13.0,19.0,,,2.0,1.0,1.0,2.0,6.0,5.0,,1.0,1.0,,2.0,4.0,1.0,7.0,7.0,1.0,1.0,4.0,4.0,4.0,7.0,1.0,4.0,13.0,1.0,6.0,0.25,0.25,1.0,,0.4444444444444444,,0.5416666666666666,0.16666666666666666,0.5555555555555556,,,0.3333333333333333,1.0,0.7142857142857143,,0.5,1.0,110.06369426751593,13.166666666666666,13.0,13.166666666666666,12.38888888888889,,,,,0.3333333333333333,1.0,1.0,0.5555555555555556,,,1.0,0.5555555555555556,0.4712666666666666,0.560925,0.3333333333333333,0.5714285714285714,0.07692307692307693,8.925,25.119999999999997,0.3333333333333333,-6.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1628915-1629477-1630115-203406-204329,1611661313,"Kia Nurse, Sabrina Ionescu, Joyner Holmes, Layshia Clarendon, Kiah Stokes","Nurse, Ionescu, Holmes, Clarendon, Stokes",1628915-1629477-1630115-203406-204329,NYL,26.0,1,,2.0,1.0,,,3.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,166.15384615384616,8.0,10.0,8.0,10.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1630115-1630119-1630127-1630131-1630139,1611661313,"Joyner Holmes, Jazmine Jones, Leaonna Odom, Kylee Shook, Jocelyn Willoughby","Holmes, Jones, Odom, Shook, Willoughby",1630115-1630119-1630127-1630131-1630139,NYL,118.0,2,2.0,4.0,4.0,3.0,,8.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,,2.0,4.0,5.0,1.0,2.0,,2.0,4.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,2.0,,,4.0,4.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,0.5,0.5,0.5,1.0,,0.5,97.6271186440678,13.25,16.25,13.25,14.5,0.5,1.0,1.0,1.0,,,,,0.5,1.0,,0.5,0.46515,0.46515,,,1.0,11.0,,0.75,-1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,0.5,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1630115-1630127-1630131-203406-204329,1611661313,"Joyner Holmes, Leaonna Odom, Kylee Shook, Layshia Clarendon, Kiah Stokes","Holmes, Odom, Shook, Clarendon, Stokes",1630115-1630127-1630131-203406-204329,NYL,111.0,1,2.0,4.0,3.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,,,2.0,2.0,,1.0,4.0,4.0,3.0,1.0,1.0,0.3333333333333333,0.5,0.25,0.3333333333333333,0.4,0.5,0.25,,,,1.0,1.0,,,1.0,90.8108108108108,19.25,11.333333333333334,16.25,11.333333333333334,0.25,1.0,1.0,1.0,0.25,,,,0.3333333333333333,1.0,,0.5,0.461175,0.4833,0.2,0.25,1.0,11.366666666666667,24.5,0.75,,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.25,1.0,0.3333333333333333,0.5739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1628915-1630131-1630139-203406-204329,1611661313,"Kia Nurse, Kylee Shook, Jocelyn Willoughby, Layshia Clarendon, Kiah Stokes","Nurse, Shook, Willoughby, Clarendon, Stokes",1628915-1630131-1630139-203406-204329,NYL,240.0,2,4.0,7.0,8.0,,4.0,15.0,,1.0,,,,2.0,2.0,,1.0,4.0,3.0,,5.0,15.0,,,,,,2.0,,2.0,3.0,1.0,2.0,,5.0,,1.0,1.0,1.0,,,,1.0,2.0,,,,5.0,,,1.0,1.0,0.25,,0.35714285714285715,,0.35714285714285715,,0.42857142857142855,0.75,1.0,1.0,,1.0,1.0,,,90.0,20.571428571428573,12.0,20.571428571428573,12.0,0.14285714285714285,,,,0.2857142857142857,,,0.2857142857142857,,,,0.5714285714285714,0.4714285714285714,,,,,9.225,24.866666666666664,,-10.0,1.0,1.0,,,,,,,,,,,,,,,,,0.14285714285714285,1.0,1.0,,,,,,1.0,,,,,,,,,0.14285714285714285,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1628915-1630119-1630139-204320-204329,1611661313,"Kia Nurse, Jazmine Jones, Jocelyn Willoughby, Amanda Zahui B, Kiah Stokes","Nurse, Jones, Willoughby, Zahui B, Stokes",1628915-1630119-1630139-204320-204329,NYL,417.0,5,7.0,16.0,12.0,3.0,3.0,28.0,1.0,2.0,,1.0,1.0,3.0,5.0,,2.0,7.0,5.0,5.0,12.0,9.0,,1.0,,2.0,2.0,2.0,2.0,5.0,,1.0,2.0,,5.0,1.0,4.0,6.0,7.0,1.0,1.0,1.0,3.0,5.0,8.0,1.0,3.0,10.0,2.0,3.0,0.5,0.5,0.2857142857142857,,0.2916666666666667,,0.36666666666666664,0.16666666666666666,0.4166666666666667,,,0.5,0.3333333333333333,0.45454545454545453,0.6,0.5,0.3333333333333333,96.69064748201438,14.25,15.75,13.25,14.5,0.16666666666666666,0.5,0.5,,0.25,0.3333333333333333,0.3333333333333333,0.4166666666666667,1.0,,,0.5833333333333334,0.47407916666666666,0.3941,0.21428571428571427,0.3333333333333333,0.16666666666666666,9.142857142857142,24.84,0.1875,3.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,2.0,2.0,1.0,1.0,1.0,0.16666666666666666,,,1.0,0.5,1.0,1.0,3.0,,,,,1.0,1.0,0.2,0.1111111111111111,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,0.2,0.2,,,0.2,0.25,1.0,0.2,1.0,2.0,2.0,1.0,1.0,0.5,0.2,0.2,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1628915-1630127-1630136-1630139-203406,1611661313,"Kia Nurse, Leaonna Odom, Megan Walker, Jocelyn Willoughby, Layshia Clarendon","Nurse, Odom, Walker, Willoughby, Clarendon",1628915-1630127-1630136-1630139-203406,NYL,173.0,1,3.0,4.0,4.0,3.0,4.0,8.0,,1.0,,1.0,,,2.0,2.0,,1.0,3.0,4.0,4.0,5.0,,1.0,2.0,2.0,2.0,,,2.0,,,,,,1.0,1.0,2.0,4.0,,,,,2.0,4.0,,2.0,,2.0,3.0,,,,,,,0.3333333333333333,0.25,0.75,,,1.0,0.5,0.6666666666666666,,1.0,0.5,66.58959537572254,15.75,27.5,14.25,25.0,0.25,,,,,,,0.5,0.3333333333333333,,0.6666666666666666,1.0,0.4383125,0.4413666666666667,0.3333333333333333,0.6666666666666666,0.5,3.4,24.066666666666666,0.75,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,2.0,,0.6666666666666666,,0.25,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1628915-1630119-1630136-203406-204329,1611661313,"Kia Nurse, Jazmine Jones, Megan Walker, Layshia Clarendon, Kiah Stokes","Nurse, Jones, Walker, Clarendon, Stokes",1628915-1630119-1630136-203406-204329,NYL,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2020,2020,False
1628915-1630127-203406-204320-204329,1611661313,"Kia Nurse, Leaonna Odom, Layshia Clarendon, Amanda Zahui B, Kiah Stokes","Nurse, Odom, Clarendon, Zahui B, Stokes",1628915-1630127-203406-204320-204329,NYL,8701.0,14,145.0,287.0,278.0,34.0,34.0,565.0,31.0,50.0,4.0,6.0,8.0,41.0,98.0,10.0,42.0,109.0,112.0,56.0,269.0,300.0,6.0,13.0,13.0,12.0,33.0,48.0,36.0,98.0,9.0,24.0,63.0,18.0,165.0,33.0,65.0,102.0,129.0,20.0,15.0,18.0,77.0,59.0,63.0,3.0,26.0,241.0,33.0,34.0,0.5714285714285714,0.6,0.3853211009174312,0.46153846153846156,0.4819004524886878,0.40384615384615385,0.5321285140562249,0.515625,0.5067873303167421,0.08256880733944955,0.0975609756097561,0.6701030927835051,0.7857142857142857,0.7050359712230215,0.75,0.6216216216216216,0.7948717948717948,93.5064935064935,15.857142857142858,14.928057553956835,15.404181184668989,14.226618705035971,0.22624434389140272,0.62,0.6739130434782609,0.5806451612903226,0.18552036199095023,0.1951219512195122,0.21621621621621623,0.4434389140271493,0.23076923076923078,0.6666666666666666,0.38461538461538464,0.7330316742081447,0.48798597285067874,0.4458192307692308,0.11020408163265306,0.19696969696969696,0.12267657992565056,6.73302752293578,24.795535714285712,0.11846689895470383,-31.0,3.0,18.0,3.0,4.0,35.0,21.0,36.0,14.0,2.0,71.0,8.0,19.0,2.0,10.0,19.0,0.49295774647887325,0.8,0.375,0.08144796380090498,0.16666666666666666,0.17647058823529413,12.0,0.631578947368421,4.0,3.0,24.0,14.0,1.0,3.0,8.0,18.0,27.0,0.28125,0.2,0.2857142857142857,0.06334841628959276,0.05,0.11538461538461539,0.5247933333333333,37.0,43.0,117.0,37.0,39.0,33.0,3.0,6.0,0.9069767441860465,0.38392857142857145,0.38392857142857145,0.08,1.0,0.37755102040816324,0.37755102040816324,0.8918918918918919,0.37755102040816324,12.0,9.0,28.0,,4.0,0.56,,,0.28125,0.10408921933085502,8.0,,0.12121212121212122,0.1206896551724138,0.125,3.0,7.0,6.0,2.0,3.0,7.0,1.0,5.0,3.0,3.0,12.0,4.0,6.0,1.0,4.0,5.0,4.0,7.0,1.0,5.0,9.0,4.0,6.0,5.0,2.0,3.0,1.0,7.0,0.375,0.23076923076923078,0.4166666666666667,0.475,0.05555555555555555,0.3333333333333333,0.2777777777777778,0.6,0.6666666666666666,0.03278688524590164,0.42857142857142855,0.42857142857142855,1.0,0.35,0.42857142857142855,0.6666666666666666,0.35,0.42857142857142855,1.0,0.6666666666666666,0.1,0.008849557522123894,,,,,,,,,1611661313,2020,2020,False
