EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsPutbacks,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,SelfOReb,PenaltyTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,AtRimAssists,PenaltyFg3Pct,AtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Fg3aBlocked,FTDefRebounds,LostBallTurnovers,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedAtRim,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceTurnovers,LongMidRangePctBlocked,Offensive Fouls,Offensive Fouls Drawn,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,HeaveMakes,Blocked3s,BlockedCorner3,3SecondViolations,BlockedArc3,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627678-1628280-202662-203826-204321,1611661323,"Bria Holmes, Brionna Jones, Jasmine Thomas, Alyssa Thomas, Kaleena Mosqueda-Lewis","Holmes, Jones, Thomas, Thomas, Mosqueda-Lewis",1627678-1628280-202662-203826-204321,CON,365.0,5,6.0,-1.0,13.0,12.0,3.0,4.0,1.0,25,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,6.0,1.0,3.0,4.0,13.0,14.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,6.0,1.0,2.0,12.0,3.0,3.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5416666666666666,0.5,0.75,0.3333333333333333,1.0,0.3333333333333333,0.2,0.5,98.63013698630138,15.076923076923077,14.083333333333334,14.615384615384615,13.5,0.1111111111111111,1.0,1.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.46818888888888893,0.1,0.14285714285714285,0.07692307692307693,0.23076923076923078,11.483333333333334,26.866666666666664,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1630097-202662-203826-204321,1611661323,"Brionna Jones, Kaila Charles, Jasmine Thomas, Alyssa Thomas, Kaleena Mosqueda-Lewis","Jones, Charles, Thomas, Thomas, Mosqueda-Lewis",1628280-1630097-202662-203826-204321,CON,230.0,2,4.0,7.0,9.0,9.0,4.0,3.0,3.0,18,1.0,4.0,5.0,,,,,3.0,9.0,,,7.0,13.0,6.0,1.0,3.0,4.0,6.0,,6.0,,,,,,,,,,4.0,4.0,9.0,1.0,1.0,,1.0,1.0,1.0,2.0,7.0,,8.0,3.0,2.0,10.0,6.0,4.0,2.0,,,,,,0.3333333333333333,0.3333333333333333,0.5416666666666666,0.375,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,112.69565217391303,12.222222222222221,13.333333333333334,10.0,13.333333333333334,0.4444444444444444,0.25,0.3333333333333333,0.5555555555555556,,,,,,,,,0.4444444444444444,,0.5002333333333334,0.3,0.3,0.23076923076923078,0.46153846153846156,6.288888888888889,,0.4444444444444444,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,0.25,1.0,0.25,1.0,0.2222222222222222,0.25,0.2,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.4,0.5,0.75,0.3333333333333333,0.549625,0.4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-201886-202662-203043-203826,1611661323,"Brionna Jones, DeWanna Bonner, Jasmine Thomas, Jacki Gemelos, Alyssa Thomas","Jones, Bonner, Thomas, Gemelos, Thomas",1628280-201886-202662-203043-203826,CON,192.0,2,3.0,-8.0,5.0,6.0,,1.0,2.0,11,,1.0,2.0,1.0,1.0,,2.0,1.0,4.0,,2.0,1.0,3.0,11.0,,,,,2.0,,,2.0,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,,3.0,,,,1.0,1.0,,,,0.25,0.16666666666666666,0.21428571428571427,,,0.3333333333333333,,0.3333333333333333,0.4,0.5,82.5,21.6,14.0,19.4,13.166666666666666,0.16666666666666666,,,0.3333333333333333,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,0.5,,0.41755000000000003,0.14285714285714285,0.2,,,8.7,25.95,,,1.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.5,,0.4794,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1629492-1630097-201886-202662-204321,1611661323,"Beatrice Mompremier, Kaila Charles, DeWanna Bonner, Jasmine Thomas, Kaleena Mosqueda-Lewis","Mompremier, Charles, Bonner, Thomas, Mosqueda-Lewis",1629492-1630097-201886-202662-204321,CON,66.0,1,1.0,2.0,2.0,1.0,,,,3,1.0,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,65.45454545454545,9.0,48.0,9.0,36.0,1.0,1.0,1.0,,,,,,,,,,1.0,,0.4605,,,,,2.4,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1627678-1628280-1629492-1629567-204321,1611661323,"Bria Holmes, Brionna Jones, Beatrice Mompremier, Natisha Hiedeman, Kaleena Mosqueda-Lewis","Holmes, Jones, Mompremier, Hiedeman, Mosqueda-Lewis",1627678-1628280-1629492-1629567-204321,CON,172.0,1,3.0,-5.0,6.0,6.0,6.0,6.0,1.0,12,1.0,2.0,2.0,,,2.0,3.0,1.0,4.0,2.0,3.0,,8.0,13.0,,,,8.0,2.0,,6.0,3.0,2.0,1.0,2.0,3.0,2.0,,8.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,8.0,8.0,6.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.25,0.5714285714285714,0.5714285714285714,,0.5714285714285714,0.42857142857142855,,0.3333333333333333,0.25,0.5,100.46511627906976,12.0,16.666666666666668,11.833333333333334,16.666666666666668,0.2857142857142857,0.5,0.5,0.2857142857142857,,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.7142857142857143,0.6666666666666666,0.4973571428571429,,,,1.0,3.525,25.599999999999998,1.0,,,,,,1.0,4.0,,1.0,,,,,,1.0,,,0.25,,0.5714285714285714,0.25,,0.5,,,,,,,,,,,,,0.41865,0.4973571428571429,,,,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.6666666666666666,1.0,1.0,0.2857142857142857,0.5,0.42857142857142855,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1627678-1628280-1629567-1630097-201886,1611661323,"Bria Holmes, Brionna Jones, Natisha Hiedeman, Kaila Charles, DeWanna Bonner","Holmes, Jones, Hiedeman, Charles, Bonner",1627678-1628280-1629567-1630097-201886,CON,308.0,2,5.0,,10.0,10.0,2.0,9.0,2.0,20,2.0,3.0,1.0,,2.0,1.0,3.0,3.0,6.0,1.0,3.0,2.0,11.0,11.0,,2.0,,,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,5.0,,1.0,6.0,,,,1.0,,1.0,3.0,1.0,,2.0,1.0,,9.0,,2.0,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.55,0.5,,0.3333333333333333,1.0,,0.25,,93.5064935064935,11.5,19.3,10.9,18.9,0.3333333333333333,0.6666666666666666,1.0,0.1111111111111111,0.2222222222222222,,,,0.3333333333333333,0.3333333333333333,0.5,1.0,0.6666666666666666,0.3333333333333333,0.4237944444444445,0.1,0.14285714285714285,0.18181818181818182,,9.216666666666667,24.366666666666664,0.2,1.0,2.0,1.0,1.0,2.0,,2.0,,1.0,2.0,1.0,5.0,,,2.0,,0.5,,0.5,,0.16666666666666666,0.3333333333333333,,1.0,0.5,0.6,,1.0,,0.6666666666666666,,1.0,1.0,1.0,0.5,0.38325,0.33570000000000005,1.0,0.5,0.5,,1.0,,,1.0,,,1.0,1.0,,0.5,,0.3333333333333333,,0.3333333333333333,,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1627678-1628280-201886-202662-203826,1611661323,"Bria Holmes, Brionna Jones, DeWanna Bonner, Jasmine Thomas, Alyssa Thomas","Holmes, Jones, Bonner, Thomas, Thomas",1627678-1628280-201886-202662-203826,CON,4069.0,7,68.0,11.0,138.0,137.0,24.0,23.0,11.0,275,19.0,27.0,44.0,5.0,17.0,8.0,26.0,47.0,88.0,11.0,31.0,14.0,141.0,130.0,1.0,11.0,2.0,25.0,58.0,36.0,27.0,26.0,8.0,29.0,9.0,38.0,7.0,4.0,85.0,9.0,13.0,61.0,16.0,9.0,7.0,16.0,8.0,24.0,36.0,23.0,,16.0,8.0,,130.0,25.0,24.0,,0.6170212765957447,0.6904761904761905,0.8181818181818182,0.3548387096774194,0.3548387096774194,0.5340909090909091,0.5336134453781513,0.5551181102362205,0.4583333333333333,0.5434782608695652,0.2605042016806723,0.6666666666666666,0.21951219512195122,0.21311475409836064,0.19047619047619047,97.32120914229542,15.652173913043478,13.934306569343066,15.166666666666666,13.153284671532846,0.226890756302521,0.7037037037037037,0.7037037037037037,0.3697478991596639,0.14285714285714285,0.29411764705882354,0.29411764705882354,0.8,0.2184873949579832,0.3076923076923077,0.3076923076923077,0.875,0.48739495798319327,0.3076923076923077,0.4596970588235294,0.06299212598425197,0.08333333333333333,0.07801418439716312,0.1773049645390071,8.105681818181818,25.019354838709678,0.17391304347826086,4.0,4.0,23.0,5.0,7.0,7.0,13.0,10.0,3.0,11.0,34.0,48.0,,3.0,18.0,,0.7142857142857143,0.5384615384615384,0.45454545454545453,0.5227272727272727,0.03409090909090909,,0.06818181818181818,0.6938775510204082,0.6875,0.6923076923076923,0.25,0.7096774193548387,0.75,0.6923076923076923,,0.5227272727272727,0.5609756097560976,0.36363636363636365,1.0,0.5648888888888889,0.4455318181818182,4.0,0.2,0.2222222222222222,2.0,3.0,4.0,2.0,7.0,4.0,3.0,9.0,13.0,0.3333333333333333,0.6842105263157895,0.36363636363636365,0.13636363636363635,0.6666666666666666,0.3181818181818182,0.2857142857142857,,3.0,8.0,,,0.6,3.0,5.0,1.0,2.0,6.0,2.0,12.0,3.0,8.0,1.0,1.0,3.0,1.0,5.0,6.0,6.0,6.0,2.0,5.0,0.25,0.5,0.6666666666666666,0.3333333333333333,0.5217391304347826,0.04201680672268908,0.6,0.6,0.6666666666666666,0.09090909090909091,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1627678-201886-202662-203043-203826,1611661323,"Bria Holmes, DeWanna Bonner, Jasmine Thomas, Jacki Gemelos, Alyssa Thomas","Holmes, Bonner, Thomas, Gemelos, Thomas",1627678-201886-202662-203043-203826,CON,572.0,2,10.0,-6.0,20.0,21.0,6.0,15.0,2.0,41,4.0,6.0,5.0,,2.0,,2.0,4.0,13.0,,2.0,6.0,14.0,20.0,,4.0,,6.0,4.0,4.0,,2.0,,2.0,,2.0,,,4.0,3.0,3.0,11.0,4.0,3.0,1.0,2.0,1.0,5.0,5.0,4.0,,6.0,3.0,,10.0,6.0,6.0,,0.5,1.0,,,,0.3076923076923077,0.26666666666666666,0.3888888888888889,0.6666666666666666,0.42857142857142855,0.13333333333333333,0.4,0.3333333333333333,0.2727272727272727,0.4,103.21678321678321,15.3,12.666666666666666,15.2,11.666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.13333333333333333,,,,0.13333333333333333,,,,0.5333333333333333,,0.4601366666666667,0.16666666666666666,0.1875,0.2857142857142857,0.42857142857142855,6.43076923076923,25.7,0.3,2.0,3.0,,2.0,3.0,3.0,7.0,4.0,,3.0,4.0,8.0,2.0,1.0,3.0,,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.42857142857142855,,,,0.5714285714285714,0.75,0.6363636363636364,0.5,0.6,1.0,0.6666666666666666,0.18181818181818182,,,1.0,0.6666666666666666,0.6058666666666667,0.47605714285714285,,,,3.0,4.0,,,,,,,2.0,,0.5,,0.5714285714285714,0.75,,,,1.0,1.0,,,1.0,,,,,,,,1.0,3.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1627678-202662-203826-203849-204321,1611661323,"Bria Holmes, Jasmine Thomas, Alyssa Thomas, Theresa Plaisance, Kaleena Mosqueda-Lewis","Holmes, Thomas, Thomas, Plaisance, Mosqueda-Lewis",1627678-202662-203826-203849-204321,CON,131.0,1,2.0,-1.0,4.0,5.0,,,1.0,9,,,2.0,1.0,1.0,,,1.0,3.0,,,,2.0,3.0,,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,2.0,,,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.25,,,,1.0,,,,98.93129770992367,16.5,13.0,14.25,11.2,,,,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,,,,,,,0.3969666666666667,0.25,0.25,,,9.433333333333334,,,,,,,1.0,,,,1.0,,2.0,2.0,,,1.0,,,,,,0.3333333333333333,,0.5,0.6666666666666666,,0.6666666666666666,,0.5,,,,,,,,0.4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
1628280-1629492-1630097-202662-204321,1611661323,"Brionna Jones, Beatrice Mompremier, Kaila Charles, Jasmine Thomas, Kaleena Mosqueda-Lewis","Jones, Mompremier, Charles, Thomas, Mosqueda-Lewis",1628280-1629492-1630097-202662-204321,CON,14.0,1,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2020,2020,True
