EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,Corner3Assists,ShortMidRangeAssists,DefTwoPtRebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Charge Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SelfOReb,BadPassOutOfBoundsTurnovers,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimAssists,LostBallSteals,AtRimPctAssisted,LongMidRangeFGM,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTurnovers,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,SecondChanceArc3Frequency,BadPassTurnovers,SecondChanceFtPoints,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,DefLongMidRangeReboundPct,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,PenaltyCorner3FGA,DefCorner3ReboundPct,PenaltyCorner3Frequency,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,OffThreePtRebounds,Charge Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,AtRimPctBlocked,OffArc3ReboundPct,FTOffRebounds,OffFTReboundPct,Offensive Fouls,BlockedAtRim,SecondChanceArc3FGM,Fg3aBlocked,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,HeaveAttempts,3SecondViolations,team_id,year,season,team_vs
1628277-1629481-1630112-203838-203866,1611661321,"Allisha Gray, Arike Ogunbowale, Tyasha Harris, Astou Ndour, Kayla Thornton","Gray, Ogunbowale, Harris, Ndour, Thornton",1628277-1629481-1630112-203838-203866,DAL,109.0,2,2.0,1.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.625,1.0,0.6,1.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0,92.4770642201835,15.0,16.333333333333332,14.75,16.333333333333332,0.25,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4003375,0.4624,0.2,0.25,0.3333333333333333,9.533333333333333,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1628277-1629478-1629481-1630112-204330,1611661321,"Allisha Gray, Katie Lou Samuelson, Arike Ogunbowale, Tyasha Harris, Isabelle Harrison","Gray, Lou Samuelson, Ogunbowale, Harris, Harrison",1628277-1629478-1629481-1630112-204330,DAL,285.0,3,5.0,7.0,9.0,9.0,,18.0,,,,,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,,13.0,6.0,,,,2.0,6.0,,3.0,2.0,2.0,3.0,1.0,8.0,,1.0,3.0,,3.0,1.0,2.0,,,,13.0,0.6666666666666666,0.75,0.75,0.6666666666666666,,0.9285714285714286,,0.9285714285714286,,0.5714285714285714,,1.0,0.75,,,1.0,90.94736842105263,14.555555555555555,17.11111111111111,14.555555555555555,17.11111111111111,,,,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,0.5714285714285714,0.6666666666666666,0.43674999999999997,,,,,9.566666666666666,24.725,6.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,6.0,0.5,0.5,0.5,0.6666666666666666,0.7,0.7,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,1.0,1.0,1.0,0.4,0.5,0.39566,0.5384615384615384,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1628277-1629478-1630112-1630149-204330,1611661321,"Allisha Gray, Katie Lou Samuelson, Tyasha Harris, Satou Sabally, Isabelle Harrison","Gray, Lou Samuelson, Harris, Sabally, Harrison",1628277-1629478-1630112-1630149-204330,DAL,100.0,3,2.0,-3.0,4.0,3.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,,1.0,,2.0,5.0,1.0,2.0,2.0,2.0,,2.0,1.0,,,,,,2.0,,,2.0,2.0,1.0,1.0,,,,,,,,0.25,0.5,0.2,0.5,0.2,0.5,0.2,0.6666666666666666,,,0.5,,,100.8,16.25,11.666666666666666,13.25,11.666666666666666,0.4,0.5,0.5,0.2,0.2,0.2,,,,1.0,0.5,0.6,,0.5204,0.65075,,,1.0,5.975,25.9,1.0,3.0,,,,,,1.0,3.0,,,2.0,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,0.5677666666666666,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1629481-1629497-1630112-203838-203866,1611661321,"Arike Ogunbowale, Marina Mabrey, Tyasha Harris, Astou Ndour, Kayla Thornton","Ogunbowale, Mabrey, Harris, Ndour, Thornton",1629481-1629497-1630112-203838-203866,DAL,166.0,2,3.0,3.0,6.0,5.0,,11.0,2.0,2.0,,,,,,2.0,2.0,2.0,1.0,3.0,,7.0,4.0,,,,2.0,3.0,,2.0,,1.0,2.0,,5.0,,1.0,1.0,,1.0,,,,,,7.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.7,,0.7,,0.6,,1.0,1.0,,,1.0,95.42168674698796,14.166666666666666,16.2,14.166666666666666,16.2,0.4,1.0,1.0,,,0.4,,,,,,1.0,,0.41199,,,,,3.45,24.233333333333334,3.0,,,1.0,1.0,,2.0,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,2.0,3.0,0.5,0.5,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,0.2,1.0,1.0,1.0,0.6666666666666666,,0.38348333333333334,0.2857142857142857,0.5,1.0,1.0,,1.0,,,,0.3333333333333333,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1628277-1629478-1629481-1630149-203866,1611661321,"Allisha Gray, Katie Lou Samuelson, Arike Ogunbowale, Satou Sabally, Kayla Thornton","Gray, Lou Samuelson, Ogunbowale, Sabally, Thornton",1628277-1629478-1629481-1630149-203866,DAL,190.0,2,3.0,3.0,8.0,6.0,,14.0,2.0,2.0,,,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,11.0,8.0,,,,6.0,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,,2.0,2.0,4.0,1.0,2.0,1.0,11.0,1.0,0.5,0.5,0.75,,0.75,,0.7857142857142857,,0.3333333333333333,,0.5,0.3333333333333333,,,0.5,106.10526315789474,10.75,17.333333333333332,10.75,15.166666666666666,0.3333333333333333,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.500025,,0.14285714285714285,0.2,,6.025,23.6,2.0,3.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,0.5138,0.18181818181818182,0.25,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1628277-1629478-1630093-1630112-1630149,1611661321,"Allisha Gray, Katie Lou Samuelson, Bella Alarie, Tyasha Harris, Satou Sabally","Gray, Lou Samuelson, Alarie, Harris, Sabally",1628277-1629478-1630093-1630112-1630149,DAL,254.0,4,4.0,-9.0,7.0,11.0,,18.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,4.0,,1.0,4.0,8.0,17.0,,,,,,,1.0,,,2.0,,4.0,,,2.0,,2.0,3.0,4.0,2.0,4.0,1.0,8.0,,,,0.5,,0.4,,0.5714285714285714,,0.2,,,0.6666666666666666,,,,102.04724409448819,17.714285714285715,11.818181818181818,17.714285714285715,11.818181818181818,0.4,1.0,1.0,0.2,0.2,0.2,,,,,,0.6,,0.38212,,0.16666666666666666,0.2,,8.325,26.9,4.0,8.0,,,,,1.0,2.0,2.0,,1.0,6.0,4.0,,2.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,6.0,4.0,1.0,1.0,,1.0,0.6666666666666666,0.75,0.6666666666666666,1.0,1.0,,,,,,,,0.3333333333333333,,0.3895,0.75,0.5714285714285714,2.0,2.0,,,,,,0.6666666666666666,1.0,2.0,,1.0,,,,,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1628277-1629481-1630093-203838-203866,1611661321,"Allisha Gray, Arike Ogunbowale, Bella Alarie, Astou Ndour, Kayla Thornton","Gray, Ogunbowale, Alarie, Ndour, Thornton",1628277-1629481-1630093-203838-203866,DAL,54.0,1,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,2.0,2.0,1.0,1.0,,,,,,,,0.25,,,1.0,,1.0,1.0,,,80.0,16.5,21.0,16.5,21.0,,,,,1.0,,,,,,,,,0.4077,,0.5,0.5,,17.5,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1628277-1629484-1629497-1630112-204330,1611661321,"Allisha Gray, Megan Gustafson, Marina Mabrey, Tyasha Harris, Isabelle Harrison","Gray, Gustafson, Mabrey, Harris, Harrison",1628277-1629484-1629497-1630112-204330,DAL,172.0,1,3.0,-5.0,6.0,6.0,1.0,12.0,1.0,2.0,,,2.0,,2.0,3.0,1.0,4.0,2.0,3.0,,8.0,13.0,,,,,6.0,,3.0,2.0,2.0,3.0,2.0,8.0,1.0,,,1.0,1.0,1.0,1.0,,,,8.0,1.0,0.6666666666666666,0.6666666666666666,0.25,,0.5714285714285714,,0.5714285714285714,,0.42857142857142855,0.3333333333333333,,,0.25,0.5,,100.46511627906976,12.0,16.666666666666668,11.833333333333334,16.666666666666668,0.2857142857142857,0.5,0.5,0.2857142857142857,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,0.7142857142857143,0.6666666666666666,0.4973571428571429,0.41865,,,,3.525,25.599999999999998,6.0,6.0,,,,2.0,3.0,1.0,4.0,2.0,3.0,8.0,2.0,,1.0,,,,,,,,,,,8.0,6.0,1.0,1.0,0.6666666666666666,0.25,0.5714285714285714,0.5714285714285714,,,,,,,,,,,0.42857142857142855,0.6666666666666666,0.4973571428571429,1.0,1.0,1.0,2.0,,,,,,0.2857142857142857,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1629478-1629481-1629497-1630149-203838,1611661321,"Katie Lou Samuelson, Arike Ogunbowale, Marina Mabrey, Satou Sabally, Astou Ndour","Lou Samuelson, Ogunbowale, Mabrey, Sabally, Ndour",1629478-1629481-1629497-1630149-203838,DAL,238.0,2,4.0,-2.0,8.0,7.0,,15.0,2.0,2.0,,,2.0,1.0,,2.0,2.0,5.0,,2.0,,4.0,6.0,,,,2.0,,,2.0,,,1.0,,2.0,,2.0,2.0,,2.0,1.0,2.0,,,,4.0,,,,0.4,,0.2857142857142857,,0.2857142857142857,,0.2857142857142857,,0.6666666666666666,0.5,,,1.0,90.7563025210084,14.75,17.142857142857142,14.75,15.857142857142858,0.2857142857142857,1.0,1.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,,,,,,0.5714285714285714,,0.5005499999999999,,,,,7.7,25.6,,2.0,,,,,,,,,,,2.0,,1.0,,,,2.0,2.0,1.0,,1.0,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
1629478-1629481-1630093-1630149-203866,1611661321,"Katie Lou Samuelson, Arike Ogunbowale, Bella Alarie, Satou Sabally, Kayla Thornton","Lou Samuelson, Ogunbowale, Alarie, Sabally, Thornton",1629478-1629481-1630093-1630149-203866,DAL,6.0,1,,-2.0,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2020,2020,False
