EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyDefPoss,NonShootingPenaltyNonTakeFouls,PenaltyOffPoss,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,FG3M,SecondChanceFG2A,PenaltyFG2M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Charge Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Travels,PtsUnassisted3s,Transition Take Fouls Drawn,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Transition Take Fouls,team_id,year,season,team_vs
1628278-1628878-1631021-1642210-1642290,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Sika Koné, Julie Vanloo, Aaliyah Edwards","Walker-Kimbrough, Atkins, Koné, Vanloo, Edwards",1628278-1628878-1631021-1642210-1642290,WAS,54.0,1,1.0,2.0,2.0,4,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,106.66666666666666,13.5,13.5,13.5,13.5,1.0,0.5,0.5,1.0,0.3728,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628278-1628279-1628878-1630459-1642290,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, DiDi Richards, Aaliyah Edwards","Walker-Kimbrough, Sykes, Atkins, Richards, Edwards",1628278-1628279-1628878-1630459-1642290,WAS,1.0,1,,,1.0,1,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,-2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628279-1628317-1628899-1630459-203828,1611661322,"Brittney Sykes, Karlie Samuelson, Myisha Hines-Allen, DiDi Richards, Stefanie Dolson","Sykes, Samuelson, Hines-Allen, Richards, Dolson",1628279-1628317-1628899-1630459-203828,WAS,126.0,1,2.0,4.0,4.0,8,,1.0,,1.0,1.0,6.0,,,,,,,2.0,2.0,1.0,4.0,1.0,,,,,0.16666666666666666,,0.3333333333333333,,91.42857142857143,14.5,17.0,14.5,13.5,0.5,,,,0.451975,9.8,-5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.16666666666666666,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.451975,1.0,23.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628279-1628317-1628899-1642210-1642290,1611661322,"Brittney Sykes, Karlie Samuelson, Myisha Hines-Allen, Julie Vanloo, Aaliyah Edwards","Sykes, Samuelson, Hines-Allen, Vanloo, Edwards",1628279-1628317-1628899-1642210-1642290,WAS,31.0,1,1.0,,1.0,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,46.4516129032258,,15.0,,15.0,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628278-1628279-1628878-1630459-1631022,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, DiDi Richards, Shakira Austin","Walker-Kimbrough, Sykes, Atkins, Richards, Austin",1628278-1628279-1628878-1630459-1631022,WAS,1.0,1,,,1.0,1,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,-2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628317-1630134-1631021-1631141-1642290,1611661322,"Karlie Samuelson, Sug Sutton, Sika Koné, Jade Melbourne, Aaliyah Edwards","Samuelson, Sutton, Koné, Melbourne, Edwards",1628317-1630134-1631021-1631141-1642290,WAS,223.0,1,4.0,7.0,8.0,15,1.0,1.0,2.0,5.0,7.0,6.0,4.0,2.0,3.0,1.0,7.0,2.0,2.0,5.0,1.0,2.0,7.0,1.0,1.0,0.4,0.5,0.5,0.5,0.5,,96.8609865470852,15.571428571428571,14.25,15.285714285714286,11.125,0.14285714285714285,1.0,1.0,1.0,0.5260214285714285,6.62,1.0,,,2.0,1.0,,2.0,,2.0,1.0,,2.0,1.0,,,2.0,1.0,3.0,,1.0,,,2.0,2.0,,0.3333333333333333,0.2857142857142857,0.6666666666666666,,,,0.14285714285714285,,0.7142857142857143,0.64535,0.2857142857142857,24.05,0.2857142857142857,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.75,0.5,1.0,1.0,1.0,0.3333333333333333,0.25,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628278-1628317-1631021-1631083-1631141,1611661322,"Shatori Walker-Kimbrough, Karlie Samuelson, Sika Koné, Emily Engstler, Jade Melbourne","Walker-Kimbrough, Samuelson, Koné, Engstler, Melbourne",1628278-1628317-1631021-1631083-1631141,WAS,2401.0,7,40.0,78.0,74.0,152,4.0,12.0,22.0,44.0,89.0,63.0,30.0,15.0,25.0,1.0,60.0,19.0,24.0,34.0,5.0,15.0,81.0,0.6818181818181818,0.7142857142857143,0.5,0.5441176470588235,0.5855263157894737,0.76,0.7058823529411765,0.7272727272727273,91.16201582673887,15.08974358974359,16.54054054054054,14.397435897435898,15.108108108108109,0.17647058823529413,0.3333333333333333,0.4,0.25,0.5427597014925373,5.9,26.0,12.0,,22.0,17.0,6.0,24.0,15.0,8.0,9.0,8.0,28.0,16.0,5.0,,5.0,1.0,13.0,3.0,18.0,18.0,2.0,28.0,22.0,2.0,0.6363636363636364,0.35294117647058826,0.38461538461538464,,0.5555555555555556,0.6666666666666666,0.25,0.35294117647058826,0.7205882352941176,0.5344441176470588,0.3146067415730337,25.170833333333334,0.28205128205128205,9.0,16.0,25.0,3.0,2.0,5.0,7.0,7.0,3.0,6.0,10.0,5.0,4.0,30.0,6.0,10.0,6.0,12.0,4.0,6.0,10.0,4.0,12.0,11.0,1.0,4.0,8.0,1.0,,1.0,0.4166666666666667,0.43478260869565216,0.5,0.5882352941176471,0.3,0.3076923076923077,0.30303030303030304,0.14285714285714285,0.4,0.3333333333333333,0.8,0.75,0.13793103448275862,0.36764705882352944,0.64,0.6956521739130435,0.75,0.10294117647058823,0.10294117647058823,0.35294117647058826,0.35294117647058826,1.0,0.3333333333333333,0.29411764705882354,0.4,0.17647058823529413,0.375,1.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,8.0,4.0,14.0,2.0,1.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,7.0,2.0,1.0,4.0,1.0,1.0,2.0,9.0,4.0,1.0,0.25,0.4444444444444444,0.2,0.2777777777777778,0.4,0.11363636363636363,0.08,0.16666666666666666,0.14285714285714285,0.375,0.3,0.3333333333333333,0.4444444444444444,0.2857142857142857,0.3333333333333333,1.0,0.5714285714285714,0.5714285714285714,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5612333333333334,0.10810810810810811,0.16,0.0898876404494382,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628278-1628878-1631021-1631141-203828,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Sika Koné, Jade Melbourne, Stefanie Dolson","Walker-Kimbrough, Atkins, Koné, Melbourne, Dolson",1628278-1628878-1631021-1631141-203828,WAS,14.0,1,,,1.0,1,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,102.85714285714286,,14.0,,14.0,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628278-1628878-1630459-1631083-1642210,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, DiDi Richards, Emily Engstler, Julie Vanloo","Walker-Kimbrough, Atkins, Richards, Engstler, Vanloo",1628278-1628878-1630459-1631083-1642210,WAS,88.0,1,1.0,4.0,3.0,7,,1.0,,1.0,4.0,,,,1.0,,3.0,1.0,1.0,2.0,,,3.0,,,,0.5,0.5,1.0,1.0,1.0,114.54545454545455,14.25,10.333333333333334,13.75,10.333333333333334,0.3333333333333333,,,,0.40773333333333334,12.9,4.0,,,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,1.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,0.5,0.6666666666666666,,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.40773333333333334,1.0,26.1,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,3.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,0.5,0.5,,0.5,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,0.5,,,0.5,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
1628278-1628878-1631083-1631141-1642210,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Emily Engstler, Jade Melbourne, Julie Vanloo","Walker-Kimbrough, Atkins, Engstler, Melbourne, Vanloo",1628278-1628878-1631083-1631141-1642210,WAS,235.0,1,4.0,8.0,7.0,15,2.0,5.0,4.0,7.0,13.0,4.0,4.0,2.0,3.0,2.0,7.0,1.0,1.0,3.0,,,8.0,0.5,0.6666666666666666,0.5714285714285714,0.6111111111111112,0.65,0.3333333333333333,0.3333333333333333,0.3333333333333333,91.91489361702128,13.375,18.285714285714285,13.125,16.142857142857142,0.5555555555555556,0.4,0.4,1.0,0.5104777777777777,6.0,9.0,,,,2.0,,2.0,2.0,,,,,2.0,,,,,,,2.0,2.0,,,,,,0.2222222222222222,,,,,0.2222222222222222,,0.3333333333333333,,,26.2,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3.0,2.0,1.0,,,,,1.0,0.5,0.5,,,0.3333333333333333,1.0,0.5,,,,,,,0.1111111111111111,1.0,1.0,,0.1111111111111111,,0.5,0.5,1.0,0.5,,,,0.5,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,5.0,,4.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,2.0,1.0,,1.0,,1.0,1.25,1.25,,,,,0.3333333333333333,1.0,,0.5,1.0,1.0,,,,,1.0,,0.5,1.0,1.0,,0.8104,0.1,0.125,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,False
