EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG3A,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPoss,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Steals,LostBallSteals,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,PenaltyTsPct,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,BadPassSteals,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PtsUnassisted3s,BadPassTurnovers,PenaltyTurnovers,BlockedLongMidRange,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,LongMidRangeFGM,PenaltyCorner3FGA,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,FTDefRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,Transition Take Fouls Drawn,PenaltyCorner3FGM,Technical Free Throw Trips,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,Clear Path Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,HeaveAttempts,3SecondViolations,Corner3PctBlocked,BlockedCorner3,Transition Take Fouls,team_id,year,season,team_vs
1628508-1629524-1629567-1641667-1642293,1611661324,"Cecilia Zandalasini, Bridget Carleton, Natisha Hiedeman, Taylor Soule, Alissa Pili","Zandalasini, Carleton, Hiedeman, Soule, Pili",1628508-1629524-1629567-1641667-1642293,MIN,32.0,1,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,14.0,18.0,14.0,18.0,1.0,1.0,1.0,1.0,0.3126,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1627675-1629501-1629524-1629567-203825,1611661324,"Courtney Williams, Alanna Smith, Bridget Carleton, Natisha Hiedeman, Kayla McBride","Williams, Smith, Carleton, Hiedeman, McBride",1627675-1629501-1629524-1629567-203825,MIN,174.0,2,3.0,-3.0,6.0,6.0,12.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,,2.0,4.0,0.5,0.5,0.5,0.4,0.4,99.3103448275862,14.166666666666666,14.833333333333334,13.833333333333334,11.333333333333334,0.6,0.3333333333333333,0.5,,0.41041,7.05,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.3333333333333333,1.0,0.25,0.5,0.6666666666666666,0.42857142857142855,0.5,0.5,1.0,1.0,0.5,1.0,0.2,1.0,1.0,1.0,0.2,0.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1628508-1629524-1630151-1631021-1642293,1611661324,"Cecilia Zandalasini, Bridget Carleton, Olivia Époupa, Sika Koné, Alissa Pili","Zandalasini, Carleton, Époupa, Koné, Pili",1628508-1629524-1630151-1631021-1642293,MIN,155.0,2,3.0,-5.0,6.0,5.0,11.0,,2.0,,2.0,3.0,,,,,,2.0,,,,,0.3,102.19354838709677,15.5,12.4,15.5,12.4,0.6666666666666666,,,,0.3914333333333333,12.45,5.0,1.0,,,1.0,1.0,8.0,,1.0,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,0.3333333333333333,,,1.0,,0.5,1.0,1.0,0.3333333333333333,0.5,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,24.1,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,0.5,0.16666666666666666,0.3185,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1627675-1628508-1629483-1629524-1642293,1611661324,"Courtney Williams, Cecilia Zandalasini, Napheesa Collier, Bridget Carleton, Alissa Pili","Williams, Zandalasini, Collier, Carleton, Pili",1627675-1628508-1629483-1629524-1642293,MIN,48.0,1,1.0,4.0,2.0,1.0,3.0,,,,,4.0,,,,,,4.0,,,,,1.0,90.0,5.0,38.0,5.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,2.0,2.0,1.0,,2.0,,4.0,2.0,,2.0,1.0,,,1.0,,1.0,1.0,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1628508-1629501-1630151-1641649-1641657,1611661324,"Cecilia Zandalasini, Alanna Smith, Olivia Époupa, Diamond Miller, Dorka Juhász","Zandalasini, Smith, Époupa, Miller, Juhász",1628508-1629501-1630151-1641649-1641657,MIN,27.0,1,,-2.0,,1.0,1.0,,,,,,,,,,,,,,,,,53.33333333333333,,20.0,,20.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1628508-1629483-1629501-1629524-1629567,1611661324,"Cecilia Zandalasini, Napheesa Collier, Alanna Smith, Bridget Carleton, Natisha Hiedeman","Zandalasini, Collier, Smith, Carleton, Hiedeman",1628508-1629483-1629501-1629524-1629567,MIN,856.0,8,14.0,1.0,27.0,24.0,51.0,2.0,4.0,3.0,10.0,26.0,2.0,1.0,5.0,,14.0,23.0,0.3333333333333333,0.3333333333333333,0.3,0.4090909090909091,0.5,85.79439252336448,17.14814814814815,16.375,16.22222222222222,16.083333333333332,0.18181818181818182,0.5,0.6666666666666666,,0.4863522727272727,8.26,,3.0,1.0,4.0,9.0,12.0,25.0,4.0,9.0,2.0,1.0,,1.0,6.0,7.0,3.0,10.0,,1.0,1.0,5.0,,,4.0,2.0,2.0,2.0,,0.5454545454545454,0.2,0.25,0.2,0.6666666666666666,,0.5,0.6363636363636364,0.2,,0.6666666666666666,1.0,,,0.18181818181818182,0.25,0.3333333333333333,1.0,0.4090909090909091,0.7272727272727273,24.916666666666668,2.0,8.0,,3.0,,,,4.0,,6.0,,9.0,4.0,,,2.0,,0.5,,0.48765,0.19230769230769232,0.2857142857142857,0.11538461538461539,,0.07407407407407407,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,12.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.25,0.375,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.09090909090909091,0.13636363636363635,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.2222222222222222,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.2222222222222222,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1628508-1629483-1629567-1641649-1641657,1611661324,"Cecilia Zandalasini, Napheesa Collier, Natisha Hiedeman, Diamond Miller, Dorka Juhász","Zandalasini, Collier, Hiedeman, Miller, Juhász",1628508-1629483-1629567-1641649-1641657,MIN,496.0,4,8.0,1.0,15.0,17.0,32.0,2.0,2.0,4.0,10.0,15.0,4.0,2.0,2.0,,4.0,9.0,0.5,0.5,0.4,0.39285714285714285,0.4166666666666667,92.9032258064516,17.8,13.470588235294118,16.466666666666665,13.0,0.14285714285714285,1.0,1.0,,0.5199321428571428,3.05,4.0,4.0,2.0,8.0,4.0,4.0,14.0,4.0,4.0,,2.0,3.0,3.0,4.0,7.0,5.0,12.0,1.0,3.0,,3.0,,,1.0,1.0,,1.0,,0.2857142857142857,,,1.0,0.8,0.5,1.0,0.875,0.5555555555555556,,,1.0,,0.1111111111111111,0.5714285714285714,0.25,0.25,1.0,0.2857142857142857,0.8571428571428571,26.325,9.0,4.0,3.0,6.0,5.0,1.0,12.0,1.0,,5.0,,8.0,2.0,2.0,12.0,9.0,2.0,0.6,0.75,0.46070833333333333,0.125,0.16666666666666666,0.4,0.8,0.6,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,2.0,,,,,,,,,0.25,1.0,0.25,0.5,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.25,0.25,,,,,0.3333333333333333,0.16666666666666666,0.25,,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,0.8,0.9166666666666666,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.394325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1627675-1628899-1629483-1629524-203825,1611661324,"Courtney Williams, Myisha Hines-Allen, Napheesa Collier, Bridget Carleton, Kayla McBride","Williams, Hines-Allen, Collier, Carleton, McBride",1627675-1628899-1629483-1629524-203825,MIN,2736.0,10,46.0,-9.0,92.0,87.0,179.0,13.0,32.0,23.0,59.0,84.0,20.0,10.0,16.0,6.0,38.0,68.0,0.43478260869565216,0.5555555555555556,0.3898305084745763,0.3941176470588235,0.44680851063829785,94.21052631578947,14.608695652173912,16.0,13.771739130434783,15.701149425287356,0.3764705882352941,0.40625,0.4642857142857143,0.46153846153846156,0.46565352941176474,7.744067796610169,27.0,17.0,9.0,17.0,22.0,26.0,93.0,26.0,22.0,5.0,3.0,13.0,10.0,18.0,30.0,18.0,48.0,1.0,2.0,1.0,13.0,4.0,8.0,22.0,2.0,,2.0,,0.3058823529411765,0.0847457627118644,0.125,0.15384615384615385,0.75,0.3611111111111111,0.6666666666666666,0.717948717948718,0.34615384615384615,0.5263157894736842,0.8571428571428571,0.5833333333333334,1.0,0.02127659574468085,0.2,0.5294117647058824,0.5625,0.3333333333333333,0.25882352941176473,0.5058823529411764,25.51153846153846,34.0,17.0,4.0,16.0,29.0,8.0,30.0,8.0,4.0,18.0,1.0,19.0,8.0,2.0,30.0,34.0,2.0,0.5333333333333333,0.375,0.42888472222222224,0.08695652173913043,0.12121212121212122,0.19047619047619047,0.35714285714285715,0.3695652173913043,4.0,10.0,1.0,4.0,,,6.0,3.0,6.0,7.0,10.0,,3.0,7.0,18.0,6.0,6.0,5.0,1.0,5.0,4.0,11.0,,1.0,,,1.0,0.8571428571428571,0.2692307692307692,,0.2692307692307692,0.46153846153846156,0.058823529411764705,0.3125,0.2857142857142857,1.0,0.6666666666666666,0.5,0.11764705882352941,0.047058823529411764,0.25,0.25,1.0,0.2727272727272727,0.2727272727272727,0.8333333333333334,,,,0.23076923076923078,0.16666666666666666,0.2727272727272727,,5.0,2.0,5.0,,,11.0,,3.0,1.0,1.0,,,0.3793103448275862,0.3055555555555556,0.25,0.38461538461538464,,0.1388888888888889,0.4,,0.5315444444444445,4.0,1.0,1.0,6.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,0.6,0.6666666666666666,0.1111111111111111,0.5,0.1,0.1,1.0,0.8,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1629483-1629567-1641649-1642293-203825,1611661324,"Napheesa Collier, Natisha Hiedeman, Diamond Miller, Alissa Pili, Kayla McBride","Collier, Hiedeman, Miller, Pili, McBride",1629483-1629567-1641649-1642293-203825,MIN,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
1627675-1628508-1629483-1630151-1641657,1611661324,"Courtney Williams, Cecilia Zandalasini, Napheesa Collier, Olivia Époupa, Dorka Juhász","Williams, Zandalasini, Collier, Époupa, Juhász",1627675-1628508-1629483-1630151-1641657,MIN,27.0,1,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,106.66666666666666,3.0,24.0,3.0,24.0,,,,,0.8025,2.2,,,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2024,2024,True
