EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassSteals,DeadBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyAtRimFGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,LostBallOutOfBoundsTurnovers,3SecondViolations,Charge Fouls,Charge Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3FGA,NonShootingFoulsDrawn,BlockedArc3,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628280-1629497-1630096-1631007-201886,1611661323,"Brionna Jones, Marina Mabrey, DiJonai Carrington, Veronica Burton, DeWanna Bonner","Jones, Mabrey, Carrington, Burton, Bonner",1628280-1629497-1630096-1631007-201886,CON,304.0,2,5,-1.0,9,9,2.0,1.0,1.0,18,3.0,5.0,1.0,1.0,1.0,3.0,6.0,1.0,5.0,11.0,12.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,1.0,6.0,3.0,11.0,3.0,2.0,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.55,0.75,0.14285714285714285,0.16666666666666666,0.2,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.75,0.5,0.5,1.0,1.0,0.6666666666666666,85.26315789473685,18.11111111111111,15.666666666666666,17.444444444444443,14.11111111111111,0.7142857142857143,0.6,0.75,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.5,0.8571428571428571,0.5346428571428572,0.3557,0.3,0.3333333333333333,0.2727272727272727,3.966666666666667,23.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1629497-1630096-1631007-203826,1611661323,"Brionna Jones, Marina Mabrey, DiJonai Carrington, Veronica Burton, Alyssa Thomas","Jones, Mabrey, Carrington, Burton, Thomas",1628280-1629497-1630096-1631007-203826,CON,229.0,5,4,-6.0,26,27,3.0,8.0,4.0,53,2.0,8.0,3.0,4.0,4.0,4.0,18.0,5.0,2.0,16.0,22.0,4.0,,,8.0,,3.0,,4.0,6.0,2.0,14.0,1.0,2.0,5.0,8.0,14.0,4.0,18.0,3.0,2.0,3.0,1.0,5.0,3.0,4.0,5.0,,4.0,2.0,12.0,,3.0,1.0,1.0,0.2222222222222222,0.30434782608695654,0.32,,0.21739130434782608,,,0.6,1.0,0.15384615384615385,1.0,0.3333333333333333,1.0,0.1875,0.16666666666666666,0.3333333333333333,1.0,1.0,333.27510917030565,-7.269230769230769,15.481481481481481,-7.9653846153846155,15.333333333333334,0.34782608695652173,0.25,0.25,1.0,0.17391304347826086,0.17391304347826086,0.75,0.5652173913043478,0.4954590909090909,0.5961,0.08,0.1,,7.633333333333334,31.3,0.11538461538461539,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.2,1.0,1.0,1.0,0.125,0.2608695652173913,0.16666666666666666,0.16666666666666666,1.0,0.25,0.25,1.0,0.043478260869565216,1.0,1.0,1.0,0.25,0.25,1.0,0.6666666666666666,1.0,0.5,0.5,0.3333333333333333,0.475775,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1629497-1630096-201886-203826,1611661323,"Brionna Jones, Marina Mabrey, DiJonai Carrington, DeWanna Bonner, Alyssa Thomas","Jones, Mabrey, Carrington, Bonner, Thomas",1628280-1629497-1630096-201886-203826,CON,4212.0,5,70,4.0,133,129,16.0,5.0,18.0,262,30.0,48.0,7.0,14.0,29.0,43.0,91.0,35.0,23.0,142.0,138.0,12.0,7.0,24.0,60.0,26.0,29.0,9.0,30.0,40.0,18.0,90.0,8.0,15.0,20.0,26.0,47.0,24.0,71.0,11.0,4.0,11.0,7.0,20.0,9.0,22.0,23.0,1.0,27.0,13.0,124.0,24.0,16.0,0.6976744186046512,0.7692307692307693,0.4725274725274725,0.4722222222222222,0.5145985401459854,0.75,0.2777777777777778,0.0989010989010989,0.10416666666666667,0.55,0.7428571428571429,0.3125,0.8,0.3333333333333333,0.7666666666666667,0.3194444444444444,0.3888888888888889,0.3,0.5833333333333334,0.8095238095238095,89.57264957264957,16.466165413533833,15.674418604651162,15.646616541353383,14.875968992248062,0.38095238095238093,0.625,0.6976744186046512,0.6,0.1111111111111111,0.23015873015873015,0.4117647058823529,0.6587301587301587,0.5236861111111111,0.5164692307692308,0.10218978102189781,0.12871287128712872,0.16901408450704225,6.361538461538461,25.388571428571428,0.12030075187969924,4.0,5.0,9.0,29.0,4.0,2.0,6.0,9.0,4.0,11.0,5.0,18.0,9.0,4.0,30.0,,9.0,10.0,8.0,2.0,8.0,4.0,1.0,1.0,2.0,7.0,9.0,4.0,2.0,4.0,0.9090909090909091,0.3142857142857143,0.3142857142857143,0.4166666666666667,0.38235294117647056,0.47368421052631576,1.0,0.3333333333333333,0.35,0.9166666666666666,0.7272727272727273,0.75,0.03225806451612903,0.23015873015873015,0.3103448275862069,0.34615384615384615,0.8888888888888888,0.2857142857142857,0.3076923076923077,1.0,0.047619047619047616,0.3333333333333333,0.3333333333333333,1.0,0.3103448275862069,0.32142857142857145,0.8888888888888888,0.5714285714285714,,0.38461538461538464,0.3076923076923077,0.3103448275862069,0.5275653846153846,0.1267605633802817,5.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,7.0,1.0,3.0,8.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,6.0,5.0,1.0,0.2,0.25,0.7777777777777778,0.6538461538461539,0.02857142857142857,0.10344827586206896,0.07142857142857142,0.034482758620689655,0.1,0.5,0.8333333333333334,0.058823529411764705,0.23529411764705882,0.25,1.0,1.0,0.25,0.027777777777777776,,,,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1629497-1630112-1631007-203826,1611661323,"Brionna Jones, Marina Mabrey, Tyasha Harris, Veronica Burton, Alyssa Thomas","Jones, Mabrey, Harris, Burton, Thomas",1628280-1629497-1630112-1631007-203826,CON,137.0,1,2,-2.0,4,5,,,1.0,9,1.0,1.0,,1.0,,2.0,4.0,1.0,,4.0,6.0,1.0,,,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,4.0,,,0.5,0.5,0.5,0.4,0.4,,0.2,0.25,,,,,1.0,1.0,1.0,0.3333333333333333,,,,1.0,94.59854014598541,20.75,10.8,19.75,10.8,0.2,1.0,1.0,,0.2,,,0.4,0.41346,0.354,,,,8.85,22.4,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,1.0,1.0,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,0.5,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1629497-1631007-201886-203826,1611661323,"Brionna Jones, Marina Mabrey, Veronica Burton, DeWanna Bonner, Alyssa Thomas","Jones, Mabrey, Burton, Bonner, Thomas",1628280-1629497-1631007-201886-203826,CON,377.0,2,6,1.0,13,11,8.0,4.0,2.0,24,3.0,4.0,1.0,2.0,2.0,6.0,10.0,2.0,4.0,16.0,15.0,1.0,2.0,12.0,10.0,2.0,2.0,,5.0,5.0,3.0,10.0,2.0,,2.0,1.0,3.0,2.0,5.0,,,,,1.0,2.0,3.0,2.0,,4.0,2.0,14.0,12.0,8.0,0.8333333333333334,0.8333333333333334,0.6,0.5,0.5714285714285714,0.6,0.16666666666666666,,,,1.0,,1.0,1.0,1.0,0.3333333333333333,,1.0,,1.0,91.6710875331565,16.384615384615383,14.909090909090908,15.384615384615385,14.909090909090908,0.3333333333333333,0.75,0.75,1.0,0.16666666666666666,0.16666666666666666,1.0,0.5,0.5172625000000001,,0.14285714285714285,0.16666666666666666,0.75,7.35,24.6,0.6153846153846154,,3.0,1.0,4.0,2.0,,,,2.0,,,2.0,7.0,2.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,0.5,,,,1.0,,,,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,0.3333333333333333,0.2222222222222222,,0.5180611111111112,0.125,2.0,,,,,,,2.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,0.7142857142857143,0.5555555555555556,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1630096-1630112-1631007-203826,1611661323,"Brionna Jones, DiJonai Carrington, Tyasha Harris, Veronica Burton, Alyssa Thomas","Jones, Carrington, Harris, Burton, Thomas",1628280-1630096-1630112-1631007-203826,CON,250.0,1,4,-2.0,7,8,,2.0,1.0,15,2.0,4.0,1.0,,2.0,3.0,5.0,2.0,3.0,9.0,11.0,1.0,,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,1.0,2.0,2.0,4.0,1.0,,1.0,1.0,1.0,2.0,4.0,2.0,,3.0,2.0,7.0,,,0.3333333333333333,0.5,0.6,0.42857142857142855,0.5625,,0.2857142857142857,0.2,0.25,1.0,0.5,1.0,,,0.3333333333333333,0.5,1.0,,,,86.39999999999999,18.571428571428573,15.0,18.428571428571427,13.75,0.5714285714285714,0.5,0.6666666666666666,0.5,,0.2857142857142857,1.0,0.8571428571428571,0.5553714285714285,0.5982,0.25,0.3333333333333333,,2.96,25.3,,1.0,,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,0.14285714285714285,1.0,1.0,,,,,,,,,,,,1.0,,,,,,0.2222222222222222,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1630096-1630112-201886-203826,1611661323,"Brionna Jones, DiJonai Carrington, Tyasha Harris, DeWanna Bonner, Alyssa Thomas","Jones, Carrington, Harris, Bonner, Thomas",1628280-1630096-1630112-201886-203826,CON,1373.0,4,23,,42,44,3.0,,8.0,86,6.0,16.0,6.0,5.0,4.0,10.0,33.0,7.0,7.0,39.0,39.0,10.0,,2.0,12.0,8.0,4.0,8.0,6.0,9.0,4.0,21.0,,13.0,7.0,11.0,18.0,14.0,32.0,4.0,2.0,2.0,2.0,11.0,3.0,7.0,8.0,1.0,10.0,5.0,30.0,2.0,3.0,0.6,0.6666666666666666,0.30303030303030304,0.4,0.4318181818181818,1.0,0.175,0.24242424242424243,0.3125,0.18181818181818182,0.8461538461538461,0.5652173913043478,0.7777777777777778,,0.8181818181818182,0.5,0.6,,0.8,0.75,90.19664967225054,16.928571428571427,15.045454545454545,14.928571428571429,14.454545454545455,0.4,0.375,0.5454545454545454,0.6666666666666666,0.125,0.1,0.5454545454545454,0.575,0.50904625,0.51375,0.11363636363636363,0.13513513513513514,0.05128205128205128,6.481818181818182,23.414285714285715,0.07142857142857142,2.0,,3.0,12.0,1.0,2.0,3.0,2.0,,4.0,2.0,9.0,1.0,,9.0,,2.0,3.0,2.0,1.0,2.0,,1.0,,3.0,2.0,9.0,,2.0,2.0,0.75,0.5714285714285714,0.5714285714285714,0.2,0.3181818181818182,0.375,,0.5,0.4444444444444444,1.0,0.75,1.0,0.16666666666666666,0.3,0.25,0.3333333333333333,0.6666666666666666,0.2,0.2,,0.075,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,,,0.5,0.3114,0.23076923076923078,,,1.0,1.0,,1.0,1.0,2.0,1.0,,3.0,2.0,,3.0,,,2.0,,2.0,1.0,1.0,,2.0,,1.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,,0.25,,,0.75,,1.0,,0.09090909090909091,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1630096-1631007-201886-203826,1611661323,"Brionna Jones, DiJonai Carrington, Veronica Burton, DeWanna Bonner, Alyssa Thomas","Jones, Carrington, Burton, Bonner, Thomas",1628280-1630096-1631007-201886-203826,CON,450.0,3,8,-3.0,15,15,3.0,,2.0,30,2.0,5.0,,,2.0,3.0,7.0,2.0,4.0,10.0,13.0,1.0,2.0,4.0,4.0,2.0,2.0,,2.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,7.0,2.0,9.0,1.0,,2.0,2.0,5.0,1.0,3.0,4.0,1.0,6.0,3.0,8.0,4.0,3.0,0.6666666666666666,1.0,0.42857142857142855,0.3333333333333333,0.4166666666666667,0.5,0.2222222222222222,,,0.4,1.0,0.25,0.75,0.5,0.875,0.3333333333333333,,0.5,1.0,0.5,96.0,15.066666666666666,14.933333333333334,14.866666666666667,14.8,0.5555555555555556,0.4,0.4,1.0,,0.2222222222222222,,0.7777777777777778,0.5414444444444445,0.3059,0.25,0.3,0.4,3.6571428571428575,24.6,0.2,,1.0,1.0,2.0,,,,,,,1.0,2.0,3.0,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,0.2222222222222222,0.5,0.5,,,,,,,,,,,,,,0.3333333333333333,,,0.44993333333333335,0.2,,,,,,,,,1.0,,,2.0,,1.0,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1611661323,2024,2024,False
1628280-1630112-1631007-201886-203826,1611661323,"Brionna Jones, Tyasha Harris, Veronica Burton, DeWanna Bonner, Alyssa Thomas","Jones, Harris, Burton, Bonner, Thomas",1628280-1630112-1631007-201886-203826,CON,126.0,1,2,4.0,4,4,,,1.0,8,,1.0,,,,,2.0,,6.0,6.0,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,4.0,,6.0,3.0,4.0,,,,,,,0.6,,,,,,0.5,0.5,,,0.5,0.5,1.0,,,,91.42857142857143,12.75,18.75,12.5,18.75,0.5,,,,,,,0.5,0.55245,,0.6,0.6,,3.9,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1611661323,2024,2024,False
1629497-1630096-1630112-201886-203826,1611661323,"Marina Mabrey, DiJonai Carrington, Tyasha Harris, DeWanna Bonner, Alyssa Thomas","Mabrey, Carrington, Harris, Bonner, Thomas",1629497-1630096-1630112-201886-203826,CON,1907.0,3,32,-14.0,61,63,15.0,15.0,4.0,124,10.0,19.0,3.0,5.0,13.0,19.0,34.0,17.0,9.0,71.0,85.0,5.0,7.0,20.0,18.0,20.0,13.0,2.0,9.0,13.0,3.0,30.0,2.0,3.0,11.0,5.0,16.0,5.0,21.0,2.0,1.0,8.0,2.0,12.0,8.0,14.0,14.0,1.0,9.0,3.0,63.0,20.0,15.0,0.47368421052631576,0.5294117647058824,0.5588235294117647,0.6078431372549019,0.6454545454545455,0.7692307692307693,0.3333333333333333,0.058823529411764705,0.10526315789473684,0.6666666666666666,0.5555555555555556,0.2,0.6875,0.2222222222222222,0.64,0.20833333333333334,0.3333333333333333,0.2857142857142857,,0.6666666666666666,93.63398007341374,16.40983606557377,14.380952380952381,16.065573770491802,13.317460317460318,0.37254901960784315,0.5263157894736842,0.5882352941176471,0.3,0.09803921568627451,0.2549019607843137,0.6,0.7058823529411765,0.5355607843137256,0.5573666666666667,0.05660377358490566,0.08333333333333333,0.28169014084507044,5.714705882352941,25.15294117647059,0.2459016393442623,3.0,6.0,8.0,10.0,1.0,2.0,4.0,6.0,1.0,8.0,4.0,8.0,8.0,2.0,12.0,,6.0,4.0,2.0,2.0,6.0,,,,,1.0,4.0,6.0,2.0,,0.5,0.47058823529411764,0.47058823529411764,0.8,0.8,0.8,,,,0.5,0.6666666666666666,0.7142857142857143,,0.19607843137254902,0.8,0.8,0.75,0.2,0.2,,0.0784313725490196,0.5,0.5,1.0,0.46153846153846156,0.46153846153846156,0.3333333333333333,1.0,,0.6,0.1,0.46153846153846156,0.604575,0.11267605633802817,3.0,,,,,,,,5.0,1.0,12.0,4.0,,2.0,,1.0,,1.0,,1.0,,,2.0,2.0,1.0,,1.0,4.0,3.0,1.0,,0.5,0.625,0.65,,,,,,,0.75,,,,,0.5,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,0.1,1.0,,,,,1611661323,2024,2024,False
