EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Arc3Assists,AtRimAssists,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,3SecondViolations,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,ShortMidRangeAssists,OffAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Travels,AtRimPctBlocked,OffFTReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,HeaveAttempts,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,BlocksRecoveredPct,PenaltyPointsPct,Loose Ball Fouls,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,FTDefRebounds,BadPassSteals,StepOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,DefCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,team_id,year,season,team_vs
1628269-1628277-1628886-1631009-1631032,1611661330,"Nia Coffey, Allisha Gray, Jordin Canada, Rhyne Howard, Lorela Cubaj","Coffey, Gray, Canada, Howard, Cubaj",1628269-1628277-1628886-1631009-1631032,ATL,109.0,1,2.0,1.0,3.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.3,0.3,0.4,0.3333333333333333,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,79.26605504587155,20.333333333333332,16.0,18.333333333333332,14.333333333333334,0.2,0.4,0.2,1.0,1.0,1.0,0.2,0.5,0.6,0.52968,0.679,3.3333333333333335,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1628886-1631009-202250,1611661330,"Nia Coffey, Allisha Gray, Jordin Canada, Rhyne Howard, Tina Charles","Coffey, Gray, Canada, Howard, Charles",1628269-1628277-1628886-1631009-202250,ATL,531.0,2,9.0,-21.0,17.0,18.0,4.0,35.0,1.0,,7.0,,2.0,5.0,8.0,1.0,7.0,13.0,34.0,3.0,3.0,5.0,1.0,2.0,,5.0,3.0,1.0,,1.0,4.0,5.0,,1.0,1.0,5.0,5.0,7.0,1.0,0.14285714285714285,0.14285714285714285,0.36666666666666664,0.38235294117647056,0.4666666666666667,0.25,,0.5,0.2,0.4,0.25,0.5,,,94.91525423728814,18.41176470588235,12.11111111111111,16.647058823529413,11.666666666666666,0.06666666666666667,0.4666666666666667,0.13333333333333333,,,,0.3333333333333333,,0.5333333333333333,0.4819733333333333,0.33205,6.35,24.285714285714285,2.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.75,0.125,0.14285714285714285,0.75,0.2,0.5,0.5,1.0,1.0,1.0,0.42857142857142855,0.5,0.2,0.2,1.0,0.5,0.2,0.4586,0.11764705882352941,0.2,0.46153846153846156,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1630471-1631009-1631032,1611661330,"Nia Coffey, Allisha Gray, Maya Caldwell, Rhyne Howard, Lorela Cubaj","Coffey, Gray, Caldwell, Howard, Cubaj",1628269-1628277-1630471-1631009-1631032,ATL,82.0,1,1.0,-1.0,2.0,2.0,1.0,4.0,1.0,,1.0,,,1.0,2.0,,1.0,2.0,3.0,,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,2.0,,,,,,2.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.5,,,,,70.2439024390244,20.5,20.5,17.5,20.5,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,0.6666666666666666,0.49416666666666664,0.6252,3.8,24.2,,,,1.0,,,1.0,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1631009-1631032-1641650,1611661330,"Nia Coffey, Allisha Gray, Rhyne Howard, Lorela Cubaj, Haley Jones","Coffey, Gray, Howard, Cubaj, Jones",1628269-1628277-1631009-1631032-1641650,ATL,302.0,2,5.0,6.0,7.0,7.0,2.0,14.0,2.0,1.0,1.0,,,2.0,4.0,2.0,2.0,12.0,6.0,2.0,6.0,2.0,2.0,4.0,,10.0,,1.0,1.0,2.0,2.0,4.0,,,,,2.0,8.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.3333333333333333,1.0,1.0,,0.5,1.0,,,1.0,,66.75496688741723,21.571428571428573,21.571428571428573,18.714285714285715,19.428571428571427,0.3333333333333333,0.16666666666666666,,,,,0.3333333333333333,0.5,0.6666666666666666,0.45065,0.4555,9.4,26.05,,2.0,1.0,1.0,2.0,,3.0,,2.0,,4.0,,,4.0,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,,,2.0,,2.0,1.0,,,2.0,1.0,,,,,,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,0.25,,,0.3333333333333333,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,0.14285714285714285,0.2,0.3333333333333333,,,,,1.0,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1631009-1642534-202250,1611661330,"Nia Coffey, Allisha Gray, Rhyne Howard, Ezinne Kalu, Tina Charles","Coffey, Gray, Howard, Kalu, Charles",1628269-1628277-1631009-1642534-202250,ATL,225.0,1,4.0,,7.0,7.0,,14.0,,,3.0,,,3.0,5.0,,3.0,9.0,9.0,,,2.0,,2.0,,4.0,,,1.0,3.0,,3.0,,,,,1.0,9.0,,,,0.5,0.5625,0.375,,1.0,,1.0,,,,1.0,,89.6,19.142857142857142,13.0,19.142857142857142,13.0,,0.375,,,,,0.375,,0.375,0.43894285714285713,,10.86,33.46666666666667,5.0,5.0,,3.0,,3.0,4.0,1.0,,,,3.0,3.0,4.0,4.0,,,,2.0,,,2.0,,,,,,3.0,,,2.0,2.0,1.0,,1.0,,5.0,0.5,0.5,0.8,,,,,,,1.0,,,,,,1.0,1.0,,,,0.5,,0.47000000000000003,0.25,0.4,,0.7142857142857143,,,1.0,,1.0,0.3333333333333333,,,1.0,2.0,1.0,,,,,,0.25,0.5,0.5,1.0,,,3.0,1.0,7.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,0.5,0.5833333333333334,1.0,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1630471-1631009-1631032-1641650,1611661330,"Nia Coffey, Maya Caldwell, Rhyne Howard, Lorela Cubaj, Haley Jones","Coffey, Caldwell, Howard, Cubaj, Jones",1628269-1630471-1631009-1631032-1641650,ATL,88.0,1,1.0,-2.0,3.0,3.0,,6.0,,,,,,2.0,1.0,,2.0,2.0,4.0,,,2.0,,,,,,,,1.0,,1.0,,,,1.0,2.0,2.0,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,1.0,,,,,,98.18181818181819,19.333333333333332,10.0,19.333333333333332,7.0,,,,,,,0.6666666666666666,,0.6666666666666666,0.4357166666666667,,16.6,27.3,2.0,1.0,,,,2.0,1.0,,,,,,2.0,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,0.494025,,,,0.6666666666666666,,,,,1.0,,,,1.0,1.0,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628277-1628886-1630471-1631044-202250,1611661330,"Allisha Gray, Jordin Canada, Maya Caldwell, Naz Hillmon, Tina Charles","Gray, Canada, Caldwell, Hillmon, Charles",1628277-1628886-1630471-1631044-202250,ATL,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628277-1628886-1631009-1631032-1631044,1611661330,"Allisha Gray, Jordin Canada, Rhyne Howard, Lorela Cubaj, Naz Hillmon","Gray, Canada, Howard, Cubaj, Hillmon",1628277-1628886-1631009-1631032-1631044,ATL,51.0,2,1.0,-3.0,1.0,2.0,,3.0,1.0,,,,,,1.0,,,2.0,5.0,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,84.70588235294117,24.0,13.5,24.0,13.5,1.0,,,,,,,,1.0,0.5948,,2.6,,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628277-1628886-1631009-1631044-202250,1611661330,"Allisha Gray, Jordin Canada, Rhyne Howard, Naz Hillmon, Tina Charles","Gray, Canada, Howard, Hillmon, Charles",1628277-1628886-1631009-1631044-202250,ATL,2438.0,2,41.0,-5.0,78.0,78.0,6.0,156.0,8.0,2.0,31.0,1.0,1.0,14.0,50.0,6.0,15.0,83.0,88.0,3.0,18.0,14.0,6.0,24.0,1.0,54.0,3.0,3.0,15.0,27.0,6.0,33.0,2.0,6.0,1.0,6.0,11.0,74.0,1.0,0.4,0.4,0.5846153846153846,0.6102941176470589,0.23076923076923078,0.15,0.8333333333333334,0.3333333333333333,0.7428571428571429,0.20689655172413793,0.2,0.3333333333333333,0.7857142857142857,0.07692307692307693,92.14109926168992,16.794871794871796,14.461538461538462,16.46153846153846,13.961538461538462,0.12307692307692308,0.47692307692307695,0.015384615384615385,1.0,1.0,1.0,0.2153846153846154,0.4,0.35384615384615387,0.4353169230769231,0.629025,9.306000000000001,24.459999999999997,5.0,2.0,7.0,15.0,5.0,2.0,29.0,7.0,3.0,,9.0,2.0,2.0,36.0,22.0,2.0,5.0,2.0,18.0,5.0,4.0,11.0,9.0,6.0,8.0,3.0,17.0,12.0,,1.0,9.0,6.0,4.0,,4.0,,5.0,0.6206896551724138,0.6428571428571429,0.58,1.0,0.9,0.9,0.04,0.03225806451612903,0.5294117647058824,0.6470588235294118,,,0.875,1.0,0.5714285714285714,0.4838709677419355,0.5,0.35714285714285715,0.38461538461538464,1.0,0.5,0.35714285714285715,0.438625,0.08823529411764706,0.11320754716981132,0.10843373493975904,0.0641025641025641,2.0,2.0,9.0,,0.7333333333333333,0.6,0.4,2.0,7.0,11.0,5.0,,1.0,1.0,0.125,,0.16923076923076924,0.6363636363636364,0.6363636363636364,0.7142857142857143,1.0,0.5,2.0,3.0,7.0,,3.0,4.0,2.0,7.0,,1.0,0.5,0.7,0.5,0.08433734939759036,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,0.5,0.06666666666666667,0.07142857142857142,1.0,1.0,0.5,1.0,0.25,1.0,,,,,,1611661330,2024,2024,False
1628277-1630471-1631009-1631044-202250,1611661330,"Allisha Gray, Maya Caldwell, Rhyne Howard, Naz Hillmon, Tina Charles","Gray, Caldwell, Howard, Hillmon, Charles",1628277-1630471-1631009-1631044-202250,ATL,136.0,1,2.0,-1.0,5.0,4.0,1.0,9.0,1.0,1.0,2.0,,,2.0,3.0,,2.0,1.0,2.0,2.0,,2.0,,,,,1.0,1.0,1.0,3.0,2.0,5.0,,,,,,1.0,,,,,0.08333333333333333,0.4,0.3333333333333333,0.5,0.5,0.75,0.4,0.5,0.5,,,95.29411764705883,15.8,14.25,15.2,13.25,0.2,0.4,,,,,0.4,0.5,0.6,0.3852,0.4318,5.2,27.3,3.0,,,,,1.0,,1.0,,,,3.0,1.0,,,,,2.0,,,,2.0,1.0,1.0,,,1.0,2.0,,,2.0,,1.0,,1.0,,3.0,,,,,,,0.6666666666666666,0.5,1.0,1.0,,,,,,,,,,,0.25,,0.361875,,,,0.6,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,0.1,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,0.25,,1.0,1.0,1.0,,,1611661330,2024,2024,False
