EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG2M,FG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyPointsPct,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimAssists,Loose Ball Fouls,AtRimPctAssisted,Corner3FGA,PenaltyCorner3FGA,HeaveAttempts,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SelfOReb,DefAtRimReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,PtsUnassisted3s,StepOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,BlockedAtRim,ThreePtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,PtsPutbacks,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,SecondChanceCorner3FGA,Charge Fouls,SecondChanceCorner3Frequency,LostBallTurnovers,Fg3aBlocked,SecondChanceTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,OffCorner3ReboundPct,LongMidRangePctBlocked,Transition Take Fouls,Transition Take Fouls Drawn,Travels,3SecondViolations,BlockedLongMidRange,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,Clear Path Fouls,Defensive 3 Seconds Violations,BlockedArc3,DefensiveGoaltends,team_id,year,season,team_vs
1629482-1630114-1641700-204296-204333,1611661317,"Sophie Cunningham, Mikiah Herbert Harrigan, Liz Dixon, Rebecca Allen, Natasha Cloud","Cunningham, Herbert Harrigan, Dixon, Allen, Cloud",1629482-1630114-1641700-204296-204333,PHO,11.0,1,1.0,1.0,1.0,1.0,130.9090909090909,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
1627674-1630134-1630442-204296-204333,1611661317,"Kahleah Copper, Sug Sutton, Natasha Mack, Rebecca Allen, Natasha Cloud","Copper, Sutton, Mack, Allen, Cloud",1627674-1630134-1630442-204296-204333,PHO,208.0,2,6.0,2.0,13.0,2.0,90.0,17.833333333333332,17.333333333333332,0.3333333333333333,3.0,-12.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,14.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.25,0.25,0.16666666666666666,1.0,0.5,1.0,14.428571428571429,12.857142857142858,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.5,0.5,0.42408333333333337,0.3783,0.4791,0.14285714285714285,0.2,8.75,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
1630114-1630442-1641700-1642294-204333,1611661317,"Mikiah Herbert Harrigan, Natasha Mack, Liz Dixon, Charisma Osborne, Natasha Cloud","Herbert Harrigan, Mack, Dixon, Osborne, Cloud",1630114-1630442-1641700-1642294-204333,PHO,189.0,1,6.0,6.0,13.0,6.0,99.04761904761905,11.833333333333334,11.833333333333334,1.0,3.0,4.0,7.0,1.0,1.0,,2.0,,2.0,2.0,3.0,2.0,1.0,6.0,2.0,,3.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,,,1.0,2.0,2.0,,,,,,5.0,0.5,0.4,0.5,0.5,0.6666666666666666,0.3333333333333333,,,,16.857142857142858,15.714285714285714,0.2,0.4,,0.4,,0.4,0.6,0.48449,,0.48449,,,7.266666666666667,24.65,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.2,1.0,0.5,0.5,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1629482-1631056-203398-204333,1611661317,"Diana Taurasi, Sophie Cunningham, Amy Atwell, Brittney Griner, Natasha Cloud","Taurasi, Cunningham, Atwell, Griner, Cloud",100940-1629482-1631056-203398-204333,PHO,2.0,1,1.0,1.0,1.0,,720.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
1628881-1629482-1642298-203398-204333,1611661317,"Monique Billings, Sophie Cunningham, Celeste Taylor, Brittney Griner, Natasha Cloud","Billings, Cunningham, Taylor, Griner, Cloud",1628881-1629482-1642298-203398-204333,PHO,254.0,2,10.0,,17.0,,96.37795275590551,11.2,10.4,,4.0,10.0,7.0,3.0,1.0,,2.0,1.0,4.0,,4.0,4.0,5.0,18.0,8.0,2.0,,,4.0,1.0,1.0,3.0,3.0,6.0,,,1.0,3.0,4.0,6.0,3.0,,,,,13.0,0.8181818181818182,0.5,1.0,0.5,1.0,0.3333333333333333,,1.0,,20.285714285714285,20.285714285714285,0.125,0.25,0.125,0.5,,,0.625,0.448475,0.3455333333333333,,0.2727272727272727,0.42857142857142855,9.55,24.0,2.0,,,,3.0,,2.0,3.0,,5.0,,,,,,9.0,3.0,3.0,5.0,3.0,13.0,2.0,,,,,1.0,,,,,,,1.0,0.75,,0.75,0.5,,0.8125,,0.8333333333333334,,,,1.0,,,1.0,,,0.75,0.75,1.0,,,,0.75,0.2777777777777778,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
1628881-1630114-1631056-1642298-204333,1611661317,"Monique Billings, Mikiah Herbert Harrigan, Amy Atwell, Celeste Taylor, Natasha Cloud","Billings, Herbert Harrigan, Atwell, Taylor, Cloud",1628881-1630114-1631056-1642298-204333,PHO,196.0,1,5.0,3.0,10.0,3.0,73.46938775510205,16.2,16.2,0.6,3.0,-2.0,5.0,,1.0,,1.0,2.0,1.0,1.0,4.0,1.0,,4.0,6.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,4.0,,,,,,,,4.0,0.4,0.2,0.25,,0.2,,,,,23.0,17.0,0.2,0.2,0.4,0.2,,0.3333333333333333,0.4,0.45277,,0.4036166666666667,,,11.55,26.3,3.0,1.0,,,,,2.0,,,,1.0,,,2.0,,,,,2.0,,4.0,,,1.0,,,,,,,2.0,1.0,,,,,,0.5,0.5,0.4,0.3333333333333333,,0.3333333333333333,,,,,0.3333333333333333,,1.0,1.0,,,,,,,,,0.5,1.0,,,,,,,4.0,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1629482-1630442-204296-204333,1611661317,"Diana Taurasi, Sophie Cunningham, Natasha Mack, Rebecca Allen, Natasha Cloud","Taurasi, Cunningham, Mack, Allen, Cloud",100940-1629482-1630442-204296-204333,PHO,370.0,3,12.0,5.0,23.0,5.0,89.51351351351352,15.416666666666666,15.166666666666666,0.4166666666666667,6.0,13.0,11.0,1.0,1.0,,3.0,1.0,6.0,3.0,5.0,8.0,4.0,17.0,4.0,,2.0,4.0,5.0,1.0,6.0,7.0,1.0,8.0,2.0,,,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,14.0,0.5666666666666667,0.6153846153846154,1.0,0.3333333333333333,1.0,0.14285714285714285,,1.0,1.0,16.818181818181817,16.818181818181817,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.46153846153846156,,0.5,0.6923076923076923,0.4764,0.59445,0.48297999999999996,0.14285714285714285,0.3333333333333333,10.26,27.775,2.0,,,,3.0,1.0,2.0,3.0,,3.0,1.0,1.0,2.0,7.0,2.0,9.0,3.0,3.0,4.0,3.0,11.0,1.0,,2.0,,,,,,1.0,7.0,,1.0,1.0,0.375,0.25,0.42857142857142855,0.4,0.5,0.5,0.4166666666666667,1.5,0.5,,,1.0,1.0,,,,,0.5,0.5,1.0,,,0.3333333333333333,0.6,0.17647058823529413,0.4117647058823529,2.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,0.5,0.5,1.0,,1.5,,,,,,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,0.15384615384615385,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1628881-1630134-1630442,1611661317,"Diana Taurasi, Kahleah Copper, Monique Billings, Sug Sutton, Natasha Mack","Taurasi, Copper, Billings, Sutton, Mack",100940-1627674-1628881-1630134-1630442,PHO,130.0,1,4.0,,8.0,,88.61538461538463,13.75,12.25,,2.0,7.0,4.0,1.0,3.0,1.0,,,2.0,,3.0,2.0,,7.0,,1.0,,,2.0,1.0,3.0,3.0,1.0,4.0,,,,,1.0,,,,,,,5.0,0.7,0.4,1.0,1.0,1.0,0.5,,1.0,,18.75,18.75,0.6,,,0.4,1.0,,1.0,0.55455,0.6032,,,,3.3666666666666667,24.0,,2.0,,,1.0,,2.0,1.0,,2.0,,,,,2.0,3.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,,,,1.0,0.5,,0.5,0.6666666666666666,,0.7,,1.0,,,,,,1.0,,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,,,,0.5,0.2857142857142857,,,,,,1.0,,,2.0,,1.0,,,,,,,0.5,0.5,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,0.5,,,,,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1628881-1642298-203398,1611661317,"Diana Taurasi, Kahleah Copper, Monique Billings, Celeste Taylor, Brittney Griner","Taurasi, Copper, Billings, Taylor, Griner",100940-1627674-1628881-1642298-203398,PHO,603.0,4,22.0,1.0,43.0,1.0,102.6865671641791,12.681818181818182,12.681818181818182,0.045454545454545456,10.0,5.0,21.0,,5.0,,5.0,,3.0,,10.0,4.0,7.0,26.0,21.0,,1.0,,3.0,,3.0,7.0,,7.0,3.0,,,2.0,4.0,11.0,1.0,3.0,2.0,3.0,,26.0,0.7222222222222222,0.2857142857142857,0.5,,0.6,,,0.3333333333333333,,15.428571428571429,14.80952380952381,0.35714285714285715,0.35714285714285715,,0.21428571428571427,,,0.6428571428571429,0.5391964285714286,,0.4707,0.2222222222222222,0.09090909090909091,5.18,24.375,7.0,5.0,,,1.0,,8.0,1.0,,,1.0,,,2.0,6.0,,1.0,,5.0,,10.0,3.0,1.0,3.0,1.0,1.0,4.0,,,,2.0,,,,0.25,,0.25,0.8,1.0,0.6785714285714286,1.0,,1.0,0.25,1.0,0.75,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,0.07692307692307693,3.0,,,,,,,10.0,,5.0,2.0,,,3.0,,,0.625,0.625,,,,,,,,,0.6,0.6,0.6666666666666666,,,,,,,3.0,,0.6,1.0,,,,,0.07142857142857142,,,,0.5,,,3.0,1.0,2.0,3.0,1.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1629482-1630114-203398,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Mikiah Herbert Harrigan, Brittney Griner","Taurasi, Copper, Cunningham, Herbert Harrigan, Griner",100940-1627674-1629482-1630114-203398,PHO,190.0,1,7.0,,13.0,,98.52631578947368,13.0,13.0,,3.0,3.0,6.0,,2.0,,,,3.0,,2.0,3.0,1.0,8.0,5.0,,,,3.0,,3.0,3.0,,3.0,,,,,1.0,2.0,1.0,2.0,,2.0,2.0,8.0,0.6666666666666666,0.6,0.6,,0.6,,,,1.0,16.5,15.333333333333334,0.4,,,0.6,,,1.0,0.58877,,,0.16666666666666666,0.3333333333333333,2.2,24.866666666666664,,2.0,,,1.0,,2.0,1.0,,,,,,,,3.0,1.0,1.0,3.0,1.0,7.0,,,,1.0,1.0,1.0,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,,0.7,,,,1.0,,,,0.5,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,,,,,,,,,4.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,0.6666666666666666,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
