EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,LongMidRangeFGA,FG2A,OpponentPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangePctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Travels,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,FTDefRebounds,BlockedShortMidRange,Defensive 3 Seconds Violations,DefFTReboundPct,LongMidRangeAssists,ThreePtShootingFoulsDrawn,3SecondViolations,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1627701-1628909-1631019-1631086-1642286,1611661325,"Temi Fagbenle, Kelsey Mitchell, NaLyssa Smith, Lexie Hull, Caitlin Clark","Fagbenle, Mitchell, Smith, Hull, Clark",1627701-1628909-1631019-1631086-1642286,IND,89.0,1,1,-7.0,3,4,4.0,7,1.0,1.0,2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,113.25842696629213,19.333333333333332,7.75,19.333333333333332,4.5,0.5,0.5,0.5,0.42245,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
1627701-1628909-1631086-1641648-1642286,1611661325,"Temi Fagbenle, Kelsey Mitchell, Lexie Hull, Aliyah Boston, Caitlin Clark","Fagbenle, Mitchell, Hull, Boston, Clark",1627701-1628909-1631086-1641648-1642286,IND,1278.0,2,21,,44,43,10.0,87,15.0,4.0,21,45.0,3.0,2.0,6.0,3.0,9.0,2.0,9.0,,0.6666666666666666,98.0281690140845,14.25,15.13953488372093,13.590909090909092,14.744186046511627,0.36585365853658536,0.0975609756097561,0.8536585365853658,0.5584768292682927,5.29047619047619,6.0,10.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,6.0,18.0,1.0,11.0,7.0,20.0,2.0,45.0,1.0,4.0,2.0,2.0,16.0,6.0,9.0,12.0,18.0,6.0,2.0,8.0,3.0,11.0,2.0,1.0,8.0,25.0,4.0,4.0,5.0,13.0,18.0,8.0,26.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,7.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,43.0,0.7272727272727273,0.7272727272727273,0.42857142857142855,0.35,0.35,0.5238095238095238,0.25,0.524390243902439,0.16666666666666666,0.5232558139534884,0.16666666666666666,0.4878048780487805,0.09523809523809523,0.13333333333333333,0.6190476190476191,0.4,1.0,0.3076923076923077,0.6923076923076923,0.34782608695652173,0.4,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.09523809523809523,0.6666666666666666,0.7692307692307693,0.8,0.04878048780487805,0.25,0.25,0.04878048780487805,0.5,0.5,1.0,0.43902439024390244,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5406625,0.06976744186046512,0.13043478260869565,0.044444444444444446,25.869999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
1627701-1628909-1631086-1642286-203024,1611661325,"Temi Fagbenle, Kelsey Mitchell, Lexie Hull, Caitlin Clark, Damiris Dantas","Fagbenle, Mitchell, Hull, Clark, Dantas",1627701-1628909-1631086-1642286-203024,IND,315.0,2,5,2.0,11,11,,22,4.0,,6,9.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,,0.6666666666666666,100.57142857142857,14.272727272727273,14.363636363636363,12.272727272727273,14.363636363636363,0.4,,0.8,0.55579,3.85,2.0,3.0,,1.0,2.0,,,,,1.0,4.0,,4.0,1.0,4.0,,11.0,1.0,2.0,,2.0,8.0,,3.0,,4.0,1.0,1.0,4.0,1.0,5.0,1.0,,3.0,11.0,1.0,,3.0,2.0,5.0,1.0,6.0,,1.0,,1.0,1.0,,,,,,,,,,,,9.0,1.0,1.0,1.0,0.25,0.25,0.6666666666666666,0.5,0.55,0.5,0.55,0.5,0.4,0.16666666666666666,,1.0,,1.0,0.5,1.0,0.25,,,,0.5,1.0,1.0,,1.0,,,0.75,0.75,1.0,0.2,,,,,,,0.4,0.25,0.25,1.0,0.5,,,,,0.25,0.717,,,0.18181818181818182,26.875,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
1627701-1628909-1631086-203024-204365,1611661325,"Temi Fagbenle, Kelsey Mitchell, Lexie Hull, Damiris Dantas, Erica Wheeler","Fagbenle, Mitchell, Hull, Dantas, Wheeler",1627701-1628909-1631086-203024-204365,IND,51.0,1,1,-5.0,2,2,,4,,,1,5.0,,,,,,1.0,1.0,,,112.94117647058823,15.0,10.5,15.0,10.5,,,0.5,0.464625,4.7,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,25.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
1627701-1628909-1641648-1642286-204365,1611661325,"Temi Fagbenle, Kelsey Mitchell, Aliyah Boston, Caitlin Clark, Erica Wheeler","Fagbenle, Mitchell, Boston, Clark, Wheeler",1627701-1628909-1641648-1642286-204365,IND,952.0,1,16,-3.0,30,30,8.0,60,15.0,1.0,18,35.0,1.0,1.0,1.0,,5.0,3.0,4.0,,0.2,90.7563025210084,15.633333333333333,16.1,15.033333333333333,14.9,0.5357142857142857,0.03571428571428571,0.8928571428571429,0.5429857142857143,3.3777777777777778,3.0,9.0,,2.0,2.0,1.0,,1.0,,2.0,9.0,1.0,10.0,2.0,10.0,6.0,32.0,,2.0,1.0,2.0,8.0,12.0,6.0,,9.0,2.0,2.0,4.0,2.0,6.0,2.0,,4.0,14.0,1.0,4.0,1.0,8.0,9.0,5.0,14.0,,,1.0,1.0,4.0,1.0,1.0,,6.0,,6.0,,2.0,2.0,2.0,2.0,30.0,0.4,0.4,1.0,0.2,0.2,0.5555555555555556,,0.4642857142857143,,0.5161290322580645,0.25,0.35714285714285715,0.1111111111111111,0.06666666666666667,0.8888888888888888,0.5714285714285714,0.25,0.14285714285714285,0.6923076923076923,0.35714285714285715,0.6,0.5,,0.14285714285714285,0.8333333333333334,1.0,1.0,0.25,,,0.6,0.6428571428571429,0.4444444444444444,0.07142857142857142,1.0,1.0,0.03571428571428571,,,,0.32142857142857145,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,,,,0.3333333333333333,0.2222222222222222,0.5623333333333334,0.06666666666666667,0.1,0.0625,25.85,,,0.5,,,,4.0,2.0,4.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,0.5,0.5,0.6,0.5,1.0,0.5,0.607175,0.1875,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
1627701-1628909-1642286-203024-204365,1611661325,"Temi Fagbenle, Kelsey Mitchell, Caitlin Clark, Damiris Dantas, Erica Wheeler","Fagbenle, Mitchell, Clark, Dantas, Wheeler",1627701-1628909-1642286-203024-204365,IND,214.0,1,4,,7,7,,14,1.0,,1,8.0,,,,,2.0,,,,,94.2056074766355,13.285714285714286,17.285714285714285,13.285714285714286,17.285714285714285,0.25,,1.0,0.575575,1.8,,,,,,,,,,2.0,3.0,,,2.0,3.0,2.0,8.0,,,,,,,6.0,,3.0,2.0,1.0,,2.0,2.0,2.0,,,6.0,,1.0,1.0,2.0,3.0,1.0,4.0,,,,,2.0,,,,1.0,,2.0,,1.0,,,,8.0,,,1.0,0.6666666666666666,0.6666666666666666,,,0.75,,0.8,,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,,0.75,0.5,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.6666666666666666,,0.2,0.5,,25.266666666666666,,,,,,,3.0,,,,,,,3.0,1.0,,,,,3.0,3.0,,,1.5,1.5,,,,0.4569,0.375,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1611661325,2024,2024,False
1628909-1629478-1641648-1642286-203024,1611661325,"Kelsey Mitchell, Katie Lou Samuelson, Aliyah Boston, Caitlin Clark, Damiris Dantas","Mitchell, Lou Samuelson, Boston, Clark, Dantas",1628909-1629478-1641648-1642286-203024,IND,190.0,1,3,-8.0,6,6,1.0,12,1.0,,3,10.0,,,1.0,1.0,3.0,2.0,2.0,,0.3333333333333333,90.94736842105263,18.833333333333332,12.833333333333334,16.833333333333332,12.833333333333334,0.25,,0.5,0.414475,6.466666666666666,1.0,,,,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,,2.0,,,,1.0,,2.0,1.0,,1.0,,,,2.0,,1.0,,1.0,2.0,1.0,3.0,,,,,2.0,,1.0,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,,0.3333333333333333,,0.25,,0.25,,0.25,0.6666666666666666,1.0,1.0,0.5,,,1.0,0.5,1.0,,,,,1.0,,,,,,,,0.5,,,,,,,0.25,,,,,,,,,,,,,,26.4,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1611661325,2024,2024,False
1628909-1631019-1631086-1641648-1642286,1611661325,"Kelsey Mitchell, NaLyssa Smith, Lexie Hull, Aliyah Boston, Caitlin Clark","Mitchell, Smith, Hull, Boston, Clark",1628909-1631019-1631086-1641648-1642286,IND,533.0,1,9,-3.0,18,19,,37,4.0,2.0,9,22.0,3.0,1.0,,,2.0,1.0,5.0,,,99.96247654784241,14.055555555555555,14.736842105263158,13.333333333333334,12.631578947368421,0.23529411764705882,0.11764705882352941,0.7058823529411765,0.5387441176470588,6.833333333333333,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,6.0,,5.0,2.0,8.0,3.0,19.0,1.0,1.0,,5.0,10.0,,6.0,,6.0,1.0,,5.0,2.0,7.0,1.0,1.0,2.0,16.0,1.0,1.0,2.0,3.0,5.0,2.0,7.0,1.0,2.0,,,2.0,,,2.0,3.0,,3.0,,,3.0,3.0,3.0,14.0,1.0,1.0,1.0,0.25,0.25,0.5555555555555556,1.0,0.47058823529411764,1.0,0.5277777777777778,1.25,0.47058823529411764,,,0.375,0.25,1.0,0.16666666666666666,0.5,0.2,,0.5,,0.2,0.25,,0.6666666666666666,1.0,,0.1,0.5,0.5,1.0,0.17647058823529413,1.0,1.0,0.11764705882352941,0.5,0.5,1.0,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,,,0.16666666666666666,0.6134,0.05555555555555555,,0.2631578947368421,24.225,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,3.0,,,,,,1.0,1.0,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.1111111111111111,,,1611661325,2024,2024,False
1628909-1631019-1631086-1642286-203024,1611661325,"Kelsey Mitchell, NaLyssa Smith, Lexie Hull, Caitlin Clark, Damiris Dantas","Mitchell, Smith, Hull, Clark, Dantas",1628909-1631019-1631086-1642286-203024,IND,63.0,1,1,-2.0,3,2,1.0,5,1.0,1.0,2,2.0,,,,,1.0,,,,,114.28571428571428,18.0,4.5,18.0,4.5,0.5,0.5,0.5,0.4653,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
1628909-1631019-1642286-203024-204365,1611661325,"Kelsey Mitchell, NaLyssa Smith, Caitlin Clark, Damiris Dantas, Erica Wheeler","Mitchell, Smith, Clark, Dantas, Wheeler",1628909-1631019-1642286-203024-204365,IND,93.0,1,2,-3.0,3,3,,6,,,2,5.0,,,,,1.0,,1.0,,,92.90322580645162,16.333333333333332,14.666666666666666,11.333333333333334,14.666666666666666,,,0.3333333333333333,0.46373333333333333,8.2,1.0,,,,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,2.0,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,1.0,1.0,1.0,0.5,,,,1.0,,,,1.0,,,,,,0.6666666666666666,,,,,,,0.3333333333333333,,,,,,,,,,,,,,23.3,1.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2024,2024,False
