EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Steals,LostBallSteals,SecondChanceFG2A,Fg2aBlocked,DeadBallTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,BadPassSteals,SecondChanceAtRimFGA,ShortMidRangeAssists,FTDefRebounds,BlockedAtRim,ShortMidRangePctBlocked,DefFTReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyArc3FGM,SecondChanceFG2M,PenaltyFG3M,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,PtsPutbacks,2pt And 1 Free Throw Trips,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,LongMidRangeAssists,FTOffRebounds,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceFg3Pct,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,HeaveAttempts,Charge Fouls Drawn,Transition Take Fouls,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Fg3aBlocked,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1629479-1629480-1629481-1630149-1642244,1611661321,"Teaira McCowan, Kalani Brown, Arike Ogunbowale, Satou Sabally, Sevgi Uzun","McCowan, Brown, Ogunbowale, Sabally, Uzun",1629479-1629480-1629481-1630149-1642244,DAL,236.0,1,4.0,-3.0,7.0,6.0,5.0,5.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,7.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,0.3333333333333333,0.5,0.2,0.25,0.2857142857142857,0.4,0.4,0.5,1.0,0.6666666666666666,0.5,1.0,79.3220338983051,1.0,17.714285714285715,18.666666666666668,17.714285714285715,18.5,0.2,0.2,0.2,1.0,1.0,0.2,0.2,0.25,0.25,0.6,0.48549,0.4549125,0.2857142857142857,0.4,1.0,9.5,24.1,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1629480-1630149-1641661-1642244-203827,1611661321,"Kalani Brown, Satou Sabally, Lou Lopez Sénéchal, Sevgi Uzun, Natasha Howard","Brown, Sabally, Lopez Sénéchal, Uzun, Howard",1629480-1630149-1641661-1642244-203827,DAL,,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1628881-1629479-1629481-1641654-203824,1611661321,"Monique Billings, Teaira McCowan, Arike Ogunbowale, Stephanie Soares, Odyssey Sims","Billings, McCowan, Ogunbowale, Soares, Sims",1628881-1629479-1629481-1641654-203824,DAL,11.0,1,,3.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,1.5,,1.5,,1.0,,,,,,130.9090909090909,,9.0,,9.0,,,,,,,,1.0,,,1.0,0.5313,,,,,,24.6,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1628881-1629479-1629481-1641661-203824,1611661321,"Monique Billings, Teaira McCowan, Arike Ogunbowale, Lou Lopez Sénéchal, Odyssey Sims","Billings, McCowan, Ogunbowale, Lopez Sénéchal, Sims",1628881-1629479-1629481-1641661-203824,DAL,350.0,2,6.0,-4.0,11.0,11.0,6.0,4.0,22.0,3.0,2.0,,1.0,,,3.0,1.0,2.0,6.0,3.0,8.0,12.0,16.0,,3.0,1.0,7.0,7.0,2.0,3.0,,1.0,1.0,6.0,1.0,3.0,5.0,10.0,3.0,,,,,5.0,7.0,6.0,0.3333333333333333,,0.2222222222222222,,0.42857142857142855,0.4375,0.3333333333333333,1.0,,1.0,,,90.51428571428572,,19.545454545454547,12.272727272727273,18.181818181818183,12.272727272727273,0.3333333333333333,0.2222222222222222,0.1111111111111111,,,,0.3333333333333333,,0.25,0.6666666666666666,0.4749944444444444,0.4478875,0.25,0.3333333333333333,0.5833333333333334,5.7,24.133333333333336,0.5454545454545454,5.0,,,,,,1.0,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.5,0.5,0.7,1.0,1.0,0.3333333333333333,0.7142857142857143,1.0,1.0,1.0,0.3333333333333333,1.0,0.2857142857142857,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.25,0.61725,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1629480-1629481-1641661-203824-203827,1611661321,"Kalani Brown, Arike Ogunbowale, Lou Lopez Sénéchal, Odyssey Sims, Natasha Howard","Brown, Ogunbowale, Lopez Sénéchal, Sims, Howard",1629480-1629481-1641661-203824-203827,DAL,47.0,1,1.0,2.0,1.0,2.0,,,3.0,1.0,,,,,,,,1.0,1.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,91.91489361702128,,4.0,21.5,4.0,21.5,1.0,,,,,,,,,1.0,0.8502,,,,,1.2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1629479-1629481-1642240-1642292-203827,1611661321,"Teaira McCowan, Arike Ogunbowale, Jaelyn Brown, Jacy Sheldon, Natasha Howard","McCowan, Ogunbowale, Brown, Sheldon, Howard",1629479-1629481-1642240-1642292-203827,DAL,82.0,1,1.0,1.0,3.0,2.0,2.0,,5.0,1.0,1.0,,1.0,,,,,,3.0,,1.0,1.0,,,3.0,,,,,,1.0,1.0,2.0,4.0,,1.0,2.0,2.0,1.0,,,,,1.0,,2.0,,,,,0.125,,,1.0,1.0,1.0,,1.0,87.80487804878048,,15.666666666666666,17.5,12.333333333333334,17.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.4465333333333333,0.4465333333333333,0.25,0.25,,7.833333333333333,,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,0.3333333333333333,0.37975,,,,2.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1630149-1641652-1641661-1642240-1642244,1611661321,"Satou Sabally, Maddy Siegrist, Lou Lopez Sénéchal, Jaelyn Brown, Sevgi Uzun","Sabally, Siegrist, Lopez Sénéchal, Brown, Uzun",1630149-1641652-1641661-1642240-1642244,DAL,63.0,1,1.0,2.0,2.0,2.0,2.0,,4.0,,1.0,,2.0,,,,,,3.0,,2.0,2.0,,,3.0,,2.0,2.0,,,,,,2.0,,,1.0,2.0,1.0,,,,,,2.0,2.0,,,,,0.25,0.25,,,,,,,91.42857142857143,,13.5,18.0,13.5,18.0,,0.3333333333333333,0.6666666666666666,,,,,,,,0.3876,0.3876,0.25,0.25,1.0,12.866666666666667,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,2.0,,,,,,,,,,0.5,,0.6666666666666666,,0.6666666666666666,,1.0,0.5,,,0.6666666666666666,,,,,,,,0.3517,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1629480-1629481-1641652-1642244-203827,1611661321,"Kalani Brown, Arike Ogunbowale, Maddy Siegrist, Sevgi Uzun, Natasha Howard","Brown, Ogunbowale, Siegrist, Uzun, Howard",1629480-1629481-1641652-1642244-203827,DAL,312.0,3,5.0,-7.0,10.0,13.0,2.0,5.0,23.0,3.0,2.0,,,1.0,1.0,3.0,1.0,1.0,5.0,4.0,3.0,5.0,12.0,,2.0,2.0,,,,3.0,,4.0,5.0,8.0,1.0,1.0,4.0,6.0,3.0,1.0,,1.0,,5.0,,2.0,0.2,,0.1111111111111111,,0.20833333333333334,,0.4444444444444444,0.5,,0.5,0.75,,106.15384615384615,,13.1,13.923076923076923,11.6,13.692307692307692,0.3333333333333333,0.2222222222222222,,,,0.1111111111111111,0.3333333333333333,0.25,0.25,0.7777777777777778,0.5751277777777778,0.6395625,0.25,0.375,,3.7,24.2,0.2,2.0,,,,,,1.0,,2.0,,,,,,,,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,0.25,0.5,0.375,0.3333333333333333,,,0.6666666666666666,0.25,0.2,,,,0.5,1.0,,0.5,0.6673,,2.0,1.0,2.0,3.0,,1.0,,,0.6,0.6666666666666666,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1629480-1641652-1641661-1642240-1642244,1611661321,"Kalani Brown, Maddy Siegrist, Lou Lopez Sénéchal, Jaelyn Brown, Sevgi Uzun","Brown, Siegrist, Lopez Sénéchal, Brown, Uzun",1629480-1641652-1641661-1642240-1642244,DAL,403.0,3,7.0,9.0,12.0,15.0,6.0,2.0,27.0,2.0,2.0,,,1.0,,4.0,3.0,2.0,4.0,5.0,,16.0,7.0,1.0,2.0,3.0,,11.0,,4.0,2.0,3.0,5.0,6.0,,1.0,,,,2.0,2.0,2.0,1.0,14.0,11.0,6.0,0.5,0.5,0.8888888888888888,1.1,0.8888888888888888,1.1,0.5555555555555556,0.75,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6666666666666666,96.47642679900744,0.5,15.166666666666666,14.733333333333333,14.916666666666666,14.2,0.2222222222222222,0.2222222222222222,,,,0.1111111111111111,0.4444444444444444,,0.6,0.7777777777777778,0.48801666666666665,0.48718000000000006,,,0.6875,4.325,24.04,0.5,1.0,4.0,4.0,9.0,4.0,3.0,5.0,3.0,13.0,0.75,0.8,0.8,1.0,1.0,0.75,1.0,2.0,1.0,,,,,2.0,4.0,2.0,2.0,,1.0,1.0,,1.0,1.0,4.0,1.0,,,,1.0,1.0,1.0,0.25,0.5,,0.3333333333333333,,0.5,,,,,1.0,1.0,1.0,,,,0.2,0.571,0.125,4.0,,1.0,1.0,3.0,,,,0.25,,1.0,4.0,1.0,,,,0.5,,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
1628881-1629479-1641654-1642244-1642292,1611661321,"Monique Billings, Teaira McCowan, Stephanie Soares, Sevgi Uzun, Jacy Sheldon","Billings, McCowan, Soares, Uzun, Sheldon",1628881-1629479-1641654-1642244-1642292,DAL,18.0,1,,,1.0,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,160.0,,12.0,6.0,12.0,6.0,,,,,,,1.0,,1.0,1.0,0.48525,0.48525,,,,,23.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,True
