EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,2pt And 1 Free Throw Trips,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,PtsPutbacks,Corner3Assists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,Clear Path Fouls,BlockedLongMidRange,SecondChanceArc3FGM,Fg3aBlocked,ThreePtShootingFoulsDrawn,3SecondViolations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Corner3PctBlocked,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedArc3,team_id,year,season,team_vs
100433-100556-200673-201518-201889,1611661322,"Chasity Melvin, Nakia Sanford, Monique Currie, Crystal Langhorne, Marissa Coleman","Melvin, Sanford, Currie, Langhorne, Coleman",100433-100556-200673-201518-201889,WAS,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100433-100556-201046-201492-201889,1611661322,"Chasity Melvin, Nakia Sanford, Lindsey Harding, Matee Ajavon, Marissa Coleman","Melvin, Sanford, Harding, Ajavon, Coleman",100433-100556-201046-201492-201889,WAS,369.0,7,6.0,12.0,13.0,11.0,7.0,3.0,2.0,24.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,8.0,1.0,3.0,8.0,21.0,9.0,1.0,2.0,1.0,3.0,5.0,2.0,4.0,1.0,3.0,5.0,12.0,6.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,3.0,1.0,2.0,3.0,4.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,6.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,12.0,7.0,1.0,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.625,0.5,0.5,0.5909090909090909,0.3333333333333333,0.5,0.65625,0.5,0.6,0.2727272727272727,0.125,0.3333333333333333,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,93.65853658536585,1.0,13.0,18.181818181818183,11.23076923076923,17.09090909090909,0.36363636363636365,0.5,0.5,1.0,0.2727272727272727,0.6666666666666666,1.0,0.5,0.09090909090909091,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.2857142857142857,0.5,0.42857142857142855,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.4028181818181818,0.2722,0.4051,0.21428571428571427,0.2727272727272727,0.23809523809523808,0.5714285714285714,5.7625,23.96666666666667,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100433-200673-201046-201492-202261,1611661322,"Chasity Melvin, Monique Currie, Lindsey Harding, Matee Ajavon, Jacinta Monroe","Melvin, Currie, Harding, Ajavon, Monroe",100433-200673-201046-201492-202261,WAS,8.0,2,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,180.0,,,4.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.5476,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100404-100556-201046-201518-201889,1611661322,"Katie Smith, Nakia Sanford, Lindsey Harding, Crystal Langhorne, Marissa Coleman","Smith, Sanford, Harding, Langhorne, Coleman",100404-100556-201046-201518-201889,WAS,3519.0,20,59.0,8.0,103.0,103.0,25.0,32.0,16.0,206.0,11.0,21.0,3.0,5.0,3.0,4.0,7.0,20.0,13.0,22.0,2.0,17.0,1.0,,3.0,31.0,63.0,8.0,29.0,25.0,111.0,103.0,5.0,13.0,3.0,4.0,17.0,5.0,12.0,2.0,8.0,6.0,22.0,30.0,32.0,24.0,17.0,2.0,3.0,15.0,8.0,23.0,2.0,4.0,2.0,54.0,4.0,13.0,7.0,20.0,32.0,18.0,50.0,3.0,7.0,5.0,8.0,6.0,7.0,,15.0,5.0,12.0,25.0,27.0,4.0,28.0,14.0,1.0,3.0,2.0,3.0,2.0,94.0,22.0,25.0,1.0,0.4838709677419355,0.5357142857142857,1.0,0.27586206896551724,0.25,0.27586206896551724,0.49206349206349204,0.38461538461538464,0.4166666666666667,0.4673913043478261,0.40625,0.4,0.5285714285714286,0.4722222222222222,0.4782608695652174,0.31521739130434784,0.047619047619047616,0.05,0.5333333333333333,0.4878048780487805,0.40625,0.875,0.19047619047619047,0.5510204081632653,0.32075471698113206,0.3,0.38461538461538464,0.2,0.5333333333333333,1.0,0.06,84.29667519181586,0.6666666666666666,15.912621359223301,18.25242718446602,14.728155339805825,16.446601941747574,0.22826086956521738,0.5238095238095238,0.5789473684210527,0.36363636363636365,0.21739130434782608,0.35,0.3684210526315789,0.2857142857142857,0.2391304347826087,0.5909090909090909,0.5909090909090909,0.18478260869565216,0.11764705882352941,0.11764705882352941,1.0,0.3125,0.6,,0.0625,0.2,0.75,0.15,,0.5434782608695652,0.11764705882352941,0.4695467391304348,0.501,0.469245,0.1346153846153846,0.18666666666666668,0.15315315315315314,0.1981981981981982,9.104761904761904,22.42758620689655,0.24271844660194175,2.0,6.0,12.0,1.0,2.0,2.0,5.0,1.0,6.0,6.0,9.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,0.3333333333333333,0.09523809523809523,0.7142857142857143,0.5,0.5555555555555556,0.16666666666666666,0.3,0.5625,0.6666666666666666,0.6923076923076923,0.13043478260869565,0.5,0.5,1.0,0.125,0.5,1.0,0.25,0.4,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100433-201046-201492-201518-201889,1611661322,"Chasity Melvin, Lindsey Harding, Matee Ajavon, Crystal Langhorne, Marissa Coleman","Melvin, Harding, Ajavon, Langhorne, Coleman",100433-201046-201492-201518-201889,WAS,3383.0,19,56.0,-7.0,96.0,103.0,38.0,39.0,17.0,199.0,21.0,33.0,5.0,9.0,8.0,13.0,11.0,26.0,5.0,14.0,4.0,12.0,1.0,2.0,6.0,37.0,73.0,7.0,18.0,12.0,107.0,114.0,6.0,11.0,1.0,5.0,17.0,15.0,30.0,3.0,7.0,6.0,45.0,46.0,28.0,15.0,12.0,4.0,4.0,23.0,5.0,28.0,2.0,9.0,10.0,61.0,2.0,14.0,6.0,19.0,27.0,19.0,46.0,1.0,10.0,5.0,14.0,5.0,3.0,1.0,17.0,7.0,13.0,24.0,22.0,1.0,22.0,13.0,1.0,3.0,1.0,3.0,2.0,90.0,45.0,38.0,1.0,0.6216216216216216,0.71875,0.7142857142857143,0.3888888888888889,0.42857142857142855,0.3888888888888889,0.5068493150684932,0.5454545454545454,0.5,0.521978021978022,0.5,0.527027027027027,0.5404040404040404,0.5666666666666667,0.5625,0.1978021978021978,0.0547945205479452,0.038461538461538464,0.8235294117647058,0.5135135135135135,0.3888888888888889,0.6666666666666666,0.18181818181818182,0.5434782608695652,0.3404255319148936,0.3333333333333333,0.3333333333333333,0.25,0.5714285714285714,0.8333333333333334,0.023255813953488372,84.70588235294117,0.6666666666666666,15.010416666666666,18.854368932038835,14.020833333333334,17.466019417475728,0.3626373626373626,0.6363636363636364,0.7,0.42857142857142855,0.2857142857142857,0.4230769230769231,0.44,0.9090909090909091,0.15384615384615385,0.35714285714285715,0.35714285714285715,0.13186813186813187,0.3333333333333333,0.3333333333333333,0.5,0.75,0.5555555555555556,,0.08333333333333333,0.35135135135135137,0.6153846153846154,0.16216216216216217,0.3333333333333333,0.5604395604395604,0.3333333333333333,0.4724994505494506,0.50525,0.4837432432432432,0.1326530612244898,0.1625,0.1588785046728972,0.4205607476635514,7.16986301369863,21.87777777777778,0.3958333333333333,6.0,3.0,6.0,,,1.0,1.0,,10.0,3.0,4.0,3.0,2.0,5.0,,,9.0,,4.0,,1.0,1.0,1.0,4.0,,0.09090909090909091,1.0,0.6,0.5555555555555556,,0.4666666666666667,0.5,0.3333333333333333,0.8,0.06593406593406594,0.5,0.5,1.0,,,,0.02702702702702703,1.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100404-200673-201518-201889-202262,1611661322,"Katie Smith, Monique Currie, Crystal Langhorne, Marissa Coleman, Ashley Houts","Smith, Currie, Langhorne, Coleman, Houts",100404-200673-201518-201889-202262,WAS,119.0,1,2.0,7.0,4.0,3.0,,,1.0,7.0,3.0,3.0,1.0,1.0,,,,1.0,,,,,,,,3.0,4.0,1.0,1.0,,9.0,2.0,1.0,1.0,,,2.0,,,,,,,2.0,4.0,3.0,,,,1.0,1.0,2.0,,1.0,,5.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,7.0,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,1.0,0.75,1.0,,0.9,1.0,,0.9,1.0,,0.2,,,,,1.0,,,,1.0,,1.0,,,,1.0,84.70588235294117,,13.25,22.0,11.75,22.0,0.6,1.0,1.0,0.3333333333333333,0.2,,,,,,,,,,,1.0,1.0,,,,,,,0.8,,0.5659799999999999,0.68,,,,0.2222222222222222,,2.3,22.1,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100433-100556-201492-201889-202262,1611661322,"Chasity Melvin, Nakia Sanford, Matee Ajavon, Marissa Coleman, Ashley Houts","Melvin, Sanford, Ajavon, Coleman, Houts",100433-100556-201492-201889-202262,WAS,36.0,1,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,3.0,2.0,,,,,,,,1.0,1.0,,3.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,120.0,,13.0,11.5,13.0,11.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,0.55125,,0.55125,,,,1.0,,22.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100433-200673-201518-201889-202262,1611661322,"Chasity Melvin, Monique Currie, Crystal Langhorne, Marissa Coleman, Ashley Houts","Melvin, Currie, Langhorne, Coleman, Houts",100433-200673-201518-201889-202262,WAS,390.0,2,6.0,-6.0,12.0,13.0,,,1.0,25.0,,,,,,,2.0,4.0,,1.0,1.0,4.0,,,,2.0,5.0,1.0,5.0,,7.0,13.0,,1.0,,,,,,,,,,2.0,2.0,,4.0,1.0,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,3.0,4.0,1.0,5.0,,2.0,1.0,3.0,1.0,,,3.0,,1.0,2.0,,,,,,,,,,7.0,,,,0.5,0.5,,0.2,,0.2,0.4,,,0.35,,,0.35,,,0.5,,,1.0,0.5,,1.0,0.3333333333333333,0.5714285714285714,0.16666666666666666,,,0.5,0.5,,,92.3076923076923,,15.083333333333334,16.076923076923077,14.583333333333334,15.615384615384615,,,,,0.4,0.5,0.5,0.5,0.1,,,0.4,0.25,0.25,,,,,,,,,,0.5,0.25,0.42816666666666664,0.4183,,,,,,10.86,26.1,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,0.1,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
100404-100433-200673-201046-201518,1611661322,"Katie Smith, Chasity Melvin, Monique Currie, Lindsey Harding, Crystal Langhorne","Smith, Melvin, Currie, Harding, Langhorne",100404-100433-200673-201046-201518,WAS,13573.0,31,226.0,-28.0,413.0,417.0,42.0,45.0,53.0,830.0,71.0,110.0,13.0,21.0,10.0,13.0,40.0,95.0,32.0,76.0,19.0,55.0,5.0,4.0,7.0,143.0,281.0,26.0,74.0,63.0,427.0,455.0,21.0,37.0,9.0,4.0,64.0,16.0,27.0,5.0,10.0,4.0,51.0,172.0,114.0,60.0,55.0,19.0,13.0,86.0,20.0,106.0,13.0,44.0,18.0,232.0,15.0,38.0,31.0,88.0,128.0,53.0,181.0,7.0,39.0,24.0,42.0,22.0,37.0,8.0,79.0,8.0,51.0,99.0,96.0,15.0,79.0,38.0,4.0,24.0,17.0,24.0,12.0,363.0,51.0,42.0,5.0,0.6013986013986014,0.6231884057971014,0.7692307692307693,0.35135135135135137,0.5,0.35135135135135137,0.5088967971530249,0.5675675675675675,0.5925925925925926,0.5126760563380282,0.6521739130434783,0.6351351351351351,0.5460358056265985,0.6666666666666666,0.6219512195121951,0.2084507042253521,0.046263345195729534,0.07368421052631578,0.5316455696202531,0.6518518518518519,0.2773722627737226,0.6595744680851063,0.3191489361702128,0.6538461538461539,0.28804347826086957,0.28205128205128205,0.3090909090909091,0.2857142857142857,0.6415094339622641,0.7105263157894737,0.04142011834319527,88.05717232741472,0.5,15.583535108958838,17.115107913669064,14.615012106537531,16.158273381294965,0.30985915492957744,0.6454545454545455,0.6761904761904762,0.6197183098591549,0.2676056338028169,0.42105263157894735,0.45454545454545453,0.45,0.2140845070422535,0.42105263157894735,0.4266666666666667,0.15492957746478872,0.34545454545454546,0.3584905660377358,0.6842105263157895,0.45652173913043476,0.6190476190476191,0.46153846153846156,0.10869565217391304,0.35135135135135137,0.7692307692307693,0.1891891891891892,0.5714285714285714,0.5183098591549296,0.34545454545454546,0.4743454929577465,0.4903447368421052,0.4702716216216216,0.10077519379844961,0.12179487179487179,0.14988290398126464,0.11943793911007025,8.14626334519573,22.487837837837837,0.1016949152542373,7.0,7.0,19.0,3.0,4.0,1.0,3.0,6.0,10.0,7.0,24.0,,9.0,15.0,9.0,3.0,20.0,2.0,8.0,6.0,8.0,8.0,6.0,9.0,0.6666666666666666,0.045454545454545456,1.0,,0.23255813953488372,0.4166666666666667,0.6222222222222222,0.7027027027027027,0.4444444444444444,0.75,0.05352112676056338,0.3684210526315789,0.3684210526315789,1.0,0.08695652173913043,0.75,1.0,0.08108108108108109,0.3333333333333333,18.0,1.0,1.0,3.0,2.0,1.0,2.0,0.02702702702702703,0.013157894736842105,0.03636363636363636,0.6,1.0,0.013333333333333334,,,,,,,1611661322,2010,2010,True
100404-100433-200673-201046-201492,1611661322,"Katie Smith, Chasity Melvin, Monique Currie, Lindsey Harding, Matee Ajavon","Smith, Melvin, Currie, Harding, Ajavon",100404-100433-200673-201046-201492,WAS,333.0,4,6.0,-5.0,12.0,12.0,7.0,8.0,1.0,24.0,,,,,,,,1.0,,5.0,,,,,,,6.0,1.0,2.0,4.0,7.0,12.0,,,,2.0,2.0,,4.0,1.0,2.0,2.0,5.0,,,3.0,,,,,1.0,1.0,,,,3.0,,,,2.0,4.0,,4.0,,1.0,1.0,2.0,1.0,,,2.0,,4.0,6.0,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,,5.0,5.0,7.0,1.0,,,1.0,0.5,0.5,0.5,,,,0.1875,,0.25,0.35,1.0,0.35714285714285715,0.25,,,1.0,0.5,,,,0.5,,,,,0.3333333333333333,,,103.78378378378379,,14.166666666666666,13.583333333333334,13.833333333333334,11.833333333333334,,,,,0.125,,,,0.625,,,,,,,,,,,,,,,0.25,,0.39280625,,0.41655833333333336,0.1111111111111111,0.14285714285714285,0.2857142857142857,0.7142857142857143,16.133333333333333,22.2,0.5833333333333334,,1.0,2.0,,,1.0,2.0,,,1.0,,,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,0.6666666666666666,,,,,1.0,,,0.25,0.5,0.5,1.0,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,True
