EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,FirstChancePoints,Fg2Pct,EfgPct,TsPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG3A,FtPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Offensive Fouls Drawn,LongMidRangeFGM,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefCorner3ReboundPct,SecondChanceCorner3FGM,PtsUnassisted3s,Offensive Fouls,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Technical Free Throw Trips,HeaveAttempts,LongMidRangePctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
100342-100356-100457-100656-201494,1611661319,"Becky Hammon, Chamique Holdsclaw, Helen Darling, Ruth Riley, Crystal Kelly","Hammon, Holdsclaw, Darling, Riley, Kelly",100342-100356-100457-100656-201494,SAN,25.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.599999999999994,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100342-100457-100656-101033-201892,1611661319,"Becky Hammon, Helen Darling, Ruth Riley, Roneeka Hodges, Megan Frazee","Hammon, Darling, Riley, Hodges, Frazee",100342-100457-100656-101033-201892,SAN,56.0,1,1.0,3.0,,,,,,,77.14285714285714,14.0,14.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,21.0,21.0,0.5,1.0,1.0,0.5,0.5,0.36205,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100356-100457-100656-101018-200674,1611661319,"Chamique Holdsclaw, Helen Darling, Ruth Riley, Edwige Lawson-Wade, Sophia Young-Malcolm","Holdsclaw, Darling, Riley, Lawson-Wade, Young-Malcolm",100356-100457-100656-101018-200674,SAN,353.0,3,13.0,25.0,1.0,3.0,4.0,1.0,1.0,,101.98300283286119,11.076923076923077,11.076923076923077,6.0,12.0,8.0,1.0,2.0,2.0,3.0,6.0,10.0,16.0,6.0,10.0,0.5,0.375,0.45454545454545453,17.416666666666668,15.5,0.25,0.5,0.5,0.25,0.5,0.4391,10.733333333333334,-6.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,5.0,6.0,1.0,2.0,7.0,8.0,1.0,2.0,0.5,0.4,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.125,0.125,1.0,0.4,0.5,0.2,0.2773,0.46814999999999996,0.1111111111111111,0.14285714285714285,0.7,22.7,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100457-100656-100729-101018-201892,1611661319,"Helen Darling, Ruth Riley, Michelle Snow, Edwige Lawson-Wade, Megan Frazee","Darling, Riley, Snow, Lawson-Wade, Frazee",100457-100656-100729-101018-201892,SAN,98.0,1,3.0,6.0,1.0,1.0,1.0,1.0,1.0,,88.16326530612245,20.0,20.0,2.0,3.0,,,,,,1.0,,5.0,,,,,,12.666666666666666,12.666666666666666,,,,,,0.3652,18.6,-5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,0.5,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100457-100729-101033-200674-201516,1611661319,"Helen Darling, Michelle Snow, Roneeka Hodges, Sophia Young-Malcolm, Allie Quigley","Darling, Snow, Hodges, Young-Malcolm, Quigley",100457-100729-101033-200674-201516,SAN,17.0,1,1.0,2.0,,,,,,,169.41176470588235,11.0,11.0,,1.0,1.0,,,,,,2.0,,,2.0,,,1.0,6.0,6.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
101018-101033-200674-201494-202251,1611661319,"Edwige Lawson-Wade, Roneeka Hodges, Sophia Young-Malcolm, Crystal Kelly, Jayne Appel Marinelli","Lawson-Wade, Hodges, Young-Malcolm, Kelly, Appel Marinelli",101018-101033-200674-201494-202251,SAN,144.0,2,4.0,9.0,,,1.0,,,,90.0,11.75,11.75,2.0,5.0,2.0,,,1.0,2.0,3.0,7.0,5.0,2.0,5.0,0.6666666666666666,0.5,0.7,19.4,19.2,,,,0.25,0.25,0.3546125,13.700000000000001,2.0,,1.0,,,,1.0,2.0,,,1.0,1.0,3.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,2.0,2.0,,2.0,3.0,2.0,,,,,,,,,0.25,,,,,,,1.0,1.0,0.5,,0.25,,,,,,,0.4,0.5,,21.3,,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100342-100729-101018-101033-200674,1611661319,"Becky Hammon, Michelle Snow, Edwige Lawson-Wade, Roneeka Hodges, Sophia Young-Malcolm","Hammon, Snow, Lawson-Wade, Hodges, Young-Malcolm",100342-100729-101018-101033-200674,SAN,4705.0,16,151.0,305.0,24.0,40.0,58.0,0.48,0.5151515151515151,0.625,93.34750265674813,15.264900662251655,14.225165562913908,78.0,154.0,57.0,28.0,43.0,24.0,45.0,83.0,160.0,154.0,44.0,131.0,0.5421686746987951,0.5078740157480315,0.5517241379310345,15.584415584415584,14.87012987012987,0.33858267716535434,0.6511627906976745,0.7368421052631579,0.1889763779527559,0.6850393700787402,0.49247401574803146,6.791566265060242,6.0,53.0,15.0,4.0,12.0,18.0,10.0,16.0,18.0,7.0,26.0,44.0,31.0,8.0,19.0,31.0,13.0,15.0,62.0,26.0,,10.0,6.0,18.0,17.0,10.0,7.0,15.0,11.0,4.0,27.0,8.0,13.0,25.0,1.0,42.0,43.0,19.0,7.0,62.0,53.0,9.0,7.0,0.6129032258064516,0.5340909090909091,0.5961538461538461,0.3464566929133858,0.5555555555555556,0.8571428571428571,,0.625,0.47619047619047616,0.6666666666666666,0.4166666666666667,0.43478260869565216,0.12598425196850394,0.14173228346456693,0.2047244094488189,0.2857142857142857,0.4090909090909091,0.6666666666666666,0.1590909090909091,0.494085,0.4840147727272727,0.13768115942028986,0.20212765957446807,0.3875,22.23409090909091,0.34415584415584416,1.0,12.0,3.0,7.0,4.0,29.0,46.0,23.0,36.0,4.0,85.0,7.0,8.0,0.5111111111111111,0.5609756097560976,0.90625,0.23333333333333334,0.26865671641791045,0.23529411764705882,0.4375,0.4375,0.5714285714285714,0.18125,4.0,5.0,1.0,8.0,5.0,5.0,3.0,6.0,13.0,5.0,5.0,6.0,3.0,39.0,8.0,8.0,6.0,2.0,13.0,8.0,5.0,14.0,5.0,11.0,3.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,0.29545454545454547,0.8333333333333334,0.23076923076923078,0.29545454545454547,0.625,0.8928571428571429,0.045454545454545456,0.07228915662650602,0.11627906976744186,0.041666666666666664,0.07692307692307693,0.2972972972972973,0.4,0.23076923076923078,0.2222222222222222,0.23076923076923078,0.42857142857142855,0.05084745762711865,0.75,0.5,0.5,0.2777777777777778,0.2777777777777778,1.0,0.3076923076923077,0.3333333333333333,1.0,1.0,0.07142857142857142,0.35714285714285715,1.0,1.0,0.13636363636363635,0.5,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100342-100356-100457-101033-202251,1611661319,"Becky Hammon, Chamique Holdsclaw, Helen Darling, Roneeka Hodges, Jayne Appel Marinelli","Hammon, Holdsclaw, Darling, Hodges, Appel Marinelli",100342-100356-100457-101033-202251,SAN,239.0,3,9.0,15.0,2.0,3.0,3.0,0.5,0.6,0.5,90.3765690376569,17.333333333333332,14.666666666666666,4.0,6.0,4.0,,1.0,,1.0,2.0,5.0,10.0,2.0,5.0,0.5,0.625,0.625,13.833333333333334,13.833333333333334,0.25,,,,0.75,0.48228333333333334,10.25,-5.0,1.0,,,,,,1.0,,,2.0,2.0,,,,,1.0,,,2.0,,1.0,,,1.0,,1.0,1.0,1.0,,3.0,1.0,2.0,3.0,1.0,,,,,,1.0,,,,,,0.5,0.3333333333333333,,,1.0,0.5,1.0,,,0.25,,0.5,,,,,,,,,,30.3,0.16666666666666666,,2.0,,1.0,,,,,1.0,,3.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,3.0,,1.0,,,1.0,1.0,,,,,,,2.0,,,2.0,,2.0,2.0,,,1.0,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100342-100356-200674-201494-202251,1611661319,"Becky Hammon, Chamique Holdsclaw, Sophia Young-Malcolm, Crystal Kelly, Jayne Appel Marinelli","Hammon, Holdsclaw, Young-Malcolm, Kelly, Appel Marinelli",100342-100356-200674-201494-202251,SAN,56.0,1,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,77.14285714285714,16.5,13.5,1.0,1.0,2.0,,,,,,,3.0,,,,,,23.0,23.0,,,,,,,,-3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
100342-100457-101033-200674-201494,1611661319,"Becky Hammon, Helen Darling, Roneeka Hodges, Sophia Young-Malcolm, Crystal Kelly","Hammon, Darling, Hodges, Young-Malcolm, Kelly",100342-100457-101033-200674-201494,SAN,130.0,2,6.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,121.84615384615385,9.5,9.5,2.0,5.0,3.0,,1.0,,,2.0,5.0,4.0,,5.0,,0.5,0.625,14.6,14.6,0.3333333333333333,,,,0.6666666666666666,0.5832499999999999,9.1,1.0,1.0,,,,,,1.0,1.0,,,1.0,2.0,,,,,2.0,2.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,2.0,2.0,,1.0,2.0,1.0,,1.0,,,1.0,0.3333333333333333,1.0,,,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.4,22.6,0.2,,,1.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1611661319,2010,2010,False
